"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"COMPENSATION"|"OTHER_SALARIES"|"PENSION_PLANS"|"LEGAL_FEES"|"ACCOUNTING_FEES"|"PROFESSIONAL_FEES"|"INTEREST"|"TAXES"|"DEPRECIATION"|"OCCUPANCY"|"CONFERENCES"|"PRINTING"|"OTHER_EXPENSES"|"TOTAL_OPERATING_EXPENSES"|"CONTRIBUTIONS"|"TOTAL_EXPENSES"|"NET_INVESTMENT_INCOME"|"ADJUSTED_NET_INCOME"|"INTEREST_SAVINGS"|"DIVIDENDS_SECURITIES"|"GROSS_RENTS"|"SALE_ASSETS"|"PROFIT_SALES"|"OTHER_INC"|"TOTAL_INC"|"REV_INVEST_INC"|"COMPENSATION_INV"|"COMPENSATION_DIS"|"OTHER_SALARIES_INV"|"OTHER_SALARIES_DIS"|"PENSION_PLANS_INV"|"PENSION_PLANS_DIS"|"LEGAL_FEES_INV"|"LEGAL_FEES_DIS"|"ACCOUNTING_FEES_INV"|"ACCOUNTING_FEES_DIS"|"PROFESSIONAL_FEES_CBX"|"PROFESSIONAL_FEES_INV"|"PROFESSIONAL_FEES_DIS"|"INTEREST_DIS"|"TAXES_DIS"|"OCCUPANCY_DIS"|"CONFERENCES_DIS"|"PRINTING_DIS"|"OTHER_EXPENSES_CBX"|"OTHER_EXPENSES_DIS"|"TOTAL_OA_EXPENSES_INV"|"TOTAL_OA_EXPENSES_DIS"|"CONTRIBUTIONS_DIS"|"TOTAL_EXPENSES_INV"|"TOTAL_EXPENSES_DIS"|"CONTRIBUTIONS_RCVD"
"01-6102905"|"MARY T. & CURTIS LOVILL TRUST"|"1336100"|"7208.0000"|""|""|""|"1635.0000"|""|""|"37.0000"|""|""|""|""|""|"8880.0000"|"16678.0000"|"25558.0000"|"42500.0000"|"14441.0000"|"1.0000"|"8379.0000"|""|"37008.0000"|""|""|"45388.0000"|"45388.0000"|"2512.0000"|"4695.0000"|""|""|""|""|""|""|""|""|"N"|""|""|""|""|""|""|""|"N"|""|"2888.0000"|"4695.0000"|"16678.0000"|"2888.0000"|"21373.0000"|""
"04-6667008"|"HELENE B BLACK CHARITABLE FOUNDATION M SPARROW, N SAMILJAN & R GOLDMAN, TTEES"|"1336101"|"0.0000"|""|""|""|""|"23756.0000"|""|"1417.0000"|""|""|""|""|"486.0000"|"25659.0000"|"268150.0000"|"293809.0000"|"234082.0000"|""|"28.0000"|"60172.0000"|""|"187628.0000"|""|""|"247828.0000"|"247828.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|"Y"|"11878.0000"|"11878.0000"|""|"0.0000"|""|""|""|"Y"|"35.0000"|"13746.0000"|"11913.0000"|"268150.0000"|"13746.0000"|"280063.0000"|""
"01-0211545"|"PORTLAND SEAMEN'S FRIEND SOCIETY"|"1336180"|"3600.0000"|""|""|"135.0000"|""|""|""|"275.0000"|""|""|""|""|"5012.0000"|"9022.0000"|"59475.0000"|"68497.0000"|"1128.0000"|"1062.0000"|"22.0000"|"6939.0000"|""|"-6935.0000"|""|"89.0000"|"60115.0000"|"7050.0000"|"1800.0000"|""|""|""|""|""|"68.0000"|""|""|""|"N"|""|""|""|""|""|""|""|"Y"|"1096.0000"|"5922.0000"|"1096.0000"|"59575.0000"|"5922.0000"|"60571.0000"|"60000.0000"
"01-0788855"|"BOUKAI FAMILY FOUNDATION"|"1336181"|"0.0000"|""|""|""|"800.0000"|""|""|""|""|""|""|""|"421.0000"|"1221.0000"|"182521.0000"|"183742.0000"|"32.0000"|"32.0000"|"32.0000"|""|""|""|""|""|"152453.0000"|"32.0000"|""|""|""|""|""|""|""|""|""|""|"N"|""|""|""|""|""|""|""|"Y"|""|""|""|"182521.0000"|"0.0000"|"182521.0000"|"152421.0000"
"01-6067146"|"BARKER MEMORIAL FUND 44-1700051000 10 -101230022200"|"1336182"|"30678.0000"|""|""|""|"450.0000"|""|""|"5165.0000"|""|""|""|""|"5.0000"|"36298.0000"|"142809.0000"|"179107.0000"|"191264.0000"|""|""|"106368.0000"|""|"108257.0000"|""|"205.0000"|"214830.0000"|"214830.0000"|"23009.0000"|"7670.0000"|""|""|""|""|""|""|""|"450.0000"|"N"|""|""|""|""|""|""|""|"Y"|"5.0000"|"23566.0000"|"8125.0000"|"142809.0000"|"23566.0000"|"150934.0000"|""
"02-6070843"|"THE TRUST FAMILY FOUNDATION"|"1336183"|"0.0000"|""|""|"16023.0000"|"16900.0000"|"82986.0000"|"5633.0000"|"12067.0000"|""|""|""|""|"80896.0000"|"214505.0000"|"950090.0000"|"1164595.0000"|"763195.0000"|""|""|"373846.0000"|""|"430185.0000"|""|"19024.0000"|"823055.0000"|"858093.0000"|""|""|""|""|""|""|""|"16023.0000"|""|"16900.0000"|"N"|"82986.0000"|""|""|""|""|""|""|"Y"|"80684.0000"|"94898.0000"|"113607.0000"|"950090.0000"|"94898.0000"|"1063697.0000"|""
"04-3212851"|"HOME BUILDERS FOUNDATION OF WESTERN MASS, INC."|"1336184"|"0.0000"|""|""|""|"1900.0000"|""|""|""|""|""|""|""|"75.0000"|"1975.0000"|"15000.0000"|"16975.0000"|"0.0000"|""|"2.0000"|""|""|""|""|"6588.0000"|"7465.0000"|""|""|""|""|""|""|""|""|""|""|""|"N"|""|""|""|""|""|""|""|"Y"|""|""|""|"15000.0000"|"0.0000"|"15000.0000"|"875.0000"
"04-3493352"|"CLOUD MOUNTAIN FOUNDATION"|"1336186"|"0.0000"|""|""|""|"2300.0000"|""|""|"627.0000"|""|""|"725.0000"|""|"500.0000"|"4152.0000"|"1137700.0000"|"1141852.0000"|"1058863.0000"|"119903.0000"|""|"104411.0000"|""|"938960.0000"|""|"19644.0000"|"4478504.0000"|"1063015.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"2300.0000"|"0.0000"|"N"|""|""|""|"0.0000"|""|"0.0000"|""|"Y"|"0.0000"|"4152.0000"|"0.0000"|"1137700.0000"|"4152.0000"|"1137700.0000"|"3415489.0000"
"04-3505849"|"THE MULBERRY FOUNDATION, INC."|"1336187"|"0.0000"|""|""|""|"10019.0000"|"15365.0000"|"15.0000"|"585.0000"|"305.0000"|""|""|""|"1740.0000"|"28029.0000"|"170000.0000"|"198029.0000"|"380909.0000"|""|""|"115902.0000"|""|"286256.0000"|""|"8116.0000"|"410274.0000"|"393616.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"5009.0000"|"5010.0000"|"Y"|"7683.0000"|"7682.0000"|"0.0000"|"0.0000"|""|""|""|"Y"|"1740.0000"|"12707.0000"|"14432.0000"|"170000.0000"|"12707.0000"|"184432.0000"|""
"04-3757853"|"LINDA PACE FOUNDATION"|"1336188"|"291115.0000"|"172116.0000"|"63657.0000"|"7757.0000"|"16210.0000"|"314091.0000"|""|"105010.0000"|"91599.0000"|""|"43347.0000"|""|"388475.0000"|"1493377.0000"|"897000.0000"|"2390377.0000"|"696994.0000"|"360681.0000"|"507672.0000"|"582991.0000"|""|"3005.0000"|""|"360681.0000"|"6219547.0000"|"1094831.0000"|"60404.0000"|"230711.0000"|"18875.0000"|"153241.0000"|"9433.0000"|"54224.0000"|"776.0000"|"6981.0000"|"2.0000"|"16208.0000"|"Y"|"281810.0000"|"32281.0000"|""|"91454.0000"|""|"43347.0000"|""|"Y"|"375494.0000"|"397837.0000"|"1003941.0000"|"897000.0000"|"397837.0000"|"1900941.0000"|"4765198.0000"
"04-6050051"|"TRUSTEES OF THE ASHLEY SCHOOL AND CHARITABLE FUND OF WEST SPRINGFIELD"|"1336190"|"1350.0000"|""|""|""|"1100.0000"|""|""|"359.0000"|""|""|""|""|"349.0000"|"3158.0000"|"18000.0000"|"21158.0000"|"21407.0000"|"21407.0000"|""|"21407.0000"|""|"20784.0000"|""|""|"42191.0000"|"21407.0000"|""|""|""|""|""|""|""|""|""|""|"N"|""|""|""|""|""|""|""|"N"|""|"0.0000"|"0.0000"|"18000.0000"|"0.0000"|"18000.0000"|""
"04-6069958"|"MILDRED H. MCEVOY FOUNDATION"|"1336191"|"51000.0000"|""|""|"190000.0000"|"20507.0000"|""|""|"3341.0000"|""|""|""|""|"4193.0000"|"269041.0000"|"881360.0000"|"1150401.0000"|"1559472.0000"|""|""|"700603.0000"|""|"964698.0000"|""|"17096.0000"|"1682397.0000"|"1626443.0000"|"12750.0000"|"38250.0000"|""|""|""|""|"47500.0000"|"142500.0000"|"5127.0000"|"15380.0000"|"N"|""|""|""|"0.0000"|""|""|""|"Y"|"2569.0000"|"66971.0000"|"198699.0000"|"881360.0000"|"66971.0000"|"1080059.0000"|""
"04-6108344"|"EDWARD C. JOHNSON FUND"|"1336192"|"0.0000"|""|""|"15521.0000"|"88843.0000"|"1926757.0000"|""|"840200.0000"|""|""|""|""|"23602.0000"|"2894923.0000"|"49181367.0000"|"52076290.0000"|"47762833.0000"|""|"12.0000"|"4143038.0000"|""|"44520200.0000"|""|"63694.0000"|"55573944.0000"|"48664707.0000"|"0.0000"|"0.0000"|""|""|""|""|"0.0000"|"15521.0000"|"0.0000"|"88843.0000"|"Y"|"901874.0000"|"1024883.0000"|""|"10200.0000"|""|""|""|"Y"|"23602.0000"|"901874.0000"|"1163049.0000"|"49181367.0000"|"901874.0000"|"50344416.0000"|"6847000.0000"
"04-6278857"|"RILEY MABEL LOUISE TR U/WILL"|"1336193"|"281920.0000"|""|""|"11734.0000"|""|"149993.0000"|""|"42240.0000"|""|""|"92.0000"|""|"178809.0000"|"664788.0000"|"2800682.0000"|"3465470.0000"|"1962224.0000"|"0.0000"|""|"1102318.0000"|""|"997486.0000"|""|"164409.0000"|"2264213.0000"|"2290477.0000"|"169152.0000"|"112768.0000"|""|""|""|""|""|"11734.0000"|""|""|"N"|""|"149993.0000"|""|""|""|"92.0000"|""|"N"|"42640.0000"|"328253.0000"|"317227.0000"|"2800682.0000"|"328253.0000"|"3117909.0000"|""
"04-6728351"|"THE VIRGINIA WELLINGTON CABOT FOUNDATION"|"1336194"|"0.0000"|""|""|"2654.0000"|"34520.0000"|"417567.0000"|""|"54367.0000"|""|"22656.0000"|"7008.0000"|"1547.0000"|"1101.0000"|"541420.0000"|"1063801.0000"|"1605221.0000"|"425450.0000"|"0.0000"|"32.0000"|"182060.0000"|""|"-588032.0000"|""|"21294.0000"|"-384646.0000"|"988686.0000"|""|""|""|""|""|""|""|"2654.0000"|""|"34520.0000"|"Y"|"85712.0000"|"331855.0000"|""|""|"22656.0000"|"7008.0000"|"1547.0000"|"Y"|"1101.0000"|"563236.0000"|"401341.0000"|"1063801.0000"|"563236.0000"|"1465142.0000"|""
"04-6758553"|"THE GROSSMAN FAMILY CHARITABLE FOUNDATION"|"1336195"|"0.0000"|""|""|""|"5428.0000"|""|""|"2738.0000"|""|""|""|""|"34098.0000"|"42264.0000"|"310150.0000"|"352414.0000"|"124335.0000"|""|"12.0000"|"34055.0000"|"11.0000"|"124345.0000"|""|"10.0000"|"158433.0000"|"158433.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|"0.0000"|"Y"|""|""|""|"0.0000"|""|""|""|"Y"|"0.0000"|"34098.0000"|"0.0000"|"310150.0000"|"34098.0000"|"310150.0000"|""
"04-6836735"|"THE JACOBSON FAMILY FOUNDATION TRUST"|"1336196"|"380399.0000"|"206773.0000"|"84291.0000"|"21653.0000"|"15850.0000"|"35488.0000"|"2639273.0000"|"1012336.0000"|""|"26704.0000"|"57739.0000"|"1277.0000"|"1318417.0000"|"5800200.0000"|"16499565.0000"|"22299765.0000"|"24066095.0000"|""|""|"5912603.0000"|""|"21682111.0000"|""|"10728.0000"|"52605442.0000"|"27782788.0000"|"0.0000"|"380399.0000"|"0.0000"|"206773.0000"|"0.0000"|"84291.0000"|"0.0000"|"21653.0000"|"7925.0000"|"7925.0000"|"Y"|"0.0000"|"35488.0000"|"0.0000"|"0.0000"|"26704.0000"|"57739.0000"|"1277.0000"|"Y"|"168340.0000"|"3716693.0000"|"990589.0000"|"16499565.0000"|"3716693.0000"|"17490154.0000"|"25000000.0000"
"02-6051741"|"HENRY C LORD SCHOLARSHIP FD"|"1336563"|"81470.0000"|""|""|""|"650.0000"|""|""|"19205.0000"|""|""|""|""|"83069.0000"|"184394.0000"|"976400.0000"|"1160794.0000"|"684893.0000"|""|""|"294968.0000"|""|"407610.0000"|""|""|"702578.0000"|"727358.0000"|"40735.0000"|"40735.0000"|""|""|""|""|""|""|""|"650.0000"|"N"|""|""|""|""|""|""|""|"Y"|"83069.0000"|"42465.0000"|"124454.0000"|"976400.0000"|"42465.0000"|"1100854.0000"|""
"02-6058742"|"BENJAMIN S COHEN TRUST 361722010"|"1336564"|"15538.0000"|""|""|""|"575.0000"|""|""|"342.0000"|"0.0000"|""|""|""|"1356.0000"|"17811.0000"|"77088.0000"|"94899.0000"|"45871.0000"|"0.0000"|""|"35971.0000"|""|"27711.0000"|""|"2139.0000"|"65821.0000"|"63682.0000"|"15538.0000"|""|"0.0000"|"0.0000"|"0.0000"|""|""|"0.0000"|"575.0000"|"0.0000"|"N"|""|"0.0000"|"0.0000"|"0.0000"|""|""|""|"N"|""|"17811.0000"|"0.0000"|"77088.0000"|"17811.0000"|"77088.0000"|""
"04-2593846"|"CENTER FOR NUTRITIONAL RESEARCH CHARITABLE TRUST"|"1336565"|"360000.0000"|""|""|"2606.0000"|"14558.0000"|"183135.0000"|"18200.0000"|"10764.0000"|"377.0000"|""|""|""|"46187.0000"|"635827.0000"|"9000.0000"|"644827.0000"|"530240.0000"|""|""|"119601.0000"|""|"426190.0000"|""|"221302.0000"|"887343.0000"|"767093.0000"|"40000.0000"|"320000.0000"|""|""|""|""|"1303.0000"|"1154.0000"|"7279.0000"|"4279.0000"|"Y"|"183135.0000"|"0.0000"|"13600.0000"|"8591.0000"|""|""|""|"Y"|"43946.0000"|"236853.0000"|"391570.0000"|"19000.0000"|"236853.0000"|"410570.0000"|"120250.0000"
"04-6019146"|"MAUDE-FRANCES CHILDREN'S FUND"|"1336566"|"8573.0000"|""|""|"1280.0000"|"800.0000"|""|""|"903.0000"|""|""|""|""|"185.0000"|"11741.0000"|"21000.0000"|"32741.0000"|"22970.0000"|""|""|"15688.0000"|""|"12828.0000"|""|"-50.0000"|"28466.0000"|"28466.0000"|"5144.0000"|"3429.0000"|""|""|""|""|""|"1280.0000"|""|"800.0000"|"N"|""|""|""|""|""|""|""|"Y"|"185.0000"|"5496.0000"|"5694.0000"|"21000.0000"|"5496.0000"|"26694.0000"|""
"03-0368595"|"BEN COHEN CHARITABLE TRUST"|"1336724"|""|""|""|""|"12014.0000"|"57500.0000"|""|"1721.0000"|""|"750.0000"|"250.0000"|""|"14662.0000"|"86897.0000"|"285233.0000"|"372130.0000"|"180895.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0437556"|"LUNDER FOUNDATION"|"1336733"|"0.0000"|""|""|""|"1750.0000"|"59039.0000"|""|"1189.0000"|""|""|""|""|"2408.0000"|"64386.0000"|"1825164.0000"|"1889550.0000"|"100473.0000"|""|"10.0000"|""|""|"1903926.0000"|""|""|"1903936.0000"|"129993.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|"1750.0000"|"N"|"29520.0000"|"29519.0000"|""|"0.0000"|""|""|""|"N"|"2408.0000"|"29520.0000"|"33677.0000"|"1825164.0000"|"29520.0000"|"1858841.0000"|""
"01-6220476"|"ANNE AND PAUL MARCUS FAMILY FOUNDATION"|"1336734"|"0.0000"|""|""|"5981.0000"|"3275.0000"|"174362.0000"|""|""|""|""|""|""|"741.0000"|"184359.0000"|"225050.0000"|"409409.0000"|"11633.0000"|"11671.0000"|"130.0000"|"13247.0000"|""|"-987.0000"|""|""|"1012390.0000"|"13339.0000"|"0.0000"|"0.0000"|""|""|""|""|"0.0000"|"5981.0000"|"1000.0000"|"2275.0000"|"Y"|"0.0000"|"174362.0000"|""|""|""|""|""|"Y"|"35.0000"|"1706.0000"|"182653.0000"|"225050.0000"|"1706.0000"|"407703.0000"|"1000000.0000"
"04-3048298"|"HIGHLAND STREET CONNECTION AND SUBSIDIARIES"|"1336735"|"296567.0000"|"357588.0000"|"45474.0000"|"542918.0000"|"207684.0000"|"874803.0000"|"437235.0000"|"303770.0000"|"48065.0000"|"92564.0000"|"10636.0000"|""|"2155918.0000"|"5373222.0000"|"12117467.0000"|"17490689.0000"|"14734493.0000"|""|"105291.0000"|"3951581.0000"|"-36890.0000"|"11812131.0000"|""|"1810726.0000"|"17642839.0000"|"17642839.0000"|"0.0000"|"296567.0000"|"44329.0000"|"313259.0000"|"2074.0000"|"43400.0000"|"0.0000"|"542918.0000"|"112735.0000"|"94949.0000"|"Y"|"874803.0000"|"0.0000"|"204527.0000"|"37449.0000"|"92564.0000"|"10280.0000"|""|"Y"|"619172.0000"|"2908346.0000"|"2255085.0000"|"12117467.0000"|"2908346.0000"|"14372552.0000"|""
"04-3235379"|"Poduska Family Foundation Inc"|"1336736"|""|""|""|""|"10610.0000"|""|""|""|""|""|"806.0000"|""|"1363.0000"|"12779.0000"|"147750.0000"|"160529.0000"|"65.0000"|"65.0000"|""|"65.0000"|""|""|""|""|"315.0000"|"65.0000"|""|""|""|""|""|""|""|""|""|""|"N"|""|""|""|""|""|""|""|"N"|""|"0.0000"|"0.0000"|"147750.0000"|"0.0000"|"147750.0000"|"250.0000"
"04-3236375"|"Genzvine Charitable Foundation, Inc."|"1336737"|""|""|""|""|""|""|""|"1000.0000"|""|""|""|""|""|"1000.0000"|"54452742.0000"|"54453742.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"54453742.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|"N"|""|""|""|"1000.0000"|""|""|""|"N"|""|"0.0000"|"1000.0000"|"54452742.0000"|"0.0000"|"54453742.0000"|"54453742.0000"
"04-3547684"|"WINTERLINE FOUNDATION GLENN CONRAD, EXECUTIVE DIRECTOR"|"1336738"|"0.0000"|""|""|""|"9533.0000"|"24000.0000"|""|"168.0000"|"186.0000"|""|"21681.0000"|""|"19334.0000"|"74902.0000"|"111400.0000"|"186302.0000"|"2507.0000"|""|""|"1948.0000"|""|"559.0000"|""|""|"240487.0000"|"2507.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|"0.0000"|"Y"|"0.0000"|"4000.0000"|""|"0.0000"|""|"0.0000"|""|"Y"|"10688.0000"|"0.0000"|"14688.0000"|"111400.0000"|"0.0000"|"126088.0000"|"237980.0000"
"04-3762697"|"THE HAVNER FAMILY FOUNDATION"|"1336739"|"0.0000"|""|""|""|"150.0000"|""|""|"1171.0000"|""|""|""|""|"6806.0000"|"8127.0000"|"263991.0000"|"272118.0000"|"150532.0000"|"0.0000"|""|"33455.0000"|""|"121741.0000"|""|""|"361696.0000"|"155196.0000"|""|""|""|""|""|""|""|""|"150.0000"|""|"Y"|""|""|""|"60.0000"|""|""|""|"Y"|"3403.0000"|"4664.0000"|"3463.0000"|"263991.0000"|"4664.0000"|"267454.0000"|"206500.0000"
"04-3843795"|"THE GRETCHEN C. VALADE ENDOWMENT FOR THE ARTS"|"1336740"|"0.0000"|""|""|"11124.0000"|"5430.0000"|"15370.0000"|""|"6062.0000"|""|""|""|""|"20.0000"|"38006.0000"|"2250000.0000"|"2288006.0000"|"494810.0000"|""|"2661.0000"|"157428.0000"|""|"325915.0000"|""|"33627.0000"|"519631.0000"|"519613.0000"|"0.0000"|"0.0000"|""|""|""|""|"5562.0000"|"5562.0000"|"2715.0000"|"2715.0000"|"Y"|"15370.0000"|"0.0000"|""|"0.0000"|""|""|""|"Y"|"20.0000"|"24803.0000"|"8297.0000"|"2250000.0000"|"24803.0000"|"2258297.0000"|""
"04-6012768"|"MICHAEL ANAGNOS SCHOOLS"|"1336741"|""|"27664.0000"|""|"13296.0000"|""|"39770.0000"|""|"17172.0000"|""|""|""|""|"53019.0000"|"150921.0000"|""|"150921.0000"|"55752.0000"|""|"88.0000"|"29916.0000"|"36476.0000"|"37916.0000"|""|"7198.0000"|"111594.0000"|"95459.0000"|""|""|"6916.0000"|"20748.0000"|""|""|""|"13296.0000"|""|""|"Y"|"15770.0000"|"24000.0000"|""|""|""|""|""|"Y"|"53017.0000"|"39707.0000"|"111061.0000"|""|"39707.0000"|"111061.0000"|""
"04-6023790"|"THE ALBERT J. GIFFORD CHARITABLE TRUST"|"1336742"|"5000.0000"|""|""|""|"18000.0000"|"1932.0000"|""|"3060.0000"|""|""|""|""|"1051.0000"|"29043.0000"|"110071.0000"|"139114.0000"|"136779.0000"|""|"5.0000"|"58077.0000"|""|"94342.0000"|""|"82.0000"|"152506.0000"|"150191.0000"|"2500.0000"|"2500.0000"|""|""|""|""|""|""|"9000.0000"|"9000.0000"|"Y"|"966.0000"|"966.0000"|""|"0.0000"|""|""|""|"Y"|"105.0000"|"13412.0000"|"12571.0000"|"110071.0000"|"13412.0000"|"122642.0000"|""
"04-6047379"|"STONEMAN FAMILY FOUNDATION"|"1336743"|"0.0000"|""|""|""|"35700.0000"|"1089738.0000"|""|"130472.0000"|""|""|""|""|"678589.0000"|"1934499.0000"|"5888300.0000"|"7822799.0000"|"5879679.0000"|"0.0000"|""|"2979819.0000"|""|"4253053.0000"|""|"140769.0000"|"7373641.0000"|"7203707.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"35700.0000"|"0.0000"|"Y"|"544267.0000"|"545471.0000"|""|"0.0000"|""|""|""|"Y"|"0.0000"|"1324028.0000"|"545471.0000"|"5888300.0000"|"1324028.0000"|"6433771.0000"|""
"04-6125088"|"F. A. & J. H. HARRINGTON FOUNDATION"|"1336744"|"42000.0000"|""|""|""|"8030.0000"|"110000.0000"|""|"3274.0000"|""|""|""|""|"9521.0000"|"172825.0000"|"1342696.0000"|"1515521.0000"|"718564.0000"|""|"1.0000"|"217026.0000"|""|"588111.0000"|""|"58180.0000"|"863318.0000"|"798619.0000"|"21000.0000"|"21000.0000"|""|""|""|""|""|""|"4015.0000"|"4015.0000"|"Y"|"55000.0000"|"55000.0000"|""|"0.0000"|""|""|""|"Y"|"513.0000"|"80055.0000"|"80528.0000"|"1342696.0000"|"80055.0000"|"1423224.0000"|""
"04-6197960"|"WILLIAM H. HARRIS FOUNDATION"|"1336745"|"0.0000"|""|""|""|""|""|""|"32249.0000"|""|""|""|""|"163995.0000"|"196244.0000"|"617100.0000"|"813344.0000"|"1166526.0000"|"0.0000"|"6248.0000"|"141152.0000"|""|"235619.0000"|""|"843556.0000"|"1229825.0000"|"1226575.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|"N"|""|""|""|"0.0000"|""|""|""|"Y"|"31500.0000"|"60049.0000"|"31500.0000"|"617100.0000"|"60049.0000"|"648600.0000"|"3250.0000"
"04-6470890"|"THE FLETCHER FOUNDATION"|"1336746"|"0.0000"|""|""|""|"120000.0000"|"22894.0000"|"5945.0000"|"11225.0000"|""|""|""|""|"62732.0000"|"222796.0000"|"1317130.0000"|"1539926.0000"|"1055724.0000"|""|"217.0000"|"905550.0000"|""|"249005.0000"|""|"15663.0000"|"1170435.0000"|"1133468.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"60000.0000"|"60000.0000"|"Y"|"11447.0000"|"11447.0000"|"0.0000"|"0.0000"|""|""|""|"Y"|"1182.0000"|"77744.0000"|"72629.0000"|"1317130.0000"|"77744.0000"|"1389759.0000"|""
"04-6547989"|"TUPANCY-HARRIS FDN.-1986"|"1336747"|"167792.0000"|""|""|"333.0000"|""|""|""|"4376.0000"|""|""|""|""|"2282.0000"|"174783.0000"|"1232904.0000"|"1407687.0000"|"660692.0000"|""|""|"413025.0000"|""|"456213.0000"|""|"396996.0000"|"1266234.0000"|"948385.0000"|"167792.0000"|""|""|""|""|""|""|"333.0000"|""|""|"N"|""|""|""|""|""|""|""|"Y"|"2282.0000"|"287693.0000"|"2615.0000"|"1232904.0000"|"287693.0000"|"1235519.0000"|""
"04-6856456"|"GRANTHAM FOUNDATION FOR THE PROTECTION OF THE ENVIRONMENT"|"1336748"|"0.0000"|""|""|"55368.0000"|"49655.0000"|"884824.0000"|"311345.0000"|"164349.0000"|"1.0000"|""|""|""|"2029823.0000"|"3495365.0000"|"20285975.0000"|"23781340.0000"|"0.0000"|""|"7060.0000"|"3875985.0000"|""|"-16556605.0000"|""|"-2127056.0000"|"3462248.0000"|"1792225.0000"|"0.0000"|"0.0000"|""|""|""|""|"0.0000"|"55368.0000"|"0.0000"|"49655.0000"|"Y"|"884824.0000"|"0.0000"|"0.0000"|"0.0000"|""|""|""|"Y"|"0.0000"|"3269439.0000"|"105023.0000"|"20285975.0000"|"3269439.0000"|"20390998.0000"|"18262864.0000"
"04-6902384"|"THE HOPE FOUNDATION - USA 1999 TRUST"|"1336749"|"0.0000"|""|""|""|""|"11293.0000"|""|"513.0000"|""|""|"457.0000"|""|"185.0000"|"12448.0000"|"120428.0000"|"132876.0000"|"102399.0000"|""|"40399.0000"|"31622.0000"|""|"42349.0000"|""|"1985.0000"|"116882.0000"|"114697.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|"Y"|"11293.0000"|"0.0000"|""|"0.0000"|""|"0.0000"|""|"Y"|"0.0000"|"12298.0000"|"0.0000"|"120428.0000"|"12298.0000"|"120428.0000"|"527.0000"
"04-2944490"|"Mark Miminos Charitable Trust & Foundation"|"1337080"|""|""|""|""|""|""|""|"216.0000"|""|""|""|"38.0000"|"90.0000"|"344.0000"|"18500.0000"|"18844.0000"|"24375.0000"|"24375.0000"|"24375.0000"|""|""|""|""|""|"24375.0000"|"24375.0000"|""|""|""|""|""|""|""|""|""|""|"N"|""|""|""|""|""|""|""|"N"|""|""|""|"18500.0000"|""|"18844.0000"|""
"04-3559359"|"FOUNDATION M"|"1337081"|"12000.0000"|""|""|""|"3675.0000"|"55609.0000"|""|"7530.0000"|""|""|""|""|"718.0000"|"79532.0000"|"550000.0000"|"629532.0000"|"713204.0000"|""|""|"237718.0000"|""|"546806.0000"|""|"-5288.0000"|"779236.0000"|"779236.0000"|"6000.0000"|"6000.0000"|""|""|""|""|""|""|"3675.0000"|"0.0000"|"Y"|"55609.0000"|"0.0000"|""|"0.0000"|""|""|""|"Y"|"0.0000"|"66032.0000"|"6000.0000"|"550000.0000"|"66032.0000"|"556000.0000"|""
"04-6004390"|"Wheelwright Scientific School"|"1337082"|"47600.0000"|""|""|""|"8412.0000"|"23765.0000"|""|"50.0000"|""|""|""|""|"1049.0000"|"80876.0000"|"75000.0000"|"155876.0000"|"200065.0000"|"0.0000"|"186.0000"|"78177.0000"|""|"155398.0000"|""|""|"233761.0000"|"233761.0000"|"4760.0000"|"42840.0000"|""|""|""|""|""|""|"5171.0000"|"3241.0000"|"Y"|"23765.0000"|"0.0000"|""|"50.0000"|""|""|""|"Y"|"1049.0000"|"33696.0000"|"47180.0000"|"75000.0000"|"33696.0000"|"122180.0000"|""
"04-6020389"|"EDWARD V BIRD TRUST"|"1337083"|"42605.0000"|""|""|""|"1250.0000"|""|""|"4761.0000"|""|""|""|""|"510.0000"|"49126.0000"|"179358.0000"|"228484.0000"|"902323.0000"|""|""|"114293.0000"|""|"815662.0000"|""|"2054.0000"|"932009.0000"|"930037.0000"|"25563.0000"|"17042.0000"|""|""|""|""|""|""|""|"1250.0000"|"N"|""|""|""|""|""|""|""|"Y"|"470.0000"|"27714.0000"|"18762.0000"|"179358.0000"|"27714.0000"|"198120.0000"|""
