"C_EIN"|"C_Org_Name"|"activity_id"|"XML_DOCUMENT_ID"|"ACTIVITY"|"EXPENSES"
"04-3602929"|"AND TECHNOLOGY EDUCATION CENTER, INC."|"62741"|"1187581"|"4) SCIENCE COMPETITIONS OFFER HIGH SCHOOL STUDENTS THE OPPORTUNITY TO DISPLAY THEIR SCIENCE RESEARCH AT COMPETITIONS. THE NORTH CAROLINA SCIENCE MATHEMATICS AND TECHNOLOGY CENTER INCURRED EXPENSES OF $37,515 FOR SCIENCE COMPETITIONS DURING THE FISCAL YEAR."|"37515.0000"
"04-2864138"|"TECHNICAL TRAINING FOUNDATION"|"62762"|"1227199"|"CALIFORNIA PACIFIC MEDICAL CENTER PHILANTROPIC FOUNDATION CONTRIBUTION"|"225000.0000"
"04-2864138"|"TECHNICAL TRAINING FOUNDATION"|"62763"|"1227199"|"CALIFORNIA SCIENCE CENTER CONTRIBUTION"|"360366.0000"
"04-2864138"|"TECHNICAL TRAINING FOUNDATION"|"62764"|"1227199"|"BELLESINI ACADEMY CONTRIBUTION"|"182000.0000"
"04-2864138"|"TECHNICAL TRAINING FOUNDATION"|"62765"|"1227199"|"SUSTAINABLE SCIENCE INSTITUTE CONTRIBUTION"|"17500.0000"
"04-3526333"|"THE ASTRA FOUNDATION INC"|"62939"|"1263720"|"GRANTS TO RESEARCH AND EDUCATIONAL ORGANIZATIONS AND PROGRAM ACTIVITIES TO PROVIDE TRAINING FOR PARENTS AND TEACHERS OF SPECIAL NEEDS CHILDREN"|"425601.0000"
"04-6076048"|"MARY M. B. WAKEFIELD CHARITABLE TRUST"|"63026"|"1260882"|"TO SUPPORT LAND CONSERVATION AND HISTORICAL HOUSE PRESERVATION."|"442981.0000"
"04-6076048"|"MARY M. B. WAKEFIELD CHARITABLE TRUST"|"63027"|"1260882"|"INDIRECT OPERATING AND ADMIN EXPENSES FOR CHARITABLE ACTIVITY"|"62702.0000"
"04-3397500"|"HUNT ALTERNATIVES FUND"|"63048"|"1260915"|"INCLUSIVE SECURITY ADVOCATES FOR THE FULL PARTICIPATION OF ALL STAKEHOLDERS, ESPECIALLY WOMEN, IN PEACE PROCESSES. ACTIVITIES INCLUDE TRAININGS, MEETINGS, CONFERENCES."|"4540297.0000"
"04-3397500"|"HUNT ALTERNATIVES FUND"|"63049"|"1260915"|"DEMAND ABOLITION SEEKS TO ABOLISH THE ILLEGAL COMMERCIAL SEX INDUSTRY IN THE UNITED STATES BY ERADICATING THE DEMAND FOR PURCHASED SEX."|"1409171.0000"
"04-3397500"|"HUNT ALTERNATIVES FUND"|"63050"|"1260915"|"POLITICAL PARITY'S GOAL IS TO INCREASE THE NUMBER OF WOMEN IN HIGH-LEVEL POLITICAL OFFICES VIA NONPARTISAN ACTIVITIES WHICH EDUCATE ALL STAKEHOLDERS FOR THE NEED FOR MORE WOMEN IN HIGH ELECTED OFFICES IN THE U.S."|"897820.0000"
"03-0375665"|"ARLENE AND DANIEL FISHER FOUNDATION"|"63134"|"1266688"|"AMERICAN ISRAEL EDUCATION FOUNDATION"|"50000.0000"
"03-0375665"|"ARLENE AND DANIEL FISHER FOUNDATION"|"63135"|"1266688"|"North Shore LIJ Hospital"|"21500.0000"
"03-0375665"|"ARLENE AND DANIEL FISHER FOUNDATION"|"63136"|"1266688"|"Long Island University"|"20000.0000"
"03-0375665"|"ARLENE AND DANIEL FISHER FOUNDATION"|"63137"|"1266688"|"Elton Johns AIDS Foundation"|"15000.0000"
"04-6032773"|"MACK INDUSTRIAL SCHOOL"|"63161"|"1266935"|"AWARDED SCHOLARSHIPS TO 27 FEMALE STUDENTS RESIDING IN SALEM, MA"|"21200.0000"
"01-0391038"|"Rosscare"|"63250"|"1275718"|"SYLVIA ROSS LEGACY PROGRAM-Assistance to qualified applicants to reduce the cost of residency at the Sylvia Ross Home, assisted living apartments located on the campus of Ross Manor in Bangor."|"142379.0000"
"01-0391038"|"Rosscare"|"63251"|"1275718"|"CONTINUING CARE INFO CENTER-Resource for anyone who has questions about available hospital and community health programs"|"478219.0000"
"01-0391038"|"Rosscare"|"63252"|"1275718"|"LIVESAFE-Home health care monitors worn by participants which signals help when activated"|"258762.0000"
"01-0391038"|"Rosscare"|"63253"|"1275718"|"DIRIGO PINES INN-Specialized elderly housing and assisted living"|"5933129.0000"
"01-0496879"|"MARGARET E BURNHAM CHARITABLE TRUST"|"63302"|"1267208"|"THE FOUNDATION'S SOLE CHARITABLE ACTIVITY IS MAKING GRANTS TO CHARITABLE ORGANIZATIONS."|""
"01-0724780"|"Foundation For Hope"|"63303"|"1267226"|"Mission trip to Romania to promote the gospel of Jesus Christ by distribution of Christian literature and medical supplies to those in need."|"33844.0000"
"01-6145027"|"ANNE WHITEMAN RICHARDSON RESIDUARY"|"63308"|"1267243"|"Distributions to charitable organizations for their unrestricted use"|"23959.0000"
"02-0366576"|"BLUE HILLS FOUNDATION, INC."|"63309"|"1267251"|"PURCHASE OF CONSERVATION LAND."|"301699.0000"
"02-0366576"|"BLUE HILLS FOUNDATION, INC."|"63310"|"1267251"|"HARVARD FORESTRY MANAGEMENT LONG TERM STRATEGIC PLAN. STUDY OF HABITAT AND WILDLIFE AND FOREST."|"3768.0000"
"02-0583552"|"JAMES R. DOUGHERTY, JR. FOUNDATION, INC."|"63311"|"1267261"|"Foundation is not involved with any direct charitable activities. It gives to active tax exempt organizations approved by the I.R.S."|""
"02-6040429"|"BJB CHARITABLEACCOUNT"|"63312"|"1267285"|"The making of direct contributions to other charitable enttites as described and identified in the Barbara J. Brown Revocable Trust. The ongoing oversight of grants made."|""
"02-6123968"|"ROGER R. & THERESA THOMPSON ENDOWMENT F/B/O LOCAL CHARITIES"|"63313"|"1267296"|"Distributions and administrative expenses relating to four charitable organizations as listed on Part XV"|"93801.0000"
"03-0122698"|"JOHN J. FLYNN TUW FBO FAHC ETAL 31C025017"|"63314"|"1267301"|"PER TERMS OF THE TRUST, INCOME IS TO BE PAID TO LISTED CHARITABLE BENEFICIARIES."|"266604.0000"
"03-0277007"|"RAYMOND & LORRAINE LETOURNEAU EDUCATIONAL FOUNDATION"|"63315"|"1267302"|"COLLEGE SCHOLARSHIPS"|"11665.0000"
"03-0330527"|"FRANK M. AND OLIVE F. GILMAN FOUNDATION"|"63316"|"1267305"|"PROVIDES GRANTS TO EDUCATIONAL 501(C) 3 ORGANIZATIONS THAT PROVIDE SCHOLARSHIPS TO HIGH SCHOOL SENIORS IN WINDSOR CTY AND ORANGE CTY IN VT AND GRAFTON CTY IN NEW HAMPSHIRE"|"1982706.0000"
"03-0337672"|"WYMAN EVERETT H. TR B MEM FD 43V189015"|"63317"|"1267306"|"PER TRUST AGREEMENT, INCOME IS TO BE DISTRIBUTED TO PRE-SELECTED AREA CHURCHES AND HOSPITALS IN SUPPORT OF THEIR CHARITABLE ACTIVITIES."|""
"03-6005799"|"GEORGE A DASCOMB CHARITABLE EXEMPT TRUST"|"63318"|"1267313"|"SUPPORT OF CHARITABLE ORGANIZATIONS IN THE WESTMINSTER TOWNSHIP OR SURROUNDING AREA WHICH BENEFIT THE CITIZENS WESTMINSTER"|""
"03-6020099"|"MORTIMER R PROCTOR"|"63319"|"1267315"|"DISTRIBTIONS TO SUPPORT TOWN OF PROCTOR PER TRUST DOCUMENT"|"203996.0000"
"03-6037557"|"RICHARD F & LENA S BARKER TR FUND 31C078016"|"63320"|"1267316"|"NET INCOME PAYABLE TO ORGANIZATIONS AS DESCRIBED IN TUW"|"35257.0000"
"03-6039645"|"ARTHUR J. WHITE & ALICE M. DEMOND 43C060019"|"63321"|"1267317"|"PER TERMS OF THE TRUST, INCOME IS PAID TO ST. CHARLES CHURCH"|"61609.0000"
"03-6057859"|"CORRY MEMORIAL FUND 32C008011"|"63322"|"1267318"|"PER TERMS OF TRUST DOCUMENT, MAINTENANCE OF SENIOR CENTER PROPERTY IN MONTPELIER, VT"|"46264.0000"
"03-6057859"|"CORRY MEMORIAL FUND 32C008011"|"63323"|"1267318"|"PER TERMS OF TRUST DOCUMENT, SCHOLARSHIP AWARDS FOR THE BENEFIT OF STUDENTS GRADUATINGFROM MONTPELIER HIGH SCHOOL, MONTEPELIER, VT"|"46264.0000"
"03-6071893"|"CASSIDY W.W. & ARMSTRONG M.C. TR 31V130014"|"63324"|"1267320"|"PER TRUST DOCUMENT, NET INCOME IS DISTRIBUTED TO NAMED CHARITIES TO FURTHER THEIR CHARITABLE WORK"|"56633.0000"
"03-6084732"|"FERDINAND & SARAH CINELLI CHARITABLE TRUST"|"63325"|"1267322"|"Etruscan Foundation"|"0.0000"
"03-6084732"|"FERDINAND & SARAH CINELLI CHARITABLE TRUST"|"63326"|"1267322"|"Spannocchia Foundation"|"0.0000"
"04-2104372"|"LATHROP HOME"|"63327"|"1267329"|"OPERATION OF HOME FOR ELDERLY INDIVIDUALS"|"1340631.0000"
"04-2104861"|"SHAW FUND FOR MARINERS' CHILDREN"|"63328"|"1267330"|"TO PROVIDE ASSISTANCE TO NEEDY MARINERS, THEIR WIDOWS AND CHILDRNE, IN THE COMMONWEALTH OF MASSACHUSETTS AND ELSEWHERE."|"199281.0000"
"04-2121325"|"UNITED FUND & COUNCIL OF GREATER LYNN, INC."|"63329"|"1267333"|"THIS ORGANIZATION DISTRIBUTES GRANTS TO SECTION 501 (C) (3) ORGANIZATIONS IN THE GREATER LYNN AREA. DURING 2012, THIS ORGANIZATION GRANTED $20,000 TO ONE 501(C)(3) ORGANIZATION."|"20000.0000"
"04-3134531"|"REAL COLEGIO COMPLUTENSE INC"|"63330"|"1267350"|"FELLOWSHIPS AND GRANTS TO FACULTY AND STUDENTS TO STUDY AND DO RESEARCH IN THEIR RESPECTIVE FIELDS OF STUDY AT HARVARD UNIVERSITY"|"156475.0000"
"04-3134531"|"REAL COLEGIO COMPLUTENSE INC"|"63331"|"1267350"|"CONTRIBUTION TO HARVARD UNIVERSITY PROGRAMS (COMMITTEE ON GENERAL SCHOLARSHIP) TO GRANT SPANISH STUDENTS AT HARVARD UNIVERSITY"|"94870.0000"
"04-3134531"|"REAL COLEGIO COMPLUTENSE INC"|"63332"|"1267350"|"GRANTS TO HARVARD UNIVERSITY STUDENTS TO ATTEND SPANISH COURSES AND DO RESEARCH DURING SUMMER IN SPAIN"|"4000.0000"
"04-3407432"|"THE MITCHELL SCHOOL PARENT TEACHER COUNCIL TRUST"|"63337"|"1267381"|"COMMUNITY ENHANCEMENT - TO PROVIDE A CHILD-SAFE ENVIRONMENT BY FUNDING AFTERSCHOOL PROGRAMS AND FUN EVENTS NOT FUNDED BY THE TOWN BUDGET"|"23770.0000"
"04-3407432"|"THE MITCHELL SCHOOL PARENT TEACHER COUNCIL TRUST"|"63338"|"1267381"|"CURRICULUM ENHANCEMENTS - 50 PROVIDE ADDITIONAL SUPPORT FOR EDUCATIONAL ACTIVITIES DURING SCHOOL HOURS THAT HAVE BEEN CANCELLED DU TO BUDGETARY CONSTAINTS"|"32002.0000"
"04-3407432"|"THE MITCHELL SCHOOL PARENT TEACHER COUNCIL TRUST"|"63339"|"1267381"|"CHARITABLE - TO PROVIDE GRANTS AND SCHOLARSHIPS TO OTHER CHARITABLE ORGANIZATIONS"|"1350.0000"
"04-3574891"|"MESSIER-COSTAIN FOUNDATION 43M135018"|"63341"|"1267414"|"INCOME DISTRIBUTED PER TERMS OF TRUST DOCUMENT"|"42032.0000"
"04-3582759"|"TELEMACHUS AND IRENE DEMOULAS FAMILY FOUNDATION"|"63342"|"1267415"|"Health and Welfare"|"1800000.0000"
"04-3582759"|"TELEMACHUS AND IRENE DEMOULAS FAMILY FOUNDATION"|"63343"|"1267415"|"Schools, Colleges and Universities"|"900000.0000"
"04-3582759"|"TELEMACHUS AND IRENE DEMOULAS FAMILY FOUNDATION"|"63344"|"1267415"|"Youth Organizations"|"300000.0000"
"04-3582759"|"TELEMACHUS AND IRENE DEMOULAS FAMILY FOUNDATION"|"63345"|"1267415"|"Civic, Cultural and other Charities"|"125000.0000"
"04-3593793"|"THE BORDUI FOUNDATION"|"63346"|"1267417"|"SCHOLARSHIP PROGRAM PROVIDED SCHOLARSHIPS TO SIX WORTHY STUDENTS"|"0.0000"
"04-3619796"|"THE J. FREUNARD KIM FOUNDATION"|"63347"|"1267420"|"Support And Contribution to Hope Worldwide, a Public Charity Under IRC Sec. 501(c) (3), For An Educational Project in Cambodia Providing Free Education to Needy Cambodians."|""
"04-6028058"|"AMERICAN OPTICAL FOUNDATION"|"63349"|"1267489"|"CHARITABLE ACTIVITIES ARE LIMITED TO SELECTION OF ORGANIZATIONS AND INDIVIDUALS FOR SCHOLARSHIPS OR EDUCATIONAL AWARDS. EXPENSES ARE MINIMAL."|""
"04-6031995"|"HENRY B. MARTIN FUND. INC."|"63350"|"1267493"|"GRANT MAKING"|"0.0000"
"04-6036697"|"STEARNS CHARITABLE TRUST"|"63351"|"1267499"|"STEARNS CHARITABLE TRUST IS A PRIVATE FOUNDATION WHICH RECEIVES INVESTMENT INCOME AND DISTRIBUTES THAT INCOME TO PRESELECTED CHARITIES QUALIFYING UNDER IRC SEC 501 (C) (3)."|"34899.0000"
"04-6038185"|"MASSACHUSETTS LIBRARY AID ASSOCIATION"|"63352"|"1267504"|"SCHOLARSHIPS ISSUED TO INDIVIDUALS TO BE USED TOWARD SPECIAL TRAINING IN LIBRARY SCIENCE TECHNIQUES."|"3570.0000"
"04-6038185"|"MASSACHUSETTS LIBRARY AID ASSOCIATION"|"63353"|"1267504"|"GRANT ISSUED TO STEVENS PUBLIC LIBRARY, ASHBURNHAM, MA TO SUBSIDIZE THE LIBRARIANS SALARY."|"5000.0000"
"04-6038185"|"MASSACHUSETTS LIBRARY AID ASSOCIATION"|"63354"|"1267504"|"GRANT ISSUED TO STEVENS PUBLIC LIBRARY, ASHBURNHAM, MA FOR SPECIAL PROJECTS."|"2588.0000"
"04-6039187"|"EDWIN GINN TR-ART XV"|"63355"|"1267506"|"INCOME OF THIS TRUST IS CONTRIBUTED SOLELY TO THE WORLD PEACE FOUNDATION"|"454307.0000"
"04-6043588"|"ABRAHAM SHAPIRO CHARITY FUND"|"63356"|"1267508"|"CONTRIBUTIONS TO VARIOUS CHARITABLE, EDUCATIONAL, MEDICAL AND RELIGIOUS ORGANIZATIONS (SEE PART XV)"|"162100.0000"
"04-6044077"|"Shelburne Falls Community House, Inc."|"63357"|"1267509"|"Shelbune Falls Community Center - support operations"|"45000.0000"
"04-6052150"|"SWIFT CHARITY, INC."|"63358"|"1267514"|"GRANT MAKING"|"0.0000"
"04-6056133"|"FUSARO CHARITABLE FOUNDATION, INC."|"63359"|"1267516"|"Schulst ship & AID"|"27806.0000"
"04-6062249"|"ROTCH TRAVELING SCHOLARSHIP, INC."|"63360"|"1267520"|"THIS TRUST IS CREATED FOR ADVANCEMENT OF EDUCATION IN ARCHITECTURE"|"30000.0000"
"04-6064025"|"THE ROSS WEBB FUND"|"63361"|"1267521"|"CASH DONATIONS TO ORGANIZED CHARITIES"|"62140.0000"
"04-6067737"|"ABRAHAM KAPLAN CHARITABLE FOUNDATION"|"63362"|"1267523"|"GRANTS TO CHARITABLE ORGANIZATIONS THAT QUALIFY UNDER SECTION 501(C)(3)"|"125750.0000"
"04-6125606"|"The George F & Sybil H Fuller Foundation"|"63363"|"1267543"|"Contributions, gifts and grants provided to 94 organizations in 2012"|"2907049.0000"
"04-6125606"|"The George F & Sybil H Fuller Foundation"|"63364"|"1267543"|"Related administrative expenses"|"150532.0000"
"04-6139356"|"JESSIE GORDON SHERMAN TR. U/W"|"63365"|"1267548"|"NET INCOME IS PAID TO FAMILY SERVICE OF GREATER BOSTON, A CHARITABLE ORGANIZATION DESCRIBED IN SECTION 501(C) (3) OF THE INTERNAL REVENUE CODE"|"85665.0000"
"04-6144732"|"ANNA B. STEARNS CHARITABLE FOUNDATION, INC."|"63366"|"1267551"|"THE FOUNDATION MAKES GRANTS TO CHARITABLE ORGANIZATIONS 43 GRANTS WERE MADE IN 2012"|"506765.0000"
"04-6173271"|"Clinton O & Lura Jones Memorial Trust"|"63367"|"1267555"|"College Scholarships to Individuals and Universities"|"37000.0000"
"04-6257543"|"TRUST U/W EDWIN S. FARMER"|"63368"|"1267571"|"ONLY ACTIVITIES ARE ADMINISTRATION, INCLUDING OUTREACH TO POSSIBLE ELDERLY RECIPIENTS THROUGH COUNCIL OF AGING, HOUSING AUTHORITY, AND HOUSING CORPORATION OF ARLINGTON, CONSIDERATION OF APPLICATIONS FOR BENEFITS, MANAGING THE INVESTMENTS, AND DISTRIBUTION TO BENEFICIARIES."|"0.0000"
"04-6737675"|"THE MARNEEGIL CHARITABLE FDN"|"63369"|"1267610"|"THE FOUNDATION PROVIDES GRANTS FOR CHARITABLE, SCIENTIFIC, RELIGIOUS, LITERARY OR EDUCATIONAL PURPOSES."|"60000.0000"
"04-6745184"|"JOHN & BARBARA GIUGGIO FDN"|"63370"|"1267613"|"GRANTS WERE MADE FOR RELIGIOUS, CHARITABLE, SCIENTIFIC, LITERARY OR EDUCATIONAL PURPOSES"|"25726.0000"
"04-6828957"|"JOSEPH & KATHERINE O' CHARITABLE TRUST"|"63372"|"1267620"|"NO ACTIVITY OTHER THAN MAKING GRANTS"|"0.0000"
"05-0398850"|"KILMARTIN CHARITABLE CORPORATION"|"63374"|"1267646"|"SEE ATTACHED SCHEDULE OF CHARITABLE CONTRIBUTIONS PAID. CHARITABLE CORPORATION MAKES DONATIONS TO OTHER TAX-EXEMPT ORGANIZATIONS TO HELP FURTHER THEIR TAX-EXEMPT FUNCTIONS. THE FOUNDATION DOES NOT HAVE SIGNIFICANT INVOLVEMENT WITH OR OPERATIONAL CONTROL OVER ANY OF THESE CHARITABLE ORGANIZATIONS."|""
"05-0466295"|"TRUST U/W DIANA S ADELSON"|"63375"|"1267650"|"CONDUCTS NO DIRECT CHARITABLE ACTIVITIES BUT MAKES CONTRIBUTIONS TO 501(C) (3) ORGANIZATIONS."|"0.0000"
"04-3340251"|"CITIZENS PROGRAMS CORPORATION"|"63885"|"1278272"|"ASSISTANCE IS GIVEN TO ELIGIBLE INDVIDUALS AND SELECTED CHARITABLE ORGANIZATIONS."|"47951010.0000"
"04-3466803"|"NORTH EAST ROOFING EDUCATIONAL FOUNDATION, INC."|"63886"|"1278273"|"THE FOUNDATION WAS ORGANIZED TO PROVIDE FINANCIAL ASSISTANCE TO STUDENTS SEEKING POST-SECONDARY EDUCATION IN COLLEGE OR VOCATIONAL PROGRAMS."|"32500.0000"
"04-3484554"|"SIRAD FOUNDATION INC"|"63993"|"1278314"|"The Foundation makes grants to public charities to improve educational opportunities, for religious purposes, to encourage cultural enrichment and support activities which benefit poor and low income working people"|"107833.0000"
"04-3666136"|"C&Y FOUNDATION, INC."|"64829"|"1273959"|"AMERICAN FRIENDS OF MESHI"|"150000.0000"
"04-3666136"|"C&Y FOUNDATION, INC."|"64830"|"1273959"|"UNITED MOSDOS TORA VYIRA"|"170000.0000"
"04-3666136"|"C&Y FOUNDATION, INC."|"64831"|"1273959"|"MECHON LHORAA"|"110000.0000"
"04-3666136"|"C&Y FOUNDATION, INC."|"64832"|"1273959"|"BNEI YERUSHALAYIM"|"120000.0000"
"04-6035227"|"CABOT CORPORATION FOUNDATION"|"64943"|"1284377"|"FIDELITY CHARITABLE GIFT FUND Donor-advised fund"|"650000.0000"
"04-6035227"|"CABOT CORPORATION FOUNDATION"|"64944"|"1284377"|"JAPAN PLATFORM (JPF) Funding towards the Japan relief efforts"|"100000.0000"
"04-6035227"|"CABOT CORPORATION FOUNDATION"|"64945"|"1284377"|"CHINA FOUNDATION FOR DISABLED PERSONS Funding to support the China Foundation for Disabled Persons gift of Sight program."|"79650.0000"
"04-6035227"|"CABOT CORPORATION FOUNDATION"|"64946"|"1284377"|"MIYAGI PREFECTURE Funding towards the Japan relief efforts"|"75000.0000"
"01-0718949"|"CIVITELLA RANIERI FOUNDATION, INC."|"65057"|"1274608"|"THE PURPOSE OF THE FOUNDATION IS TO MAINTAIN AN ARTISTS' RESIDENCY PROGRAM AT THE CIVITELLA RANIERI CASTLE IN UMBERTIDE, UMBRIA ITALY. IT PROVIDES A SETTING WHERE VISUAL ARTISTS, WRITERS & MUSICIANS FROM ALL PARTS OF THE WORLD MAY DEVELOP THEIR ART & EXCHANGE IDEAS WHILE BENEFITING FROM THE ATMOSPHERE OF THE CASTLE AND FROM ITALY'S RICH CULTURAL HERITAGE."|"1117512.0000"
"01-6186903"|"MERCE CUNNINGHAM TRUST"|"65058"|"1274611"|"THE MERCE CUNNINGHAM TRUST CULTIVATES AND PROMOTES PUBLIC INTEREST IN THE FIELD OF DANCE, AND PROMOTES AND ENCOURAGES TALENT AND ABILITY IN THE CHOREOGRAPHY AND CREATION OF, AS WELL AS THE PERFORMANCE OF, WORKS IN THE FIELD OF DANCE BY PRESERVING, ENHANCING AND MAINTAINING THE INTEGRITY OF THE CHOREOGRAPHIC AND OTHER ARTISTIC WORKS OF MERCE CUNNINGHAM AND BY MAKING SUCH WORKS AVAILABLE FOR THE BENEPIT OF THE PUBLIC."|"556942.0000"
"04-2103815"|"MARTHAS VINEYARD CAMP-MEETING ASSOCIATION"|"65060"|"1274616"|"MUSEUM STORE"|"90446.0000"
"04-2103815"|"MARTHAS VINEYARD CAMP-MEETING ASSOCIATION"|"65061"|"1274616"|"SPIRITUAL LIFE"|"14409.0000"
"04-2103815"|"MARTHAS VINEYARD CAMP-MEETING ASSOCIATION"|"65062"|"1274616"|"MAINTENANCE OF HISTORIC SITE"|"743572.0000"
"04-2105936"|"MASON-WRIGHT FOUNDATION, INC."|"65063"|"1274617"|"THE FOUNDATION PROVIDES HOUSING AND DAILY LIVING SERVICES FOR SENIORS."|"286361.0000"
"04-3196041"|"FIELDS POND FOUNDATION. INC"|"65064"|"1274618"|"GRANT MAKING ONLY"|"0.0000"
"04-6039660"|"EDWARD BANGS KELLEY AND ELZA KELLEY FND, INC."|"65065"|"1274628"|"CAPE COD HEALTHCARE FOUNDATION FALMOUTH PREVENTION FOUNDATION"|"25000.0000"
"04-6039660"|"EDWARD BANGS KELLEY AND ELZA KELLEY FND, INC."|"65066"|"1274628"|"GOSNOLD, INC YOUNG ADULT OPIATE RECOVERY PROGRAM"|"25000.0000"
"04-6039660"|"EDWARD BANGS KELLEY AND ELZA KELLEY FND, INC."|"65067"|"1274628"|"COMMUNITY HEALTH CENTER OF CAPE COD FALMOUTH PREVENTION"|"25000.0000"
"04-6039660"|"EDWARD BANGS KELLEY AND ELZA KELLEY FND, INC."|"65068"|"1274628"|"HOPEHEALTH, INC. MCCARTHY CARE CENTER EXPANSION"|"20000.0000"
"03-6007034"|"TRUSTEES OF CHESTER ACADEMY 2726"|"65270"|"1275449"|"THE POUNDATION PROVIEDS SCHOLASHIPS TO GRADUATES OF HIGH SCHOOLS IN THE CHESTER, VT AREA, TO FURTHER THEIR EDUCATION."|""
"04-6003671"|"HENRY 0. PEABODY SCHOOL FOR GIRLS"|"65271"|"1275456"|"SCHOLARSHIP SUPPORT FOR WOMEN IN NORFOLK COUNTY FOR POST HIGH SCHOOL INSTRUCTION"|"139000.0000"
"04-6056367"|"ASSOCIATION FOR THE RELIEF OF AGED WOMEN OF NEW BEDFORD"|"65273"|"1275459"|"THE ORGANIZATION AIDES AGED WOMEN AND OTHER EXEMPT ORGANIZATIONS BY FURNISHING FINANCIAL ASSISTANCE AND RELIEF"|"771509.0000"
"04-3414102"|"WILLIAM LOWELL PUTNAM PRIZE FUND FOR THE PROMOTION OF SCHOLARSHIP"|"65315"|"1275861"|"THE PUTNAM PRIZE FUND PROVIDES FUNDS FOR MATHEMATICS COMPETITION UNDER THE SUPERVISION OF THE MATHEMATICS ASSN OF AMERICA AND AWARDS PRIZES TO INDIVIDUALS & THEIR SCHOOLS"|"107750.0000"
"04-3414102"|"WILLIAM LOWELL PUTNAM PRIZE FUND FOR THE PROMOTION OF SCHOLARSHIP"|"65316"|"1275861"|"THE FUND ALSO MAKES CONTRIBUTIONS TO VARIOUS COLLEGES AND OTHER EDUCATIONAL INSTITUTIONS AS SELECTED BY ITS TRUSTEES AND APPROVAL OF THE COMMISSIONER."|""
"04-6705444"|"CHELONIAN RESEARCH FOUNDATION"|"65317"|"1275862"|"PUBLICATION COSTS OF SCIENTIFIC JOURNAL AND BOOKS INCLUDING CHELONIAN CONSERVATION & BIOLOGY JOURNAL"|"3775.0000"
"04-6705444"|"CHELONIAN RESEARCH FOUNDATION"|"65318"|"1275862"|"SCIENTIFIC RESEARCH OF FOUNDATION INCLUDING TRAVEL TO SCIENTIFIC CONFERENCES."|"16090.0000"
"04-6705444"|"CHELONIAN RESEARCH FOUNDATION"|"65319"|"1275862"|"PROGRAM FUNDING THROUGH CHELONIAN RESEARCH FOUNDATION FUNDING MARINE TRUTLE SPECIALIST GROUP PROGRAM AND RESEARCH AND TORTDISE AND PRESHWATER TURTLE SPECIALIST GROUP AND TURTLE CONKERISATION FUND AND EASTERN BOX TURTLE CONSTERIMATION TRUST"|"176905.0000"
"02-0406835"|"NASH FOUNDATION, INC."|"65464"|"1276398"|"EASTER SEALS OF NH"|"4000.0000"
"02-0406835"|"NASH FOUNDATION, INC."|"65465"|"1276398"|"HOME HEALTH AND HOSPICE"|"2000.0000"
"02-0406835"|"NASH FOUNDATION, INC."|"65466"|"1276398"|"BOYS AND GIRLS CLUB"|"2000.0000"
"02-0406835"|"NASH FOUNDATION, INC."|"65467"|"1276398"|"HUDSON OLD HOME DAYS"|"2000.0000"
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"65468"|"1276400"|"INDIVIDUAL GRANTS FOR EXTRACURRICULAR ACTIVITIES"|"61453.0000"
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"65469"|"1276400"|"INDIVIDUAL GRANTS FOR SCHOLARSHIPS"|"20250.0000"
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"65470"|"1276400"|"INDIVIDUAL GRANTS FOR SUMMER CAMPS"|"27363.0000"
"01-0744075"|"Networks, Electronic Commerce and Telecommunications Institute"|"65505"|"1276847"|"In 2012, the NET Institute funded 52 researchers (see attachment B). The funded research added to the cutting edge knowledge and understanding of the economics of network industries, telecommunications, electronic commerce and of virtual networks. The NET Institute sponsored a conferencei n New York on 4/20/12 where the funded research will be presented."|"123750.0000"
"02-0268498"|"GOULDER FAMILY FOUNDATION"|"65506"|"1276848"|"All wire transfers from Oppenheimer Acc't"|"95000.0000"
"02-6115326"|"The Bagan Foundation"|"65554"|"1276984"|"SEE STATMENT 5"|"18000.0000"
"02-6115326"|"The Bagan Foundation"|"65555"|"1276984"|"THE FOUNDATION'S PURPOSE IS TO OPERATE EXCLUSIVELY FOR CHARITABLE, RELIGIOUS, SCIENTIFIC, LITERARY, OR EDUCATIONAL PURPOSES PER CODE SEC. 170(C)(2). PRINCIPAL ACTIVITY IS TO SUPPORT FINANCIALLY, CHARITABLE ORGNIZATIONS PRIMARILY LOCAL TO CONCORD, NH AND SURROUNDING COMMUNITITES."|""
"03-0547269"|"THE SYKORA FAMILY CHARITABLE FOUNDATION"|"65556"|"1276987"|"DOMINICA FOUNDATION 14 SBARS BLVD MOORESTOWN, NJ 08057"|"6000.0000"
"03-0547269"|"THE SYKORA FAMILY CHARITABLE FOUNDATION"|"65557"|"1276987"|"BOY SCOUTS OF AMERICA SOUTHERN COUNCIL DEPTFORD, NJ"|"3050.0000"
"03-0547269"|"THE SYKORA FAMILY CHARITABLE FOUNDATION"|"65558"|"1276987"|"UNIVERSITY OF DELAWARE HULLIHEN HALL NEWARK, DE"|"5000.0000"
"03-0547269"|"THE SYKORA FAMILY CHARITABLE FOUNDATION"|"65559"|"1276987"|"SANFORD SCHOOL PO BOX 888 HOCKESSIN, DE"|"5000.0000"
