"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"INVESTMENTS_GOV_FAIR_MARKET"|"INVESTMENTS_STOCKS_FAIR_MARKET"|"INVESTMENTS_BONDS_FAIR_MARKET"|"INVESTMENTS_DEPRECIATION_FAIR_MARKET"|"INVESTMENTS_LOANS_FAIR_MARKET"|"INVESTMENTS_OTHER_FAIR_MARKET"|"LAND_DEPRECIATION_FAIR_MARKET"|"OTHER_ASSETS_FAIR_MARKET"|"TOTAL_ASSETS_BOOK"|"TOTAL_ASSETS_FAIR_MARKET"|"TOTAL_LIABILITIES"|"CASH_NONINT"|"SAV_TEMPCASH"
"01-6027530"|"ABNER E MORISON TRUST FUND"|"1076327"|""|""|""|""|""|"2164360.0000"|""|""|"1994743.0000"|"2164360.0000"|""|""|""
"01-6042302"|"JOHN B CROCKETT TRUST"|"1076328"|"114885.0000"|"1161019.0000"|""|""|""|"54.0000"|""|""|"1152871.0000"|"1285556.0000"|""|""|"9598.0000"
"01-6044693"|"H CARVER TR FBO GOODALL HOSP-CARVER"|"1076329"|""|"1394726.0000"|"261011.0000"|""|""|""|""|""|"1634889.0000"|"1720640.0000"|""|""|"64903.0000"
"01-6070365"|"M. MCKENNEY & E. W. BOOKER EDUCATION TR."|"1076330"|""|"4071709.0000"|"317673.0000"|""|""|""|"4665662.0000"|""|"3333584.0000"|"4665662.0000"|"1229.0000"|""|"276280.0000"
"01-6072828"|"THOMAS MARION & RUTH TR FBO GOODALL"|"1076331"|""|"1275235.0000"|"240931.0000"|""|""|""|""|""|"1498909.0000"|"1577036.0000"|""|""|"60870.0000"
"01-6102905"|"MARY T. & CURTIS LOVILL TRUST"|"1076332"|""|"429047.0000"|""|""|""|""|""|""|"431964.0000"|"431964.0000"|"0.0000"|""|"2917.0000"
"01-6135476"|"BREWER & MCKAY SCHOLARSHIP PFDN 10 - 101230378020"|"1076333"|""|""|""|""|""|"360547.0000"|""|""|"341845.0000"|"360547.0000"|""|""|""
"02-0331198"|"RANNIE WEBSTER FOUNDATION"|"1076334"|""|"1588280.0000"|""|""|""|""|"4685271.0000"|"213826.0000"|"6319224.0000"|"8332310.0000"|"1527697.0000"|""|"1401550.0000"
"02-0474928"|"LINWOOD EDUCATIONAL TRUST FUND, INC"|"1076335"|""|"150439.0000"|""|""|""|""|""|""|"146213.0000"|"150439.0000"|"0.0000"|""|""
"02-0534424"|"THE MICHAEL & HELEN SCHAFFER FOUNDATION"|"1076336"|"10245592.0000"|""|""|""|""|""|""|""|"9303586.0000"|"10811896.0000"|"0.0000"|""|"566304.0000"
"02-6061000"|"LEON M & HAZEL F FITCH TR FBO CHESHIRE HEATLH FDN 3035010314"|"1076337"|""|""|""|""|""|"2361684.0000"|""|""|"2122926.0000"|"2378074.0000"|""|""|"16390.0000"
"03-0345055"|"GEORGE W. MERGENS FOUNDATION"|"1076339"|"68819.0000"|""|""|""|""|"9309342.0000"|"2882.0000"|""|"8951271.0000"|"9904872.0000"|"164.0000"|""|"523829.0000"
"03-0496899"|"THE MOORE FAMILY FOUNDATION"|"1076340"|""|""|""|""|""|""|""|""|"738782.0000"|"762624.0000"|"0.0000"|"4448.0000"|"758176.0000"
"03-6007183"|"FLECTHER FARM FOUNDATION, INC."|"1076341"|"548178.0000"|"1670039.0000"|"394094.0000"|""|""|""|"1350000.0000"|""|"3711805.0000"|"4160510.0000"|"1200.0000"|"12293.0000"|"65906.0000"
"03-6016628"|"MERCHANTS BANK FOUNDATION, INC."|"1076343"|""|""|""|""|""|"1316398.0000"|""|""|"1153883.0000"|"1341750.0000"|"0.0000"|""|"25352.0000"
"03-6088605"|"FRANK & ELLEN COBB MEMORIAL SCHOLARS"|"1076344"|""|"1584088.0000"|""|""|""|""|""|""|"1646137.0000"|"1746723.0000"|""|""|"162635.0000"
"03-6117463"|"JAMES F KELLY AND FERNANDE KELLY CHARITANLE TR 429823016"|"1076345"|""|"152919.0000"|"113104.0000"|""|""|""|""|""|"254955.0000"|"269113.0000"|""|""|"3090.0000"
"04-2111219"|"Newburyport Society for the Relief of Aged Men"|"1076346"|""|"9820472.0000"|"537501.0000"|""|""|""|"49163.0000"|""|"5873172.0000"|"10999316.0000"|""|"0.0000"|"585465.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"1076347"|"1201584.0000"|""|""|""|""|"85496529.0000"|"10137.0000"|"7044051.0000"|"93950109.0000"|"93950109.0000"|"1916913.0000"|"36045.0000"|"123966.0000"
"04-2203700"|"JOSIAH WILLARD HAYDEN RECREATION CENTRE, INC."|"1076348"|"967795.0000"|"6178009.0000"|"2263700.0000"|""|""|"6926563.0000"|"5676711.0000"|""|"22209352.0000"|"22209349.0000"|"2536.0000"|"196571.0000"|""
"04-2648729"|"SWEATT WILLIAM H TR U/WILL"|"1076349"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"1430743.0000"|"0.0000"|"0.0000"|"1260834.0000"|"1440483.0000"|"0.0000"|""|"9740.0000"
"04-2679904"|"STEPHEN J. MEOLI MEMORIAL FOUNDATION"|"1076350"|""|"412825.0000"|""|""|""|""|""|""|"146302.0000"|"429659.0000"|""|""|"16834.0000"
"04-2680681"|"ALBERT E. MARKS CHARITABLE TRUST"|"1076351"|""|"4361.0000"|"661023.0000"|""|""|"0.0000"|""|""|"618963.0000"|"689679.0000"|"0.0000"|"1.0000"|"24294.0000"
"04-2775692"|"HART FOUNDATION"|"1076352"|""|""|""|""|""|"508551.0000"|""|""|"452582.0000"|"510967.0000"|"10000.0000"|""|"2416.0000"
"04-3216632"|"CATHERINE & PAUL BUTTENWIESER FOUNDATION"|"1076354"|""|"104743.0000"|""|""|""|""|""|""|"39835.0000"|"138619.0000"|"0.0000"|""|"33876.0000"
"04-3226725"|"KARP FAMILY FOUNDATION, STEPHEN R. AND JILL E. KARP, TRUSTEES"|"1076355"|""|"0.0000"|""|""|""|"2844747.0000"|""|""|"3342165.0000"|"3495790.0000"|"0.0000"|""|"651043.0000"
"04-3340295"|"THE WALLACE FAMILY FOUNDATION"|"1076358"|""|"1414469.0000"|""|""|""|""|""|""|"1103274.0000"|"1436541.0000"|"0.0000"|""|"22072.0000"
"04-3357627"|"MARTIN SALOMON MORTON AND GUSTEL SCHREIBER MORTON FOUNDATION"|"1076359"|""|""|""|""|""|"633242.0000"|"1377.0000"|""|"678705.0000"|"740583.0000"|"0.0000"|"3564.0000"|"102400.0000"
"04-3435338"|"FLORENCE E SEELEY EDUCATION FDTN+"|"1076360"|""|"4362060.0000"|""|""|""|""|""|""|"4385544.0000"|"4553323.0000"|""|""|"191263.0000"
"04-3446684"|"THE BADDOUR FAMILY FOUNDATION"|"1076361"|""|"1445688.0000"|"636660.0000"|""|""|""|""|""|"1907160.0000"|"2134687.0000"|"4000.0000"|"44315.0000"|""
"04-3464255"|"F. Felix Foundation"|"1076362"|""|"3495699.0000"|"0.0000"|""|""|"151958.0000"|""|"0.0000"|"4518703.0000"|"4518703.0000"|"2139.0000"|""|"871046.0000"
"04-3492839"|"Savage Family Foundation"|"1076364"|""|""|""|""|""|"2194154.0000"|""|""|"2778192.0000"|"2984417.0000"|"0.0000"|"790263.0000"|""
"04-3731472"|"ELIZABETH S BLACK CHARITABLE TRUST PNC BANK NA"|"1076365"|""|"5891754.0000"|"2781685.0000"|""|""|"267923.0000"|""|""|"7740771.0000"|"9160024.0000"|"0.0000"|""|"218662.0000"
"04-6008242"|"J F&W S SCHOELLKOPF FDN BANK OF AMERICA"|"1076368"|""|"20991139.0000"|""|""|""|""|""|""|"20895053.0000"|"21805416.0000"|""|""|"814277.0000"
"04-6008252"|"CHARLES W. HOLTZER FUND NO.3"|"1076369"|"54109.0000"|"3376959.0000"|"257002.0000"|""|""|""|""|""|"3470355.0000"|"3845167.0000"|""|"-23687.0000"|"180784.0000"
"04-6008332"|"ANDREW W PRESTON CHARITY FD TR"|"1076370"|""|"729827.0000"|""|""|""|""|""|""|"704618.0000"|"734685.0000"|""|""|"4858.0000"
"04-6008355"|"GEORGE E. BARNARD TRUST"|"1076371"|""|"1888613.0000"|""|""|""|"150283.0000"|""|""|"2146891.0000"|"2180006.0000"|""|""|"141110.0000"
"04-6008364"|"ALMIRA N SIMONS TRUST"|"1076372"|""|"821917.0000"|""|""|""|"46203.0000"|""|""|"898428.0000"|"911906.0000"|""|""|"43786.0000"
"04-6008387"|"HENRY HERBERT SMYTHE TRUST"|"1076373"|""|"1613096.0000"|""|""|""|"109013.0000"|""|""|"1813215.0000"|"1838238.0000"|""|""|"116129.0000"
"04-6008408"|"LEROY M BICKFORD TRUST"|"1076374"|""|"369853.0000"|""|""|""|""|""|""|"389081.0000"|"393936.0000"|""|""|"24083.0000"
"04-6008443"|"BERNARD W DOYLE TRUST"|"1076375"|""|"2417909.0000"|""|""|""|""|""|""|"2365952.0000"|"2496707.0000"|""|""|"78798.0000"
"04-6008674"|"FLORIAN O. BAUTLETT TRUST"|"1076376"|""|"796265.0000"|""|""|""|"45458.0000"|""|""|"887074.0000"|"900759.0000"|""|""|"59036.0000"
"04-6008730"|"EDWIN M. THAYER TRUST"|"1076377"|""|"2368621.0000"|""|""|""|"188456.0000"|""|""|"2693446.0000"|"2734971.0000"|""|""|"177894.0000"
"04-6009000"|"FREDERICK H JONES"|"1076378"|""|"2226026.0000"|""|""|""|"177128.0000"|""|""|"2534170.0000"|"2573050.0000"|""|""|"169896.0000"
"04-6009066"|"FLORENCE L. MACKAY TRUST"|"1076379"|""|"1164978.0000"|""|""|""|"92694.0000"|""|""|"1325055.0000"|"1345476.0000"|""|""|"87804.0000"
"04-6009170"|"MARGARET M HURLEY RES TR"|"1076380"|""|"4408122.0000"|""|""|""|"350728.0000"|""|""|"4964812.0000"|"5041800.0000"|""|""|"282950.0000"
"04-6009247"|"JENNIE SEARS MCSHANE TRUST"|"1076381"|""|"1493161.0000"|""|""|""|"118792.0000"|""|""|"1680247.0000"|"1706480.0000"|""|"-10670.0000"|"105197.0000"
"04-6009254"|"IDA S. BARTER TRUST"|"1076382"|""|"1328620.0000"|""|""|""|"89711.0000"|""|"80019.0000"|"1511637.0000"|"1613174.0000"|""|""|"114824.0000"
"04-6009458"|"CHARLES H PEARSON TRUST"|"1076383"|""|"2435700.0000"|""|""|""|"164595.0000"|""|""|"2742829.0000"|"2780644.0000"|""|"-4449.0000"|"184798.0000"
"04-6011097"|"GEORGE W.P. MAGEE TRUST"|"1076384"|"153954.0000"|"5653938.0000"|"411884.0000"|""|""|""|""|""|"6569379.0000"|"7136515.0000"|""|""|"916739.0000"
"04-6011911"|"EARLE P CHARLTON TRUST"|"1076385"|""|"2300283.0000"|""|""|""|""|""|""|"2420763.0000"|"2302134.0000"|""|"-13170.0000"|"15021.0000"
"04-6011912"|"IDA S. CHARLTON FUND"|"1076386"|""|"2389458.0000"|""|""|""|""|""|""|"2339511.0000"|"2471029.0000"|""|""|"81571.0000"
"04-6011934"|"GENNIE B ROBINSON TRUST"|"1076387"|""|"1495787.0000"|""|""|""|"119596.0000"|""|""|"1690341.0000"|"1720158.0000"|""|""|"104775.0000"
"04-6012026"|"FRANK R PETERS TRUST"|"1076388"|""|"1329156.0000"|""|""|""|""|""|""|"1428504.0000"|"1569695.0000"|""|""|"240539.0000"
"04-6012091"|"EARLE P. CHARLTON TRUST"|"1076389"|""|"2434034.0000"|""|""|""|""|""|""|"2293084.0000"|"2446293.0000"|""|"-12791.0000"|"25050.0000"
"04-6019146"|"MAUDE-FRANCES CHILDREN'S FUND"|"1076391"|""|"537927.0000"|""|""|""|""|""|""|"573710.0000"|"556696.0000"|""|""|"18769.0000"
"04-6019793"|"ALICE W MILES T/U/W-WORC HS"|"1076392"|""|"286076.0000"|""|""|""|"18934.0000"|""|""|"334004.0000"|"330576.0000"|""|""|"25566.0000"
"04-6020426"|"CHARLES G PRINGLE FOUNDATION"|"1076393"|""|"2460886.0000"|"266844.0000"|""|""|""|""|""|"2564493.0000"|"2786595.0000"|""|""|"58865.0000"
"04-6024733"|"TTEE U/W OF CLARK HARWOOD"|"1076394"|""|"1970006.0000"|""|""|""|""|""|""|"2041544.0000"|"2099217.0000"|""|""|"129211.0000"
"04-6025910"|"THOMAS MINNS FUND"|"1076395"|""|"2287967.0000"|""|""|""|"184412.0000"|""|""|"2504264.0000"|"2613586.0000"|""|""|"141207.0000"
"04-6025922"|"F S PARMENTER B/O A C P U/W"|"1076396"|""|"808570.0000"|""|""|""|"26387.0000"|""|""|"856104.0000"|"891195.0000"|""|""|"56238.0000"
"04-6025957"|"MEMORIAL FUND"|"1076397"|""|"8938464.0000"|""|""|""|"144404.0000"|""|""|"8826908.0000"|"9316469.0000"|""|""|"233601.0000"
"04-6026051"|"CAROLINE FABENS-APPTD FD U/W"|"1076398"|""|"3957180.0000"|""|""|""|"143400.0000"|""|""|"4191634.0000"|"4439788.0000"|""|""|"339208.0000"
"04-6026213"|"TTEE U/D OF GEORGE NORMAN ALBREE +"|"1076399"|""|"444288.0000"|""|""|""|""|""|""|"432502.0000"|"449952.0000"|""|""|"5664.0000"
"04-6027776"|"CORNERSTONE FOUNDATION"|"1076400"|""|"1878606.0000"|""|""|""|"91859.0000"|""|""|"2008200.0000"|"2047339.0000"|""|""|"76874.0000"
"04-6033442"|"CALKINS FBO SALVATION ARMY UW FLEET NATIONAL BANK"|"1076402"|""|"1615867.0000"|""|""|""|""|""|""|"1597652.0000"|"1659130.0000"|""|""|"43263.0000"
"04-6033568"|"FLORENCE J TRYON TR UW"|"1076403"|""|"366253.0000"|""|""|""|""|""|""|"367244.0000"|"382380.0000"|""|""|"16127.0000"
"04-6033865"|"ARTHUR D. BUDD U/A"|"1076404"|""|"6591895.0000"|"531.0000"|""|""|"79847.0000"|""|""|"6602168.0000"|"6866954.0000"|""|""|"194681.0000"
"04-6041304"|"NEWBURYPORT HOWARD BENEVOLENT SOCIETY"|"1076405"|""|"2812427.0000"|""|""|""|""|""|""|"2254985.0000"|"3626085.0000"|"0.0000"|"8287.0000"|"805371.0000"
"04-6046234"|"HELEN G. BUDD MEMORIAL FUND"|"1076407"|""|"6716517.0000"|""|""|""|"79847.0000"|""|""|"6720452.0000"|"6989992.0000"|""|""|"193628.0000"
"04-6047134"|"CHRLES MONTAGUE CHARITABLE TR"|"1076408"|""|"1207189.0000"|""|""|""|"81509.0000"|""|""|"1371045.0000"|"1390530.0000"|""|""|"101832.0000"
"04-6051719"|"CLYDE PARK CHARITABLE FOUDNATION"|"1076410"|""|""|""|""|""|"452815.0000"|""|""|"431984.0000"|"461025.0000"|"0.0000"|"8210.0000"|""
"04-6054630"|"POMROY REBECCA FOUNDATION INC (CUST)"|"1076411"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"1869472.0000"|"0.0000"|"0.0000"|"620906.0000"|"1879534.0000"|"0.0000"|""|"10062.0000"
"04-6060558"|"TAZEWELL FOUNDATION"|"1076412"|""|"1139345.0000"|""|""|""|""|""|""|"878790.0000"|"1168720.0000"|""|""|"29375.0000"
"04-6069834"|"The Fragment Society"|"1076413"|""|"2468766.0000"|""|""|""|""|""|""|"2086207.0000"|"2479111.0000"|"104.0000"|"1835.0000"|"1536.0000"
"04-6089241"|"MABEL A. HORNE FUND FLEET NATIONAL BANK"|"1076414"|""|"5624360.0000"|""|""|""|""|""|""|"5683099.0000"|"6185000.0000"|""|""|"560640.0000"
"04-6089261"|"BEATRICE D PIERCE TRUST"|"1076415"|""|"507042.0000"|""|""|""|"28278.0000"|""|""|"559225.0000"|"566591.0000"|""|""|"31271.0000"
"04-6091333"|"BUSIEL FRANK E TR U/WILL"|"1076416"|"0.0000"|"0.0000"|"0.0000"|"1056061.0000"|""|"0.0000"|"0.0000"|"0.0000"|"969124.0000"|"1082024.0000"|"0.0000"|""|"25963.0000"
"04-6091358"|"CONANT WILLIAM H TR U/IND"|"1076417"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"4647956.0000"|"0.0000"|"0.0000"|"4167777.0000"|"4669617.0000"|"0.0000"|""|"21661.0000"
"04-6091664"|"SMITH TIMOTHY TR U/WILL"|"1076418"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"1659040.0000"|"0.0000"|"0.0000"|"1511885.0000"|"1669488.0000"|"0.0000"|""|"10448.0000"
"04-6091666"|"SMITH TIMOTHY TR U/WILL"|"1076419"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"14569203.0000"|"0.0000"|"0.0000"|"13257022.0000"|"14615933.0000"|"0.0000"|""|"46730.0000"
"04-6091682"|"STRAUSS PETER E TR U/WILL"|"1076420"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"2882951.0000"|"0.0000"|"0.0000"|"2550810.0000"|"2918071.0000"|"0.0000"|""|"35120.0000"
"04-6092559"|"REED FANNY B TR U/WILL"|"1076421"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"1660083.0000"|"0.0000"|"0.0000"|"1474002.0000"|"1698554.0000"|"0.0000"|""|"38471.0000"
"04-6092890"|"WHITNEY MARY D TR U/WILL"|"1076422"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"823689.0000"|"0.0000"|"0.0000"|"723675.0000"|"837469.0000"|"0.0000"|"13780.0000"|""
"04-6092957"|"AUNCE EDWARD P TR U/WILL"|"1076423"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"2841220.0000"|"0.0000"|"0.0000"|"2617016.0000"|"2907803.0000"|"0.0000"|"66583.0000"|""
"04-6093047"|"WARREN FRANCES KNOWLES TP U/IND"|"1076424"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"1451558.0000"|"0.0000"|"0.0000"|"1332616.0000"|"1485124.0000"|"0.0000"|""|"33566.0000"
"04-6093280"|"PETHYBRIDGE HARRY M-TR"|"1076425"|"0.0000"|"0.0000"|"0.0000"|""|""|"2369528.0000"|"0.0000"|"0.0000"|"2128861.0000"|"2400902.0000"|"0.0000"|""|"31374.0000"
"04-6093316"|"EMERY GEORGIANA TR U/WILL"|"1076426"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"1922654.0000"|"0.0000"|"0.0000"|"1764133.0000"|"1950065.0000"|"0.0000"|"0.0000"|"27411.0000"
"04-6093516"|"WARREN FRANCES KNOWLES TR U/AGREE"|"1076428"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"1401346.0000"|"0.0000"|"0.0000"|"1289179.0000"|"1434555.0000"|"0.0000"|""|"33209.0000"
"04-6093518"|"WARREN FRANCES KNOWLES TR U/AGREE"|"1076429"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"1813974.0000"|"0.0000"|"0.0000"|"1667597.0000"|"1857178.0000"|"0.0000"|""|"43204.0000"
"04-6093554"|"EIGHTON EDWARD K TR U/WILL"|"1076430"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"3886440.0000"|"0.0000"|"0.0000"|"3580951.0000"|"3977447.0000"|"0.0000"|""|"91007.0000"
"04-6093555"|"LEIGHTON EDWARD K TR U/WILL"|"1076431"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"3791143.0000"|"0.0000"|"0.0000"|"3507664.0000"|"3902366.0000"|"0.0000"|""|"111223.0000"
"04-6093840"|"SNEATH DOROTHY MELCHER TR C/IND"|"1076432"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"4722009.0000"|"0.0000"|"0.0000"|"4747317.0000"|"4991029.0000"|"0.0000"|""|"269020.0000"
"04-6093897"|"CHASE ALICE P TR U/IND"|"1076433"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"6005206.0000"|"0.0000"|"0.0000"|"5345020.0000"|"6005391.0000"|"0.0000"|""|"185.0000"
"04-6094293"|"TR U/WILL COLMAN BLANCHE E"|"1076434"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"487928.0000"|"0.0000"|"0.0000"|"447241.0000"|"498014.0000"|"0.0000"|""|"10086.0000"
"04-6096914"|"RUSSELL W S UW BEN G A RUSSELL"|"1076435"|""|"1063515.0000"|""|""|""|""|""|""|"1313556.0000"|"1339165.0000"|""|""|"275650.0000"
"04-6096926"|"COX CHARLES M U IND DTD 12 31 34"|"1076436"|""|"341347.0000"|""|""|""|"23059.0000"|""|""|"394793.0000"|"400082.0000"|""|""|"35676.0000"
"04-6137368"|"WILLIAM L PULLEN TRUST"|"1076437"|""|"1152626.0000"|""|""|""|"86757.0000"|""|""|"1286189.0000"|"1326779.0000"|""|""|"87396.0000"
"04-6154761"|"ELIZABETH TANNATT BUFFUM U/A"|"1076438"|""|"1646016.0000"|""|""|""|"126473.0000"|""|""|"1872806.0000"|"1888426.0000"|""|""|"115937.0000"
"04-6171963"|"HORACE C HUNT MEMORIAL FOUNDATION"|"1076439"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"3807139.0000"|"0.0000"|"0.0000"|"3866047.0000"|"3924782.0000"|"0.0000"|""|"117643.0000"
"04-6173120"|"TEKULSKY ANNA HARVEY TR U/DECL"|"1076440"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"501140.0000"|"0.0000"|"0.0000"|"402563.0000"|"513701.0000"|"0.0000"|"12561.0000"|""
"04-6191561"|"TRASK JOSEPHINE B IRR TR DTD 7/24/68"|"1076441"|""|"1548942.0000"|""|""|""|""|""|""|"1648450.0000"|"1696679.0000"|""|""|"147737.0000"
"04-6197659"|"JOAN GOODSPEED TR/U/W"|"1076442"|""|"2891453.0000"|""|""|""|"195397.0000"|""|""|"3257779.0000"|"3302669.0000"|""|""|"215819.0000"
"04-6237788"|"PRINCE LUCINDA WYMAN TR U/WILL"|"1076443"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"3164226.0000"|"0.0000"|"0.0000"|"2909286.0000"|"3214605.0000"|"0.0000"|"50379.0000"|""
"04-6240765"|"ROSE KNOOP"|"1076444"|""|"9117645.0000"|""|""|""|"579449.0000"|""|""|"10295296.0000"|"10368405.0000"|""|""|"671311.0000"
"04-6246000"|"BAYLEY HARRIET B TR U/IND"|"1076445"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"1456874.0000"|"0.0000"|"0.0000"|"1340357.0000"|"1488171.0000"|"0.0000"|"31297.0000"|""
"04-6384106"|"BURROUGHS HARRY F TR U/IND"|"1076446"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"2625078.0000"|"0.0000"|"0.0000"|"2371027.0000"|"2638271.0000"|"0.0000"|""|"13193.0000"
"04-6384971"|"FOX MARION TR U/WILL ART4"|"1076447"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"969985.0000"|"0.0000"|"0.0000"|"896839.0000"|"1012081.0000"|"0.0000"|""|"42096.0000"
"04-6418554"|"BETSEY W. TABER TR/U/W+"|"1076448"|""|"481625.0000"|""|""|""|"26844.0000"|""|""|"528031.0000"|"535068.0000"|""|""|"26599.0000"
"04-6423442"|"TOMPKINS EDNA H TR U/WILL"|"1076449"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"1424261.0000"|"0.0000"|"0.0000"|"1305869.0000"|"1430989.0000"|"0.0000"|""|"6728.0000"
"04-6477185"|"MEYER HAROLD F TR U/AGREE"|"1076450"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"1719973.0000"|"0.0000"|"214816.0000"|"1688565.0000"|"1944296.0000"|"0.0000"|""|"9507.0000"
"04-6508843"|"TTEE U/W OF AMANDA BESSE"|"1076451"|""|"1326315.0000"|""|""|""|""|""|""|"1241741.0000"|"1371915.0000"|""|""|"45600.0000"
"04-6595469"|"SHAUGHNESSY CHARITABLE TRUST"|"1076452"|""|"900576.0000"|""|""|""|""|""|""|"659596.0000"|"906308.0000"|""|""|"5732.0000"
"04-6607402"|"BEN & ZELMA DORSON CHRTBLE FNDN IMA 1-04015"|"1076453"|""|"649343.0000"|"63281.0000"|""|""|""|""|""|"557226.0000"|"834551.0000"|""|""|"121927.0000"
"04-6747335"|"BEMIS-TRUST IN DIVERSITY, THOMAS E. PECKHAM, TRUSTEE"|"1076454"|"4165807.0000"|"4323115.0000"|""|""|""|"423495.0000"|""|""|"8326878.0000"|"9496508.0000"|"0.0000"|""|"584091.0000"
"04-6749251"|"FIELDS/HANNAGAN/WALTERS FNDN"|"1076455"|""|"239315.0000"|""|""|""|""|""|""|"234016.0000"|"262179.0000"|""|""|"22864.0000"
"04-6822881"|"ALTURAS ENDOWMENT"|"1076456"|""|"350859.0000"|""|""|""|"1736432.0000"|""|"12.0000"|"1972873.0000"|"2197137.0000"|"1000.0000"|""|"109834.0000"
"04-6898402"|"Philippe Cittron Charitable Foundation Trust"|"1076457"|""|"0.0000"|""|""|""|""|""|""|"98194.0000"|"98194.0000"|"0.0000"|""|"98194.0000"
"04-6043096"|"MacPherson Fund Inc"|"1077460"|""|"459506.0000"|""|""|""|""|""|""|"1380694.0000"|"1408170.0000"|"44.0000"|"11487.0000"|"937177.0000"
"02-0738401"|"INTERNATIONAL OSTEOPOROSIS FOUNDATION - USA INC."|"1082138"|""|""|""|""|""|""|""|""|"190095.0000"|"190095.0000"|"5000.0000"|"190095.0000"|""
"04-3032409"|"BUTLER CONSERVATION FUND INC"|"1082140"|""|"77202138.0000"|""|""|""|"32078734.0000"|"295104.0000"|"2933481.0000"|"137168426.0000"|"137168426.0000"|"10332.0000"|"24658969.0000"|""
"02-6059690"|"WALDO & ALICE AYER TRUST 3035010252"|"1082328"|""|""|""|""|""|"749416.0000"|""|""|"730921.0000"|"787712.0000"|""|""|"38296.0000"
"02-6080902"|"Anne S Howells Charitable Trust"|"1082329"|""|"305255.0000"|"164443.0000"|""|""|""|""|""|"530466.0000"|"538462.0000"|"0.0000"|"68764.0000"|""
"04-2111388"|"The Fitch Home, Inc."|"1082332"|""|"4835830.0000"|"1390986.0000"|"836391.0000"|""|"2.0000"|""|""|"7265892.0000"|"7265891.0000"|"4717.0000"|""|"182432.0000"
"04-3400633"|"THE DURANT FAMILY FOUNDATION #0745364"|"1082342"|""|"3708612.0000"|""|""|""|""|""|""|"3402749.0000"|"3736377.0000"|"0.0000"|"256.0000"|"27509.0000"
"04-3496080"|"THE GREGORY FOUNDATION TRUST"|"1082347"|""|"1481224.0000"|""|""|""|""|""|""|"1385999.0000"|"1517221.0000"|"0.0000"|""|"35997.0000"
"04-6014190"|"SALEM FEMALE CHARITABLE SOCIETY"|"1082351"|""|"330284.0000"|"606.0000"|""|""|"530460.0000"|""|""|"819225.0000"|"892947.0000"|""|""|"31597.0000"
"04-6065495"|"NATHANIEL TAYLOR FUND, INC"|"1082353"|""|"234185.0000"|"174879.0000"|""|""|""|""|""|"365461.0000"|"422940.0000"|""|""|"13876.0000"
"04-6091533"|"LAWRENCE DANIEL W TR U/AGREE"|"1082354"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"1737895.0000"|"0.0000"|"0.0000"|"1555323.0000"|"1766055.0000"|"0.0000"|""|"28160.0000"
"04-6745180"|"THE IORIO CHARITABLE FOUNDATION"|"1082357"|""|"1892521.0000"|""|""|""|""|""|""|"1846194.0000"|"1975107.0000"|"0.0000"|""|"82586.0000"
"01-0617948"|"S O CHARITABLE TRUST"|"1083283"|""|""|""|""|""|"650000.0000"|""|""|"4334678.0000"|"4381385.0000"|"0.0000"|"1040385.0000"|""
"02-0747955"|"THE VINCENT AND CAROL W DEAN FAMILY CHARITABLE FOUNDATION"|"1083284"|"64718.0000"|"641092.0000"|"130045.0000"|""|""|""|""|""|"934130.0000"|"934130.0000"|"0.0000"|""|"98161.0000"
"04-3408722"|"THE UPSTREAM FOUNDATION"|"1083285"|""|"552757.0000"|"305039.0000"|""|""|"329955.0000"|""|"1140.0000"|"961895.0000"|"1188891.0000"|"28500.0000"|""|""
