"C_EIN"|"C_Org_Name"|"QUAL_DIST_XIII"|"EXCESS_DIST_CORPUS_XIII"|"EXCESS_DIST_CUR_YR_XIII"|"EXCESS_DIST_NEXT_YR_XIII"|"XML_DOCUMENT_ID"
"04-2104439"|"ENDOWMENT FOR BIBLICAL RESEARCH"|""|""|""|"1724580.0000"|"1411916"
"04-3118545"|"SWEET WATER TRUST"|"737701.0000"|"0.0000"|"0.0000"|"0.0000"|"1411919"
"01-0211537"|"OAK GROVE SCHOOL"|""|""|""|"119361.0000"|"1412304"
"01-6008547"|"THE HORACE WILLIAMS MEMORIAL FUND KENNEBEC SAVINGS BANK, AGENT FOR TRUSTEE"|"0.0000"|"686.0000"|"686.0000"|"6452.0000"|"1412307"
"04-2133244"|"THE FREDERICK E WEBER CHARITABLE CORP"|"0.0000"|"0.0000"|"0.0000"|"944990.0000"|"1412311"
"04-6093047"|"WARREN FRANCES KNOWLES TR U/IND"|""|"3180.0000"|"3180.0000"|"24039.0000"|"1412316"
"04-6093840"|"SHEATH DOROTHY MELCHER TR U/IND"|""|""|""|"96833.0000"|"1412317"
"04-6423442"|"TOMPKINS EDNA H TR U/WILL"|"64506.0000"|""|""|""|"1412320"
"04-6091346"|"CHICKERING CAROLINE E TR U/WILL"|""|"522.0000"|"522.0000"|"12044.0000"|"1412972"
"04-6091533"|"LAWRENCE DANIEL W TR U/AGREE"|""|"552.0000"|"552.0000"|"32958.0000"|"1412973"
"04-6091978"|"CONVERSE M I FBO HAHNEMANN FDN-TR"|""|""|""|"50848.0000"|"1412974"
"04-6092036"|"RICHARDS HELEN R TR U/WILL"|""|"39721.0000"|"39721.0000"|""|"1412975"
"01-0632648"|"FEATHER FOUNDATION INC"|"102253.0000"|"0.0000"|"0.0000"|"0.0000"|"1413932"
"01-0636574"|"GEORGEJACK & JOAN SHUSTER FOUNDATION"|"21056.0000"|""|""|"77873.0000"|"1413933"
"01-6209149"|"KENNETH LINDSAY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"266148.0000"|"1413943"
"02-0798199"|"TRUBRADOR FOUNDATION"|""|""|""|"87553.0000"|"1413953"
"02-6013556"|"CASEY FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"140467.0000"|"1413954"
"02-6170948"|"JERRY R JUNKINS FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"790346.0000"|"1413955"
"03-0577385"|"THE MCMASTER FAMILY FOUNDATION INC"|""|""|""|"6417.0000"|"1413963"
"04-3133049"|"RICHARD K & NANCY L DONAHUE CHAR FDTN"|"0.0000"|"0.0000"|"0.0000"|"3716694.0000"|"1413980"
"04-3425079"|"HOWELL FAMILY CHARITABLE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"59224.0000"|"1413990"
"04-3439357"|"THE JOHN J & SUSAN DORAN FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"542408.0000"|"1413991"
"04-3464855"|"THOMAS S GUNNING SCHOLARSHIP FOUNDATION INC"|""|""|""|"405729.0000"|"1413993"
"04-3479749"|"THE MILFORD NATIONAL CHARITABLE FOUNDATION INC"|"0.0000"|"0.0000"|"0.0000"|"126634.0000"|"1413994"
"04-3495449"|"EMILIE S WELLES FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"349810.0000"|"1413996"
"04-3526349"|"THE CROSS FOUNDATION"|"0.0000"|"84124.0000"|"84124.0000"|"24161.0000"|"1413998"
"04-3578370"|"NICHOLS VILLAGE INC"|""|""|""|"14473410.0000"|"1414002"
"04-6037026"|"THE SUDBURY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"383463.0000"|"1414008"
"04-6051258"|"ADELAIDE BREED BAYRD FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"3919026.0000"|"1414010"
"04-6063152"|"ROGERS FAMILY FOUNDATION"|"838490.0000"|"0.0000"|"0.0000"|"0.0000"|"1414012"
"04-6108949"|"WILLIAM H REISNER FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"177294.0000"|"1414013"
"04-6113249"|"BENJAMIN H KATZ FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"74754.0000"|"1414014"
"04-6875099"|"THE ROBERT AND MICHELLE COOKE ATCHINSON FOUNDATION"|"0.0000"|"240059.0000"|"240059.0000"|"0.0000"|"1414017"
"01-6070365"|"M. MCKENNEY & E. W. BOOKER EDUCATION TR."|"0.0000"|"0.0000"|"0.0000"|"88666.0000"|"1416293"
"02-0222149"|"TAYLOR COMMUNITY"|""|""|""|""|"1416296"
"02-6046966"|"ADELE GIFFORD RESIDUARY TRUST 360888010"|""|""|""|"151979.0000"|"1416310"
"04-1302043"|"FARNSWORTH LUCY C TR U/WILL"|""|""|""|"385427.0000"|"1416321"
"04-2105854"|"WORLD PEACE FOUNDATION"|""|""|""|""|"1416328"
"04-2133252"|"Hopedale Community House Inc"|""|""|""|""|"1416329"
"04-3420457"|"THE RICA CHARITABLE TRUST"|"0.0000"|"0.0000"|"0.0000"|"188545.0000"|"1416359"
"04-3464255"|"F. Felix Foundation"|"0.0000"|""|""|"202892.0000"|"1416360"
"04-6025957"|"FRANK M NOONAN F/B/O DEBORAH MUNROE NOONAN MEMORIAL FUND"|"387240.0000"|""|""|""|"1416364"
"04-6039361"|"FISHER AND FUEL SOCIETY OF BEVERLY"|"59085.0000"|"0.0000"|"0.0000"|"0.0000"|"1416365"
"04-6044784"|"ROSENFELD MAX C TR U/WILL"|"19466.0000"|""|""|""|"1416366"
"04-6046890"|"DEAN WELFARE TRUST-TR"|""|""|""|"41665.0000"|"1416368"
"04-6091358"|"CONANT WILLIAM H TR U/IND"|"218718.0000"|""|""|""|"1416370"
"04-6091592"|"PERMANENT SCIENCE FUND TR U/DECL"|""|""|""|"12654.0000"|"1416371"
"04-6091666"|"SMITH TIMOTHY TR U/WILL"|"702990.0000"|""|""|""|"1416372"
"04-6092496"|"WARREN FRANCES KNOWLES TR U/IND"|""|"11524.0000"|"11524.0000"|"74512.0000"|"1416373"
"04-6092559"|"REED FANNY B TR U/WILL"|""|"10838.0000"|"10838.0000"|""|"1416374"
"04-6092957"|"FAUNCE EDWARD P TR U/WILL"|""|"27244.0000"|"27244.0000"|"8730.0000"|"1416375"
"04-6093280"|"PETHYBRIDGE HARRY M-TR"|""|""|""|"22869.0000"|"1416376"
"04-6093555"|"LEIGHTON EDWARD K TR U/WILL"|""|""|""|"29955.0000"|"1416377"
"04-6093897"|"CHASE ALICE P TR U/IND"|""|""|""|"53973.0000"|"1416378"
"04-6094293"|"TR U/WILL COLMAN BLANCHE E"|""|""|""|"18818.0000"|"1416379"
"04-6237788"|"PRINCE LUCINDA WYMAN TR U/WILL"|""|"137.0000"|"137.0000"|"43847.0000"|"1416382"
"04-6477185"|"MEYER HAROLD TR U/AGREE"|""|""|""|"77671.0000"|"1416384"
"04-6595469"|"SHAUGHNESSY CHARITABLE TRUST"|""|""|""|"672281.0000"|"1416385"
"04-6740855"|"VERROCHI FAMILY CHARITABLE TRUST"|""|""|""|"561645.0000"|"1416386"
"04-6011097"|"GEORGE W.P. MAGEE TRUST"|""|""|""|"34373.0000"|"1418047"
"04-3473585"|"BARBARA LEE FAMILY FOUNDATION INC"|"0.0000"|"0.0000"|"0.0000"|"4092319.0000"|"1418232"
"02-0439653"|"DODGE SCHOLARSHIP FOR GIRLS"|""|"4816.0000"|"4816.0000"|"4425.0000"|"1419076"
"04-2104384"|"LEND A HAND SOCIETY"|"0.0000"|"0.0000"|"0.0000"|"268580.0000"|"1419079"
"04-2752893"|"HYDE CHARITABLE FOUNDATION"|"13476.0000"|"0.0000"|"0.0000"|"4087.0000"|"1419080"
"04-6036092"|"THEODORE EDSON PARKER FOUNDATION"|"0.0000"|"78653.0000"|"78653.0000"|"158470.0000"|"1419082"
"04-6039593"|"THE AARON FOUNDATION"|"0.0000"|"351526.0000"|"351526.0000"|"546158.0000"|"1419083"
"04-6092890"|"WHITNEY MARY D TR U/WILL"|""|"1256.0000"|"1256.0000"|"16486.0000"|"1419452"
"04-3236053"|"THE MORNINGSTAR FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"672782.0000"|"1420362"
"04-3448695"|"The Ludes Family Foundation"|"703.0000"|""|""|"3593.0000"|"1420363"
"04-6155696"|"THE ART COMPLEX INC"|""|""|""|""|"1420366"
"02-0331198"|"RANNIE WEBSTER FOUNDATION"|""|""|""|""|"1420627"
"02-6006398"|"GEORGE A WENTWORTH 1994 TRUST 5129150"|"61896.0000"|""|""|""|"1420629"
"04-6013598"|"BUSHROD H. CAMPBELL & ADAH F. HALL CHARITY FUND"|"825583.0000"|"0.0000"|"0.0000"|"0.0000"|"1420640"
"02-0519812"|"CENTENNIAL SENIOR CENTER, INC."|""|""|""|""|"1420869"
"02-0759145"|"DOWNEY-SHORT FOUNDATION"|"192316.0000"|"0.0000"|"0.0000"|"0.0000"|"1420870"
"03-0473333"|"JEROME A. YAVITZ CHARITABLE FOUNDATION, INC."|"839675.0000"|""|""|""|"1420871"
"03-6007183"|"FLECTHER FARM FOUNDATION, INC."|""|""|""|""|"1420872"
"04-3397681"|"TOWARDS SUSTAINABILITY FOUNDATION"|"562186.0000"|""|""|""|"1420874"
"04-6026314"|"ALFRED CHASE CHARITY FDN U/I"|"367601.0000"|""|""|""|"1420875"
"04-6036788"|"CHARLES H HOOD FUND"|"0.0000"|"0.0000"|"0.0000"|"275818.0000"|"1421342"
"04-2111388"|"The Fitch Home, Inc."|""|""|""|""|"1421383"
"04-6173120"|"TEKULSKY ANNA HARVEY TR U/DECL"|""|""|""|"4853.0000"|"1421384"
"03-0496899"|"THE MOORE FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"203527.0000"|"1421408"
"01-0683241"|"VOPICKA FAMILY FOUNDATION INC."|"0.0000"|"0.0000"|"0.0000"|"924182.0000"|"1422297"
"03-0463941"|"THE A M FOUNDATION F/K/A USHER AND MIRIAM MEISELS FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"1340439.0000"|"1422299"
"03-0485661"|"JUDSON FAMILY FOUNDATION, INC"|""|""|""|"404800.0000"|"1422300"
"04-2683042"|"PERKINELMER FOUNDATION"|""|"160558.0000"|"160558.0000"|"227203.0000"|"1422301"
"04-3360241"|"LUCY A COOLEDGE TUA"|"83401.0000"|""|""|""|"1422303"
"04-6008443"|"BERNARD W DOYLE TRUST"|"69066.0000"|""|""|""|"1422304"
"04-6022766"|"THE S.S. FORBES TEACHERS FUND"|"99967.0000"|"0.0000"|"0.0000"|"0.0000"|"1422305"
"04-6049543"|"GERMAN LADIES AID SOCIETY OF BOSTON, INC"|"0.0000"|"0.0000"|"0.0000"|"196615.0000"|"1422306"
"04-6050619"|"ANDOVER HOME FOR AGED PEOPLE"|"0.0000"|"16152.0000"|"16152.0000"|"26445.0000"|"1422307"
"04-6079166"|"Elisha V. Ashton Trust U/W"|""|"7945.0000"|"7945.0000"|"3475.0000"|"1422308"
"04-6091916"|"KELLY ROBERT H TR U/IND"|""|"28219.0000"|"28219.0000"|"73415.0000"|"1422309"
"04-6609917"|"THE KELSEY TRUST"|"193868.0000"|""|""|"0.0000"|"1422310"
"04-6745180"|"THE IORIO CHARITABLE FOUNDATION"|"90041.0000"|"0.0000"|"0.0000"|"0.0000"|"1422311"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"990445.0000"|"0.0000"|"0.0000"|"0.0000"|"1427679"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"0.0000"|"913643.0000"|"913643.0000"|"1668701.0000"|"1427680"
"04-6014190"|"SALEM FEMALE CHARITABLE SOCIETY"|"28173.0000"|""|""|""|"1427681"
"04-6033865"|"ARTHUR D BUDD U/A"|""|""|""|"259683.0000"|"1427682"
"01-0131950"|"PLANT MEMORIAL HOME"|""|""|""|""|"1429281"
"04-6013050"|"STEPHEN D AND SUSAN W PAINE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"509804.0000"|"1429282"
"04-6037650"|"CLARK CHARITABLE TRUST"|"0.0000"|"0.0000"|"0.0000"|"63770.0000"|"1429283"
"04-3250513"|"MARK S & DONNA LEVENTHAL FAMILY FOUNDATION INC"|""|"126810.0000"|"126810.0000"|"10749.0000"|"1435535"
"01-0211504"|"The Eunice Frye Home Foundation"|"52929.0000"|""|""|""|"1435569"
"01-0523143"|"Oxford Hills Scholarship Foundation"|""|""|""|"36999.0000"|"1435575"
"01-0561393"|"ROBERT HAYWOOD MORRISON FDN"|""|"225428.0000"|"225428.0000"|"768017.0000"|"1435576"
"01-0626611"|"WALTER PAYNE FOUNDATION"|"107491.0000"|"0.0000"|"0.0000"|"0.0000"|"1435577"
"01-6173503"|"EVELYN E. STRICKLIN SCHOLARSHIP FOUNDATION"|"0.0000"|"14001.0000"|"14001.0000"|"2072.0000"|"1435578"
"02-6059690"|"WALDO & ALICE AYER TRUST 5085010282"|"19790.0000"|""|""|""|"1435583"
"02-6080902"|"Anne S Howells Charitable Trust"|"8185.0000"|"0.0000"|"0.0000"|"0.0000"|"1435584"
"04-2104767"|"THE PEABODY FOUNDATION INC"|"573699.0000"|"0.0000"|"0.0000"|"0.0000"|"1435590"
"04-2111219"|"NEWBURYPORT SOCIETY FOR THE RELIEF OF AGED MEN"|""|""|""|"427125.0000"|"1435591"
"04-2306840"|"THE SWAN SOCIETY IN BOSTON INC"|""|""|""|""|"1435593"
"04-2738800"|"COSTAS AND MARY MALIOTIS CHARITABLE FOUNDATION - 1981"|""|""|""|"168475.0000"|"1435597"
"04-3212098"|"HINDA L & ARTHUR MARCUS FOUNDATION FKA FRED & HINDA SHUMAN FOUNDATION"|""|"34794.0000"|"34794.0000"|"30798.0000"|"1435600"
"04-3214315"|"PAUL & ELAINE CHERVINSKY CHARITABLE FOUNDAITON"|"140257.0000"|"0.0000"|"0.0000"|"0.0000"|"1435601"
"04-3348263"|"THE BEHRAKIS FOUNDATION"|"0.0000"|"26286.0000"|"26286.0000"|"25432.0000"|"1435603"
"04-3371560"|"JOHN A MCNEICE JR CHARITABLE FOUNDATION"|"75054.0000"|"0.0000"|"0.0000"|"18071.0000"|"1435605"
"04-3484554"|"SIRAD FOUNDATION INC"|"1212.0000"|""|""|"5356.0000"|"1435607"
"04-3525914"|"YOUNG FAMILY FOUNDATION"|"295252.0000"|""|""|""|"1435608"
"04-3583365"|"HAMPDEN SAVINGS FOUNDATION INC"|""|""|""|"655202.0000"|"1435610"
"04-3721096"|"THE BLACK DOG FOUNDATION"|"58848.0000"|"0.0000"|"0.0000"|"4826.0000"|"1435613"
"04-6011911"|"EARLE P CHARLTON TRUST"|"1700.0000"|""|""|""|"1435615"
"04-6011912"|"IDA S. CHARLTON FUND"|"58176.0000"|""|""|""|"1435616"
"04-6012766"|"AMERICAN MEMORIAL HOSPITAL INC."|"13314.0000"|""|""|"17472.0000"|"1435618"
"04-6044779"|"THE HOPEDALE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"465007.0000"|"1435619"
"04-6065495"|"NATHANIEL TAYLOR FUND, INC"|"1345.0000"|""|""|""|"1435622"
"04-6820993"|"M HOLT MASSEY CHARITABLE TRUST 15011602"|"77045.0000"|"0.0000"|"0.0000"|"0.0000"|"1435624"
"04-6824225"|"MICHAEL R. KIDDER FAMILY FOUNDATION"|"163601.0000"|"0.0000"|"0.0000"|"0.0000"|"1435625"
"04-6855617"|"VIRGINIA J COOK FOUNDATION"|"8477.0000"|""|""|""|"1435626"
"04-6905753"|"THE FISH FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"2925302.0000"|"1435627"
"04-6923387"|"COGAN FAMILY FOUNDATION"|"949762.0000"|"0.0000"|"0.0000"|"0.0000"|"1435629"
"04-3292638"|"JAMES AND BEATRICE SALAH FAMILY FOUNDATION TWN OF CANTON"|""|"14757.0000"|"14757.0000"|"29675.0000"|"1436660"
"02-6119238"|"LILLIAN PRENDERGAST IRRV CHARITABLE TR"|"0.0000"|"1550.0000"|"1550.0000"|"17826.0000"|"1436721"
"04-3140238"|"The Stephen J. Hendrickson Foundation, Inc"|"284522.0000"|"0.0000"|"0.0000"|"0.0000"|"1436722"
"01-0212437"|"MCARTHUR HOME FOR AGED PEOPLE ASSN."|""|"3628418.0000"|"3628418.0000"|""|"1437173"
"01-0566453"|"THE B Z FOUNDATION"|""|""|""|""|"1437213"
"01-0576324"|"STEVAN 7 CYNIHIA PEARCE CHARITABLE OUNDATION"|"7955.0000"|""|""|"35292.0000"|"1437215"
"01-0739297"|"39-15C046779631 TWO WEST FOUNDATION"|""|""|""|"243468.0000"|"1437228"
"01-6010608"|"BANGOR FUEL SOCIETY EATON PEABODY"|""|""|""|""|"1437241"
"02-0222124"|"ALEXANDER EASTMAN FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"579534.0000"|"1437249"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING INC"|""|""|""|""|"1437265"
"02-0586953"|"NEW HORIZONS SUPPORT FOUNDATIONINC"|"160245.0000"|""|""|""|"1437276"
"02-0703907"|"The Ruth and Hal Launders Charitable Trust"|"1395784.0000"|""|""|""|"1437289"
"04-2104430"|"SAILORS' SNUG HARBOR OF BOSTON INC"|"0.0000"|"0.0000"|"0.0000"|"394071.0000"|"1437352"
"04-2275506"|"SERVICE CENTER OF GREATER LAWRENCE, INC."|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"1437362"
"04-2711822"|"OBERMAYER FOUNDATION INC"|""|""|""|""|"1437412"
"04-3210639"|"ROBERT E DAVOLI & EILEEN L MCDONAGH CHARITABLE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"1687066.0000"|"1437444"
"04-3336274"|"THE ROY F COPPEDGE III CHARITABLE FDN"|"0.0000"|"0.0000"|"0.0000"|"707829.0000"|"1437456"
"04-3340591"|"THE RUETTGERS FAMILY CHARIT FOUNDATION"|"335201.0000"|"0.0000"|"0.0000"|"81750.0000"|"1437457"
"04-3493675"|"BARAKAT, INC."|""|"2852731.0000"|""|""|"1437473"
"04-3494831"|"Eos Foundation"|""|""|""|"11810077.0000"|"1437474"
"04-3619122"|"THE SPENCE FAMILY FOUNDATION"|"26110.0000"|"0.0000"|"0.0000"|"0.0000"|"1437482"
"04-3731472"|"ELIZABETH S BLACK CHARITABLE TRUST PNC BANK NA"|"307318.0000"|"0.0000"|"0.0000"|"0.0000"|"1437488"
"04-6032773"|"MACK INDUSTRIAL SCHOOL"|"0.0000"|"1624.0000"|"1624.0000"|"5089.0000"|"1437494"
"04-6034977"|"BOSTON BAPTIST SOCIAL UNION"|"327361.0000"|"0.0000"|"0.0000"|"0.0000"|"1437495"
"04-6040535"|"TRUSTEES OF THE PUTNAM FREE SCHOOL"|"542.0000"|""|""|"15966.0000"|"1437498"
"04-6053295"|"LOUIS E WOLFSON FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"118569.0000"|"1437502"
"04-6054630"|"POMROY REBECCA FOUNDATION INC (CUST)"|"0.0000"|"0.0000"|"0.0000"|"59289.0000"|"1437503"
"04-6061028"|"TR UW HELEN F KIMBALL-THE MOSES KIMBALL FUND FOR PROMOTION OF GOOD CITIZENSHIP"|"141627.0000"|"0.0000"|"0.0000"|"0.0000"|"1437505"
"04-6646727"|"ALBERT FLEMING INSURANCE TRUST"|"0.0000"|"0.0000"|"0.0000"|"1915.0000"|"1437525"
"01-6135476"|"BREWER & MCKAY SCHOLARSHIP PFDN 10-242000378020"|""|""|""|"7363.0000"|"1443777"
"04-2659411"|"ROSSE FAMILY CHARITABLE FOUNDATION, INC."|"255317.0000"|"0.0000"|"0.0000"|"0.0000"|"1443778"
"04-2947276"|"KATZ FAMILY FOUNDATION (F/K/A SPRINGHOUSE FOUNDATION)"|"0.0000"|"0.0000"|"0.0000"|"154501.0000"|"1443779"
"04-3342111"|"FRANK AND BRINNA SANDS FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"273528.0000"|"1443780"
"04-6042910"|"WILLIAM AND CYNTHIA MARCUS FAMILY CHARITABLE TRUST"|"0.0000"|"0.0000"|"0.0000"|"1173525.0000"|"1443781"
"04-6133810"|"KARGMAN CHARITABLE & EDUCATIONAL FOUNDATION INC"|"0.0000"|"11062.0000"|"11062.0000"|"204907.0000"|"1443782"
"01-0553351"|"DANCING TIDES FOUNDATION, INC."|""|""|""|"523823.0000"|"1444109"
"04-2104808"|"MERRIMACK RIVER VALLEY HOUSE INC"|""|""|""|""|"1444194"
"04-6635207"|"KENNETH S. DONNELL TRUST"|"0.0000"|"0.0000"|"0.0000"|"11116.0000"|"1444195"
"01-6017321"|"KEY BANK - CENTRAL MAINE FDN 10-101230297402"|""|""|""|"61206.0000"|"1444615"
"01-6180869"|"ALICE A PAXTON CHARITABLE TRUST"|"150904.0000"|""|""|""|"1444616"
"02-6003957"|"RUSSELL T & OLIVE V BARTLETT TRUST 3020000764"|"2794.0000"|""|""|"3769.0000"|"1444644"
"03-6010574"|"Lamson Howell Foundation Inc"|"0.0000"|"0.0000"|"0.0000"|"440327.0000"|"1444680"
"04-2105771"|"THE LOWELL INSTITUTE"|"677627.0000"|"0.0000"|"0.0000"|"0.0000"|"1444692"
"04-3303760"|"WEBSTER FIVE FOUNDATION, INC."|""|""|""|"637217.0000"|"1444764"
"04-6012091"|"EARLE P. CHARLTON TRUST"|"55807.0000"|""|""|""|"1444785"
"04-6047957"|"HAVERHILL FEMALE BENEVOLENT SOCIETY"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"1444786"
"04-6171963"|"HORACE C HUNT MEMORIAL FOUNDATION"|""|"4243.0000"|"4243.0000"|"25131.0000"|"1444800"
"04-6384983"|"GEORGE H & JANE A MIFFLIN MEMORIAL FUND 15005012"|"1447683.0000"|"0.0000"|"0.0000"|"0.0000"|"1444801"
"04-6528085"|"LEONARD & HILDA KAPLAN CHARITABLE FOUNDATION"|"83501.0000"|"0.0000"|"0.0000"|"44608.0000"|"1444803"
"01-0265587"|"HIGHER EDUCATION ASSISTANCE FOUNDATION"|""|""|""|"4912.0000"|"1449793"
"01-0485964"|"JANET H & C HARRY KNOWLES FOUNDATION INC A/K/A KNOWLES SCIENCE TEACHING FD INC"|""|""|""|""|"1449799"
"01-0852699"|"TABAT FAMILY FOUNDATION INC"|"0.0000"|"0.0000"|"0.0000"|"1552813.0000"|"1449810"
"01-6007022"|"LEVEY, A S PERP FOUNDATION 10 -242000367720"|""|""|""|"51605.0000"|"1449812"
"01-6009168"|"KING SPRUCE COMPANY"|"257592.0000"|"0.0000"|"0.0000"|"0.0000"|"1449813"
"03-0363251"|"STOWE SWIMMERS FOUNDATION LTD, D/B/A THE SWIMMING HOLE"|""|""|""|""|"1449844"
"03-6004866"|"Cone Automatic Machine"|"29681.0000"|"0.0000"|"0.0000"|"0.0000"|"1449852"
"04-2104694"|"MARBLEHEAD FEMALE HUMANE SOCIETY INC"|""|""|""|""|"1449858"
"04-2752515"|"CHAMBERLAIN FOUNDATION"|"71862.0000"|"0.0000"|"0.0000"|"0.0000"|"1449882"
"04-2947391"|"THE C JEAN & MYLES MCDONOUGH CHARITABLE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"2432989.0000"|"1449887"
"04-3107591"|"Harold and Anna S. Ullian Charitable Foundation"|""|""|""|"306497.0000"|"1449892"
"04-3134266"|"JOHN & SONIA LINGOS FAMILY FOUNDATION INC"|"239887.0000"|""|""|""|"1449893"
"04-6050139"|"FP Worthen Foundation"|"52754.0000"|"0.0000"|"0.0000"|"0.0000"|"1449915"
"04-6552121"|"C.J.L. CHARITABLE FOUNDATION"|"0.0000"|"243220.0000"|"243220.0000"|"301954.0000"|"1449919"
"04-6772317"|"LEBLANG CHARITABLE FOUNDATION DAVID B LEBLANG TRUSTEE"|"0.0000"|"0.0000"|"0.0000"|"46782.0000"|"1449921"
"01-6019033"|"MAX KAGAN FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"1452467"
"04-3177633"|"THE FASSINO FOUNDATION INC"|"0.0000"|"0.0000"|"0.0000"|"479881.0000"|"1452468"
"04-6694692"|"THE POUNDATION FOR AN AMERICAN VISION"|"0.0000"|"0.0000"|"0.0000"|"674483.0000"|"1452726"
"04-6091333"|"BUSIEL FRANK E TR U/WILL"|"36176.0000"|""|""|""|"1454064"
"04-6185933"|"BAILEY FREDERICK A TR U/WILL"|""|""|""|"31980.0000"|"1454065"
"04-2940520"|"The Cornerstone Foundation"|""|""|""|""|"1454075"
"04-3173231"|"ROBERT AND MOLLY TARR CHARITABLE FOUNDATION"|"162457.0000"|"0.0000"|"0.0000"|"0.0000"|"1454770"
"04-6006506"|"BOSTON FATHERLESS & WIDOS SOCIETY"|"0.0000"|"14131.0000"|"14131.0000"|"0.0000"|"1454822"
"04-6046756"|"ROWLAND FOUNDATION INC."|"0.0000"|"609474.0000"|"609474.0000"|"2433067.0000"|"1454823"
"04-6470644"|"NEW BALANCE FOUNDATION"|""|""|""|"3429838.0000"|"1454839"
"04-6036558"|"Amelia Peabody Foundation"|"0.0000"|"70328.0000"|"70328.0000"|"0.0000"|"1460134"
"04-2103958"|"THE CAMBRIDGE HOMES"|""|""|""|""|"1460189"
"04-3444155"|"The Don & Manlyn Rodman Foundation"|""|""|""|"959114.0000"|"1460203"
"03-0368595"|"BEN COHEN CHARITABLE TRUST"|""|""|""|"696825.0000"|"1462965"
"01-6027394"|"MARGARET J S KENNEDY TRUST"|""|"1445.0000"|"1445.0000"|""|"1470851"
"01-0537471"|"Planet Dog Foundation"|"0.0000"|"0.0000"|"0.0000"|"227616.0000"|"1472533"
"04-3492171"|"The Adi and Jerry Greenberg Foundation"|"364379.0000"|""|""|"0.0000"|"1472534"
"04-3812871"|"KRUPP FAMILY FOUNDATION"|""|""|""|"1819947.0000"|"1472535"
"01-6136971"|"ALBERT H. YOUNG BANGOR SAVINGS BANK TRUSTEE"|""|"5613.0000"|"5613.0000"|""|"1473198"
"02-0516305"|"LYMAN B POPE JR FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"1507304.0000"|"1473200"
"02-6004471"|"SAMUEL P. HUNT FOUNDATION"|"39349.0000"|"0.0000"|"0.0000"|"0.0000"|"1473201"
"02-6004971"|"AGNES M. LINDSAY TRUST"|"0.0000"|"457539.0000"|"457539.0000"|"426993.0000"|"1473202"
"03-0277007"|"RAYMOND & LORRAINE LETOURNEAU EDUCATIONAL FOUNDATION"|"11727.0000"|"0.0000"|"0.0000"|"0.0000"|"1473203"
"04-3342405"|"SALEM FIVE CHARITABLE FOUNDATION, INC."|""|""|""|"1200507.0000"|"1473204"
"04-6016107"|"MILTON L. WILLIAMS TRUST UW EASTERN BANK TRUSTEE"|""|""|""|"14514.0000"|"1473206"
"04-6019105"|"FREDERICK H GILLETT TUW-YMCA"|""|""|""|"489221.0000"|"1473207"
"04-6024405"|"WILHELMINA W JACKSON T/U/W"|"84613.0000"|""|""|""|"1473208"
"04-6038871"|"IM WESTFIELD ACADEMY"|"65297.0000"|""|""|""|"1473209"
"04-6139771"|"HOWARD A WEAVER-BEXLEY HALL SEM"|"87737.0000"|""|""|""|"1473210"
"04-6437271"|"NATHANIEL WHEELER T/U/A-WORC"|"66404.0000"|""|""|""|"1473212"
"04-6479105"|"PAGE MILDRED & CHARLES TRUST"|"16913.0000"|""|""|""|"1473213"
"04-6712607"|"ROBERT RIMMELE SCHOLARSHIP FD"|"13176.0000"|""|""|""|"1473214"
"04-6829607"|"MARION N ROAF T/U/A"|"57969.0000"|""|""|""|"1473215"
"04-3183600"|"Stride Rite Philanthropic Foundation Inc."|""|"13064.0000"|""|"354759.0000"|"1473720"
