"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FMV_NON_CHAR_TOTAL"|"NET_NON_CHAR"|"MIN_INVEST_RETURN"
"04-6089241"|"MABEL A. HORNE FUND FLEET NATIONAL BANK"|"1407026"|"6329706.0000"|"6234760.0000"|"311738.0000"
"04-6242439"|"OSCAR J. GEORGE TRUST 003077"|"1407031"|"2358028.0000"|"2322658.0000"|"116133.0000"
"04-6747335"|"BEMIS-TRUST IN DIVERSITY THOMAS E. PECKHAM, TRUSTEE"|"1407032"|"9900884.0000"|"9752371.0000"|"487619.0000"
"04-6749251"|"FIELDS/HANNAGAN/WALTERS FNDN"|"1407033"|"265578.0000"|"261594.0000"|"13080.0000"
"04-6840915"|"THE PLOURDE FAMILY CHARITABLE TRUST"|"1407034"|"906893.0000"|"893290.0000"|"44665.0000"
"01-0546160"|"Redco Foundation, Inc."|"1409383"|"4215325.0000"|"4152095.0000"|"207605.0000"
"01-6042302"|"JOHN B CROCKETT TRUST"|"1409384"|"1311027.0000"|"1291362.0000"|"64568.0000"
"02-0511160"|"HELEN & WILLIAM MAZER FOUNDATION"|"1409385"|"14586318.0000"|"14252889.0000"|"712644.0000"
"03-0323120"|"THE MORRIS & BESSIE ALTMAN FOUNDATION"|"1409386"|"3443205.0000"|"3391557.0000"|"169578.0000"
"03-0569654"|"THE HIGGINS FAMILY CHARITABLE FOUNDATION"|"1409387"|"11200325.0000"|"11032320.0000"|"551616.0000"
"03-6016628"|"MERCHANTS BANK FOUNDATION, INC."|"1409388"|"1423167.0000"|"1401819.0000"|"70091.0000"
"04-2747025"|"HARRY L. BRADLEY JR CHARITABLE FUND"|"1409389"|"150261080.0000"|"148007164.0000"|"7400358.0000"
"04-3492753"|"MORTON AND LILLIAN WALDFOGEL CHARITABLE FOUNDATION"|"1409390"|"2157589.0000"|"2125225.0000"|"106261.0000"
"04-3528495"|"JAMES W. O'BRIEN FOUNDATION, INC."|"1409391"|"17598147.0000"|"17334175.0000"|"866709.0000"
"04-6008252"|"CHARLES W. HOLTZER FUND NO. 3"|"1409393"|"3885415.0000"|"3827134.0000"|"191357.0000"
"04-6009247"|"JENNIE SEARS MCSHANE TRUST"|"1409394"|"1765345.0000"|"1738865.0000"|"86943.0000"
"04-6009254"|"IDA S. BARTER TRUST"|"1409395"|"1652100.0000"|"1627318.0000"|"81366.0000"
"04-6096075"|"FARNSWORTH CHARLES H CHARITABLE TRUST"|"1409397"|"26057266.0000"|"25666407.0000"|"1283320.0000"
"04-6096914"|"RUSSELL W S UW BEN G A RUSSELL"|"1409398"|"1353964.0000"|"1333655.0000"|"66683.0000"
"04-6096926"|"COX CHARLES M U IND DTD 12 31 34"|"1409399"|"410004.0000"|"403854.0000"|"20193.0000"
"04-6110988"|"THE COLONIAL SOCIETY OF MASSACHUSETTS THOMAS R APPLETON, TREASURER"|"1409401"|"7086850.0000"|"6980547.0000"|"349027.0000"
"04-6448653"|"FLORA T LITTLE"|"1409403"|"1700623.0000"|"1675114.0000"|"83756.0000"
"04-6746970"|"DUNIRY FOUNDATION"|"1409404"|"9793952.0000"|"9647043.0000"|"482352.0000"
"04-6768027"|"THE JOSEPH NOVAKOFF CHARITABLE FOUNDATION"|"1409405"|"381598.0000"|"375874.0000"|"18794.0000"
"04-6869254"|"ESTHER B. KAHN CHARITABLE FOUNDATION"|"1409406"|"4382527.0000"|"4316789.0000"|"215839.0000"
"04-6935987"|"EDITH CROCKER CHARITABLE TRUST JM FORBES & CO. LLP"|"1409409"|"609711.0000"|"600565.0000"|"30028.0000"
"02-0622126"|"RESMED FOUNDATION"|"1410298"|"6051179.0000"|"5960411.0000"|"298021.0000"
"04-3391926"|"GRAVESTAR FOUNDATION"|"1410303"|"1738379.0000"|"1712303.0000"|"85615.0000"
"04-3469426"|"LARSSON DANFORTH FAMILY FOUNDATION"|"1410304"|"743071.0000"|"731925.0000"|"36596.0000"
"04-3544626"|"RUDDEN POSNER FAMILY FOUNDATION"|"1410306"|"297382.0000"|"292921.0000"|"14646.0000"
"04-3366125"|"IKEDA CENTER FOR PEACE LEARNING AND DIALOGUE INC"|"1410643"|"2466765.0000"|"2429764.0000"|"121488.0000"
"04-6012026"|"FRANK R PETERS TRUST"|"1410646"|"1620444.0000"|"1596137.0000"|"79807.0000"
"04-6020426"|"CHARLES G PRINGLE FOUNDATION"|"1410647"|"2862017.0000"|"2819087.0000"|"140954.0000"
"01-6009480"|"HELEN W. MOULTON FUND"|"1410976"|"1240159.0000"|"1221557.0000"|"61078.0000"
"03-0345055"|"GEORGE W. MERGENS FOUNDATION"|"1410977"|"10051363.0000"|"9900593.0000"|"495030.0000"
"04-3216632"|"CATHERINE & PAUL BUTTENWIESER FOUNDATION"|"1410978"|"202732.0000"|"199691.0000"|"9985.0000"
"04-3400633"|"THE DURANT FAMILY FOUNDATION #0745364"|"1410979"|"3909789.0000"|"3851142.0000"|"192557.0000"
"04-3496080"|"THE GREGORY FOUNDATION TRUST"|"1410980"|"1543655.0000"|"1520500.0000"|"76025.0000"
"04-6008355"|"GEORGE E. BARNARD TRUST"|"1410981"|"2213528.0000"|"2180325.0000"|"109016.0000"
"04-6008730"|"EDWIN M. THAYER TRUST"|"1410982"|"2787596.0000"|"2745782.0000"|"137289.0000"
"04-6011934"|"GENNIE B ROBINSON TRUST"|"1410983"|"1759539.0000"|"1733146.0000"|"86657.0000"
"04-6046234"|"HELEN G. BUDD MEMORIAL FUND"|"1410984"|"7332993.0000"|"7222998.0000"|"361150.0000"
"04-6060558"|"TAZEWELL FOUNDATION"|"1410985"|"1199210.0000"|"1181222.0000"|"59061.0000"
"04-6069834"|"The Fragment Society"|"1410986"|"2614027.0000"|"2574817.0000"|"128741.0000"
"04-6131903"|"WALNUT HILL FOUNDATION"|"1410987"|"470842.0000"|"463779.0000"|"23189.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"1411164"|"164237114.0000"|"161773557.0000"|"8088678.0000"
"04-3179137"|"DENNIS AND MARION MAVROGENIS TRUST FUND"|"1411169"|"2182104.0000"|"2149372.0000"|"107469.0000"
"02-6142736"|"STERZING MEMORIAL SCHOLARSHIP FUND"|"1411539"|"892975.0000"|"879580.0000"|"43979.0000"
"01-6009431"|"CARL E DANFORTH"|"1411804"|"1515221.0000"|"1492493.0000"|"74625.0000"
"03-0184240"|"OM FISHER HOME INC"|"1411915"|"14690000.0000"|"14469650.0000"|"723483.0000"
"04-2104439"|"ENDOWMENT FOR BIBLICAL RESEARCH"|"1411916"|"273618.0000"|"269514.0000"|"13476.0000"
"04-3118545"|"SWEET WATER TRUST"|"1411919"|"23805349.0000"|"23448269.0000"|"1172413.0000"
"01-0211537"|"OAK GROVE SCHOOL"|"1412304"|""|"1704543.0000"|"85227.0000"
"01-6008547"|"THE HORACE WILLIAMS MEMORIAL FUND KENNEBEC SAVINGS BANK, AGENT FOR TRUSTEE"|"1412307"|"259566.0000"|"255673.0000"|"12784.0000"
"04-2133244"|"THE FREDERICK E WEBER CHARITABLE CORP"|"1412311"|"247120.0000"|"243413.0000"|"12171.0000"
"04-6093047"|"WARREN FRANCES KNOWLES TR U/IND"|"1412316"|"1534916.0000"|"1511892.0000"|"75595.0000"
"04-6093840"|"SHEATH DOROTHY MELCHER TR U/IND"|"1412317"|"5195703.0000"|"5117767.0000"|"255888.0000"
"04-6423442"|"TOMPKINS EDNA H TR U/WILL"|"1412320"|"1499407.0000"|"1476916.0000"|"73846.0000"
"04-6091346"|"CHICKERING CAROLINE E TR U/WILL"|"1412972"|"4431042.0000"|"4364576.0000"|"218229.0000"
"04-6091533"|"LAWRENCE DANIEL W TR U/AGREE"|"1412973"|"1790120.0000"|"1763268.0000"|"88163.0000"
"04-6091978"|"CONVERSE M I FBO HAHNEMANN FDN-TR"|"1412974"|"1192109.0000"|"1174227.0000"|"58711.0000"
"04-6092036"|"RICHARDS HELEN R TR U/WILL"|"1412975"|"4568884.0000"|"4500351.0000"|"225018.0000"
"01-0632648"|"FEATHER FOUNDATION INC"|"1413932"|"2285073.0000"|"2250797.0000"|"112540.0000"
"01-0636574"|"GEORGEJACK & JOAN SHUSTER FOUNDATION"|"1413933"|"3308938.0000"|"3259304.0000"|"162965.0000"
"01-6209149"|"KENNETH LINDSAY FOUNDATION"|"1413943"|"925847.0000"|"911959.0000"|"45598.0000"
"02-0798199"|"TRUBRADOR FOUNDATION"|"1413953"|"0.0000"|"0.0000"|"0.0000"
"02-6013556"|"CASEY FAMILY FOUNDATION"|"1413954"|"3743928.0000"|"3687769.0000"|"184388.0000"
"02-6170948"|"JERRY R JUNKINS FAMILY FOUNDATION"|"1413955"|"555152.0000"|"546825.0000"|"27341.0000"
"03-0577385"|"THE MCMASTER FAMILY FOUNDATION INC"|"1413963"|"909349.0000"|"895709.0000"|"44785.0000"
"04-3133049"|"RICHARD K & NANCY L DONAHUE CHAR FDTN"|"1413980"|"4073893.0000"|"4012785.0000"|"200639.0000"
"04-3425079"|"HOWELL FAMILY CHARITABLE FOUNDATION"|"1413990"|"1327633.0000"|"1307719.0000"|"65386.0000"
"04-3439357"|"THE JOHN J & SUSAN DORAN FAMILY FOUNDATION"|"1413991"|"760651.0000"|"749241.0000"|"37462.0000"
"04-3464855"|"THOMAS S GUNNING SCHOLARSHIP FOUNDATION INC"|"1413993"|"0.0000"|"0.0000"|"0.0000"
"04-3479749"|"THE MILFORD NATIONAL CHARITABLE FOUNDATION INC"|"1413994"|"8345.0000"|"8220.0000"|"411.0000"
"04-3495449"|"EMILIE S WELLES FOUNDATION"|"1413996"|"85808.0000"|"84521.0000"|"4226.0000"
"04-3526349"|"THE CROSS FOUNDATION"|"1413998"|"5246883.0000"|"5168180.0000"|"258409.0000"
"04-3578370"|"NICHOLS VILLAGE INC"|"1414002"|"31902786.0000"|"6133950.0000"|"306698.0000"
"04-6037026"|"THE SUDBURY FOUNDATION"|"1414008"|"29347501.0000"|"28907288.0000"|"1445364.0000"
"04-6051258"|"ADELAIDE BREED BAYRD FOUNDATION"|"1414010"|"2880108.0000"|"2836906.0000"|"141845.0000"
"04-6063152"|"ROGERS FAMILY FOUNDATION"|"1414012"|"19981135.0000"|"19681418.0000"|"984071.0000"
"04-6108949"|"WILLIAM H REISNER FOUNDATION"|"1414013"|"165936.0000"|"163447.0000"|"8172.0000"
"04-6113249"|"BENJAMIN H KATZ FAMILY FOUNDATION"|"1414014"|"297763.0000"|"293297.0000"|"14665.0000"
"04-6875099"|"THE ROBERT AND MICHELLE COOKE ATCHINSON FOUNDATION"|"1414017"|"20240336.0000"|"19936731.0000"|"996837.0000"
"01-6070365"|"M. MCKENNEY & E. W. BOOKER EDUCATION TR."|"1416293"|"4931859.0000"|"4857881.0000"|"242894.0000"
"02-0222149"|"TAYLOR COMMUNITY"|"1416296"|"11530261.0000"|"11357307.0000"|"567865.0000"
"02-6046966"|"ADELE GIFFORD RESIDUARY TRUST 360888010"|"1416310"|"13714845.0000"|"13509122.0000"|"675456.0000"
"04-1302043"|"FARNSWORTH LUCY C TR U/WILL"|"1416321"|"6395355.0000"|"6299425.0000"|"314971.0000"
"04-2105854"|"WORLD PEACE FOUNDATION"|"1416328"|"8634376.0000"|"8504860.0000"|"425243.0000"
"04-2133252"|"Hopedale Community House Inc"|"1416329"|"8537228.0000"|"8409170.0000"|"420459.0000"
"04-3420457"|"THE RICA CHARITABLE TRUST"|"1416359"|"3009.0000"|"2964.0000"|"148.0000"
"04-3464255"|"F. Felix Foundation"|"1416360"|"4347213.0000"|"4282005.0000"|"214100.0000"
"04-6025957"|"FRANK M NOONAN F/B/O DEBORAH MUNROE NOONAN MEMORIAL FUND"|"1416364"|"9757866.0000"|"9611498.0000"|"480575.0000"
"04-6039361"|"FISHER AND FUEL SOCIETY OF BEVERLY"|"1416365"|"1694155.0000"|"1668743.0000"|"83437.0000"
"04-6044784"|"ROSENFELD MAX C TR U/WILL"|"1416366"|"1009117.0000"|"993980.0000"|"49699.0000"
"04-6046890"|"DEAN WELFARE TRUST-TR"|"1416368"|"1017095.0000"|"1001839.0000"|"50092.0000"
"04-6091358"|"CONANT WILLIAM H TR U/IND"|"1416370"|"4858114.0000"|"4785242.0000"|"239262.0000"
"04-6091592"|"PERMANENT SCIENCE FUND TR U/DECL"|"1416371"|"2768349.0000"|"2726824.0000"|"136341.0000"
"04-6091666"|"SMITH TIMOTHY TR U/WILL"|"1416372"|"15521790.0000"|"15288963.0000"|"764448.0000"
"04-6092496"|"WARREN FRANCES KNOWLES TR U/IND"|"1416373"|"5155922.0000"|"5078583.0000"|"253929.0000"
"04-6092559"|"REED FANNY B TR U/WILL"|"1416374"|"1779545.0000"|"1752852.0000"|"87643.0000"
"04-6092957"|"FAUNCE EDWARD P TR U/WILL"|"1416375"|"2996104.0000"|"2951162.0000"|"147558.0000"
"04-6093280"|"PETHYBRIDGE HARRY M-TR"|"1416376"|"2518104.0000"|"2480332.0000"|"124017.0000"
"04-6093555"|"LEIGHTON EDWARD K TR U/WILL"|"1416377"|"4005857.0000"|"3945769.0000"|"197288.0000"
"04-6093897"|"CHASE ALICE P TR U/IND"|"1416378"|"6277180.0000"|"6183022.0000"|"309151.0000"
"04-6094293"|"TR U/WILL COLMAN BLANCHE E"|"1416379"|"508166.0000"|"500544.0000"|"25027.0000"
"04-6237788"|"PRINCE LUCINDA WYMAN TR U/WILL"|"1416382"|"3303717.0000"|"3254161.0000"|"162708.0000"
"04-6477185"|"MEYER HAROLD TR U/AGREE"|"1416384"|"2020544.0000"|"1990236.0000"|"99512.0000"
"04-6595469"|"SHAUGHNESSY CHARITABLE TRUST"|"1416385"|"864798.0000"|"851826.0000"|"42591.0000"
"04-6740855"|"VERROCHI FAMILY CHARITABLE TRUST"|"1416386"|"1287381.0000"|"1268070.0000"|"63404.0000"
"04-6011097"|"GEORGE W.P. MAGEE TRUST"|"1418047"|"7162861.0000"|"7055418.0000"|"352771.0000"
"04-3473585"|"BARBARA LEE FAMILY FOUNDATION INC"|"1418232"|"8973.0000"|"8838.0000"|"442.0000"
"02-0439653"|"DODGE SCHOLARSHIP FOR GIRLS"|"1419076"|"457518.0000"|"450655.0000"|"22533.0000"
"04-2104384"|"LEND A HAND SOCIETY"|"1419079"|"1365661.0000"|"1345176.0000"|"67259.0000"
"04-2752893"|"HYDE CHARITABLE FOUNDATION"|"1419080"|"3818381.0000"|"3761105.0000"|"188055.0000"
"04-6036092"|"THEODORE EDSON PARKER FOUNDATION"|"1419082"|"22892554.0000"|"22549166.0000"|"1127458.0000"
"04-6039593"|"THE AARON FOUNDATION"|"1419083"|"7402602.0000"|"7291563.0000"|"364578.0000"
"04-6092890"|"WHITNEY MARY D TR U/WILL"|"1419452"|"875319.0000"|"862189.0000"|"43109.0000"
"04-3236053"|"THE MORNINGSTAR FAMILY FOUNDATION"|"1420362"|"3579984.0000"|"3526284.0000"|"176314.0000"
"04-3448695"|"The Ludes Family Foundation"|"1420363"|"1735762.0000"|"1709726.0000"|"85486.0000"
"04-6155696"|"THE ART COMPLEX INC"|"1420366"|"23378756.0000"|"23028075.0000"|"1151404.0000"
"02-0331198"|"RANNIE WEBSTER FOUNDATION"|"1420627"|"3071243.0000"|"3025174.0000"|"151259.0000"
"02-6006398"|"GEORGE A WENTWORTH 1994 TRUST 5129150"|"1420629"|"1414462.0000"|"1393245.0000"|"69662.0000"
"04-6013598"|"BUSHROD H. CAMPBELL & ADAH F. HALL CHARITY FUND"|"1420640"|"18755675.0000"|"18474340.0000"|"923717.0000"
"02-0519812"|"CENTENNIAL SENIOR CENTER, INC."|"1420869"|"5756143.0000"|"5669801.0000"|"283490.0000"
"02-0759145"|"DOWNEY-SHORT FOUNDATION"|"1420870"|"0.0000"|"4292201.0000"|"214610.0000"
"03-0473333"|"JEROME A. YAVITZ CHARITABLE FOUNDATION, INC."|"1420871"|"18141151.0000"|"17869034.0000"|"893452.0000"
"03-6007183"|"FLECTHER FARM FOUNDATION, INC."|"1420872"|"0.0000"|"0.0000"|"0.0000"
"04-3397681"|"TOWARDS SUSTAINABILITY FOUNDATION"|"1420874"|"12531860.0000"|"12531860.0000"|"626593.0000"
"04-6026314"|"ALFRED CHASE CHARITY FDN U/I"|"1420875"|"8541798.0000"|"8413671.0000"|"420684.0000"
"04-6036788"|"CHARLES H HOOD FUND"|"1421342"|"1740290.0000"|"1714186.0000"|"85709.0000"
"04-2111388"|"The Fitch Home, Inc."|"1421383"|"7490089.0000"|"7377738.0000"|"368887.0000"
"04-6173120"|"TEKULSKY ANNA HARVEY TR U/DECL"|"1421384"|"531186.0000"|"523218.0000"|"26161.0000"
"03-0496899"|"THE MOORE FAMILY FOUNDATION"|"1421408"|"0.0000"|"0.0000"|"0.0000"
"01-0683241"|"VOPICKA FAMILY FOUNDATION INC."|"1422297"|"0.0000"|"0.0000"|"0.0000"
"03-0463941"|"THE A M FOUNDATION F/K/A USHER AND MIRIAM MEISELS FAMILY FOUNDATION"|"1422299"|"5834845.0000"|"5747322.0000"|"287366.0000"
"03-0485661"|"JUDSON FAMILY FOUNDATION, INC"|"1422300"|"110814.0000"|"109152.0000"|"5458.0000"
"04-2683042"|"PERKINELMER FOUNDATION"|"1422301"|"7451988.0000"|"7340208.0000"|"367010.0000"
"04-3360241"|"LUCY A COOLEDGE TUA"|"1422303"|"2063365.0000"|"2032415.0000"|"101621.0000"
"04-6008443"|"BERNARD W DOYLE TRUST"|"1422304"|"2576999.0000"|"2538344.0000"|"126917.0000"
"04-6022766"|"THE S.S. FORBES TEACHERS FUND"|"1422305"|"2185494.0000"|"2152712.0000"|"107636.0000"
"04-6049543"|"GERMAN LADIES AID SOCIETY OF BOSTON, INC"|"1422306"|"1358685.0000"|"1338305.0000"|"66915.0000"
"04-6050619"|"ANDOVER HOME FOR AGED PEOPLE"|"1422307"|"1907639.0000"|"1879024.0000"|"93951.0000"
"04-6079166"|"Elisha V. Ashton Trust U/W"|"1422308"|"1521267.0000"|"1498448.0000"|"74922.0000"
"04-6091916"|"KELLY ROBERT H TR U/IND"|"1422309"|"2692541.0000"|"2652153.0000"|"132608.0000"
"04-6609917"|"THE KELSEY TRUST"|"1422310"|"4145665.0000"|"4083480.0000"|"204174.0000"
"04-6745180"|"THE IORIO CHARITABLE FOUNDATION"|"1422311"|"2097853.0000"|"2066385.0000"|"103319.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"1427679"|"79933365.0000"|"78734365.0000"|"3936718.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"1427680"|"89358022.0000"|"88017652.0000"|"4400883.0000"
"04-6014190"|"SALEM FEMALE CHARITABLE SOCIETY"|"1427681"|"880814.0000"|"867602.0000"|"43380.0000"
"04-6033865"|"ARTHUR D BUDD U/A"|"1427682"|"7206597.0000"|"7098498.0000"|"354925.0000"
"01-0131950"|"PLANT MEMORIAL HOME"|"1429281"|"2980123.0000"|"2935421.0000"|"146771.0000"
"04-6013050"|"STEPHEN D AND SUSAN W PAINE FOUNDATION"|"1429282"|"871578.0000"|"858504.0000"|"42925.0000"
"04-6037650"|"CLARK CHARITABLE TRUST"|"1429283"|"3030128.0000"|"2984676.0000"|"149234.0000"
"04-3250513"|"MARK S & DONNA LEVENTHAL FAMILY FOUNDATION INC"|"1435535"|"8094554.0000"|"7973136.0000"|"398657.0000"
"01-0211504"|"The Eunice Frye Home Foundation"|"1435569"|"1776929.0000"|"1750275.0000"|"87514.0000"
"01-0523143"|"Oxford Hills Scholarship Foundation"|"1435575"|"5420196.0000"|"5338893.0000"|"266945.0000"
"01-0561393"|"ROBERT HAYWOOD MORRISON FDN"|"1435576"|"17712693.0000"|"17447003.0000"|"872350.0000"
"01-0626611"|"WALTER PAYNE FOUNDATION"|"1435577"|"2975514.0000"|"2930881.0000"|"146544.0000"
"01-6173503"|"EVELYN E. STRICKLIN SCHOLARSHIP FOUNDATION"|"1435578"|"1677344.0000"|"1652184.0000"|"82609.0000"
"02-6059690"|"WALDO & ALICE AYER TRUST 5085010282"|"1435583"|"801947.0000"|"789918.0000"|"39496.0000"
"02-6080902"|"Anne S Howells Charitable Trust"|"1435584"|"534995.0000"|"526970.0000"|"26349.0000"
"04-2104767"|"THE PEABODY FOUNDATION INC"|"1435590"|"20267210.0000"|"19963202.0000"|"998160.0000"
"04-2111219"|"NEWBURYPORT SOCIETY FOR THE RELIEF OF AGED MEN"|"1435591"|"11386930.0000"|"11216126.0000"|"560806.0000"
"04-2306840"|"THE SWAN SOCIETY IN BOSTON INC"|"1435593"|"4878502.0000"|"4805324.0000"|"240266.0000"
"04-2738800"|"COSTAS AND MARY MALIOTIS CHARITABLE FOUNDATION - 1981"|"1435597"|"746675.0000"|"735475.0000"|"36774.0000"
"04-3212098"|"HINDA L & ARTHUR MARCUS FOUNDATION FKA FRED & HINDA SHUMAN FOUNDATION"|"1435600"|"2114657.0000"|"2082937.0000"|"104147.0000"
"04-3214315"|"PAUL & ELAINE CHERVINSKY CHARITABLE FOUNDAITON"|"1435601"|"4111824.0000"|"4050147.0000"|"202507.0000"
"04-3348263"|"THE BEHRAKIS FOUNDATION"|"1435603"|"3893792.0000"|"3835385.0000"|"191769.0000"
"04-3371560"|"JOHN A MCNEICE JR CHARITABLE FOUNDATION"|"1435605"|"5003948.0000"|"4928889.0000"|"246444.0000"
"04-3484554"|"SIRAD FOUNDATION INC"|"1435607"|"3595821.0000"|"3541884.0000"|"177094.0000"
"04-3525914"|"YOUNG FAMILY FOUNDATION"|"1435608"|"6491788.0000"|"6394411.0000"|"319721.0000"
"04-3583365"|"HAMPDEN SAVINGS FOUNDATION INC"|"1435610"|"588548.0000"|"579720.0000"|"28986.0000"
"04-3721096"|"THE BLACK DOG FOUNDATION"|"1435613"|"1792295.0000"|"1765411.0000"|"88271.0000"
"04-6011911"|"EARLE P CHARLTON TRUST"|"1435615"|"2381709.0000"|"2345983.0000"|"117299.0000"
"04-6011912"|"IDA S. CHARLTON FUND"|"1435616"|"2558947.0000"|"2520563.0000"|"126028.0000"
"04-6012766"|"AMERICAN MEMORIAL HOSPITAL INC."|"1435618"|"14189992.0000"|"13977142.0000"|"698857.0000"
"04-6044779"|"THE HOPEDALE FOUNDATION"|"1435619"|"9076428.0000"|"8940282.0000"|"447014.0000"
"04-6065495"|"NATHANIEL TAYLOR FUND, INC"|"1435622"|"419687.0000"|"413392.0000"|"20670.0000"
"04-6820993"|"M HOLT MASSEY CHARITABLE TRUST 15011602"|"1435624"|"1734657.0000"|"1708637.0000"|"85432.0000"
"04-6824225"|"MICHAEL R. KIDDER FAMILY FOUNDATION"|"1435625"|"10030272.0000"|"9879818.0000"|"493991.0000"
"04-6855617"|"VIRGINIA J COOK FOUNDATION"|"1435626"|"1468553.0000"|"1446525.0000"|"72326.0000"
"04-6905753"|"THE FISH FAMILY FOUNDATION"|"1435627"|"12790254.0000"|"12598400.0000"|"629920.0000"
"04-6923387"|"COGAN FAMILY FOUNDATION"|"1435629"|"21295246.0000"|"20975817.0000"|"1048791.0000"
"04-3292638"|"JAMES AND BEATRICE SALAH FAMILY FOUNDATION TWN OF CANTON"|"1436660"|"3197733.0000"|"3149767.0000"|"157488.0000"
"02-6119238"|"LILLIAN PRENDERGAST IRRV CHARITABLE TR"|"1436721"|"1379187.0000"|"1358499.0000"|"67925.0000"
"04-3140238"|"The Stephen J. Hendrickson Foundation, Inc"|"1436722"|"12008354.0000"|"11828229.0000"|"591411.0000"
"01-0212437"|"MCARTHUR HOME FOR AGED PEOPLE ASSN."|"1437173"|"7351059.0000"|"7240793.0000"|"362040.0000"
"01-0566453"|"THE B Z FOUNDATION"|"1437213"|"0.0000"|"0.0000"|"0.0000"
"01-0576324"|"STEVAN 7 CYNIHIA PEARCE CHARITABLE OUNDATION"|"1437215"|"1318237.0000"|"1298463.0000"|"64923.0000"
"01-0739297"|"39-15C046779631 TWO WEST FOUNDATION"|"1437228"|"326436.0000"|"321539.0000"|"16077.0000"
"01-6010608"|"BANGOR FUEL SOCIETY EATON PEABODY"|"1437241"|"890860.0000"|"877497.0000"|"43875.0000"
"02-0222124"|"ALEXANDER EASTMAN FOUNDATION"|"1437249"|"10522102.0000"|"10364270.0000"|"518214.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING INC"|"1437265"|"22588293.0000"|"22249469.0000"|"1112473.0000"
"02-0586953"|"NEW HORIZONS SUPPORT FOUNDATIONINC"|"1437276"|"8173396.0000"|"8050795.0000"|"402540.0000"
"02-0703907"|"The Ruth and Hal Launders Charitable Trust"|"1437289"|"21816289.0000"|"21489045.0000"|"1074452.0000"
"04-2104430"|"SAILORS' SNUG HARBOR OF BOSTON INC"|"1437352"|"7255673.0000"|"7146838.0000"|"357342.0000"
"04-2275506"|"SERVICE CENTER OF GREATER LAWRENCE, INC."|"1437362"|"226200.0000"|"222807.0000"|"11140.0000"
"04-2711822"|"OBERMAYER FOUNDATION INC"|"1437412"|"5213747.0000"|"5135541.0000"|"256777.0000"
"04-3210639"|"ROBERT E DAVOLI & EILEEN L MCDONAGH CHARITABLE FOUNDATION"|"1437444"|"904356.0000"|"890791.0000"|"44540.0000"
"04-3336274"|"THE ROY F COPPEDGE III CHARITABLE FDN"|"1437456"|"604835.0000"|"595762.0000"|"29788.0000"
"04-3340591"|"THE RUETTGERS FAMILY CHARIT FOUNDATION"|"1437457"|"28644763.0000"|"28215092.0000"|"1410755.0000"
"04-3493675"|"BARAKAT, INC."|"1437473"|"396817.0000"|"390865.0000"|"19543.0000"
"04-3494831"|"Eos Foundation"|"1437474"|"42892792.0000"|"42251571.0000"|"2112579.0000"
"04-3619122"|"THE SPENCE FAMILY FOUNDATION"|"1437482"|"575605.0000"|"566971.0000"|"28349.0000"
"04-3731472"|"ELIZABETH S BLACK CHARITABLE TRUST PNC BANK NA"|"1437488"|"9564481.0000"|"9421014.0000"|"471051.0000"
"04-6032773"|"MACK INDUSTRIAL SCHOOL"|"1437494"|"456037.0000"|"449196.0000"|"22460.0000"
"04-6034977"|"BOSTON BAPTIST SOCIAL UNION"|"1437495"|"17361388.0000"|"17100967.0000"|"855048.0000"
"04-6040535"|"TRUSTEES OF THE PUTNAM FREE SCHOOL"|"1437498"|"1781274.0000"|"1754555.0000"|"87728.0000"
"04-6053295"|"LOUIS E WOLFSON FOUNDATION"|"1437502"|"17801815.0000"|"17534788.0000"|"876739.0000"
"04-6054630"|"POMROY REBECCA FOUNDATION INC (CUST)"|"1437503"|"1991999.0000"|"1962119.0000"|"98106.0000"
"04-6061028"|"TR UW HELEN F KIMBALL-THE MOSES KIMBALL FUND FOR PROMOTION OF GOOD CITIZENSHIP"|"1437505"|"3510270.0000"|"3457616.0000"|"172881.0000"
"04-6646727"|"ALBERT FLEMING INSURANCE TRUST"|"1437525"|"387701.0000"|"381885.0000"|"19094.0000"
"01-6135476"|"BREWER & MCKAY SCHOLARSHIP PFDN 10-242000378020"|"1443777"|"373514.0000"|"367911.0000"|"18396.0000"
"04-2659411"|"ROSSE FAMILY CHARITABLE FOUNDATION, INC."|"1443778"|"9099853.0000"|"8963355.0000"|"448168.0000"
"04-2947276"|"KATZ FAMILY FOUNDATION (F/K/A SPRINGHOUSE FOUNDATION)"|"1443779"|"2049803.0000"|"2019056.0000"|"100953.0000"
"04-3342111"|"FRANK AND BRINNA SANDS FOUNDATION"|"1443780"|"2034714.0000"|"2004193.0000"|"100210.0000"
"04-6042910"|"WILLIAM AND CYNTHIA MARCUS FAMILY CHARITABLE TRUST"|"1443781"|"1180129.0000"|"1162427.0000"|"58121.0000"
"04-6133810"|"KARGMAN CHARITABLE & EDUCATIONAL FOUNDATION INC"|"1443782"|"2856142.0000"|"2813300.0000"|"140665.0000"
