"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"DISTRIBUTABLE_AMOUNT"|"DIST_MIN_INVEST_RETURN"|"DIST_INVEST_INC_TAX"|"DIST_INC_TAX"|"DIST_INV_INC_TAX"|"DIST_BEFORE_ADJ"|"DIST_RECOV"|"DIST_BEFORE_ADJ_RECOV"|"DIST_DEDUCT"
"04-3368515"|"SEAMENS LONG POINT CHARITABLE FOUNDATION, INC."|"1294409"|"27423.0000"|"27550.0000"|"127.0000"|""|"127.0000"|"27423.0000"|""|"27423.0000"|""
"04-3375821"|"WOODWORTH, G. WALTER UNITRUST"|"1294411"|"125109.0000"|"126941.0000"|"1832.0000"|""|"1832.0000"|"125109.0000"|""|"125109.0000"|""
"04-3424901"|"THE JOHN BUTLER MULLIKEN FOUNDATION INC"|"1294412"|"80181.0000"|"80901.0000"|"720.0000"|""|"720.0000"|"80181.0000"|"0.0000"|"80181.0000"|"0.0000"
"04-3464899"|"THE RAMSEY MCCLUSKEY FAMILY FOUNDATION"|"1294413"|"143085.0000"|"144899.0000"|"1814.0000"|""|"1814.0000"|"143085.0000"|""|"143085.0000"|""
"04-3566439"|"BERKSHIRE LIFE CHARITABLE FOUNDATION"|"1294414"|"107394.0000"|"110006.0000"|"2612.0000"|""|"2612.0000"|"107394.0000"|"0.0000"|"107394.0000"|"0.0000"
"04-3671809"|"WISH YOU WELL FOUNDATION"|"1294415"|"21125.0000"|"21983.0000"|"858.0000"|""|"858.0000"|"21125.0000"|""|"21125.0000"|""
"04-6015548"|"MYRON L FULLER TRUST"|"1294416"|"279742.0000"|"283728.0000"|"3986.0000"|""|"3986.0000"|"279742.0000"|""|"279742.0000"|""
"04-6020266"|"E.P. BINNEY CHARITABLE FND"|"1294417"|"857503.0000"|"907066.0000"|"49563.0000"|""|"49563.0000"|"857503.0000"|""|"857503.0000"|""
"04-6067431"|"NEW ENGLAND EDUCATION SOCIETY"|"1294418"|"62707.0000"|"53572.0000"|"738.0000"|""|"738.0000"|"52834.0000"|"9873.0000"|"62707.0000"|"0.0000"
"04-6397630"|"WILLIAM & ALFRED TAFT CHARITABLE TRUST"|"1294420"|"36747.0000"|"37856.0000"|"1109.0000"|""|"1109.0000"|"36747.0000"|""|"36747.0000"|""
"04-6421513"|"PETSAS CHARITABLE TRUST UA"|"1294421"|"34169.0000"|"34888.0000"|"719.0000"|""|"719.0000"|"34169.0000"|""|"34169.0000"|""
"04-6500798"|"LOU & LUCIENNE BRIGHTMAN SCHOLARSHIP FDN EASTERN BANK, TRUSTEE"|"1294422"|"18957.0000"|"19306.0000"|"349.0000"|""|"349.0000"|"18957.0000"|""|"18957.0000"|""
"04-6549241"|"GOLDHAMMER FAMILY FOUNDATION"|"1294423"|"144768.0000"|"146782.0000"|"2014.0000"|""|"2014.0000"|"144768.0000"|"0.0000"|"144768.0000"|"0.0000"
"04-6725545"|"CHARLES E. HARWOOD TRUST"|"1294424"|"222847.0000"|"225465.0000"|"2618.0000"|""|"2618.0000"|"222847.0000"|"0.0000"|"222847.0000"|"0.0000"
"04-7006773"|"THE SARA L. EDDY TRUST CURTIS EDDY & PETER ZUPCOPSKA, TRUSTEES"|"1294426"|"42222.0000"|"42516.0000"|"294.0000"|""|"294.0000"|"42222.0000"|"0.0000"|"42222.0000"|"0.0000"
"01-0222218"|"HATTIE A AND FRED C LYNAM TRUST"|"1295369"|"259237.0000"|"260817.0000"|"1580.0000"|""|"1580.0000"|"259237.0000"|""|"259237.0000"|""
"01-0342663"|"HELEN F WYLE FOUNDATION"|"1295370"|"33571.0000"|"32346.0000"|"375.0000"|""|"375.0000"|"31971.0000"|"1600.0000"|"33571.0000"|""
"01-0555919"|"GADDIS FAMILY FOUNDATION, INC."|"1295371"|"40380.0000"|"40380.0000"|""|""|""|"40380.0000"|""|"40380.0000"|""
"01-0647596"|"THE POMEROY FAMILY FOUNDATION"|"1295372"|"94178.0000"|"94563.0000"|"385.0000"|""|"385.0000"|"94178.0000"|""|"94178.0000"|""
"01-0722403"|"L P WASSERMAN FAMILY FOUNDATION"|"1295373"|"132054.0000"|"132907.0000"|"853.0000"|""|"853.0000"|"132054.0000"|"0.0000"|"132054.0000"|"0.0000"
"01-0744113"|"MCCULLOUGH FOUNDATION"|"1295374"|"53301.0000"|"54266.0000"|"965.0000"|""|"965.0000"|"53301.0000"|"0.0000"|"53301.0000"|"0.0000"
"01-0810723"|"HARRY M MIRIAM C WILL C HORTON F"|"1295375"|"325826.0000"|"331343.0000"|"5517.0000"|""|"5517.0000"|"325826.0000"|""|"325826.0000"|""
"01-6009341"|"THE GREENE-MILSTEIN FAMILY FOUNDATION"|"1295376"|"158791.0000"|"160804.0000"|"2013.0000"|""|"2013.0000"|"158791.0000"|""|"158791.0000"|""
"01-6010120"|"JAMES A TAYLOR OSTEOPATHIC HOSP"|"1295377"|"107349.0000"|"111085.0000"|"3736.0000"|""|"3736.0000"|"107349.0000"|""|"107349.0000"|""
"01-6149204"|"OLIVE A COATES CHARITABLE TRUST"|"1295378"|"219772.0000"|"223851.0000"|"4079.0000"|""|"4079.0000"|"219772.0000"|""|"219772.0000"|""
"01-6174485"|"PALMER WALBRIDGE FOUNDATION"|"1295380"|"155578.0000"|"157695.0000"|"2117.0000"|""|"2117.0000"|"155578.0000"|""|"155578.0000"|""
"01-6208130"|"PRYOR E. & ARLENE R. NEUBER CHARITABLE TRUST"|"1295381"|"405389.0000"|"409237.0000"|"3848.0000"|""|"3848.0000"|"405389.0000"|"0.0000"|"405389.0000"|"0.0000"
"02-0762730"|"RALPH S. AND FRANCES R. DWECK FAMILY FOUNDATION, INC."|"1295385"|"45438.0000"|"45636.0000"|"198.0000"|""|"198.0000"|"45438.0000"|""|"45438.0000"|""
"02-6004364"|"ABRAHAM BURTMAN CHARITY TRUST"|"1295386"|"0.0000"|""|"443.0000"|""|"443.0000"|""|""|""|""
"02-6005022"|"MARTIN CHARITABLE MEMORIAL FUND"|"1295388"|"137145.0000"|"139786.0000"|"2641.0000"|""|"2641.0000"|"137145.0000"|""|"137145.0000"|""
"02-6007724"|"JACKMAN CHARLES TRUST"|"1295389"|"59244.0000"|"61418.0000"|"2174.0000"|""|"2174.0000"|"59244.0000"|""|"59244.0000"|""
"02-6033716"|"JASON SOMERVILLE TRUST NANCY STEVENSON, TTEE"|"1295390"|"85677.0000"|"86078.0000"|"401.0000"|""|"401.0000"|"85677.0000"|""|"85677.0000"|""
"02-6169513"|"BALDWIN FAMILY FOUNDATION TRUST"|"1295391"|"257122.0000"|"257696.0000"|"574.0000"|""|"574.0000"|"257122.0000"|"0.0000"|"257122.0000"|"0.0000"
"03-0370623"|"BERGERON FAMILY FOUNDATION"|"1295393"|"93874.0000"|"95580.0000"|"1706.0000"|""|"1706.0000"|"93874.0000"|""|"93874.0000"|""
"03-0406308"|"KINNEY DRUGS FOUNDATION. INC."|"1295394"|""|""|""|""|""|""|""|""|""
"03-6006013"|"THE COPLEY FUND"|"1295395"|"197334.0000"|"201134.0000"|"3800.0000"|""|"3800.0000"|"197334.0000"|"0.0000"|"197334.0000"|"0.0000"
"03-6047004"|"ARTHUR H SCOTT MEM VOL TRUST-CHITT"|"1295397"|"62683.0000"|"63474.0000"|"791.0000"|""|"791.0000"|"62683.0000"|""|"62683.0000"|""
"04-2103930"|"BRANDEGEE CHARITABLE FOUNDATION"|"1295398"|"449148.0000"|"452763.0000"|"3615.0000"|""|"3615.0000"|"449148.0000"|"0.0000"|"449148.0000"|"0.0000"
"04-2226641"|"THE THORACIC FOUNDATION"|"1295399"|"268829.0000"|"272324.0000"|"3495.0000"|""|"3495.0000"|"268829.0000"|"0.0000"|"268829.0000"|"0.0000"
"04-2307820"|"BABSON-WEBBER-MUSTARD FUND"|"1295400"|"225495.0000"|"232435.0000"|"6940.0000"|""|"6940.0000"|"225495.0000"|"0.0000"|"225495.0000"|"0.0000"
"04-2723441"|"DEMOULAS FOUNDATION"|"1295401"|"1524757.0000"|"1530598.0000"|"5841.0000"|""|"5841.0000"|"1524757.0000"|"0.0000"|"1524757.0000"|"0.0000"
"04-2733961"|"DUNKIN BRANDS CHARITABLE TRUST"|"1295402"|"5263.0000"|"5298.0000"|"35.0000"|""|"35.0000"|"5263.0000"|""|"5263.0000"|""
"04-2754324"|"CROCKETT JAMES UNDERWOOD"|"1295403"|"8929.0000"|"9085.0000"|"156.0000"|""|"156.0000"|"8929.0000"|""|"8929.0000"|""
"04-3071209"|"THE ROWE FOUNDATION, INC."|"1295405"|"42836.0000"|"43324.0000"|"488.0000"|""|"488.0000"|"42836.0000"|""|"42836.0000"|""
"04-3078302"|"NORTHEAST CHARITABLE TRUST"|"1295406"|"22048.0000"|"22499.0000"|"451.0000"|""|"451.0000"|"22048.0000"|"0.0000"|"22048.0000"|"0.0000"
"04-3109508"|"FRANK R. AND ELIZABETH SIMONI FOUNDATION INC."|"1295407"|"176153.0000"|"177465.0000"|"1312.0000"|""|"1312.0000"|"176153.0000"|"0.0000"|"176153.0000"|"0.0000"
"04-3130418"|"NORTON PUBLIC LIBRARY"|"1295408"|"58912.0000"|"59306.0000"|"394.0000"|""|"394.0000"|"58912.0000"|""|"58912.0000"|""
"04-3221224"|"OLD MUTUAL ASSET MANAGEMENT CHARITABLE FOUNDATION, INC."|"1295409"|"947.0000"|"947.0000"|""|""|""|"947.0000"|""|"947.0000"|""
"04-3243114"|"THE CREIGHTON NARADA FOUNDATION"|"1295410"|"526877.0000"|"563529.0000"|"36652.0000"|""|"36652.0000"|"526877.0000"|"0.0000"|"526877.0000"|"0.0000"
"04-3325424"|"MASSACHUSETTS BANKERS ASSOCIATION CHARITABLE FOUNDATION INC"|"1295411"|"60544.0000"|"60965.0000"|"421.0000"|""|"421.0000"|"60544.0000"|""|"60544.0000"|""
"04-3367614"|"REMILLARD FAMILY FOUNDATION INC. #0737882"|"1295412"|"76198.0000"|"76198.0000"|""|""|"0.0000"|"76198.0000"|"0.0000"|"76198.0000"|"0.0000"
"04-3371223"|"DOUGLAS DRANE CHARITABLE TRUST"|"1295413"|"97043.0000"|"97547.0000"|"504.0000"|""|"504.0000"|"97043.0000"|"0.0000"|"97043.0000"|"0.0000"
"04-3371817"|"THE DENNIS A. O'TOOLE FAMILY FOUNDATION"|"1295414"|"111881.0000"|"114830.0000"|"2949.0000"|""|"2949.0000"|"111881.0000"|"0.0000"|"111881.0000"|"0.0000"
"04-3383620"|"C LEROY MILLER CHARITABLE FDN 668019011"|"1295415"|"52691.0000"|"53181.0000"|"490.0000"|""|"490.0000"|"52691.0000"|""|"52691.0000"|""
"04-3388014"|"SEA BREEZE FOUNDATION-TR"|"1295416"|"86713.0000"|"88357.0000"|"1644.0000"|""|"1644.0000"|"86713.0000"|""|"86713.0000"|""
"04-3426100"|"THE GORDON E. AND MAY R. CADWGAN CHARITABLE FOUNDATION"|"1295417"|"86159.0000"|"87078.0000"|"919.0000"|""|"919.0000"|"86159.0000"|"0.0000"|"86159.0000"|"0.0000"
"04-3430324"|"THE BRUCE AND BARBARA AUSTIN FAMILY FOUNDATION"|"1295418"|"40934.0000"|"41093.0000"|"159.0000"|""|"159.0000"|"40934.0000"|"0.0000"|"40934.0000"|"0.0000"
"04-3494341"|"FLORENCE PETRLIK FAMILY FOUNDATION"|"1295420"|"70296.0000"|"70880.0000"|"584.0000"|""|"584.0000"|"70296.0000"|""|"70296.0000"|""
"04-3534717"|"CHRISTOPHER & PATRICIA HIGGINS ARNOLD FOUNDATION"|"1295422"|"26989.0000"|"27127.0000"|"138.0000"|""|"138.0000"|"26989.0000"|""|"26989.0000"|""
"04-3541108"|"EPKER-SINHA FOUNDATION"|"1295423"|"504996.0000"|"521830.0000"|"16834.0000"|""|"16834.0000"|"504996.0000"|""|"504996.0000"|""
"04-3543803"|"STEVEN M AND BARBARA GARFINKLE FOUNDATION INC"|"1295424"|"4731.0000"|"4731.0000"|""|""|""|"4731.0000"|""|"4731.0000"|""
"04-3562515"|"GRACE RIVER FOUNDATION JH1361"|"1295425"|"15316.0000"|"15449.0000"|"133.0000"|""|"133.0000"|"15316.0000"|""|"15316.0000"|""
"04-3812871"|"KRUPP FAMILY FOUNDATION"|"1295428"|"142230.0000"|"143686.0000"|"1456.0000"|""|"1456.0000"|"142230.0000"|""|"142230.0000"|""
"04-6009430"|"FRANKLIN H PUTNAM T/U/W"|"1295429"|"41479.0000"|"42437.0000"|"958.0000"|""|"958.0000"|"41479.0000"|""|"41479.0000"|""
"04-6019020"|"T WALTER CARMAN TUW-SHRINERS"|"1295430"|"215111.0000"|"221727.0000"|"6616.0000"|""|"6616.0000"|"215111.0000"|""|"215111.0000"|""
"04-6019113"|"LOUISE G PEASE B/O BAYSTATE MED"|"1295431"|"108713.0000"|"111959.0000"|"3246.0000"|""|"3246.0000"|"108713.0000"|""|"108713.0000"|""
"04-6020918"|"KING FAMILY FUND TUA"|"1295432"|"78688.0000"|"82717.0000"|"4029.0000"|""|"4029.0000"|"78688.0000"|""|"78688.0000"|""
"04-6023784"|"THE GEORGE I. ALDEN TRUST"|"1295433"|"7914762.0000"|"8009081.0000"|"88835.0000"|"5484.0000"|"94319.0000"|"7914762.0000"|"0.0000"|"7914762.0000"|"0.0000"
"04-6027800"|"TAMARACK FOUNDATION"|"1295435"|"39614.0000"|"40607.0000"|"993.0000"|""|"993.0000"|"39614.0000"|"0.0000"|"39614.0000"|"0.0000"
"04-6028223"|"TR U/W JOHN H SANDERSON"|"1295436"|"176273.0000"|"181669.0000"|"5396.0000"|""|"5396.0000"|"176273.0000"|""|"176273.0000"|""
"04-6033804"|"GRACE B STEBBINS TR UA"|"1295437"|"115616.0000"|"116415.0000"|"799.0000"|""|"799.0000"|"115616.0000"|""|"115616.0000"|""
"04-6033808"|"HERVEY L SMITH UA"|"1295438"|"224967.0000"|"233649.0000"|"8682.0000"|""|"8682.0000"|"224967.0000"|""|"224967.0000"|""
"04-6033910"|"L & F TIFFT FUND TR UA"|"1295439"|"113892.0000"|"117923.0000"|"4031.0000"|""|"4031.0000"|"113892.0000"|""|"113892.0000"|""
"04-6037423"|"ARONSON FOUNDATION, INC."|"1295440"|"37658.0000"|"38149.0000"|"491.0000"|""|"491.0000"|"37658.0000"|"0.0000"|"37658.0000"|"0.0000"
"04-6050419"|"Albert H & Reuben S Stone Fund"|"1295442"|"145927.0000"|"147231.0000"|"1304.0000"|""|"1304.0000"|"145927.0000"|""|"145927.0000"|""
"04-6050818"|"EDNA TALBOT FOR NEW ENGLAND HOME"|"1295443"|"327517.0000"|"342659.0000"|"15142.0000"|""|"15142.0000"|"327517.0000"|""|"327517.0000"|""
"04-6056824"|"NORMAN KNIGHT CHARITABLE FOUNDATION"|"1295444"|"270966.0000"|"292517.0000"|"21551.0000"|""|"21551.0000"|"270966.0000"|"0.0000"|"270966.0000"|"0.0000"
"04-6079522"|"R ELAINE CROSTON T/U/W"|"1295445"|"24021.0000"|"24563.0000"|"542.0000"|""|"542.0000"|"24021.0000"|""|"24021.0000"|""
"04-6082918"|"AIMEE M. L. BECKER TRUST"|"1295446"|"261027.0000"|"265879.0000"|"4852.0000"|""|"4852.0000"|"261027.0000"|"0.0000"|"261027.0000"|"0.0000"
"04-6095797"|"GOODING G L IND DTD 5 10 50"|"1295447"|"31417.0000"|"32690.0000"|"1273.0000"|""|"1273.0000"|"31417.0000"|""|"31417.0000"|""
"04-6095991"|"TRUST U/WILL FRED L. ROBBINS"|"1295448"|"19351.0000"|"20147.0000"|"796.0000"|""|"796.0000"|"19351.0000"|""|"19351.0000"|""
"04-6115419"|"Eastman Charitable Foundation"|"1295450"|"90789.0000"|"91367.0000"|"578.0000"|""|"578.0000"|"90789.0000"|"0.0000"|"90789.0000"|"0.0000"
"04-6126323"|"ELIOT I AND RUTH SNIDER CHARITABLE TRUST"|"1295451"|"39074.0000"|"40570.0000"|"1496.0000"|""|"1496.0000"|"39074.0000"|"0.0000"|"39074.0000"|"0.0000"
"04-6128210"|"JOSEPH M. HAMILBURG FOUNDATION"|"1295452"|"77781.0000"|"78169.0000"|"388.0000"|""|"388.0000"|"77781.0000"|"0.0000"|"77781.0000"|"0.0000"
"04-6136421"|"TR U/W M L HEYDT F/B CHARITY"|"1295453"|"292326.0000"|"302764.0000"|"10438.0000"|""|"10438.0000"|"292326.0000"|""|"292326.0000"|""
"04-6145922"|"DAVID GREENEWALT CHARITABLE TRUST WINIFRED I. LI, TRUSTEE"|"1295454"|"90853.0000"|"92802.0000"|"1949.0000"|""|"1949.0000"|"90853.0000"|"0.0000"|"90853.0000"|"0.0000"
"04-6193022"|"TR U/W MARTIN W. DUGAN EASTERN BANK, CO-TRUSTEE"|"1295455"|"24930.0000"|"23809.0000"|"379.0000"|""|"379.0000"|"23430.0000"|"1500.0000"|"24930.0000"|""
"04-6266114"|"WILLIAM HOSIER T/U/W"|"1295456"|"15074.0000"|"15495.0000"|"421.0000"|""|"421.0000"|"15074.0000"|""|"15074.0000"|""
"04-6278297"|"HELEN U KIELY UW"|"1295457"|"59920.0000"|"61846.0000"|"1926.0000"|""|"1926.0000"|"59920.0000"|""|"59920.0000"|""
"04-6290902"|"ELIOT D & LOUISE T STETSON T/U/I"|"1295458"|"173867.0000"|"177778.0000"|"3911.0000"|""|"3911.0000"|"173867.0000"|""|"173867.0000"|""
"04-6312563"|"GEORGE W DAVENPORT TUW"|"1295459"|"24426.0000"|"25467.0000"|"1041.0000"|""|"1041.0000"|"24426.0000"|""|"24426.0000"|""
"04-6319124"|"R BABSON TUW 25C A & B"|"1295460"|"103161.0000"|"103783.0000"|"622.0000"|""|"622.0000"|"103161.0000"|""|"103161.0000"|""
"04-6341523"|"CORNELIUS A WOOD 1969 CHAR TR"|"1295461"|"65413.0000"|"67162.0000"|"1749.0000"|""|"1749.0000"|"65413.0000"|""|"65413.0000"|""
"04-6590209"|"EARLE A GRISWOLD TUA-ST PAUL"|"1295462"|"80223.0000"|"81558.0000"|"1335.0000"|""|"1335.0000"|"80223.0000"|""|"80223.0000"|""
"04-6607624"|"LOU H. WILLEKE TRUST U/W"|"1295463"|"131423.0000"|"135520.0000"|"4097.0000"|""|"4097.0000"|"131423.0000"|""|"131423.0000"|""
"04-6643614"|"MILDRED E GATES T/U/W"|"1295464"|"39086.0000"|"40020.0000"|"934.0000"|""|"934.0000"|"39086.0000"|""|"39086.0000"|""
"04-6652923"|"ADELARD AND VALEDA ROY FOUNDATION"|"1295465"|"428125.0000"|"434270.0000"|"6145.0000"|""|"6145.0000"|"428125.0000"|"0.0000"|"428125.0000"|"0.0000"
"04-6665830"|"THE ULF B. HEIDE AND ELIZABETH C. HEIDE FOUNDATION CHARITABLE TRUST"|"1295466"|"470085.0000"|"473184.0000"|"3099.0000"|""|"3099.0000"|"470085.0000"|"0.0000"|"470085.0000"|"0.0000"
"04-6678724"|"ANDREWS TR FUND-CHARITABLE SHS"|"1295467"|"86358.0000"|"89983.0000"|"3625.0000"|""|"3625.0000"|"86358.0000"|""|"86358.0000"|""
"04-6692518"|"ROBERT S PAPE CHARTITABLE FND"|"1295468"|"20061.0000"|"20638.0000"|"577.0000"|""|"577.0000"|"20061.0000"|""|"20061.0000"|""
"04-6719809"|"THE ROBBINS-DE BEAUMONT FOUNDATION"|"1295469"|"380337.0000"|"386972.0000"|"6635.0000"|""|"6635.0000"|"380337.0000"|"0.0000"|"380337.0000"|"0.0000"
"04-6788009"|"ST MARY'S & ROCHESTER METH HOSP"|"1295471"|"138687.0000"|"140946.0000"|"2259.0000"|""|"2259.0000"|"138687.0000"|""|"138687.0000"|""
"04-6814621"|"MILES & GERTRUDE HANSON FNDN"|"1295472"|"97464.0000"|"98863.0000"|"1399.0000"|""|"1399.0000"|"97464.0000"|""|"97464.0000"|""
"04-6861522"|"WILSON CARUSO CHARITABLE FOUNDATION"|"1295473"|"70304.0000"|"74416.0000"|"4112.0000"|""|"4112.0000"|"70304.0000"|"0.0000"|"70304.0000"|"0.0000"
"04-6883004"|"PHILIP T. CHAPLIN ET AL TRUSTEES CLOVELLY CHARITABLE TRUST"|"1295474"|"40119.0000"|"40688.0000"|"569.0000"|""|"569.0000"|"40119.0000"|"0.0000"|"40119.0000"|"0.0000"
"04-6896914"|"NOVACK FAMILY FOUNDATION"|"1295475"|"74580.0000"|"75330.0000"|"750.0000"|""|"750.0000"|"74580.0000"|"0.0000"|"74580.0000"|"0.0000"
"04-6904109"|"THE BRESLOW FAMILY FOUNDATION TRUST"|"1295476"|"54577.0000"|"55246.0000"|"669.0000"|""|"669.0000"|"54577.0000"|"0.0000"|"54577.0000"|"0.0000"
"04-3296725"|"THE ERIC & BARBARA CARLE FOUNDATION"|"1297018"|"97888.0000"|"100940.0000"|"3052.0000"|""|"3052.0000"|"97888.0000"|"0.0000"|"97888.0000"|"0.0000"
"04-3533126"|"Wechsles Family Foundation"|"1297019"|"21029.0000"|"21206.0000"|"177.0000"|""|"177.0000"|"21029.0000"|""|"21029.0000"|""
"01-0351827"|"HELEN R COE TRUST"|"1297082"|"102994.0000"|"107305.0000"|"4311.0000"|""|"4311.0000"|"102994.0000"|""|"102994.0000"|""
"02-6100139"|"DIXIE WONDERS IRREV TRUST 3035006329"|"1297083"|"129506.0000"|"132039.0000"|"2533.0000"|""|"2533.0000"|"129506.0000"|""|"129506.0000"|""
"04-3489794"|"The Zoller Family Founation, Inc."|"1297100"|"5571.0000"|"5884.0000"|"313.0000"|""|"313.0000"|"5571.0000"|""|"5571.0000"|""
"04-3410822"|"WILLIAM N & BERNICE E BUMPUS FOUNDATION"|"1297187"|"511315.0000"|""|""|""|""|""|""|""|""
"04-2214828"|"NECF FOUNDATION INC"|"1297194"|"64333.0000"|""|""|""|""|""|""|""|""
"04-2714713"|"THE GUND ART FOUNDATION"|"1297195"|""|""|""|""|""|""|""|""|""
"04-2943910"|"Stamps Family Charitable Foundation, Inc"|"1297196"|"4008688.0000"|""|""|""|""|""|""|""|""
"04-3683205"|"THE JOHN WHITEHEAD FAMILY FOUNDATION, INC."|"1297197"|"241.0000"|""|""|""|""|""|""|""|""
"01-0702653"|"DAMICO FAMILY FOUNDATION"|"1297258"|"201284.0000"|"204992.0000"|"3708.0000"|""|"3708.0000"|"201284.0000"|"0.0000"|"201284.0000"|"0.0000"
"01-0752611"|"THE FAULCONER SCHOLARSHIP PROGRAMS"|"1297259"|"0.0000"|""|""|""|""|""|""|""|""
"01-6162330"|"EDWARD PAYSON GEORGE CHARITABLE TRUST"|"1297260"|"291526.0000"|"294524.0000"|"2998.0000"|""|"2998.0000"|"291526.0000"|"0.0000"|"291526.0000"|"0.0000"
"01-6182253"|"LOUIS PLANSEON FDN CO-TTEE 485-25198985921"|"1297261"|"358665.0000"|"360377.0000"|"1712.0000"|""|"1712.0000"|"358665.0000"|"0.0000"|"358665.0000"|"0.0000"
"02-0488551"|"ROBERT S BRISTOL CHARITABLE TRUST"|"1297262"|"77279.0000"|"79228.0000"|"1949.0000"|""|"1949.0000"|"77279.0000"|""|"77279.0000"|""
"02-0569535"|"THE MAYER FOUNDATION"|"1297263"|"12140.0000"|"12143.0000"|"3.0000"|""|"3.0000"|"12140.0000"|""|"12140.0000"|""
"02-0774236"|"THE NORMAN A SCHOELL CHARITABLE FOUNDATION INC"|"1297265"|"47481.0000"|"47722.0000"|"241.0000"|""|"241.0000"|"47481.0000"|""|"47481.0000"|""
"02-6113705"|"FELLER FAMILY CHARITABLE FOUNDATION TRUST"|"1297267"|"32168.0000"|"33323.0000"|"1155.0000"|""|"1155.0000"|"32168.0000"|"0.0000"|"32168.0000"|"0.0000"
"03-0369213"|"S D Ireland Cancer Research Fund Inc"|"1297268"|"1516.0000"|"1517.0000"|"1.0000"|""|"1.0000"|"1516.0000"|""|"1516.0000"|""
"03-0594338"|"SWIFTWATER FOUNDATION INC"|"1297269"|"59789.0000"|"60934.0000"|"1145.0000"|""|"1145.0000"|"59789.0000"|"0.0000"|"59789.0000"|"0.0000"
"03-6070736"|"P MOYNEHAN MEM FD CHARITABLE TR 403051014"|"1297270"|"13947.0000"|"14105.0000"|"158.0000"|""|"158.0000"|"13947.0000"|"0.0000"|"13947.0000"|"0.0000"
"04-2103827"|"NEW BEDFORD DAY NURSERY INC"|"1297273"|"43066.0000"|"43611.0000"|"545.0000"|""|"545.0000"|"43066.0000"|"0.0000"|"43066.0000"|"0.0000"
"04-2104834"|"PILGRIM FOUNDATION"|"1297274"|"217153.0000"|"218180.0000"|"1027.0000"|""|"1027.0000"|"217153.0000"|""|"217153.0000"|""
"04-3257822"|"THE BOSTON CAPITAL FOUNDATION"|"1297275"|"285.0000"|"285.0000"|""|""|"0.0000"|"285.0000"|"0.0000"|"285.0000"|"0.0000"
"04-3371801"|"THE REDMOND FAMILY FOUNDATION"|"1297276"|"59580.0000"|"59911.0000"|"331.0000"|""|"331.0000"|"59580.0000"|"0.0000"|"59580.0000"|"0.0000"
"04-3406251"|"THE PETER AND DEBORAH LAMM FOUNDATION R BRADFORD MALT ET AL TRUSTEES"|"1297277"|"19882.0000"|"7382.0000"|""|""|"0.0000"|"7382.0000"|"12500.0000"|"19882.0000"|"0.0000"
"04-3442439"|"THOMAS A RODGERS JR FAMILY FOUNDATION"|"1297278"|"1320277.0000"|"1337139.0000"|"16862.0000"|""|"16862.0000"|"1320277.0000"|"0.0000"|"1320277.0000"|"0.0000"
"04-3494455"|"THE GERALD AND JUDITH FELDMAN CHARITABLE FOUNDATION"|"1297279"|"2573.0000"|"2573.0000"|""|""|"0.0000"|"2573.0000"|"0.0000"|"2573.0000"|"0.0000"
"04-3498622"|"MISSION HILLFENWAY NEIGHBORHOOD TRUST INC"|"1297280"|"66698.0000"|"66817.0000"|"119.0000"|""|"119.0000"|"66698.0000"|"0.0000"|"66698.0000"|"0.0000"
"04-3517737"|"COGHLIN SERVICES FUND"|"1297281"|"34517.0000"|"36347.0000"|"1830.0000"|""|"1830.0000"|"34517.0000"|"0.0000"|"34517.0000"|"0.0000"
"04-3581722"|"THE CEDAR STREET FOUNDATION JH1204"|"1297282"|"480729.0000"|"489160.0000"|"8431.0000"|""|"8431.0000"|"480729.0000"|""|"480729.0000"|""
"04-3662001"|"SIEBENTHALER FOUNDATION"|"1297283"|"27026.0000"|"27677.0000"|"651.0000"|""|"651.0000"|"27026.0000"|"0.0000"|"27026.0000"|"0.0000"
"04-3674511"|"THE PETRA FOUNDATION"|"1297284"|"35480.0000"|"36099.0000"|"619.0000"|""|"619.0000"|"35480.0000"|"0.0000"|"35480.0000"|"0.0000"
"04-6012009"|"FRANK R PETERS TRUST"|"1297285"|"427816.0000"|"442276.0000"|"14460.0000"|""|"14460.0000"|"427816.0000"|""|"427816.0000"|""
"04-6026301"|"PERPETUAL TR-UNDESIGNATED"|"1297286"|"1027721.0000"|"1062658.0000"|"34443.0000"|"494.0000"|"34937.0000"|"1027721.0000"|""|"1027721.0000"|""
"04-6037206"|"LANCASTER FOUNDATION"|"1297287"|"25956.0000"|"26033.0000"|"77.0000"|""|"77.0000"|"25956.0000"|"0.0000"|"25956.0000"|"0.0000"
"04-6039510"|"FOUNDATION, INC"|"1297288"|"132141.0000"|"132141.0000"|""|""|""|"132141.0000"|""|"132141.0000"|""
"04-6044429"|"Charles Robert Gens Foundation"|"1297289"|"13785.0000"|"13948.0000"|"163.0000"|""|"163.0000"|"13785.0000"|"0.0000"|"13785.0000"|"0.0000"
"04-6050746"|"Church of the Good Shepherd"|"1297290"|"102852.0000"|"105341.0000"|"2489.0000"|""|"2489.0000"|"102852.0000"|"0.0000"|"102852.0000"|"0.0000"
"04-6060903"|"RIMER TRUST"|"1297291"|"20841.0000"|"21031.0000"|"190.0000"|""|"190.0000"|"20841.0000"|""|"20841.0000"|""
