"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"ADJUSTED_QUALIFYING_DISTRIBUTIONS"|"PAID_CHAR_ASSETS"|"CHAR_DIST_TEST"|"QUAL_DIST_XII"|"REDUCED_TAX_RATE"|"CHAR_SUIT_TEST"
"04-3523698"|"THE EVANS FAMILY FOUNDATION"|"1293200"|"1785772.0000"|""|""|"1786000.0000"|"228.0000"|""
"04-3613060"|"ALLAN LOUIS LOEB FOUNDATION"|"1293201"|"39754.0000"|""|""|"40000.0000"|"246.0000"|""
"04-6014290"|"RALPH BRADLEY PRIZES"|"1293202"|"17000.0000"|""|""|"17000.0000"|"0.0000"|""
"04-6022091"|"CHARLES SANDERS TRUST UW"|"1293203"|"299218.0000"|""|""|"299218.0000"|"0.0000"|""
"04-6026914"|"JOHN W. & CLARA C. HIGGINS FOUNDATION"|"1293204"|"91341.0000"|""|""|"91341.0000"|"0.0000"|""
"04-6030253"|"Walter S. Quinlan Foundation"|"1293205"|"281293.0000"|""|""|"281293.0000"|"0.0000"|""
"04-6039556"|"THE GOLDBERG FAMILY FOUNDATION"|"1293206"|"99308.0000"|""|""|"99308.0000"|"0.0000"|""
"04-6043983"|"HAROLD BROOKS FOUNDATION"|"1293207"|"494817.0000"|""|""|"494817.0000"|""|""
"04-6049529"|"The Grass Foundation"|"1293208"|"766999.0000"|""|""|"766999.0000"|""|""
"04-6054237"|"SCOTS CHARITABLE SOCIETY BOSTON WOMANS AUXLIARY BOARD"|"1293209"|"13200.0000"|""|""|"13200.0000"|""|""
"04-6065605"|"William E Schrafft & Bertha E Schrafft Charitable Trust"|"1293210"|"1450000.0000"|""|""|"1450000.0000"|"0.0000"|""
"04-6130871"|"GERONDELIS FOUNDATION INC"|"1293211"|"509129.0000"|""|""|"509129.0000"|"0.0000"|""
"04-6137251"|"THE HANS & ELIZABETH WOLF FOUNDATION"|"1293212"|"123717.0000"|""|""|"123717.0000"|"0.0000"|""
"04-6147160"|"BERYL DAVID AND HARRY NGORIN FOUNDATION"|"1293213"|"63760.0000"|""|""|"64000.0000"|"240.0000"|""
"04-6526806"|"E BROOKS-GR BOST COUNCIL ALCOHOL"|"1293214"|"97671.0000"|""|""|"98345.0000"|"674.0000"|""
"04-6561597"|"NORWOTTOCK CHARITABLE TRUST"|"1293215"|"80630.0000"|""|""|"80630.0000"|"0.0000"|""
"04-6772198"|"The Mary E Murphy and John F Murphy, Jr Charitable Trust"|"1293216"|"23998.0000"|"0.0000"|"0.0000"|"23998.0000"|"0.0000"|"0.0000"
"04-6904482"|"The J Stuart and Elizabeth Moore Charitable Foundation"|"1293218"|"82875.0000"|""|""|"82875.0000"|""|""
"05-0374155"|"RI INTERSCHOLASTIC INJURY FUND"|"1293219"|"112703.0000"|"30994.0000"|""|"112703.0000"|"0.0000"|""
"01-0441158"|"HAWKES SCHOLARSHIP FUND 10 -101160367540"|"1294384"|"95404.0000"|""|""|"96344.0000"|"940.0000"|""
"01-0469155"|"JOHN SAGE FOUNDATION"|"1294385"|"36129.0000"|""|""|"36747.0000"|"618.0000"|""
"01-6007288"|"WING-BENJAMIN TRUST FUND U/W 10 -242000016800"|"1294386"|"38346.0000"|""|""|"38346.0000"|""|""
"01-6020236"|"WADE F & ISABEL G BRACKETT FDN"|"1294387"|"134151.0000"|""|""|"134151.0000"|""|""
"01-6023401"|"IMOGENE MAYBURY T/U/W"|"1294388"|"108047.0000"|""|""|"108047.0000"|""|""
"01-6058647"|"BOYLE MARGARET ST JOHN ST"|"1294389"|"64693.0000"|""|""|"65331.0000"|"638.0000"|""
"01-6080221"|"VERA GRACE GREENLAW TRUST"|"1294390"|"20635.0000"|""|""|"20635.0000"|""|""
"01-6115928"|"STANDISH LAWRENCE SCHOLARSHIP TW 10-101160020340"|"1294391"|"62251.0000"|""|""|"62500.0000"|"249.0000"|""
"02-0310404"|"Gilman Home Inc"|"1294393"|"77662.0000"|""|""|"77662.0000"|""|""
"02-0471515"|"LYMAN FUND INC"|"1294394"|"38377.0000"|""|""|"38377.0000"|""|""
"02-0498236"|"ROY M. MALOOL FAMILY FOUNDATION"|"1294395"|"808674.0000"|""|""|"808838.0000"|"164.0000"|""
"02-6007727"|"SCEVA SPEARE TR FBO BROOKHAVEN HOME FOR BOYS"|"1294396"|"83769.0000"|""|""|"83769.0000"|""|""
"03-0179429"|"THOMAS THOMPSON TRUST"|"1294397"|"613930.0000"|""|""|"613930.0000"|"0.0000"|""
"03-6103976"|"JEFFREY COOK CHARITABLE TRUST LAWRENCE B COHEN, ET AL, TRUSTEES"|"1294399"|"84758.0000"|""|""|"84758.0000"|"0.0000"|""
"04-2103755"|"CHARLESBANK HOMES"|"1294400"|"535679.0000"|""|""|"535679.0000"|"0.0000"|""
"04-2103875"|"BERKSHIRE RETIREMENT HOME, INC"|"1294401"|"3348216.0000"|""|""|"3348216.0000"|"0.0000"|""
"04-2104293"|"WILLIAM TOWNSEND PORTER FOUNDATION"|"1294402"|"137862.0000"|""|""|"137862.0000"|"0.0000"|""
"04-2121771"|"NEWBURYPORT SOCIETY FOR THE RELIEF OF AGED WOMEN INC"|"1294403"|"152635.0000"|""|""|"153110.0000"|"475.0000"|""
"04-2399760"|"THE TJX FOUNDATION, INC."|"1294404"|"8989402.0000"|""|""|"8989402.0000"|"0.0000"|""
"04-2714929"|"WILLIAM HAROLD FRANCIS AUSTIN TRUST U/W EASTERN BANK, TRUSTEE"|"1294405"|"54200.0000"|""|""|"54200.0000"|""|""
"04-3292646"|"Information Research Foundation"|"1294407"|""|""|""|""|""|""
"04-3353621"|"INSTITUTION FOR SAVINGS IN NEWBURPORT & ITS VICINITY CHARITABLE FOUNDATION, INC."|"1294408"|"889183.0000"|""|""|"894206.0000"|"5023.0000"|""
"04-3368515"|"SEAMENS LONG POINT CHARITABLE FOUNDATION, INC."|"1294409"|"119202.0000"|""|""|"119329.0000"|"127.0000"|""
"04-3375821"|"WOODWORTH, G. WALTER UNITRUST"|"1294411"|"112367.0000"|""|""|"112367.0000"|""|""
"04-3424901"|"THE JOHN BUTLER MULLIKEN FOUNDATION INC"|"1294412"|"128673.0000"|""|""|"129393.0000"|"720.0000"|""
"04-3464899"|"THE RAMSEY MCCLUSKEY FAMILY FOUNDATION"|"1294413"|"165014.0000"|""|""|"165014.0000"|""|""
"04-3566439"|"BERKSHIRE LIFE CHARITABLE FOUNDATION"|"1294414"|"104457.0000"|""|""|"104457.0000"|"0.0000"|""
"04-3671809"|"WISH YOU WELL FOUNDATION"|"1294415"|"92187.0000"|""|""|"92187.0000"|""|""
"04-6015548"|"MYRON L FULLER TRUST"|"1294416"|"232664.0000"|""|""|"232664.0000"|""|""
"04-6020266"|"E.P. BINNEY CHARITABLE FND"|"1294417"|"869287.0000"|""|""|"869287.0000"|""|""
"04-6067431"|"NEW ENGLAND EDUCATION SOCIETY"|"1294418"|"79070.0000"|""|""|"79070.0000"|"0.0000"|""
"04-6397630"|"WILLIAM & ALFRED TAFT CHARITABLE TRUST"|"1294420"|"37980.0000"|""|""|"37980.0000"|""|""
"04-6421513"|"PETSAS CHARITABLE TRUST UA"|"1294421"|"32500.0000"|""|""|"32500.0000"|""|""
"04-6500798"|"LOU & LUCIENNE BRIGHTMAN SCHOLARSHIP FDN EASTERN BANK, TRUSTEE"|"1294422"|"19680.0000"|""|""|"19680.0000"|""|""
"04-6549241"|"GOLDHAMMER FAMILY FOUNDATION"|"1294423"|"87825.0000"|""|""|"87825.0000"|"0.0000"|""
"04-6725545"|"CHARLES E. HARWOOD TRUST"|"1294424"|"218284.0000"|""|""|"218284.0000"|"0.0000"|""
"04-7006773"|"THE SARA L. EDDY TRUST CURTIS EDDY & PETER ZUPCOPSKA, TRUSTEES"|"1294426"|"130000.0000"|""|""|"130294.0000"|"294.0000"|""
"01-0222218"|"HATTIE A AND FRED C LYNAM TRUST"|"1295369"|"289293.0000"|""|""|"290873.0000"|"1580.0000"|""
"01-0342663"|"HELEN F WYLE FOUNDATION"|"1295370"|"26497.0000"|""|""|"26497.0000"|""|""
"01-0555919"|"GADDIS FAMILY FOUNDATION, INC."|"1295371"|"45700.0000"|""|""|"45700.0000"|"0.0000"|""
"01-0647596"|"THE POMEROY FAMILY FOUNDATION"|"1295372"|"96577.0000"|""|""|"96962.0000"|"385.0000"|""
"01-0722403"|"L P WASSERMAN FAMILY FOUNDATION"|"1295373"|"137309.0000"|""|""|"137309.0000"|"0.0000"|""
"01-0744113"|"MCCULLOUGH FOUNDATION"|"1295374"|"67285.0000"|""|""|"68250.0000"|"965.0000"|""
"01-0810723"|"HARRY M MIRIAM C WILL C HORTON F"|"1295375"|"335231.0000"|""|""|"340748.0000"|"5517.0000"|""
"01-6009341"|"THE GREENE-MILSTEIN FAMILY FOUNDATION"|"1295376"|"158180.0000"|""|""|"158180.0000"|""|""
"01-6010120"|"JAMES A TAYLOR OSTEOPATHIC HOSP"|"1295377"|"84662.0000"|""|""|"84662.0000"|""|""
"01-6149204"|"OLIVE A COATES CHARITABLE TRUST"|"1295378"|"202800.0000"|""|""|"206879.0000"|"4079.0000"|""
"01-6174485"|"PALMER WALBRIDGE FOUNDATION"|"1295380"|"162697.0000"|""|""|"164814.0000"|"2117.0000"|""
"01-6208130"|"PRYOR E. & ARLENE R. NEUBER CHARITABLE TRUST"|"1295381"|"419539.0000"|""|""|"423387.0000"|"3848.0000"|""
"02-0762730"|"RALPH S. AND FRANCES R. DWECK FAMILY FOUNDATION, INC."|"1295385"|"544904.0000"|""|""|"545102.0000"|"198.0000"|""
"02-6004364"|"ABRAHAM BURTMAN CHARITY TRUST"|"1295386"|"91392.0000"|""|""|"91835.0000"|"443.0000"|""
"02-6005022"|"MARTIN CHARITABLE MEMORIAL FUND"|"1295388"|"130816.0000"|""|""|"130816.0000"|""|""
"02-6007724"|"JACKMAN CHARLES TRUST"|"1295389"|"57807.0000"|""|""|"57807.0000"|""|""
"02-6033716"|"JASON SOMERVILLE TRUST NANCY STEVENSON, TTEE"|"1295390"|"112099.0000"|""|""|"112500.0000"|"401.0000"|""
"02-6169513"|"BALDWIN FAMILY FOUNDATION TRUST"|"1295391"|"256563.0000"|""|""|"257137.0000"|"574.0000"|""
"03-0370623"|"BERGERON FAMILY FOUNDATION"|"1295393"|"88500.0000"|""|""|"88500.0000"|"0.0000"|""
"03-0406308"|"KINNEY DRUGS FOUNDATION. INC."|"1295394"|"798728.0000"|""|""|"798728.0000"|"0.0000"|""
"03-6006013"|"THE COPLEY FUND"|"1295395"|"195400.0000"|""|""|"195400.0000"|"0.0000"|""
"03-6047004"|"ARTHUR H SCOTT MEM VOL TRUST-CHITT"|"1295397"|"65113.0000"|""|""|"65904.0000"|"791.0000"|""
"04-2103930"|"BRANDEGEE CHARITABLE FOUNDATION"|"1295398"|"471967.0000"|""|""|"471967.0000"|"0.0000"|""
"04-2226641"|"THE THORACIC FOUNDATION"|"1295399"|"285000.0000"|""|""|"285000.0000"|"0.0000"|""
"04-2307820"|"BABSON-WEBBER-MUSTARD FUND"|"1295400"|"229186.0000"|""|""|"229186.0000"|"0.0000"|""
"04-2723441"|"DEMOULAS FOUNDATION"|"1295401"|"1711118.0000"|""|""|"1716959.0000"|"5841.0000"|""
"04-2733961"|"DUNKIN BRANDS CHARITABLE TRUST"|"1295402"|"15965.0000"|""|""|"16000.0000"|"35.0000"|""
"04-2754324"|"CROCKETT JAMES UNDERWOOD"|"1295403"|"13473.0000"|""|""|"13629.0000"|"156.0000"|""
"04-3071209"|"THE ROWE FOUNDATION, INC."|"1295405"|"114027.0000"|""|""|"114515.0000"|"488.0000"|""
"04-3078302"|"NORTHEAST CHARITABLE TRUST"|"1295406"|"24072.0000"|""|""|"24072.0000"|"0.0000"|""
"04-3109508"|"FRANK R. AND ELIZABETH SIMONI FOUNDATION INC."|"1295407"|"159838.0000"|""|""|"161150.0000"|"1312.0000"|""
"04-3130418"|"NORTON PUBLIC LIBRARY"|"1295408"|"57557.0000"|""|""|"57951.0000"|"394.0000"|""
"04-3221224"|"OLD MUTUAL ASSET MANAGEMENT CHARITABLE FOUNDATION, INC."|"1295409"|"290492.0000"|""|""|"290492.0000"|""|""
"04-3243114"|"THE CREIGHTON NARADA FOUNDATION"|"1295410"|"563267.0000"|""|""|"563267.0000"|"0.0000"|""
"04-3325424"|"MASSACHUSETTS BANKERS ASSOCIATION CHARITABLE FOUNDATION INC"|"1295411"|"143198.0000"|""|""|"143198.0000"|"0.0000"|""
"04-3367614"|"REMILLARD FAMILY FOUNDATION INC. #0737882"|"1295412"|"846006.0000"|""|""|"846006.0000"|"0.0000"|""
"04-3371223"|"DOUGLAS DRANE CHARITABLE TRUST"|"1295413"|"114796.0000"|""|""|"115300.0000"|"504.0000"|""
"04-3371817"|"THE DENNIS A. O'TOOLE FAMILY FOUNDATION"|"1295414"|"113103.0000"|""|""|"113103.0000"|"0.0000"|""
"04-3383620"|"C LEROY MILLER CHARITABLE FDN 668019011"|"1295415"|"65728.0000"|""|""|"65728.0000"|""|""
"04-3388014"|"SEA BREEZE FOUNDATION-TR"|"1295416"|"88673.0000"|""|""|"88673.0000"|""|""
"04-3426100"|"THE GORDON E. AND MAY R. CADWGAN CHARITABLE FOUNDATION"|"1295417"|"93181.0000"|""|""|"93181.0000"|"0.0000"|""
"04-3430324"|"THE BRUCE AND BARBARA AUSTIN FAMILY FOUNDATION"|"1295418"|"64521.0000"|""|""|"64680.0000"|"159.0000"|""
"04-3494341"|"FLORENCE PETRLIK FAMILY FOUNDATION"|"1295420"|"72481.0000"|""|""|"72481.0000"|""|""
"04-3534717"|"CHRISTOPHER & PATRICIA HIGGINS ARNOLD FOUNDATION"|"1295422"|"22710.0000"|""|""|"22710.0000"|""|""
"04-3541108"|"EPKER-SINHA FOUNDATION"|"1295423"|"500484.0000"|""|""|"517318.0000"|"16834.0000"|""
"04-3543803"|"STEVEN M AND BARBARA GARFINKLE FOUNDATION INC"|"1295424"|"50000.0000"|""|""|"50000.0000"|""|""
"04-3562515"|"GRACE RIVER FOUNDATION JH1361"|"1295425"|"136243.0000"|""|""|"136243.0000"|""|""
"04-3812871"|"KRUPP FAMILY FOUNDATION"|"1295428"|"498544.0000"|""|""|"500000.0000"|"1456.0000"|""
"04-6009430"|"FRANKLIN H PUTNAM T/U/W"|"1295429"|"41960.0000"|""|""|"41960.0000"|""|""
"04-6019020"|"T WALTER CARMAN TUW-SHRINERS"|"1295430"|"170657.0000"|""|""|"170657.0000"|""|""
"04-6019113"|"LOUISE G PEASE B/O BAYSTATE MED"|"1295431"|"88260.0000"|""|""|"88260.0000"|""|""
"04-6020918"|"KING FAMILY FUND TUA"|"1295432"|"74275.0000"|""|""|"74275.0000"|""|""
"04-6023784"|"THE GEORGE I. ALDEN TRUST"|"1295433"|"7442105.0000"|""|""|"7442105.0000"|"0.0000"|""
"04-6027800"|"TAMARACK FOUNDATION"|"1295435"|"123763.0000"|""|""|"124756.0000"|"993.0000"|""
"04-6028223"|"TR U/W JOHN H SANDERSON"|"1295436"|"185756.0000"|""|""|"185756.0000"|""|""
"04-6033804"|"GRACE B STEBBINS TR UA"|"1295437"|"119082.0000"|""|""|"119881.0000"|"799.0000"|""
"04-6033808"|"HERVEY L SMITH UA"|"1295438"|"173417.0000"|""|""|"173417.0000"|""|""
"04-6033910"|"L & F TIFFT FUND TR UA"|"1295439"|"92920.0000"|""|""|"92920.0000"|""|""
"04-6037423"|"ARONSON FOUNDATION, INC."|"1295440"|"56907.0000"|""|""|"57398.0000"|"491.0000"|""
"04-6050419"|"Albert H & Reuben S Stone Fund"|"1295442"|"90293.0000"|""|""|"90293.0000"|""|""
"04-6050818"|"EDNA TALBOT FOR NEW ENGLAND HOME"|"1295443"|"249910.0000"|""|""|"249910.0000"|""|""
"04-6056824"|"NORMAN KNIGHT CHARITABLE FOUNDATION"|"1295444"|"206401.0000"|""|""|"206401.0000"|"0.0000"|""
"04-6079522"|"R ELAINE CROSTON T/U/W"|"1295445"|"21635.0000"|""|""|"21635.0000"|""|""
"04-6082918"|"AIMEE M. L. BECKER TRUST"|"1295446"|"212916.0000"|""|""|"217768.0000"|"4852.0000"|""
"04-6095797"|"GOODING G L IND DTD 5 10 50"|"1295447"|"37620.0000"|""|""|"37620.0000"|""|""
"04-6095991"|"TRUST U/WILL FRED L. ROBBINS"|"1295448"|"19554.0000"|""|""|"19554.0000"|""|""
"04-6115419"|"Eastman Charitable Foundation"|"1295450"|"63950.0000"|"0.0000"|"0.0000"|"63950.0000"|"0.0000"|"0.0000"
"04-6126323"|"ELIOT I AND RUTH SNIDER CHARITABLE TRUST"|"1295451"|"27230.0000"|""|""|"27230.0000"|"0.0000"|""
"04-6128210"|"JOSEPH M. HAMILBURG FOUNDATION"|"1295452"|"80167.0000"|""|""|"80555.0000"|"388.0000"|""
"04-6136421"|"TR U/W M L HEYDT F/B CHARITY"|"1295453"|"210617.0000"|""|""|"210617.0000"|""|""
"04-6145922"|"DAVID GREENEWALT CHARITABLE TRUST WINIFRED I. LI, TRUSTEE"|"1295454"|"94440.0000"|""|""|"94440.0000"|"0.0000"|""
"04-6193022"|"TR U/W MARTIN W. DUGAN EASTERN BANK, CO-TRUSTEE"|"1295455"|"23392.0000"|""|""|"23771.0000"|"379.0000"|""
"04-6266114"|"WILLIAM HOSIER T/U/W"|"1295456"|"15404.0000"|""|""|"15404.0000"|""|""
"04-6278297"|"HELEN U KIELY UW"|"1295457"|"61246.0000"|""|""|"61246.0000"|""|""
"04-6290902"|"ELIOT D & LOUISE T STETSON T/U/I"|"1295458"|"302801.0000"|""|""|"306712.0000"|"3911.0000"|""
"04-6312563"|"GEORGE W DAVENPORT TUW"|"1295459"|"22534.0000"|""|""|"22534.0000"|""|""
"04-6319124"|"R BABSON TUW 25C A & B"|"1295460"|"81738.0000"|""|""|"81738.0000"|""|""
"04-6341523"|"CORNELIUS A WOOD 1969 CHAR TR"|"1295461"|"64681.0000"|""|""|"64681.0000"|""|""
"04-6590209"|"EARLE A GRISWOLD TUA-ST PAUL"|"1295462"|"75872.0000"|""|""|"77207.0000"|"1335.0000"|""
"04-6607624"|"LOU H. WILLEKE TRUST U/W"|"1295463"|"133540.0000"|""|""|"133540.0000"|""|""
"04-6643614"|"MILDRED E GATES T/U/W"|"1295464"|"40905.0000"|""|""|"40905.0000"|""|""
"04-6652923"|"ADELARD AND VALEDA ROY FOUNDATION"|"1295465"|"672717.0000"|"0.0000"|"0.0000"|"678862.0000"|"6145.0000"|"0.0000"
"04-6665830"|"THE ULF B. HEIDE AND ELIZABETH C. HEIDE FOUNDATION CHARITABLE TRUST"|"1295466"|"476350.0000"|""|""|"476350.0000"|"0.0000"|""
"04-6678724"|"ANDREWS TR FUND-CHARITABLE SHS"|"1295467"|"90091.0000"|""|""|"90091.0000"|""|""
"04-6692518"|"ROBERT S PAPE CHARTITABLE FND"|"1295468"|"20416.0000"|""|""|"20416.0000"|""|""
"04-6719809"|"THE ROBBINS-DE BEAUMONT FOUNDATION"|"1295469"|"424928.0000"|""|""|"431563.0000"|"6635.0000"|""
"04-6788009"|"ST MARY'S & ROCHESTER METH HOSP"|"1295471"|"131112.0000"|""|""|"133371.0000"|"2259.0000"|""
"04-6814621"|"MILES & GERTRUDE HANSON FNDN"|"1295472"|"80448.0000"|""|""|"80448.0000"|""|""
"04-6861522"|"WILSON CARUSO CHARITABLE FOUNDATION"|"1295473"|"77500.0000"|""|""|"77500.0000"|"0.0000"|""
"04-6883004"|"PHILIP T. CHAPLIN ET AL TRUSTEES CLOVELLY CHARITABLE TRUST"|"1295474"|"37631.0000"|""|""|"38200.0000"|"569.0000"|""
"04-6896914"|"NOVACK FAMILY FOUNDATION"|"1295475"|"177500.0000"|""|""|"178250.0000"|"750.0000"|""
"04-6904109"|"THE BRESLOW FAMILY FOUNDATION TRUST"|"1295476"|"54500.0000"|""|""|"54500.0000"|"0.0000"|""
"04-3296725"|"THE ERIC & BARBARA CARLE FOUNDATION"|"1297018"|"434360.0000"|""|""|"434360.0000"|"0.0000"|""
"04-3533126"|"Wechsles Family Foundation"|"1297019"|"12506.0000"|""|""|"12506.0000"|"0.0000"|""
"01-0351827"|"HELEN R COE TRUST"|"1297082"|"97300.0000"|""|""|"97300.0000"|""|""
"02-6100139"|"DIXIE WONDERS IRREV TRUST 3035006329"|"1297083"|"115624.0000"|""|""|"115624.0000"|""|""
"04-3489794"|"The Zoller Family Founation, Inc."|"1297100"|"93500.0000"|""|""|"93500.0000"|""|""
"04-3410822"|"WILLIAM N & BERNICE E BUMPUS FOUNDATION"|"1297187"|"205309.0000"|""|""|""|""|""
"04-2214828"|"NECF FOUNDATION INC"|"1297194"|"75000.0000"|""|""|""|""|""
"04-2714713"|"THE GUND ART FOUNDATION"|"1297195"|"5524.0000"|""|""|""|""|""
"04-2943910"|"Stamps Family Charitable Foundation, Inc"|"1297196"|"4665661.0000"|""|""|""|""|""
"04-3683205"|"THE JOHN WHITEHEAD FAMILY FOUNDATION, INC."|"1297197"|"37712.0000"|""|""|""|""|""
"01-0702653"|"DAMICO FAMILY FOUNDATION"|"1297258"|"215000.0000"|""|""|"215000.0000"|"0.0000"|""
"01-0752611"|"THE FAULCONER SCHOLARSHIP PROGRAMS"|"1297259"|"1255224.0000"|""|""|"1255224.0000"|""|""
"01-6162330"|"EDWARD PAYSON GEORGE CHARITABLE TRUST"|"1297260"|"864006.0000"|""|""|"864006.0000"|"0.0000"|""
"01-6182253"|"LOUIS PLANSEON FDN CO-TTEE 485-25198985921"|"1297261"|"360091.0000"|"0.0000"|"0.0000"|"361803.0000"|"1712.0000"|"0.0000"
"02-0488551"|"ROBERT S BRISTOL CHARITABLE TRUST"|"1297262"|"73281.0000"|""|""|"73281.0000"|""|""
"02-0569535"|"THE MAYER FOUNDATION"|"1297263"|"58997.0000"|""|""|"59000.0000"|"3.0000"|""
"02-0774236"|"THE NORMAN A SCHOELL CHARITABLE FOUNDATION INC"|"1297265"|"52780.0000"|""|""|"53021.0000"|"241.0000"|""
"02-6113705"|"FELLER FAMILY CHARITABLE FOUNDATION TRUST"|"1297267"|"134845.0000"|""|""|"136000.0000"|"1155.0000"|""
"03-0369213"|"S D Ireland Cancer Research Fund Inc"|"1297268"|"230483.0000"|""|""|"230483.0000"|""|""
"03-0594338"|"SWIFTWATER FOUNDATION INC"|"1297269"|"125155.0000"|""|""|"126300.0000"|"1145.0000"|""
"03-6070736"|"P MOYNEHAN MEM FD CHARITABLE TR 403051014"|"1297270"|"19133.0000"|"0.0000"|"0.0000"|"19133.0000"|"0.0000"|"0.0000"
"04-2103827"|"NEW BEDFORD DAY NURSERY INC"|"1297273"|"48488.0000"|""|""|"49033.0000"|"545.0000"|""
"04-2104834"|"PILGRIM FOUNDATION"|"1297274"|"191380.0000"|""|""|"192407.0000"|"1027.0000"|""
"04-3257822"|"THE BOSTON CAPITAL FOUNDATION"|"1297275"|"259664.0000"|""|""|"259664.0000"|"0.0000"|""
"04-3371801"|"THE REDMOND FAMILY FOUNDATION"|"1297276"|"78146.0000"|""|""|"78477.0000"|"331.0000"|""
"04-3406251"|"THE PETER AND DEBORAH LAMM FOUNDATION R BRADFORD MALT ET AL TRUSTEES"|"1297277"|"227708.0000"|""|""|"227708.0000"|"0.0000"|""
"04-3442439"|"THOMAS A RODGERS JR FAMILY FOUNDATION"|"1297278"|"1311235.0000"|""|""|"1328097.0000"|"16862.0000"|""
"04-3494455"|"THE GERALD AND JUDITH FELDMAN CHARITABLE FOUNDATION"|"1297279"|"72500.0000"|""|""|"72500.0000"|"0.0000"|""
"04-3498622"|"MISSION HILLFENWAY NEIGHBORHOOD TRUST INC"|"1297280"|"64665.0000"|""|""|"64784.0000"|"119.0000"|""
"04-3517737"|"COGHLIN SERVICES FUND"|"1297281"|"97226.0000"|""|""|"97226.0000"|"0.0000"|""
"04-3581722"|"THE CEDAR STREET FOUNDATION JH1204"|"1297282"|"472960.0000"|""|""|"481391.0000"|"8431.0000"|""
"04-3662001"|"SIEBENTHALER FOUNDATION"|"1297283"|"33178.0000"|""|""|"33178.0000"|"0.0000"|""
"04-3674511"|"THE PETRA FOUNDATION"|"1297284"|"149381.0000"|""|""|"150000.0000"|"619.0000"|""
"04-6012009"|"FRANK R PETERS TRUST"|"1297285"|"353697.0000"|""|""|"353697.0000"|""|""
"04-6026301"|"PERPETUAL TR-UNDESIGNATED"|"1297286"|"938628.0000"|""|""|"938628.0000"|""|""
"04-6037206"|"LANCASTER FOUNDATION"|"1297287"|"52473.0000"|""|""|"52550.0000"|"77.0000"|""
"04-6039510"|"FOUNDATION, INC"|"1297288"|"731125.0000"|""|""|"731125.0000"|"0.0000"|""
"04-6044429"|"Charles Robert Gens Foundation"|"1297289"|"14000.0000"|""|""|"14000.0000"|"0.0000"|""
"04-6050746"|"Church of the Good Shepherd"|"1297290"|"103413.0000"|""|""|"103413.0000"|"0.0000"|""
"04-6060903"|"RIMER TRUST"|"1297291"|"27461.0000"|""|""|"27461.0000"|""|""
"04-6136550"|"SAQUISH FOUNDATION"|"1297292"|"763250.0000"|""|""|"763250.0000"|"0.0000"|""
"04-6742955"|"EDWARD A BOND FOUNDATION"|"1297293"|"35000.0000"|""|""|"35000.0000"|"0.0000"|""
"04-6799734"|"MARY FIELD AND VINCENT DEPAUL GOUBEAU CHARITABLE TR 1996"|"1297294"|"95230.0000"|""|""|"95230.0000"|"0.0000"|""
"04-6833651"|"JAMES L RUBENSTEIN FAMILY FOUNDATION"|"1297295"|"187200.0000"|""|""|"187200.0000"|"0.0000"|""
"04-6906429"|"STEPHEN AND ALICE CUTLER FAMILY FNDTN"|"1297296"|"90000.0000"|""|""|"90000.0000"|"0.0000"|""
"04-6908113"|"QUIRK MARY E IRREV TRUST"|"1297297"|"129281.0000"|"0.0000"|"0.0000"|"130646.0000"|"1365.0000"|"0.0000"
"04-6914538"|"BROWN CHARITABLE FOUNDATION"|"1297298"|"80633.0000"|""|""|"80633.0000"|"0.0000"|""
"01-6007111"|"CLOVER C CLARK MEMORIAL TR 10 -101230022380"|"1298145"|"107838.0000"|""|""|"109140.0000"|"1302.0000"|""
"01-6035550"|"EDWARD P CLARK MEMORIAL TR 10-101230022400"|"1298146"|"376977.0000"|""|""|"383279.0000"|"6302.0000"|""
"02-6012645"|"DEERING FOUNDATION, INC."|"1298148"|"35463.0000"|""|""|"35500.0000"|"37.0000"|""
"04-3335235"|"THE LADD FAMILY FOUNDATION"|"1298149"|"198822.0000"|""|""|"198822.0000"|"0.0000"|""
"04-6024733"|"TTEE U/W OF CLARK HARWOOD"|"1298150"|"99753.0000"|""|""|"100455.0000"|"702.0000"|""
"04-6412350"|"FRED W. WELLS TRUST FUND"|"1298151"|"210674.0000"|""|""|"210674.0000"|""|""
"04-6708737"|"I & E USEN FAMILY CHARITABLE FDN"|"1298152"|"130160.0000"|""|""|"130160.0000"|""|""
"04-6720803"|"HARPLEY FOUNDATION"|"1298153"|"55300.0000"|""|""|"55820.0000"|"520.0000"|""
"05-0467833"|"NICHOLAS CALDARONE FOUNDATION 1030064973"|"1298155"|"56309.0000"|""|""|"56364.0000"|"55.0000"|""
"01-0854918"|"Orcqqia Family Foundation"|"1300524"|"1149534.0000"|"0.0000"|"0.0000"|"1149534.0000"|"0.0000"|"0.0000"
"02-6015114"|"HUBBARD FARMS CHARITABLE FOUNDATION"|"1300526"|"58220.0000"|""|""|"58526.0000"|"306.0000"|""
"03-0213310"|"RONALD TERRILL MEMORIAL FUND, INC."|"1300527"|"24000.0000"|""|""|"24000.0000"|"0.0000"|""
"03-0346513"|"THE ORTON FAMILY FOUNDATION, INC."|"1300528"|"2108115.0000"|"0.0000"|"0.0000"|"2119608.0000"|"11493.0000"|"0.0000"
