"C_EIN"|"C_Org_Name"|"RULING_DATE_XIV"|"XIV_4942_3"|"XIV_4942_5"|"XML_DOCUMENT_ID"
"04-3446341"|"THE CHARLES AND CERISE JACOBS CHARITABLE FOUNDATION"|""|""|""|"1404377"
"04-3494117"|"KELLY FAMILY CHARITABLE FOUNDATION"|""|""|""|"1404381"
"04-3510635"|"NEW BREEZE FOUNDATION"|""|""|""|"1404382"
"04-3512637"|"OUYANG YU FOUNDATION"|""|""|""|"1404383"
"04-3558239"|"THE FNSBIE FAMILY FOUNDATION"|""|""|""|"1404384"
"04-3632641"|"THE CHILDREN'S INVERSTMENT FUND FOUNDATION"|""|""|""|"1404387"
"04-6114839"|"FRANCES R DEWING FOUNDATION 7565-07552015480"|""|""|""|"1404395"
"04-6746134"|"THE LIVING WATERS TRUST"|""|""|""|"1404396"
"04-6911403"|"THE SDSC GLOBAL FOUNDATION"|""|""|""|"1404398"
"05-0376170"|"THE RUTH AND SAMUEL MARKOFF FOUNDATION"|""|""|""|"1404403"
"01-6044693"|"H CARVER TR FBO GOODALL HOSP-CARVER"|""|""|""|"1406934"
"02-0787615"|"CALABAR FOUNDATION"|""|""|""|"1406952"
"02-6110470"|"ANNIE L ROWELL INTERVIVOS TRUST 426245015"|""|""|""|"1406954"
"04-1611615"|"MEMORIAL FOUNDATION FOR THE BLIND INC"|""|""|""|"1406970"
"04-2400070"|"LYNN HOME FOR ELDERLY PERSONS"|"9/1/1985 12:00:00 AM"|"Y"|""|"1406980"
"04-3371941"|"Messler Family Foundation"|""|""|""|"1407007"
"04-6009170"|"MARGARET M HURLEY RES TR"|""|""|""|"1407016"
"04-6019793"|"ALICE W MILES T/U/W-WORC HS"|""|""|""|"1407017"
"04-6026051"|"CAROLINE FABENS-APPTD FD U/W"|""|""|""|"1407018"
"04-6033442"|"CALKINS FBO SALVATION ARMY UW FLEET NATIONAL BANK"|""|""|""|"1407019"
"04-6038293"|"GERMAN AID SOCIETY OF BOSTON INC"|""|""|""|"1407020"
"04-6047134"|"CHARLES MONTAGUE CHARITABLE TR"|""|""|""|"1407021"
"04-6058434"|"KAUDERS CHARITABLE TRUST"|""|""|""|"1407023"
"04-6078603"|"COCHRAN GIFFORD A TR U/IND"|""|""|""|"1407025"
"04-6089241"|"MABEL A. HORNE FUND FLEET NATIONAL BANK"|""|""|""|"1407026"
"04-6242439"|"OSCAR J. GEORGE TRUST 003077"|""|""|""|"1407031"
"04-6747335"|"BEMIS-TRUST IN DIVERSITY THOMAS E. PECKHAM, TRUSTEE"|""|""|""|"1407032"
"04-6749251"|"FIELDS/HANNAGAN/WALTERS FNDN"|""|""|""|"1407033"
"04-6840915"|"THE PLOURDE FAMILY CHARITABLE TRUST"|""|""|""|"1407034"
"01-0546160"|"Redco Foundation, Inc."|""|""|""|"1409383"
"01-6042302"|"JOHN B CROCKETT TRUST"|""|""|""|"1409384"
"02-0511160"|"HELEN & WILLIAM MAZER FOUNDATION"|""|""|""|"1409385"
"03-0323120"|"THE MORRIS & BESSIE ALTMAN FOUNDATION"|""|""|""|"1409386"
"03-0569654"|"THE HIGGINS FAMILY CHARITABLE FOUNDATION"|""|""|""|"1409387"
"03-6016628"|"MERCHANTS BANK FOUNDATION, INC."|""|""|""|"1409388"
"04-2747025"|"HARRY L. BRADLEY JR CHARITABLE FUND"|""|""|""|"1409389"
"04-3492753"|"MORTON AND LILLIAN WALDFOGEL CHARITABLE FOUNDATION"|""|""|""|"1409390"
"04-3528495"|"JAMES W. O'BRIEN FOUNDATION, INC."|""|""|""|"1409391"
"04-6008252"|"CHARLES W. HOLTZER FUND NO. 3"|""|""|""|"1409393"
"04-6009247"|"JENNIE SEARS MCSHANE TRUST"|""|""|""|"1409394"
"04-6009254"|"IDA S. BARTER TRUST"|""|""|""|"1409395"
"04-6096075"|"FARNSWORTH CHARLES H CHARITABLE TRUST"|""|""|""|"1409397"
"04-6096914"|"RUSSELL W S UW BEN G A RUSSELL"|""|""|""|"1409398"
"04-6096926"|"COX CHARLES M U IND DTD 12 31 34"|""|""|""|"1409399"
"04-6110988"|"THE COLONIAL SOCIETY OF MASSACHUSETTS THOMAS R APPLETON, TREASURER"|"5/26/1987 12:00:00 AM"|"Y"|""|"1409401"
"04-6448653"|"FLORA T LITTLE"|""|""|""|"1409403"
"04-6746970"|"DUNIRY FOUNDATION"|""|""|""|"1409404"
"04-6768027"|"THE JOSEPH NOVAKOFF CHARITABLE FOUNDATION"|""|""|""|"1409405"
"04-6869254"|"ESTHER B. KAHN CHARITABLE FOUNDATION"|""|""|""|"1409406"
"04-6935987"|"EDITH CROCKER CHARITABLE TRUST JM FORBES & CO. LLP"|""|""|""|"1409409"
"02-0622126"|"RESMED FOUNDATION"|""|""|""|"1410298"
"04-3391926"|"GRAVESTAR FOUNDATION"|""|""|""|"1410303"
"04-3469426"|"LARSSON DANFORTH FAMILY FOUNDATION"|""|""|""|"1410304"
"04-3544626"|"RUDDEN POSNER FAMILY FOUNDATION"|""|""|""|"1410306"
"04-3366125"|"IKEDA CENTER FOR PEACE LEARNING AND DIALOGUE INC"|"4/28/1998 12:00:00 AM"|"Y"|""|"1410643"
"04-6012026"|"FRANK R PETERS TRUST"|""|""|""|"1410646"
"04-6020426"|"CHARLES G PRINGLE FOUNDATION"|""|""|""|"1410647"
"01-6009480"|"HELEN W. MOULTON FUND"|""|""|""|"1410976"
"03-0345055"|"GEORGE W. MERGENS FOUNDATION"|""|""|""|"1410977"
"04-3216632"|"CATHERINE & PAUL BUTTENWIESER FOUNDATION"|""|""|""|"1410978"
"04-3400633"|"THE DURANT FAMILY FOUNDATION #0745364"|""|""|""|"1410979"
"04-3496080"|"THE GREGORY FOUNDATION TRUST"|""|""|""|"1410980"
"04-6008355"|"GEORGE E. BARNARD TRUST"|""|""|""|"1410981"
"04-6008730"|"EDWIN M. THAYER TRUST"|""|""|""|"1410982"
"04-6011934"|"GENNIE B ROBINSON TRUST"|""|""|""|"1410983"
"04-6046234"|"HELEN G. BUDD MEMORIAL FUND"|""|""|""|"1410984"
"04-6060558"|"TAZEWELL FOUNDATION"|""|""|""|"1410985"
"04-6069834"|"The Fragment Society"|""|"Y"|""|"1410986"
"04-6131903"|"WALNUT HILL FOUNDATION"|""|""|""|"1410987"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|""|""|""|"1411164"
"04-3179137"|"DENNIS AND MARION MAVROGENIS TRUST FUND"|""|""|""|"1411169"
"02-6142736"|"STERZING MEMORIAL SCHOLARSHIP FUND"|""|""|""|"1411539"
"01-6009431"|"CARL E DANFORTH"|""|""|""|"1411804"
"03-0184240"|"OM FISHER HOME INC"|"1/1/1989 12:00:00 AM"|"Y"|""|"1411915"
"04-2104439"|"ENDOWMENT FOR BIBLICAL RESEARCH"|""|""|""|"1411916"
"04-3118545"|"SWEET WATER TRUST"|""|""|""|"1411919"
"01-0211537"|"OAK GROVE SCHOOL"|""|""|""|"1412304"
"01-6008547"|"THE HORACE WILLIAMS MEMORIAL FUND KENNEBEC SAVINGS BANK, AGENT FOR TRUSTEE"|""|""|""|"1412307"
"04-2133244"|"THE FREDERICK E WEBER CHARITABLE CORP"|""|""|""|"1412311"
"04-6093047"|"WARREN FRANCES KNOWLES TR U/IND"|""|""|""|"1412316"
"04-6093840"|"SHEATH DOROTHY MELCHER TR U/IND"|""|""|""|"1412317"
"04-6423442"|"TOMPKINS EDNA H TR U/WILL"|""|""|""|"1412320"
"04-6091346"|"CHICKERING CAROLINE E TR U/WILL"|""|""|""|"1412972"
"04-6091533"|"LAWRENCE DANIEL W TR U/AGREE"|""|""|""|"1412973"
"04-6091978"|"CONVERSE M I FBO HAHNEMANN FDN-TR"|""|""|""|"1412974"
"04-6092036"|"RICHARDS HELEN R TR U/WILL"|""|""|""|"1412975"
"01-0632648"|"FEATHER FOUNDATION INC"|""|""|""|"1413932"
"01-0636574"|"GEORGEJACK & JOAN SHUSTER FOUNDATION"|""|""|""|"1413933"
"01-6209149"|"KENNETH LINDSAY FOUNDATION"|""|""|""|"1413943"
"02-0798199"|"TRUBRADOR FOUNDATION"|""|""|""|"1413953"
"02-6013556"|"CASEY FAMILY FOUNDATION"|""|""|""|"1413954"
"02-6170948"|"JERRY R JUNKINS FAMILY FOUNDATION"|""|""|""|"1413955"
"03-0577385"|"THE MCMASTER FAMILY FOUNDATION INC"|""|""|""|"1413963"
"04-3133049"|"RICHARD K & NANCY L DONAHUE CHAR FDTN"|""|""|""|"1413980"
"04-3425079"|"HOWELL FAMILY CHARITABLE FOUNDATION"|""|""|""|"1413990"
"04-3439357"|"THE JOHN J & SUSAN DORAN FAMILY FOUNDATION"|""|""|""|"1413991"
"04-3464855"|"THOMAS S GUNNING SCHOLARSHIP FOUNDATION INC"|""|""|""|"1413993"
"04-3479749"|"THE MILFORD NATIONAL CHARITABLE FOUNDATION INC"|""|""|""|"1413994"
"04-3495449"|"EMILIE S WELLES FOUNDATION"|""|""|""|"1413996"
"04-3526349"|"THE CROSS FOUNDATION"|""|""|""|"1413998"
"04-3578370"|"NICHOLS VILLAGE INC"|""|""|""|"1414002"
"04-6037026"|"THE SUDBURY FOUNDATION"|""|""|""|"1414008"
"04-6051258"|"ADELAIDE BREED BAYRD FOUNDATION"|""|""|""|"1414010"
"04-6063152"|"ROGERS FAMILY FOUNDATION"|""|""|""|"1414012"
"04-6108949"|"WILLIAM H REISNER FOUNDATION"|""|""|""|"1414013"
"04-6113249"|"BENJAMIN H KATZ FAMILY FOUNDATION"|""|""|""|"1414014"
"04-6875099"|"THE ROBERT AND MICHELLE COOKE ATCHINSON FOUNDATION"|""|""|""|"1414017"
"01-6070365"|"M. MCKENNEY & E. W. BOOKER EDUCATION TR."|""|""|""|"1416293"
"02-0222149"|"TAYLOR COMMUNITY"|"12/9/1985 12:00:00 AM"|"Y"|""|"1416296"
"02-6046966"|"ADELE GIFFORD RESIDUARY TRUST 360888010"|""|""|""|"1416310"
"04-1302043"|"FARNSWORTH LUCY C TR U/WILL"|""|""|""|"1416321"
"04-2105854"|"WORLD PEACE FOUNDATION"|"5/20/1981 12:00:00 AM"|"Y"|""|"1416328"
"04-2133252"|"Hopedale Community House Inc"|"3/9/1978 12:00:00 AM"|"Y"|""|"1416329"
"04-3420457"|"THE RICA CHARITABLE TRUST"|""|""|""|"1416359"
"04-3464255"|"F. Felix Foundation"|""|""|""|"1416360"
"04-6025957"|"FRANK M NOONAN F/B/O DEBORAH MUNROE NOONAN MEMORIAL FUND"|""|"Y"|"Y"|"1416364"
"04-6039361"|"FISHER AND FUEL SOCIETY OF BEVERLY"|""|""|""|"1416365"
"04-6044784"|"ROSENFELD MAX C TR U/WILL"|""|""|""|"1416366"
"04-6046890"|"DEAN WELFARE TRUST-TR"|""|""|""|"1416368"
"04-6091358"|"CONANT WILLIAM H TR U/IND"|""|""|""|"1416370"
"04-6091592"|"PERMANENT SCIENCE FUND TR U/DECL"|""|""|""|"1416371"
"04-6091666"|"SMITH TIMOTHY TR U/WILL"|""|""|""|"1416372"
"04-6092496"|"WARREN FRANCES KNOWLES TR U/IND"|""|""|""|"1416373"
"04-6092559"|"REED FANNY B TR U/WILL"|""|""|""|"1416374"
"04-6092957"|"FAUNCE EDWARD P TR U/WILL"|""|""|""|"1416375"
"04-6093280"|"PETHYBRIDGE HARRY M-TR"|""|""|""|"1416376"
"04-6093555"|"LEIGHTON EDWARD K TR U/WILL"|""|""|""|"1416377"
"04-6093897"|"CHASE ALICE P TR U/IND"|""|""|""|"1416378"
"04-6094293"|"TR U/WILL COLMAN BLANCHE E"|""|""|""|"1416379"
"04-6237788"|"PRINCE LUCINDA WYMAN TR U/WILL"|""|""|""|"1416382"
"04-6477185"|"MEYER HAROLD TR U/AGREE"|""|""|""|"1416384"
"04-6595469"|"SHAUGHNESSY CHARITABLE TRUST"|""|""|""|"1416385"
"04-6740855"|"VERROCHI FAMILY CHARITABLE TRUST"|""|""|""|"1416386"
"04-6011097"|"GEORGE W.P. MAGEE TRUST"|""|""|""|"1418047"
"04-3473585"|"BARBARA LEE FAMILY FOUNDATION INC"|""|""|""|"1418232"
"02-0439653"|"DODGE SCHOLARSHIP FOR GIRLS"|""|""|""|"1419076"
"04-2104384"|"LEND A HAND SOCIETY"|""|""|""|"1419079"
"04-2752893"|"HYDE CHARITABLE FOUNDATION"|""|""|""|"1419080"
"04-6036092"|"THEODORE EDSON PARKER FOUNDATION"|""|""|""|"1419082"
"04-6039593"|"THE AARON FOUNDATION"|""|""|""|"1419083"
"04-6092890"|"WHITNEY MARY D TR U/WILL"|""|""|""|"1419452"
"04-3236053"|"THE MORNINGSTAR FAMILY FOUNDATION"|""|""|""|"1420362"
"04-3448695"|"The Ludes Family Foundation"|""|""|""|"1420363"
"04-6155696"|"THE ART COMPLEX INC"|""|"Y"|""|"1420366"
"02-0331198"|"RANNIE WEBSTER FOUNDATION"|""|"Y"|""|"1420627"
"02-6006398"|"GEORGE A WENTWORTH 1994 TRUST 5129150"|""|""|""|"1420629"
"04-6013598"|"BUSHROD H. CAMPBELL & ADAH F. HALL CHARITY FUND"|""|""|""|"1420640"
"02-0519812"|"CENTENNIAL SENIOR CENTER, INC."|""|"Y"|""|"1420869"
"02-0759145"|"DOWNEY-SHORT FOUNDATION"|""|""|""|"1420870"
"03-0473333"|"JEROME A. YAVITZ CHARITABLE FOUNDATION, INC."|""|""|""|"1420871"
"03-6007183"|"FLECTHER FARM FOUNDATION, INC."|""|"Y"|""|"1420872"
"04-3397681"|"TOWARDS SUSTAINABILITY FOUNDATION"|""|""|""|"1420874"
"04-6026314"|"ALFRED CHASE CHARITY FDN U/I"|""|""|""|"1420875"
"04-6036788"|"CHARLES H HOOD FUND"|""|""|""|"1421342"
"04-2111388"|"The Fitch Home, Inc."|"7/9/1986 12:00:00 AM"|"Y"|""|"1421383"
"04-6173120"|"TEKULSKY ANNA HARVEY TR U/DECL"|""|""|""|"1421384"
"03-0496899"|"THE MOORE FAMILY FOUNDATION"|""|""|""|"1421408"
"01-0683241"|"VOPICKA FAMILY FOUNDATION INC."|""|"Y"|"Y"|"1422297"
"03-0463941"|"THE A M FOUNDATION F/K/A USHER AND MIRIAM MEISELS FAMILY FOUNDATION"|"2/19/2003 12:00:00 AM"|""|""|"1422299"
"03-0485661"|"JUDSON FAMILY FOUNDATION, INC"|""|""|""|"1422300"
"04-2683042"|"PERKINELMER FOUNDATION"|""|""|""|"1422301"
"04-3360241"|"LUCY A COOLEDGE TUA"|""|""|""|"1422303"
"04-6008443"|"BERNARD W DOYLE TRUST"|""|""|""|"1422304"
"04-6022766"|"THE S.S. FORBES TEACHERS FUND"|""|""|""|"1422305"
"04-6049543"|"GERMAN LADIES AID SOCIETY OF BOSTON, INC"|""|""|""|"1422306"
"04-6050619"|"ANDOVER HOME FOR AGED PEOPLE"|""|""|""|"1422307"
"04-6079166"|"Elisha V. Ashton Trust U/W"|""|""|""|"1422308"
"04-6091916"|"KELLY ROBERT H TR U/IND"|""|""|""|"1422309"
"04-6609917"|"THE KELSEY TRUST"|""|""|""|"1422310"
"04-6745180"|"THE IORIO CHARITABLE FOUNDATION"|""|""|""|"1422311"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|""|""|""|"1427679"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|""|""|""|"1427680"
"04-6014190"|"SALEM FEMALE CHARITABLE SOCIETY"|""|""|""|"1427681"
"04-6033865"|"ARTHUR D BUDD U/A"|""|""|""|"1427682"
"01-0131950"|"PLANT MEMORIAL HOME"|"5/3/1973 12:00:00 AM"|"Y"|""|"1429281"
"04-6013050"|"STEPHEN D AND SUSAN W PAINE FOUNDATION"|""|""|""|"1429282"
"04-6037650"|"CLARK CHARITABLE TRUST"|""|""|""|"1429283"
"04-3250513"|"MARK S & DONNA LEVENTHAL FAMILY FOUNDATION INC"|""|""|""|"1435535"
"01-0211504"|"The Eunice Frye Home Foundation"|""|""|""|"1435569"
"01-0523143"|"Oxford Hills Scholarship Foundation"|""|""|""|"1435575"
"01-0561393"|"ROBERT HAYWOOD MORRISON FDN"|""|""|""|"1435576"
"01-0626611"|"WALTER PAYNE FOUNDATION"|""|""|""|"1435577"
"01-6173503"|"EVELYN E. STRICKLIN SCHOLARSHIP FOUNDATION"|""|""|""|"1435578"
"02-6059690"|"WALDO & ALICE AYER TRUST 5085010282"|""|""|""|"1435583"
"02-6080902"|"Anne S Howells Charitable Trust"|""|""|""|"1435584"
"04-2104767"|"THE PEABODY FOUNDATION INC"|""|""|""|"1435590"
"04-2111219"|"NEWBURYPORT SOCIETY FOR THE RELIEF OF AGED MEN"|""|"Y"|""|"1435591"
"04-2306840"|"THE SWAN SOCIETY IN BOSTON INC"|"1/10/1989 12:00:00 AM"|"Y"|""|"1435593"
"04-2738800"|"COSTAS AND MARY MALIOTIS CHARITABLE FOUNDATION - 1981"|""|""|""|"1435597"
"04-3212098"|"HINDA L & ARTHUR MARCUS FOUNDATION FKA FRED & HINDA SHUMAN FOUNDATION"|""|""|""|"1435600"
"04-3214315"|"PAUL & ELAINE CHERVINSKY CHARITABLE FOUNDAITON"|""|""|""|"1435601"
"04-3348263"|"THE BEHRAKIS FOUNDATION"|""|""|""|"1435603"
"04-3371560"|"JOHN A MCNEICE JR CHARITABLE FOUNDATION"|""|""|""|"1435605"
"04-3484554"|"SIRAD FOUNDATION INC"|""|""|""|"1435607"
"04-3525914"|"YOUNG FAMILY FOUNDATION"|""|""|""|"1435608"
"04-3583365"|"HAMPDEN SAVINGS FOUNDATION INC"|""|""|""|"1435610"
"04-3721096"|"THE BLACK DOG FOUNDATION"|""|""|""|"1435613"
"04-6011911"|"EARLE P CHARLTON TRUST"|""|""|""|"1435615"
"04-6011912"|"IDA S. CHARLTON FUND"|""|""|""|"1435616"
"04-6012766"|"AMERICAN MEMORIAL HOSPITAL INC."|""|""|""|"1435618"
"04-6044779"|"THE HOPEDALE FOUNDATION"|""|""|""|"1435619"
"04-6065495"|"NATHANIEL TAYLOR FUND, INC"|""|""|""|"1435622"
"04-6820993"|"M HOLT MASSEY CHARITABLE TRUST 15011602"|""|""|""|"1435624"
"04-6824225"|"MICHAEL R. KIDDER FAMILY FOUNDATION"|""|""|""|"1435625"
"04-6855617"|"VIRGINIA J COOK FOUNDATION"|""|""|""|"1435626"
"04-6905753"|"THE FISH FAMILY FOUNDATION"|""|""|""|"1435627"
"04-6923387"|"COGAN FAMILY FOUNDATION"|""|""|""|"1435629"
"04-3292638"|"JAMES AND BEATRICE SALAH FAMILY FOUNDATION TWN OF CANTON"|""|""|""|"1436660"
"02-6119238"|"LILLIAN PRENDERGAST IRRV CHARITABLE TR"|""|""|""|"1436721"
"04-3140238"|"The Stephen J. Hendrickson Foundation, Inc"|""|""|""|"1436722"
"01-0212437"|"MCARTHUR HOME FOR AGED PEOPLE ASSN."|""|""|""|"1437173"
"01-0566453"|"THE B Z FOUNDATION"|""|""|""|"1437213"
"01-0576324"|"STEVAN 7 CYNIHIA PEARCE CHARITABLE OUNDATION"|""|""|""|"1437215"
"01-0739297"|"39-15C046779631 TWO WEST FOUNDATION"|""|""|""|"1437228"
"01-6010608"|"BANGOR FUEL SOCIETY EATON PEABODY"|"4/30/1973 12:00:00 AM"|"Y"|""|"1437241"
"02-0222124"|"ALEXANDER EASTMAN FOUNDATION"|""|""|""|"1437249"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING INC"|""|"Y"|""|"1437265"
"02-0586953"|"NEW HORIZONS SUPPORT FOUNDATIONINC"|""|""|""|"1437276"
"02-0703907"|"The Ruth and Hal Launders Charitable Trust"|""|""|""|"1437289"
"04-2104430"|"SAILORS' SNUG HARBOR OF BOSTON INC"|""|""|""|"1437352"
"04-2275506"|"SERVICE CENTER OF GREATER LAWRENCE, INC."|""|""|""|"1437362"
"04-2711822"|"OBERMAYER FOUNDATION INC"|"1/9/1995 12:00:00 AM"|"Y"|""|"1437412"
"04-3210639"|"ROBERT E DAVOLI & EILEEN L MCDONAGH CHARITABLE FOUNDATION"|""|""|""|"1437444"
"04-3336274"|"THE ROY F COPPEDGE III CHARITABLE FDN"|""|""|""|"1437456"
"04-3340591"|"THE RUETTGERS FAMILY CHARIT FOUNDATION"|""|""|""|"1437457"
"04-3493675"|"BARAKAT, INC."|"4/10/2006 12:00:00 AM"|"Y"|""|"1437473"
"04-3494831"|"Eos Foundation"|""|""|""|"1437474"
"04-3619122"|"THE SPENCE FAMILY FOUNDATION"|""|""|""|"1437482"
"04-3731472"|"ELIZABETH S BLACK CHARITABLE TRUST PNC BANK NA"|""|""|""|"1437488"
"04-6032773"|"MACK INDUSTRIAL SCHOOL"|""|""|""|"1437494"
"04-6034977"|"BOSTON BAPTIST SOCIAL UNION"|""|""|""|"1437495"
"04-6040535"|"TRUSTEES OF THE PUTNAM FREE SCHOOL"|""|""|""|"1437498"
"04-6053295"|"LOUIS E WOLFSON FOUNDATION"|""|""|""|"1437502"
"04-6054630"|"POMROY REBECCA FOUNDATION INC (CUST)"|""|""|""|"1437503"
"04-6061028"|"TR UW HELEN F KIMBALL-THE MOSES KIMBALL FUND FOR PROMOTION OF GOOD CITIZENSHIP"|""|""|""|"1437505"
"04-6646727"|"ALBERT FLEMING INSURANCE TRUST"|""|""|""|"1437525"
"01-6135476"|"BREWER & MCKAY SCHOLARSHIP PFDN 10-242000378020"|""|""|""|"1443777"
"04-2659411"|"ROSSE FAMILY CHARITABLE FOUNDATION, INC."|""|""|""|"1443778"
"04-2947276"|"KATZ FAMILY FOUNDATION (F/K/A SPRINGHOUSE FOUNDATION)"|""|""|""|"1443779"
"04-3342111"|"FRANK AND BRINNA SANDS FOUNDATION"|""|""|""|"1443780"
"04-6042910"|"WILLIAM AND CYNTHIA MARCUS FAMILY CHARITABLE TRUST"|""|""|""|"1443781"
"04-6133810"|"KARGMAN CHARITABLE & EDUCATIONAL FOUNDATION INC"|""|""|""|"1443782"
"01-0553351"|"DANCING TIDES FOUNDATION, INC."|""|""|""|"1444109"
"04-2104808"|"MERRIMACK RIVER VALLEY HOUSE INC"|"5/1/1950 12:00:00 AM"|""|""|"1444194"
"04-6635207"|"KENNETH S. DONNELL TRUST"|""|""|""|"1444195"
"01-6017321"|"KEY BANK - CENTRAL MAINE FDN 10-101230297402"|""|""|""|"1444615"
"01-6180869"|"ALICE A PAXTON CHARITABLE TRUST"|""|""|""|"1444616"
"02-6003957"|"RUSSELL T & OLIVE V BARTLETT TRUST 3020000764"|""|""|""|"1444644"
"03-6010574"|"Lamson Howell Foundation Inc"|""|""|""|"1444680"
"04-2105771"|"THE LOWELL INSTITUTE"|""|""|""|"1444692"
"04-3303760"|"WEBSTER FIVE FOUNDATION, INC."|""|""|""|"1444764"
"04-6012091"|"EARLE P. CHARLTON TRUST"|""|""|""|"1444785"
"04-6047957"|"HAVERHILL FEMALE BENEVOLENT SOCIETY"|""|"Y"|""|"1444786"
"04-6171963"|"HORACE C HUNT MEMORIAL FOUNDATION"|""|""|""|"1444800"
"04-6384983"|"GEORGE H & JANE A MIFFLIN MEMORIAL FUND 15005012"|""|""|""|"1444801"
"04-6528085"|"LEONARD & HILDA KAPLAN CHARITABLE FOUNDATION"|""|""|""|"1444803"
"01-0265587"|"HIGHER EDUCATION ASSISTANCE FOUNDATION"|""|""|""|"1449793"
"01-0485964"|"JANET H & C HARRY KNOWLES FOUNDATION INC A/K/A KNOWLES SCIENCE TEACHING FD INC"|"3/1/2004 12:00:00 AM"|"Y"|""|"1449799"
"01-0852699"|"TABAT FAMILY FOUNDATION INC"|""|""|""|"1449810"
"01-6007022"|"LEVEY, A S PERP FOUNDATION 10 -242000367720"|""|""|""|"1449812"
"01-6009168"|"KING SPRUCE COMPANY"|""|""|""|"1449813"
"03-0363251"|"STOWE SWIMMERS FOUNDATION LTD, D/B/A THE SWIMMING HOLE"|"11/14/2000 12:00:00 AM"|"Y"|""|"1449844"
"03-6004866"|"Cone Automatic Machine"|""|""|""|"1449852"
"04-2104694"|"MARBLEHEAD FEMALE HUMANE SOCIETY INC"|""|"Y"|""|"1449858"
"04-2752515"|"CHAMBERLAIN FOUNDATION"|""|""|""|"1449882"
"04-2947391"|"THE C JEAN & MYLES MCDONOUGH CHARITABLE FOUNDATION"|""|""|""|"1449887"
"04-3107591"|"Harold and Anna S. Ullian Charitable Foundation"|""|""|""|"1449892"
"04-3134266"|"JOHN & SONIA LINGOS FAMILY FOUNDATION INC"|""|""|""|"1449893"
"04-6050139"|"FP Worthen Foundation"|""|""|""|"1449915"
"04-6552121"|"C.J.L. CHARITABLE FOUNDATION"|""|""|""|"1449919"
"04-6772317"|"LEBLANG CHARITABLE FOUNDATION DAVID B LEBLANG TRUSTEE"|""|""|""|"1449921"
"01-6019033"|"MAX KAGAN FAMILY FOUNDATION"|""|""|""|"1452467"
"04-3177633"|"THE FASSINO FOUNDATION INC"|""|""|""|"1452468"
"04-6694692"|"THE POUNDATION FOR AN AMERICAN VISION"|""|""|""|"1452726"
"04-6091333"|"BUSIEL FRANK E TR U/WILL"|""|""|""|"1454064"
"04-6185933"|"BAILEY FREDERICK A TR U/WILL"|""|""|""|"1454065"
"04-2940520"|"The Cornerstone Foundation"|""|""|""|"1454075"
"04-3173231"|"ROBERT AND MOLLY TARR CHARITABLE FOUNDATION"|""|""|""|"1454770"
"04-6006506"|"BOSTON FATHERLESS & WIDOS SOCIETY"|""|""|""|"1454822"
"04-6046756"|"ROWLAND FOUNDATION INC."|""|""|""|"1454823"
"04-6470644"|"NEW BALANCE FOUNDATION"|""|""|""|"1454839"
"04-6036558"|"Amelia Peabody Foundation"|""|""|""|"1460134"
"04-2103958"|"THE CAMBRIDGE HOMES"|"5/11/1987 12:00:00 AM"|"Y"|""|"1460189"
"04-3444155"|"The Don & Manlyn Rodman Foundation"|""|""|""|"1460203"
"03-0368595"|"BEN COHEN CHARITABLE TRUST"|""|""|""|"1462965"
"01-6027394"|"MARGARET J S KENNEDY TRUST"|""|""|""|"1470851"
"01-0537471"|"Planet Dog Foundation"|""|""|""|"1472533"
"04-3492171"|"The Adi and Jerry Greenberg Foundation"|""|""|""|"1472534"
"04-3812871"|"KRUPP FAMILY FOUNDATION"|""|""|""|"1472535"
"01-6136971"|"ALBERT H. YOUNG BANGOR SAVINGS BANK TRUSTEE"|""|""|""|"1473198"
"02-0516305"|"LYMAN B POPE JR FOUNDATION"|""|""|""|"1473200"
"02-6004471"|"SAMUEL P. HUNT FOUNDATION"|""|""|""|"1473201"
"02-6004971"|"AGNES M. LINDSAY TRUST"|""|""|""|"1473202"
"03-0277007"|"RAYMOND & LORRAINE LETOURNEAU EDUCATIONAL FOUNDATION"|""|""|""|"1473203"
"04-3342405"|"SALEM FIVE CHARITABLE FOUNDATION, INC."|""|""|""|"1473204"
"04-6016107"|"MILTON L. WILLIAMS TRUST UW EASTERN BANK TRUSTEE"|""|""|""|"1473206"
"04-6019105"|"FREDERICK H GILLETT TUW-YMCA"|""|""|""|"1473207"
"04-6024405"|"WILHELMINA W JACKSON T/U/W"|""|""|""|"1473208"
"04-6038871"|"IM WESTFIELD ACADEMY"|""|""|""|"1473209"
"04-6139771"|"HOWARD A WEAVER-BEXLEY HALL SEM"|""|""|""|"1473210"
"04-6437271"|"NATHANIEL WHEELER T/U/A-WORC"|""|""|""|"1473212"
"04-6479105"|"PAGE MILDRED & CHARLES TRUST"|""|""|""|"1473213"
"04-6712607"|"ROBERT RIMMELE SCHOLARSHIP FD"|""|""|""|"1473214"
"04-6829607"|"MARION N ROAF T/U/A"|""|""|""|"1473215"
"04-3183600"|"Stride Rite Philanthropic Foundation Inc."|""|""|""|"1473720"
"01-6149204"|"OLIVE A COATES CHARITABLE TRUST"|""|""|""|"1473771"
