"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"INVEST_INC_TAX"|"TAX_DUE"
"04-3366125"|"IKEDA CENTER FOR PEACE LEARNING AND DIALOGUE INC"|"1410643"|"115.0000"|""
"04-6012026"|"FRANK R PETERS TRUST"|"1410646"|"4231.0000"|"2959.0000"
"04-6020426"|"CHARLES G PRINGLE FOUNDATION"|"1410647"|"1934.0000"|""
"01-6009480"|"HELEN W. MOULTON FUND"|"1410976"|"537.0000"|""
"03-0345055"|"GEORGE W. MERGENS FOUNDATION"|"1410977"|"15777.0000"|"9777.0000"
"04-3216632"|"CATHERINE & PAUL BUTTENWIESER FOUNDATION"|"1410978"|"7565.0000"|"3121.0000"
"04-3400633"|"THE DURANT FAMILY FOUNDATION #0745364"|"1410979"|"1152.0000"|"72.0000"
"04-3496080"|"THE GREGORY FOUNDATION TRUST"|"1410980"|"138.0000"|""
"04-6008355"|"GEORGE E. BARNARD TRUST"|"1410981"|"461.0000"|""
"04-6008730"|"EDWIN M. THAYER TRUST"|"1410982"|"568.0000"|""
"04-6011934"|"GENNIE B ROBINSON TRUST"|"1410983"|"420.0000"|""
"04-6046234"|"HELEN G. BUDD MEMORIAL FUND"|"1410984"|"11084.0000"|"3008.0000"
"04-6060558"|"TAZEWELL FOUNDATION"|"1410985"|"1135.0000"|"595.0000"
"04-6069834"|"The Fragment Society"|"1410986"|"0.0000"|""
"04-6131903"|"WALNUT HILL FOUNDATION"|"1410987"|"326.0000"|"256.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"1411164"|"69924.0000"|""
"04-3179137"|"DENNIS AND MARION MAVROGENIS TRUST FUND"|"1411169"|"1506.0000"|""
"02-6142736"|"STERZING MEMORIAL SCHOLARSHIP FUND"|"1411539"|"243.0000"|"243.0000"
"01-6009431"|"CARL E DANFORTH"|"1411804"|"1625.0000"|""
"03-0184240"|"OM FISHER HOME INC"|"1411915"|""|""
"04-2104439"|"ENDOWMENT FOR BIBLICAL RESEARCH"|"1411916"|"214.0000"|""
"04-3118545"|"SWEET WATER TRUST"|"1411919"|"0.0000"|"0.0000"
"01-0211537"|"OAK GROVE SCHOOL"|"1412304"|"1183.0000"|""
"01-6008547"|"THE HORACE WILLIAMS MEMORIAL FUND KENNEBEC SAVINGS BANK, AGENT FOR TRUSTEE"|"1412307"|"98.0000"|"98.0000"
"04-2133244"|"THE FREDERICK E WEBER CHARITABLE CORP"|"1412311"|"928.0000"|""
"04-6093047"|"WARREN FRANCES KNOWLES TR U/IND"|"1412316"|"2945.0000"|"1585.0000"
"04-6093840"|"SHEATH DOROTHY MELCHER TR U/IND"|"1412317"|"4935.0000"|"3242.0000"
"04-6423442"|"TOMPKINS EDNA H TR U/WILL"|"1412320"|"3296.0000"|"2830.0000"
"04-6091346"|"CHICKERING CAROLINE E TR U/WILL"|"1412972"|"9116.0000"|"7428.0000"
"04-6091533"|"LAWRENCE DANIEL W TR U/AGREE"|"1412973"|"3961.0000"|"3401.0000"
"04-6091978"|"CONVERSE M I FBO HAHNEMANN FDN-TR"|"1412974"|"364.0000"|"102.0000"
"04-6092036"|"RICHARDS HELEN R TR U/WILL"|"1412975"|"9392.0000"|"7636.0000"
"01-0632648"|"FEATHER FOUNDATION INC"|"1413932"|"377.0000"|"17.0000"
"01-0636574"|"GEORGEJACK & JOAN SHUSTER FOUNDATION"|"1413933"|"1093.0000"|""
"01-6209149"|"KENNETH LINDSAY FOUNDATION"|"1413943"|"243.0000"|""
"02-0798199"|"TRUBRADOR FOUNDATION"|"1413953"|"112.0000"|""
"02-6013556"|"CASEY FAMILY FOUNDATION"|"1413954"|"2269.0000"|""
"02-6170948"|"JERRY R JUNKINS FAMILY FOUNDATION"|"1413955"|"25.0000"|""
"03-0577385"|"THE MCMASTER FAMILY FOUNDATION INC"|"1413963"|"746.0000"|"755.0000"
"04-3133049"|"RICHARD K & NANCY L DONAHUE CHAR FDTN"|"1413980"|"5528.0000"|"2919.0000"
"04-3425079"|"HOWELL FAMILY CHARITABLE FOUNDATION"|"1413990"|"1273.0000"|"453.0000"
"04-3439357"|"THE JOHN J & SUSAN DORAN FAMILY FOUNDATION"|"1413991"|"2182.0000"|"0.0000"
"04-3464855"|"THOMAS S GUNNING SCHOLARSHIP FOUNDATION INC"|"1413993"|"43.0000"|"43.0000"
"04-3479749"|"THE MILFORD NATIONAL CHARITABLE FOUNDATION INC"|"1413994"|"0.0000"|"0.0000"
"04-3495449"|"EMILIE S WELLES FOUNDATION"|"1413996"|"104.0000"|"0.0000"
"04-3526349"|"THE CROSS FOUNDATION"|"1413998"|"6510.0000"|""
"04-3578370"|"NICHOLS VILLAGE INC"|"1414002"|"66.0000"|""
"04-6037026"|"THE SUDBURY FOUNDATION"|"1414008"|"59245.0000"|""
"04-6051258"|"ADELAIDE BREED BAYRD FOUNDATION"|"1414010"|"2391.0000"|"214.0000"
"04-6063152"|"ROGERS FAMILY FOUNDATION"|"1414012"|"6205.0000"|""
"04-6108949"|"WILLIAM H REISNER FOUNDATION"|"1414013"|"160.0000"|"141.0000"
"04-6113249"|"BENJAMIN H KATZ FAMILY FOUNDATION"|"1414014"|"440.0000"|""
"04-6875099"|"THE ROBERT AND MICHELLE COOKE ATCHINSON FOUNDATION"|"1414017"|"15231.0000"|""
"01-6070365"|"M. MCKENNEY & E. W. BOOKER EDUCATION TR."|"1416293"|"9007.0000"|"4775.0000"
"02-0222149"|"TAYLOR COMMUNITY"|"1416296"|"0.0000"|"0.0000"
"02-6046966"|"ADELE GIFFORD RESIDUARY TRUST 360888010"|"1416310"|"24229.0000"|"20549.0000"
"04-1302043"|"FARNSWORTH LUCY C TR U/WILL"|"1416321"|"10031.0000"|"5440.0000"
"04-2105854"|"WORLD PEACE FOUNDATION"|"1416328"|"0.0000"|"0.0000"
"04-2133252"|"Hopedale Community House Inc"|"1416329"|"7022.0000"|"462.0000"
"04-3420457"|"THE RICA CHARITABLE TRUST"|"1416359"|"0.0000"|""
"04-3464255"|"F. Felix Foundation"|"1416360"|"2194.0000"|""
"04-6025957"|"FRANK M NOONAN F/B/O DEBORAH MUNROE NOONAN MEMORIAL FUND"|"1416364"|"13026.0000"|"4826.0000"
"04-6039361"|"FISHER AND FUEL SOCIETY OF BEVERLY"|"1416365"|"7835.0000"|"5835.0000"
"04-6044784"|"ROSENFELD MAX C TR U/WILL"|"1416366"|"1049.0000"|"0.0000"
"04-6046890"|"DEAN WELFARE TRUST-TR"|"1416368"|"2055.0000"|"1273.0000"
"04-6091358"|"CONANT WILLIAM H TR U/IND"|"1416370"|"10359.0000"|"8805.0000"
"04-6091592"|"PERMANENT SCIENCE FUND TR U/DECL"|"1416371"|"5556.0000"|"4611.0000"
"04-6091666"|"SMITH TIMOTHY TR U/WILL"|"1416372"|"29121.0000"|"23529.0000"
"04-6092496"|"WARREN FRANCES KNOWLES TR U/IND"|"1416373"|"7536.0000"|"3070.0000"
"04-6092559"|"REED FANNY B TR U/WILL"|"1416374"|"3950.0000"|"3357.0000"
"04-6092957"|"FAUNCE EDWARD P TR U/WILL"|"1416375"|"6697.0000"|"4749.0000"
"04-6093280"|"PETHYBRIDGE HARRY M-TR"|"1416376"|"5337.0000"|"4409.0000"
"04-6093555"|"LEIGHTON EDWARD K TR U/WILL"|"1416377"|"8015.0000"|"6560.0000"
"04-6093897"|"CHASE ALICE P TR U/IND"|"1416378"|"14055.0000"|"12039.0000"
"04-6094293"|"TR U/WILL COLMAN BLANCHE E"|"1416379"|"1098.0000"|"1040.0000"
"04-6237788"|"PRINCE LUCINDA WYMAN TR U/WILL"|"1416382"|"7167.0000"|"6107.0000"
"04-6477185"|"MEYER HAROLD TR U/AGREE"|"1416384"|"2639.0000"|"1516.0000"
"04-6595469"|"SHAUGHNESSY CHARITABLE TRUST"|"1416385"|"1093.0000"|"88.0000"
"04-6740855"|"VERROCHI FAMILY CHARITABLE TRUST"|"1416386"|"12966.0000"|"12517.0000"
"04-6011097"|"GEORGE W.P. MAGEE TRUST"|"1418047"|"17926.0000"|"11446.0000"
"04-3473585"|"BARBARA LEE FAMILY FOUNDATION INC"|"1418232"|"0.0000"|""
"02-0439653"|"DODGE SCHOLARSHIP FOR GIRLS"|"1419076"|"217.0000"|"217.0000"
"04-2104384"|"LEND A HAND SOCIETY"|"1419079"|"594.0000"|""
"04-2752893"|"HYDE CHARITABLE FOUNDATION"|"1419080"|"866.0000"|""
"04-6036092"|"THEODORE EDSON PARKER FOUNDATION"|"1419082"|"16267.0000"|""
"04-6039593"|"THE AARON FOUNDATION"|"1419083"|"6414.0000"|""
"04-6092890"|"WHITNEY MARY D TR U/WILL"|"1419452"|"2007.0000"|"1724.0000"
"04-3236053"|"THE MORNINGSTAR FAMILY FOUNDATION"|"1420362"|"3088.0000"|"968.0000"
"04-3448695"|"The Ludes Family Foundation"|"1420363"|"347.0000"|""
"04-6155696"|"THE ART COMPLEX INC"|"1420366"|"22288.0000"|""
"02-0331198"|"RANNIE WEBSTER FOUNDATION"|"1420627"|"0.0000"|"0.0000"
"02-6006398"|"GEORGE A WENTWORTH 1994 TRUST 5129150"|"1420629"|"942.0000"|"294.0000"
"04-6013598"|"BUSHROD H. CAMPBELL & ADAH F. HALL CHARITY FUND"|"1420640"|"14404.0000"|""
"02-0519812"|"CENTENNIAL SENIOR CENTER, INC."|"1420869"|"4344.0000"|""
"02-0759145"|"DOWNEY-SHORT FOUNDATION"|"1420870"|"2192.0000"|"0.0000"
"03-0473333"|"JEROME A. YAVITZ CHARITABLE FOUNDATION, INC."|"1420871"|"11144.0000"|"3434.0000"
"03-6007183"|"FLECTHER FARM FOUNDATION, INC."|"1420872"|"3846.0000"|"0.0000"
"04-3397681"|"TOWARDS SUSTAINABILITY FOUNDATION"|"1420874"|"22034.0000"|"13152.0000"
"04-6026314"|"ALFRED CHASE CHARITY FDN U/I"|"1420875"|"5247.0000"|""
"04-6036788"|"CHARLES H HOOD FUND"|"1421342"|"1020.0000"|"20.0000"
"04-2111388"|"The Fitch Home, Inc."|"1421383"|""|""
"04-6173120"|"TEKULSKY ANNA HARVEY TR U/DECL"|"1421384"|"466.0000"|"186.0000"
"03-0496899"|"THE MOORE FAMILY FOUNDATION"|"1421408"|"164.0000"|"164.0000"
"01-0683241"|"VOPICKA FAMILY FOUNDATION INC."|"1422297"|"59.0000"|"59.0000"
"03-0463941"|"THE A M FOUNDATION F/K/A USHER AND MIRIAM MEISELS FAMILY FOUNDATION"|"1422299"|"4946.0000"|"1364.0000"
"03-0485661"|"JUDSON FAMILY FOUNDATION, INC"|"1422300"|"0.0000"|"0.0000"
"04-2683042"|"PERKINELMER FOUNDATION"|"1422301"|"7032.0000"|""
"04-3360241"|"LUCY A COOLEDGE TUA"|"1422303"|"2266.0000"|"92.0000"
"04-6008443"|"BERNARD W DOYLE TRUST"|"1422304"|"800.0000"|""
"04-6022766"|"THE S.S. FORBES TEACHERS FUND"|"1422305"|"2704.0000"|""
"04-6049543"|"GERMAN LADIES AID SOCIETY OF BOSTON, INC"|"1422306"|"208.0000"|""
"04-6050619"|"ANDOVER HOME FOR AGED PEOPLE"|"1422307"|"1928.0000"|"1290.0000"
"04-6079166"|"Elisha V. Ashton Trust U/W"|"1422308"|"853.0000"|"0.0000"
"04-6091916"|"KELLY ROBERT H TR U/IND"|"1422309"|"6253.0000"|"4543.0000"
"04-6609917"|"THE KELSEY TRUST"|"1422310"|"4117.0000"|""
"04-6745180"|"THE IORIO CHARITABLE FOUNDATION"|"1422311"|"1277.0000"|"77.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"1427679"|"43872.0000"|""
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"1427680"|"71232.0000"|""
"04-6014190"|"SALEM FEMALE CHARITABLE SOCIETY"|"1427681"|"83.0000"|""
"04-6033865"|"ARTHUR D BUDD U/A"|"1427682"|"10846.0000"|"6910.0000"
"01-0131950"|"PLANT MEMORIAL HOME"|"1429281"|"0.0000"|"0.0000"
"04-6013050"|"STEPHEN D AND SUSAN W PAINE FOUNDATION"|"1429282"|"7607.0000"|"7599.0000"
"04-6037650"|"CLARK CHARITABLE TRUST"|"1429283"|"1830.0000"|""
"04-3250513"|"MARK S & DONNA LEVENTHAL FAMILY FOUNDATION INC"|"1435535"|"5547.0000"|""
"01-0211504"|"The Eunice Frye Home Foundation"|"1435569"|"4592.0000"|"2792.0000"
"01-0523143"|"Oxford Hills Scholarship Foundation"|"1435575"|"8016.0000"|""
"01-0561393"|"ROBERT HAYWOOD MORRISON FDN"|"1435576"|"19523.0000"|"13161.0000"
"01-0626611"|"WALTER PAYNE FOUNDATION"|"1435577"|"3126.0000"|"339.0000"
"01-6173503"|"EVELYN E. STRICKLIN SCHOLARSHIP FOUNDATION"|"1435578"|"11329.0000"|"10689.0000"
"02-6059690"|"WALDO & ALICE AYER TRUST 5085010282"|"1435583"|"502.0000"|"186.0000"
"02-6080902"|"Anne S Howells Charitable Trust"|"1435584"|"237.0000"|"37.0000"
"04-2104767"|"THE PEABODY FOUNDATION INC"|"1435590"|"12919.0000"|"8519.0000"
"04-2111219"|"NEWBURYPORT SOCIETY FOR THE RELIEF OF AGED MEN"|"1435591"|"0.0000"|""
"04-2306840"|"THE SWAN SOCIETY IN BOSTON INC"|"1435593"|"0.0000"|"0.0000"
"04-2738800"|"COSTAS AND MARY MALIOTIS CHARITABLE FOUNDATION - 1981"|"1435597"|"141.0000"|"141.0000"
"04-3212098"|"HINDA L & ARTHUR MARCUS FOUNDATION FKA FRED & HINDA SHUMAN FOUNDATION"|"1435600"|"1353.0000"|"73.0000"
"04-3214315"|"PAUL & ELAINE CHERVINSKY CHARITABLE FOUNDAITON"|"1435601"|"3896.0000"|"1016.0000"
"04-3348263"|"THE BEHRAKIS FOUNDATION"|"1435603"|"2683.0000"|""
"04-3371560"|"JOHN A MCNEICE JR CHARITABLE FOUNDATION"|"1435605"|"2890.0000"|""
"04-3484554"|"SIRAD FOUNDATION INC"|"1435607"|"2480.0000"|""
"04-3525914"|"YOUNG FAMILY FOUNDATION"|"1435608"|"6950.0000"|"1350.0000"
"04-3583365"|"HAMPDEN SAVINGS FOUNDATION INC"|"1435610"|"149.0000"|""
"04-3721096"|"THE BLACK DOG FOUNDATION"|"1435613"|"762.0000"|"75.0000"
"04-6011911"|"EARLE P CHARLTON TRUST"|"1435615"|"3839.0000"|"1023.0000"
"04-6011912"|"IDA S. CHARLTON FUND"|"1435616"|"871.0000"|"155.0000"
"04-6012766"|"AMERICAN MEMORIAL HOSPITAL INC."|"1435618"|"1683.0000"|""
"04-6044779"|"THE HOPEDALE FOUNDATION"|"1435619"|"7434.0000"|"434.0000"
"04-6065495"|"NATHANIEL TAYLOR FUND, INC"|"1435622"|"162.0000"|"18.0000"
"04-6820993"|"M HOLT MASSEY CHARITABLE TRUST 15011602"|"1435624"|"1360.0000"|"2.0000"
"04-6824225"|"MICHAEL R. KIDDER FAMILY FOUNDATION"|"1435625"|"4449.0000"|""
"04-6855617"|"VIRGINIA J COOK FOUNDATION"|"1435626"|"1972.0000"|"1456.0000"
"04-6905753"|"THE FISH FAMILY FOUNDATION"|"1435627"|"2973.0000"|""
"04-6923387"|"COGAN FAMILY FOUNDATION"|"1435629"|"31680.0000"|"0.0000"
"04-3292638"|"JAMES AND BEATRICE SALAH FAMILY FOUNDATION TWN OF CANTON"|"1436660"|"1571.0000"|"1603.0000"
"02-6119238"|"LILLIAN PRENDERGAST IRRV CHARITABLE TR"|"1436721"|"1025.0000"|"677.0000"
"04-3140238"|"The Stephen J. Hendrickson Foundation, Inc"|"1436722"|"5360.0000"|""
"01-0212437"|"MCARTHUR HOME FOR AGED PEOPLE ASSN."|"1437173"|"14899.0000"|"11549.0000"
"01-0566453"|"THE B Z FOUNDATION"|"1437213"|"0.0000"|""
"01-0576324"|"STEVAN 7 CYNIHIA PEARCE CHARITABLE OUNDATION"|"1437215"|"414.0000"|""
"01-0739297"|"39-15C046779631 TWO WEST FOUNDATION"|"1437228"|"216.0000"|"36.0000"
"01-6010608"|"BANGOR FUEL SOCIETY EATON PEABODY"|"1437241"|"1153.0000"|"1165.0000"
"02-0222124"|"ALEXANDER EASTMAN FOUNDATION"|"1437249"|"12279.0000"|"5981.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING INC"|"1437265"|"19801.0000"|""
"02-0586953"|"NEW HORIZONS SUPPORT FOUNDATIONINC"|"1437276"|"3512.0000"|"1201.0000"
"02-0703907"|"The Ruth and Hal Launders Charitable Trust"|"1437289"|"7531.0000"|"0.0000"
"04-2104430"|"SAILORS' SNUG HARBOR OF BOSTON INC"|"1437352"|"5502.0000"|""
"04-2275506"|"SERVICE CENTER OF GREATER LAWRENCE, INC."|"1437362"|"54.0000"|"54.0000"
"04-2711822"|"OBERMAYER FOUNDATION INC"|"1437412"|"27259.0000"|"24466.0000"
"04-3210639"|"ROBERT E DAVOLI & EILEEN L MCDONAGH CHARITABLE FOUNDATION"|"1437444"|"14143.0000"|"12317.0000"
"04-3336274"|"THE ROY F COPPEDGE III CHARITABLE FDN"|"1437456"|"1807.0000"|"556.0000"
"04-3340591"|"THE RUETTGERS FAMILY CHARIT FOUNDATION"|"1437457"|"51091.0000"|"32433.0000"
"04-3493675"|"BARAKAT, INC."|"1437473"|"0.0000"|"0.0000"
"04-3494831"|"Eos Foundation"|"1437474"|"21047.0000"|"21047.0000"
"04-3619122"|"THE SPENCE FAMILY FOUNDATION"|"1437482"|"226.0000"|"226.0000"
"04-3731472"|"ELIZABETH S BLACK CHARITABLE TRUST PNC BANK NA"|"1437488"|"12846.0000"|"4846.0000"
"04-6032773"|"MACK INDUSTRIAL SCHOOL"|"1437494"|"753.0000"|"759.0000"
"04-6034977"|"BOSTON BAPTIST SOCIAL UNION"|"1437495"|"7886.0000"|""
"04-6040535"|"TRUSTEES OF THE PUTNAM FREE SCHOOL"|"1437498"|"512.0000"|"525.0000"
"04-6053295"|"LOUIS E WOLFSON FOUNDATION"|"1437502"|"9093.0000"|""
"04-6054630"|"POMROY REBECCA FOUNDATION INC (CUST)"|"1437503"|"9330.0000"|""
"04-6061028"|"TR UW HELEN F KIMBALL-THE MOSES KIMBALL FUND FOR PROMOTION OF GOOD CITIZENSHIP"|"1437505"|"4059.0000"|"9.0000"
"04-6646727"|"ALBERT FLEMING INSURANCE TRUST"|"1437525"|"425.0000"|"349.0000"
"01-6135476"|"BREWER & MCKAY SCHOLARSHIP PFDN 10-242000378020"|"1443777"|"779.0000"|"559.0000"
"04-2659411"|"ROSSE FAMILY CHARITABLE FOUNDATION, INC."|"1443778"|"5262.0000"|""
"04-2947276"|"KATZ FAMILY FOUNDATION (F/K/A SPRINGHOUSE FOUNDATION)"|"1443779"|"724.0000"|"735.0000"
"04-3342111"|"FRANK AND BRINNA SANDS FOUNDATION"|"1443780"|"431.0000"|"268.0000"
"04-6042910"|"WILLIAM AND CYNTHIA MARCUS FAMILY CHARITABLE TRUST"|"1443781"|"0.0000"|""
"04-6133810"|"KARGMAN CHARITABLE & EDUCATIONAL FOUNDATION INC"|"1443782"|"3603.0000"|""
"01-0553351"|"DANCING TIDES FOUNDATION, INC."|"1444109"|"6823.0000"|""
"04-2104808"|"MERRIMACK RIVER VALLEY HOUSE INC"|"1444194"|"1854.0000"|""
"04-6635207"|"KENNETH S. DONNELL TRUST"|"1444195"|"381.0000"|"381.0000"
"01-6017321"|"KEY BANK - CENTRAL MAINE FDN 10-101230297402"|"1444615"|"495.0000"|"495.0000"
"01-6180869"|"ALICE A PAXTON CHARITABLE TRUST"|"1444616"|"5115.0000"|"3627.0000"
"02-6003957"|"RUSSELL T & OLIVE V BARTLETT TRUST 3020000764"|"1444644"|"629.0000"|"356.0000"
"03-6010574"|"Lamson Howell Foundation Inc"|"1444680"|"0.0000"|"0.0000"
"04-2105771"|"THE LOWELL INSTITUTE"|"1444692"|"93788.0000"|""
"04-3303760"|"WEBSTER FIVE FOUNDATION, INC."|"1444764"|"0.0000"|""
"04-6012091"|"EARLE P. CHARLTON TRUST"|"1444785"|"960.0000"|"179.0000"
"04-6047957"|"HAVERHILL FEMALE BENEVOLENT SOCIETY"|"1444786"|"185.0000"|"185.0000"
"04-6171963"|"HORACE C HUNT MEMORIAL FOUNDATION"|"1444800"|"3509.0000"|"2860.0000"
"04-6384983"|"GEORGE H & JANE A MIFFLIN MEMORIAL FUND 15005012"|"1444801"|"36861.0000"|"687.0000"
"04-6528085"|"LEONARD & HILDA KAPLAN CHARITABLE FOUNDATION"|"1444803"|"4942.0000"|""
"01-0265587"|"HIGHER EDUCATION ASSISTANCE FOUNDATION"|"1449793"|"66.0000"|"66.0000"
"01-0485964"|"JANET H & C HARRY KNOWLES FOUNDATION INC A/K/A KNOWLES SCIENCE TEACHING FD INC"|"1449799"|"1177.0000"|""
"01-0852699"|"TABAT FAMILY FOUNDATION INC"|"1449810"|"1026.0000"|"1030.0000"
"01-6007022"|"LEVEY, A S PERP FOUNDATION 10 -242000367720"|"1449812"|"189.0000"|""
"01-6009168"|"KING SPRUCE COMPANY"|"1449813"|"4651.0000"|""
"03-0363251"|"STOWE SWIMMERS FOUNDATION LTD, D/B/A THE SWIMMING HOLE"|"1449844"|"71.0000"|""
"03-6004866"|"Cone Automatic Machine"|"1449852"|"216.0000"|""
"04-2104694"|"MARBLEHEAD FEMALE HUMANE SOCIETY INC"|"1449858"|"4438.0000"|"2958.0000"
"04-2752515"|"CHAMBERLAIN FOUNDATION"|"1449882"|"0.0000"|""
"04-2947391"|"THE C JEAN & MYLES MCDONOUGH CHARITABLE FOUNDATION"|"1449887"|"402.0000"|""
"04-3107591"|"Harold and Anna S. Ullian Charitable Foundation"|"1449892"|"485.0000"|""
"04-3134266"|"JOHN & SONIA LINGOS FAMILY FOUNDATION INC"|"1449893"|"4072.0000"|""
"04-6050139"|"FP Worthen Foundation"|"1449915"|"3934.0000"|""
"04-6552121"|"C.J.L. CHARITABLE FOUNDATION"|"1449919"|"117.0000"|""
"04-6772317"|"LEBLANG CHARITABLE FOUNDATION DAVID B LEBLANG TRUSTEE"|"1449921"|"265.0000"|"265.0000"
"01-6019033"|"MAX KAGAN FAMILY FOUNDATION"|"1452467"|"1973.0000"|"1403.0000"
"04-3177633"|"THE FASSINO FOUNDATION INC"|"1452468"|"571.0000"|""
"04-6694692"|"THE POUNDATION FOR AN AMERICAN VISION"|"1452726"|"1488.0000"|"1521.0000"
"04-6091333"|"BUSIEL FRANK E TR U/WILL"|"1454064"|"2411.0000"|"2007.0000"
"04-6185933"|"BAILEY FREDERICK A TR U/WILL"|"1454065"|"1490.0000"|"1390.0000"
"04-2940520"|"The Cornerstone Foundation"|"1454075"|"0.0000"|"0.0000"
"04-3173231"|"ROBERT AND MOLLY TARR CHARITABLE FOUNDATION"|"1454770"|"3133.0000"|""
"04-6006506"|"BOSTON FATHERLESS & WIDOS SOCIETY"|"1454822"|"8207.0000"|"1687.0000"
"04-6046756"|"ROWLAND FOUNDATION INC."|"1454823"|"27266.0000"|"13215.0000"
"04-6470644"|"NEW BALANCE FOUNDATION"|"1454839"|"108198.0000"|""
"04-6036558"|"Amelia Peabody Foundation"|"1460134"|"69255.0000"|""
"04-2103958"|"THE CAMBRIDGE HOMES"|"1460189"|"0.0000"|"0.0000"
"04-3444155"|"The Don & Manlyn Rodman Foundation"|"1460203"|"1473.0000"|"1473.0000"
"03-0368595"|"BEN COHEN CHARITABLE TRUST"|"1462965"|"10389.0000"|"7405.0000"
"01-6027394"|"MARGARET J S KENNEDY TRUST"|"1470851"|"628.0000"|"273.0000"
"01-0537471"|"Planet Dog Foundation"|"1472533"|"75.0000"|""
"04-3492171"|"The Adi and Jerry Greenberg Foundation"|"1472534"|"234.0000"|""
"04-3812871"|"KRUPP FAMILY FOUNDATION"|"1472535"|"3011.0000"|"1037.0000"
"01-6136971"|"ALBERT H. YOUNG BANGOR SAVINGS BANK TRUSTEE"|"1473198"|"860.0000"|"620.0000"
"02-0516305"|"LYMAN B POPE JR FOUNDATION"|"1473200"|"197.0000"|"197.0000"
"02-6004471"|"SAMUEL P. HUNT FOUNDATION"|"1473201"|"7932.0000"|"2132.0000"
"02-6004971"|"AGNES M. LINDSAY TRUST"|"1473202"|"18919.0000"|"559.0000"
"03-0277007"|"RAYMOND & LORRAINE LETOURNEAU EDUCATIONAL FOUNDATION"|"1473203"|"221.0000"|"221.0000"
"04-3342405"|"SALEM FIVE CHARITABLE FOUNDATION, INC."|"1473204"|"1453.0000"|""
"04-6016107"|"MILTON L. WILLIAMS TRUST UW EASTERN BANK TRUSTEE"|"1473206"|"206.0000"|""
"04-6019105"|"FREDERICK H GILLETT TUW-YMCA"|"1473207"|"4878.0000"|""
"04-6024405"|"WILHELMINA W JACKSON T/U/W"|"1473208"|"15163.0000"|"1963.0000"
"04-6038871"|"IM WESTFIELD ACADEMY"|"1473209"|"2566.0000"|""
"04-6139771"|"HOWARD A WEAVER-BEXLEY HALL SEM"|"1473210"|"1826.0000"|""
"04-6437271"|"NATHANIEL WHEELER T/U/A-WORC"|"1473212"|"2495.0000"|"511.0000"
"04-6479105"|"PAGE MILDRED & CHARLES TRUST"|"1473213"|"2464.0000"|""
"04-6712607"|"ROBERT RIMMELE SCHOLARSHIP FD"|"1473214"|"60.0000"|""
"04-6829607"|"MARION N ROAF T/U/A"|"1473215"|"2269.0000"|""
"04-3183600"|"Stride Rite Philanthropic Foundation Inc."|"1473720"|"4.0000"|"4.0000"
"01-6149204"|"OLIVE A COATES CHARITABLE TRUST"|"1473771"|"7558.0000"|"3478.0000"
"03-0337672"|"WYMAN EVERETT H. TR B MEM FD 43V189015"|"1473772"|"4063.0000"|"3371.0000"
"03-0514974"|"THE WARREN & BERNICE HENSEL FOUNDATION"|"1473774"|"3332.0000"|"2455.0000"
"03-6047004"|"ARTHUR H. SCOTT MEM VOL TRUST -CHITT 43C039013"|"1473775"|"2335.0000"|"1543.0000"
"04-2104372"|"LATHROP HOME"|"1473776"|""|""
"04-2136910"|"JOSEPHINE G. RUSSELL TRUST"|"1473777"|"16635.0000"|"11635.0000"
"04-3071209"|"THE ROWE FOUNDATION, INC"|"1473778"|"324.0000"|"324.0000"
"04-3177775"|"Day Pitney, LLP"|"1473779"|"2561.0000"|"2561.0000"
"04-3340006"|"THE JOSETTA FUND (FORMERLY MARTHA R. GERRY TOWNLEY FOUNDATION)"|"1473780"|"20685.0000"|"7885.0000"
"04-3366804"|"Triton Foundation"|"1473781"|"2075.0000"|"2075.0000"
"04-3370400"|"THE ROGER AND MARNA LANDAY CHARITABLE FOUNDATION"|"1473782"|"1135.0000"|"295.0000"
"04-3397500"|"HUNT ALTERNATIVES FUND"|"1473783"|"69.0000"|"0.0000"
"04-3426100"|"THE GORON E. AND MAY R. CADWGAN CHARITABLE FOUNDATION"|"1473784"|"1395.0000"|"475.0000"
"04-3466900"|"THE EDWARD W. KANE & MARTHA J. WALLACE FAMILY FOUNDATION"|"1473785"|"10494.0000"|""
"04-3473310"|"THE CRAWFORD IDEMA FAMILY FOUNDATION, INC."|"1473786"|"3946.0000"|""
"04-3542100"|"THE REEDER FOUNDATION"|"1473787"|"27550.0000"|""
"04-6017700"|"Eaton Foundation"|"1473788"|"1396.0000"|"596.0000"
"04-6018072"|"G. Peabody & Rose Gardner Charitable Tr."|"1473789"|"81.0000"|""
"04-6033804"|"GRACE C B STEBBINS TUA"|"1473790"|"847.0000"|"47.0000"
"04-6048472"|"OXFORD FUND INC."|"1473791"|"1254.0000"|""
"04-6058104"|"William B Rice Aid Fund Inc"|"1473792"|"738.0000"|"738.0000"
