"C_EIN"|"C_Org_Name"|"SUPPORTED_ORG_ID"|"XML_DOCUMENT_ID"|"NAME"|"EIN"|"TYPE"|"LISTED_CBX"|"NOTIFY_SUPPORT_CBX"|"SUPPORTED_ORG_US_CBX"|"AMOUNT"|"OTHER_SUPPORT"
"01-0199596"|"THE WOMEN'S BOARD OF THE MAINE GENERAL HOSPITAL"|"122474"|"1212979"|"MAINE MEDICAL CENTER"|"01-0238552"|"3"|"Y"|"Y"|"Y"|"9350.0000"|""
"01-0513859"|"BRIDGTON ICE ARENA INC"|"122475"|"1212980"|"BRIDGTON ACADEMY"|"01-0221344"|"2"|"Y"|""|"Y"|"69579.0000"|""
"01-0513859"|"BRIDGTON ICE ARENA INC"|"122476"|"1212980"|"TOWN OF BRIDGTON ME"|"01-6000082"|"6"|"Y"|""|"Y"|"69579.0000"|""
"01-0513859"|"BRIDGTON ICE ARENA INC"|"122477"|"1212980"|"MSAD #61"|"01-0277584"|"6"|"Y"|""|"Y"|"69579.0000"|""
"01-0523156"|"PHILLIPS-STRICKLAND CHARITIES"|"118940"|"1219896"|"PHILLIPS-STR ICKLAND HOUS"|"01-0342167"|"9"|"Y"|"Y"|"Y"|"364883.0000"|""
"01-6023681"|"VISITING BOARD OF THE CHILDREN'S HOSPITAL"|"122971"|"1221732"|"MAINE MEDICAL CENTER"|"01-0238552"|"3"|"Y"|"Y"|"Y"|"3493.0000"|""
"01-0750822"|"TMG FOUNDATION"|"119429"|"1237240"|"NATIONAL CHRISTIAN CHARITABLE FOUNDATION"|"58-1493949"|"LINE7"|"Y"|"Y"|"Y"|"838840.0000"|""
"01-0570609"|"Camp Smile Foundation Inc"|"119448"|"1237833"|"Camp Smile Inc"|"11-2622096"|"9"|"Y"|"Y"|"Y"|"150000.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"123494"|"1246701"|"Norumbega Medical Specialists LTD"|"01-0465231"|"9"|"Y"|"Y"|"Y"|"40777.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"123495"|"1246701"|"The Aroostook Medical Center"|"01-0372148"|"3"|"Y"|"Y"|"Y"|"1736985.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"123496"|"1246701"|"Eastern Mame HomeCare"|"01-0328442"|"9"|"Y"|"Y"|"Y"|"85992.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"123497"|"1246701"|"Blue Hill Memonal Hospital"|"01-0227195"|"3"|"Y"|"Y"|"Y"|"1623757.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"123498"|"1246701"|"Me Inst for Human Genetics & Hlth"|"55-0894346"|"9"|"Y"|"Y"|"Y"|"97610.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"123499"|"1246701"|"Sebasticook Valley Hospital"|"01-0263628"|"3"|"Y"|"Y"|"Y"|"447270.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"123500"|"1246701"|"Lakewood A Continuing Care Center"|"01-0421234"|"3"|"Y"|"Y"|"Y"|"176499.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"123501"|"1246701"|"Inland Hospital"|"01-0217211"|"3"|"Y"|"Y"|"Y"|"1495625.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"123502"|"1246701"|"CA Dean Memonal Hospital"|"04-3341666"|"3"|"Y"|"Y"|"Y"|"684660.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"123503"|"1246701"|"Acadia Healthcare Inc"|"22-3183888"|"9"|"Y"|"Y"|"Y"|"72966.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"123504"|"1246701"|"Acadia Hospital Corp"|"01-0459837"|"3"|"Y"|"Y"|"Y"|"3230892.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"123505"|"1246701"|"EMHS Foundation"|"22-2514163"|"11"|"Y"|"Y"|"Y"|"1956231.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"123506"|"1246701"|"EMMC Auxiliary"|"01-0377901"|"9"|"Y"|"Y"|"Y"|"5000.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"123507"|"1246701"|"Eastern Maine Medical Center"|"01-0211501"|"3"|"Y"|"Y"|"Y"|"34805060.0000"|""
"01-0790552"|"Theater Arts Group"|"123508"|"1246702"|"Amencan Cinematheque"|"95-3902004"|"7"|"Y"|"Y"|"Y"|"200000.0000"|""
"01-0656156"|"American College of Bankruptcy Foundation"|"120449"|"1252293"|"Amencan College of Bankruptcy"|"52-1759771"|"501(C)(6)"|"Y"|"N"|"Y"|"65500.0000"|""
"01-0282768"|"CHI DELTA PHI HOUSE CORP"|"120483"|"1253121"|"BOWDOIN COLLEGE"|"01-0215213"|"2"|"Y"|"Y"|"Y"|"256951.0000"|""
"01-0734263"|"LEE & HERMAN OSTROW FAMILY FOUNDATION"|"121628"|"1286260"|"JEWISH COMMUNITY FOUNDATION TOTAL AMOUNT OF SUPPORT"|"95-6111928"|"07"|"Y"|"Y"|"Y"|"13536.0000"|""
"01-0765675"|"JOAN MALE FAMILY SUPPORT CENTER FOUNDATION"|"121629"|"1286261"|"FAMILY HELP CENTER INC"|"22-2219511"|"11"|"Y"|"Y"|"Y"|"500.0000"|""
"01-6019477"|"GARD W TWADDLE NURSES ENDOWMENT"|"121787"|"1289055"|"CMMC COLLEGE"|"01-0356077"|"02"|"Y"|""|""|"57125.0000"|""
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"121788"|"1289056"|"CITY OF HALLOWELL"|"01-6000029"|"6"|"Y"|"Y"|"Y"|"50285.0000"|""
"01-6186835"|"NATIONAL CONFERENCE ON PUBLIC EMPLOYEE RETIREMENT SYSTEMS IRREVOCABLE TRUST"|"123828"|"1298390"|"NATIONAL CONFERENCE ON PUBLIC EMPLOYEE RETIR MENT SYSTEMS"|"31-0729205"|"501(C)(4)"|"Y"|"Y"|"Y"|"550000.0000"|""
"01-6169936"|"THE WELCH FUND FOR HARVARD"|"121943"|"1298703"|"PRESIDENT AND FELLOWS"|"04-2103580"|"2"|"Y"|"Y"|"Y"|"283543.0000"|""
"01-0544705"|"ST ANTHONYS MONASTERY ASSOCIATION"|"123869"|"1305778"|"FRANCISCAN MONASTERY"|"22-2288242"|"CHURCH"|"Y"|"Y"|"Y"|"187636.0000"|""
"01-0505002"|"CAMDEN PUBLIC LIBRARY CENTENNIAL FUND"|"124022"|"1309785"|"CAMDEN PUBLIC LIBRARY"|"01-0505002"|"6"|"Y"|"Y"|"Y"|"32487.0000"|""
"01-0752319"|"PITTSBURGH REGIONAL HEALTHCARE INITIATIVE"|"124431"|"1311998"|"THE JEWISH HEALTHCARE FOUNDATION OF PITISBURGH"|"25-1624347"|"7"|"Y"|"Y"|"Y"|"4539715.0000"|""
"01-6012414"|"KATAHDIN COUNCIL INC BOY SCOUTS OF AMERICA"|"124532"|"1313845"|"KATAHDIN AREA COUNCIL"|"01-0211489"|"7"|"Y"|"Y"|"Y"|"79074.0000"|""
"01-0357314"|"MERCY ENDOWMENT FOUNDATION"|"124748"|"1314814"|"MERCY HOSPITAL"|"01-0211534"|"7"|"Y"|"Y"|"Y"|"1000000.0000"|""
"01-0467644"|"RAGGED MOUNTAIN REC AREA FOUNDATION"|"125046"|"1319286"|"(A) TOWN OF CAMDEN RAGGED MOUNTAIN REC"|"01-6000097"|"6"|"Y"|"Y"|"Y"|"55345.0000"|""
"01-0798626"|"Harrison Center for the Arts Inc"|"125047"|"1319297"|"Redeemer Presbytenan Church"|"35-2031021"|"Church"|"N"|"Y"|"Y"|"115881.0000"|""
"01-0385303"|"EASTERN MAINE COMMUNITY COLLEGE FOUNDATION"|"125122"|"1321048"|"EASTERN MAINE COMMUNITY COLLEGE"|"01-0416015"|"2"|"N"|"Y"|"Y"|"12000.0000"|""
"01-0816065"|"CFNV CHARITABLE REAL ESTATE FUND"|"125894"|"1331640"|"COMMUNITY FOUNDATION OF THE NAPA VALLEY"|"68-0349777"|"501(C)(3)"|"Y"|"Y"|"Y"|"180784.0000"|""
"01-0411788"|"WESTERN MAINE HEALTH CARE CORP"|"126054"|"1337149"|"STEPHENS MEMORIAL HOSPITAL ASSOCIATION"|"01-0219904"|"3"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0612870"|"METHODIST TRANSPLANT PHYSICIANS"|"126431"|"1341671"|"METHODIST HOSPITALS OF DALLAS"|"75-0800661"|"3"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0906593"|"MANAGEMENT SERVICES INC"|"127282"|"1349331"|"CROSSROADS AT NORTHGLENN ALF"|"94-3324834"|"9"|"Y"|"Y"|"Y"|"833476.0000"|""
"01-0906593"|"MANAGEMENT SERVICES INC"|"127283"|"1349331"|"CROSSROADS AT DELTA ALF"|"94-3324836"|"9"|"Y"|"Y"|"Y"|"290469.0000"|""
"01-0906593"|"MANAGEMENT SERVICES INC"|"127284"|"1349331"|"CROSSROADS AT RIFLE ALF"|"94-3324835"|"9"|"Y"|"Y"|"Y"|"16239.0000"|""
"01-0242095"|"ROBERT W TRAIP TRUST"|"127724"|"1353473"|"(A) TOWN OF KITTERY MAINE SCHOOL DEPARTMENT"|"01-0377943"|"6"|"N"|"Y"|"Y"|"60816.0000"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"127946"|"1356059"|"LUTHERAN HOMES OF OSHKOSH INC"|"39-1032234"|"9"|"Y"|"Y"|"Y"|"50894.0000"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"127947"|"1356059"|"BETHEL HOME INC"|"39-1209707"|"9"|"Y"|"Y"|"Y"|"33535.0000"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"127948"|"1356059"|"CARMEL RESIDENCE INC"|"39-1448325"|"9"|"Y"|"Y"|"Y"|"5994.0000"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"127949"|"1356059"|"GABRIEL'S VILLA INC"|"39-1857036"|"9"|"Y"|"Y"|"Y"|"1037.0000"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"127950"|"1356059"|"SIMEANNA APARTMENTS INC"|"23-7148097"|"9"|"Y"|"Y"|"Y"|"2096.0000"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"127951"|"1356059"|"SIMEANNA SOUTH"|"39-1238670"|"9"|"Y"|"Y"|"Y"|"3129.0000"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"127952"|"1356059"|"SIMEANNA III INC"|"39-1270056"|"9"|"Y"|"Y"|"Y"|"5311.0000"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"127953"|"1356059"|"EDEN REHABILITATION SUITES AND GREENHOUSE HOMES INC"|"90-0506872"|"9"|"Y"|"Y"|"Y"|"1127.0000"|""
"01-0594994"|"COOPERATIVE HEALTHCARE SERVICES INC"|"128215"|"1356940"|"Glynn- Brunswick Mem Hospital Auth"|"58-6000498"|"3"|"Y"|"Y"|"Y"|"0.0000"|""
"01-6023974"|"Washington County Association for Retarded Citizens"|"128701"|"1363038"|"WASHINGTON COUNTY RESIDENCES"|"01-0434608"|"7"|"N"|"Y"|"Y"|"0.0000"|""
"01-6023974"|"Washington County Association for Retarded Citizens"|"128702"|"1363038"|"SUNRISE RESIDENCE"|"22-2478230"|"7"|"N"|"Y"|"Y"|"0.0000"|""
"01-6023974"|"Washington County Association for Retarded Citizens"|"128703"|"1363038"|"MILBRIDGE RESIDENCE INC"|"01-0507931"|"7"|"N"|"Y"|"Y"|"0.0000"|""
"01-6023974"|"Washington County Association for Retarded Citizens"|"128704"|"1363038"|"MILBRIDGE HARBOR APARTMENTS"|"59-3796786"|"7"|"N"|"Y"|"Y"|"29903.0000"|""
"01-6023974"|"Washington County Association for Retarded Citizens"|"128705"|"1363038"|"MIDDLE RIVER REACH TRAINING CENTER"|"01-0536553"|"9"|"N"|"Y"|"Y"|"0.0000"|""
"01-6023974"|"Washington County Association for Retarded Citizens"|"128706"|"1363038"|"EATON STREET APARTMENTS"|"01-0533868"|"7"|"N"|"Y"|"Y"|"0.0000"|""
"01-6023974"|"Washington County Association for Retarded Citizens"|"128707"|"1363038"|"DENNYSVILLE HOUSING"|"01-0532605"|"7"|"N"|"Y"|"Y"|"0.0000"|""
"01-0817571"|"Pepperwood Foundation"|"129631"|"1373365"|"Community Foundation of Sonoma County"|"68-0003212"|"501(c)(5)"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0485474"|"TELESIS HOUSING CORPORATION"|"129670"|"1373668"|"(A) THE SPURWINK SCHOOL"|"01-0319802"|"SCHOOL"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0431680"|"MAINEHEALTH"|"129902"|"1376763"|"MAINE MEDICAL CENTER"|"01-0238552"|"3"|"Y"|"Y"|"Y"|"245496.0000"|""
"01-0390443"|"Davis Family Foundation"|"130863"|"1384451"|"ME Medical Center"|"01-0238552"|"3"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0390443"|"Davis Family Foundation"|"130864"|"1384451"|"Ptlnd Symphony Orchestra"|"01-6006058"|"7"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0390443"|"Davis Family Foundation"|"130865"|"1384451"|"Univ of New England"|"01-0211810"|"2"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0390443"|"Davis Family Foundation"|"130866"|"1384451"|"Ptlnd Museum of Art"|"01-0378420"|"7"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0560598"|"CHILD DEVELOPMENT CENTER CORPORATION"|"130955"|"1384957"|"(A) ASHLAND HOSPITAL CORPORATION DBA KING'S DAUGHTERS MEDICAL CENTER"|"61-0444716"|"3"|""|""|"Y"|"0.0000"|""
"01-0813367"|"HOUSING WITH HEART INC"|"131456"|"1389901"|"JAMBOREE HOUSING CORPORATION"|"33-0413518"|"9"|"Y"|"Y"|"Y"|"1677848.0000"|""
"01-0653458"|"FOUNDATION FOR CHILDREN"|"132050"|"1397004"|"EDGAR TUFTS MEMORIAL ASSO"|"56-1442966"|"9"|"Y"|"Y"|"Y"|"2500.0000"|""
"01-0653458"|"FOUNDATION FOR CHILDREN"|"132051"|"1397004"|"PROPERTIES FOR CHILDREN"|"20-0704904"|"9"|"Y"|"Y"|"Y"|"27994.0000"|""
"01-0653458"|"FOUNDATION FOR CHILDREN"|"132052"|"1397004"|"GRANDFATHER ACADEMY"|"56-1995527"|"9"|"Y"|"Y"|"Y"|"280225.0000"|""
"01-0606871"|"The House Next Door Family Foundation"|"132593"|"1403912"|"The House Next Door"|"59-1675284"|"501(c)(3)"|"N"|"Y"|"Y"|"0.0000"|""
"01-0459572"|"THE ASSOCIATES OF THE OSHER MAP LIBRARY"|"132912"|"1406928"|"THE OSHER MAP LIBRARY AT UNIVERSITY OF SOUTHERN MAINE"|"01-6000769"|"10"|"Y"|"Y"|"Y"|"78216.0000"|""
"01-0842036"|"LUTHERAN FAMILY SERVICES OF COLORADO FOUNDATION INC"|"133049"|"1409808"|"LUTHERAN SOCIAL SERVICES OF CO"|"84-0775550"|"CHURCH"|"Y"|"Y"|"Y"|"50000.0000"|""
"01-0245341"|"CORNELIA WARREN COMMUNITY ASSOCIATION"|"134261"|"1422748"|"CITY OF WESTBROOK"|"01-6000038"|"12"|"Y"|"Y"|"Y"|"306415.0000"|""
"01-0451663"|"JHA Services"|"134262"|"1422761"|"Cedars Nursing Care Center"|"01-0211517"|"9"|"N"|"Y"|"Y"|"6858013.0000"|""
"01-0451663"|"JHA Services"|"134263"|"1422761"|"JHA Properties"|"01-0510768"|"9"|"N"|"Y"|"Y"|"1606336.0000"|""
"01-0451663"|"JHA Services"|"134264"|"1422761"|"JHA Assisted Living Inc"|"20-1590379"|"9"|"N"|"Y"|"Y"|"312722.0000"|""
"01-0451663"|"JHA Services"|"134265"|"1422761"|"Inn at Cedars Inc"|"20-5714134"|"9"|"N"|"Y"|"Y"|"1397425.0000"|""
"01-0602033"|"TN VOL MANUFACTURING & SERVICES INC"|"134266"|"1422777"|"LIONS VOLUNTEER BLIN D INDUSTRIES INC"|"62-0526643"|"7"|"Y"|""|"Y"|"0.0000"|""
"01-0717030"|"PORTAGE BAY INSURANCE"|"134267"|"1422782"|"UNIV OF WASHINGTON"|"91-6001537"|"6"|"Y"|"Y"|"Y"|"17648667.0000"|""
"01-0724451"|"ASPEN CENTER FOR ENVIRONMENTAL STUDIES ENDOWMENT FUND INC"|"134268"|"1422783"|"ASPEN CENTER FOR ENVIRONMENTAL STUDIES"|"23-7042291"|"11A"|"Y"|"Y"|"Y"|"320550.0000"|""
"01-6024421"|"TOWN OF MOUNT DESERT MEDICAL CENTER"|"134269"|"1422791"|"MOUNT DESERT ISLAND HOSPITAL"|"01-0211797"|"HOSPITAL"|"N"|"Y"|"Y"|"7176.0000"|""
"01-0495250"|"Ingraham Housing Corporation"|"134680"|"1428760"|"Youth Altematives Inc"|"01-0316041"|"7"|"N"|"Y"|"Y"|"84657.0000"|""
"01-0495250"|"Ingraham Housing Corporation"|"134681"|"1428760"|"The Opportunity Alliance"|"01-0274725"|"7"|"N"|"Y"|"Y"|"60470.0000"|""
"01-0702442"|"NC IDEA"|"134797"|"1429600"|"COUNCIL FOR ENTREPRENEURIAL DEVELOPMENT"|"56-1399587"|"09"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0790110"|"EXCELLENCE ACADEMIES FOUNDATION INC"|"135173"|"1434669"|"UNCOMMON SCHOOLS INC"|"31-1488698"|"03"|"Y"|"Y"|"Y"|"243313.0000"|""
"01-0722629"|"MARIE A MANSBACH MEMORIAL STUDENT MOTIVATION PROGRAM"|"135281"|"1437223"|"TIDEWATER J EWISH FOUNDATION INC"|"54-1653165"|"7"|"Y"|"Y"|"Y"|"40326.0000"|""
"01-6012053"|"Trustees of First Pansh in Portland"|"135282"|"1437242"|"The First Pansh in Portland ME"|"01-0223576"|"1"|"N"|"Y"|"Y"|"13711.0000"|""
"01-0962276"|"DRISCOLL HEALTHCARE SERVICES"|"135898"|"1444612"|"DRISCOLL CHILDREN'S HOSPITAL"|"74-2577746"|"03"|"Y"|"Y"|"Y"|"7533509.0000"|""
"01-0603820"|"KALAMAZOO REGIONAL CHAMBER FOUNDATION"|"136406"|"1449805"|"KALAMAZOO REGIONAL CHAMBER OF COMMERCE KALAMAZOO REGIONAL CHAMBER OF COMMERCE"|"38-0703370"|"9"|"Y"|"Y"|"Y"|"96901.0000"|""
"01-0818965"|"DEMEDICI CORPORATION"|"136728"|"1454583"|"PHILADELPHIA PERFORMING"|"23-3040987"|"2"|"N"|"N"|"N"|"0.0000"|""
"01-0621556"|"THE GILL ST BERNARD'S PARENTS' ASSOCIATION INC"|"137350"|"1460171"|"GILL ST BERNARD'S SCHOOL"|"22-1964930"|"2"|"Y"|"N"|"Y"|"50189.0000"|""
"01-0904664"|"Carla and David Crane Foudnation"|"138305"|"1469225"|"Jewish Community Federation of SF"|"94-1156533"|"7"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0513859"|"BRIDGTON ICE ARENA INC"|"138421"|"1470124"|"BRIDGTON ACADEMY"|"01-0221344"|"2"|"Y"|""|"Y"|"63694.0000"|""
"01-0513859"|"BRIDGTON ICE ARENA INC"|"138422"|"1470124"|"TOWN OF BRIDGTON ME"|"01-6000082"|"6"|"Y"|""|"Y"|"63694.0000"|""
"01-0513859"|"BRIDGTON ICE ARENA INC"|"138423"|"1470124"|"MSAD #61"|"01-0277584"|"6"|"Y"|""|"Y"|"63694.0000"|""
"01-6023681"|"VISITING BOARD OF THE CHILDREN'S HOSPITAL"|"138424"|"1470125"|"MAINE MEDICAL CENTER"|"01-0238552"|"3"|"Y"|"Y"|"Y"|"9238.0000"|""
"01-0760254"|"Penn Foundation Trust"|"143061"|"1472941"|"Penn Foundation Inc"|"23-1496225"|"9"|"Y"|"Y"|"Y"|"2772563.0000"|""
"01-6019960"|"WALTON LINCOLN TRUST OCHR 20 -0023840"|"143062"|"1472942"|"TOWN OF MT VERNON"|"01-6000283"|"6"|"Y"|"Y"|"Y"|"20697.0000"|""
"01-6169936"|"THE WELCH FUND FOR HARVARD"|"143795"|"1481493"|"PRESIDENT AND FELLOWS"|"04-2103580"|"2"|"Y"|"Y"|"Y"|"305549.0000"|""
"01-0211548"|"Redington memorial Hospital Association"|"143876"|"1482866"|"Redington-Foirsiew Gencial Hosptal"|"01-0284446"|"3"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0323280"|"Penquis Mental Health Association"|"144008"|"1483755"|"Charlotte White Center"|"22-2582271"|"7"|"N"|"Y"|"Y"|"0.0000"|""
"01-0323280"|"Penquis Mental Health Association"|"144009"|"1483755"|"Abbot Group Home d ba Local Solutions"|"22-2582318"|"7"|"N"|"N"|"Y"|"0.0000"|""
"01-0598137"|"The Thelma Gaylord Lyric Theatre En"|"144334"|"1485331"|"Lyric Theatre of Oklahoma,Inc."|"73-1001687"|"5o1(c) (3)"|"Y"|"Y"|"Y"|"154836.0000"|""
"01-0359948"|"HIRUNDO WILDLIFE TRUST"|"144716"|"1489136"|"UNIVERSITY OF MAINE SYS"|"01-6000769"|"STATE SCHOOL SYSTEM"|"Y"|"N"|"Y"|"0.0000"|""
"01-0654984"|"MHA OF GREATER HOUSTON FOUNDATION, INC."|"145102"|"1494044"|"MENTAL HEALTH AMERICA GRTR HOUSTON"|"74-1272394"|"7"|"Y"|"Y"|"Y"|"127000.0000"|""
"01-6114884"|"JOHN CHABOT EDUCATIONAL FOUNDATION TRUST"|"145103"|"1494052"|"STUDENTS OF MSAD 36"|""|"6"|"Y"|"Y"|"Y"|"40750.0000"|""
"01-6011528"|"WALTER BISBEE TRUST"|"146088"|"1501990"|"MSAD# 28 CAMDEN HILLS HS"|"01-0264114"|"SCHOOL"|"Y"|""|""|"270371.0000"|""
"01-6217452"|"ELLIOT HEALTH SYSTEM PROFESSIONAL & GENERAL LIABILITY INSURANCE TRUST"|"146118"|"1502690"|"ELLIOT HOSPITAL"|"02-0232673"|"3"|"Y"|"N"|"N"|"0.0000"|""
"01-0523156"|"PHILLIPS-STRICKLAND CHARITIES"|"146298"|"1504858"|"PHILLIPS-STR ICKLAND HOUS"|"01-0342167"|"9"|"Y"|"Y"|"Y"|"346779.0000"|""
"01-0639265"|"Meritus Healthcare Foundation, Inc."|"146390"|"1505405"|"Meritus Medical Center, Inc."|"52-0607949"|"Hospital"|"Y"|"Y"|"Y"|"2063127.0000"|""
"01-0746064"|"The Laurel Park Community Boosters Club"|"146391"|"1505407"|"See Form 990, Page 2, Lin"|""|"501(c) (3)"|"N"|"Y"|"Y"|"137980.0000"|""
"01-0738748"|"SECOND IMPRESSIONS"|"146700"|"1508514"|"KALAMAZOO CHRISTIAN SCHOOL ASSOCIATION KALAMAZOO CHRISTIAN SCHOOL ASSOCIATION"|"38-1871520"|"2"|"Y"|"Y"|"Y"|"500000.0000"|""
"01-6011388"|"PINE TREE COUNCIL BSATR DTD 1957 449515014"|"147208"|"1511525"|"Pine Tree Council B.S.A."|"01-0211490"|"11"|"Y"|"Y"|"Y"|"250944.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"147410"|"1516918"|"CENTRAL MAINE MEDICAL CENTER"|"01-0211494"|"03"|"Y"|""|""|"33813803.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"147411"|"1516918"|"CENTRAL MAINE HEART & VASCULAR INSTITUTE"|"54-2078282"|"09"|"Y"|""|""|"0.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"147412"|"1516918"|"CMMC COLLEGE OF NURSING AND HEALTH PROF"|"01-0356077"|"02"|"Y"|""|""|"1593544.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"147413"|"1516918"|"CENTRAL MAINE COMMUNITY HEALTH CORP"|"01-0386912"|"07"|"Y"|""|""|"58347.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"147414"|"1516918"|"RUMFORD COMMUNITY FAMILY HEALTH CENTER"|"01-0481000"|"03"|"Y"|""|""|"0.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"147415"|"1516918"|"RUMFORD COMMUNITY HOME CORPORATION"|"22-2844951"|"09"|"Y"|""|""|"0.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"147416"|"1516918"|"RUMFORD HOSPITAL"|"01-0215227"|"03"|"Y"|""|""|"3384098.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"147417"|"1516918"|"BRIDGTON HOSPITAL"|"01-0130427"|"03"|"Y"|""|""|"4215358.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"147418"|"1516918"|"BRIDGTON HOSPITAL PHYSICIANS GROUP"|"01-0493083"|"09"|"Y"|""|""|"0.0000"|""
"01-0802914"|"Assoc Students of California State Univ Channel Islands Inc"|"147419"|"1516927"|"Cal State UnivChannel Islands"|"91-2153805"|"University"|"N"|"Y"|"Y"|"0.0000"|""
"01-0676306"|"CAMBRIDGE HEALTH ALLIANCE FOUNDATION INC"|"147903"|"1521082"|"CAMBRIDGE PUBLIC HEALTH COMMISSION"|"04-3320571"|"06"|"Y"|""|""|"0.0000"|""
"01-0790428"|"St Joseph Health System Foundation"|"147904"|"1521087"|"St Joseph Health System Inc"|"38-1443395"|"3 - Hospital"|"Y"|"Y"|"Y"|"123568.0000"|""
"01-0656156"|"American College of Bankruptcy Foundation"|"150445"|"1536525"|"American College of Bankruptcy"|"52-1759771"|"501(c)(6)"|"Y"|"N"|"Y"|"96000.0000"|""
"01-6015947"|"Camden Public Library Maintenance Fund"|"150595"|"1538942"|"Camden Public Library"|"01-6015947"|"Municipality"|"N"|"Y"|"Y"|"0.0000"|""
"01-0914846"|"COMMUNITY 1ST-AMERICA'S CHARITIES OF GREATER WASHINGTON DC"|"150826"|"1543693"|"AMERICA'S CHARITIES"|"54-1517707"|"7"|"Y"|""|""|"0.0000"|""
"01-0434215"|"MMC REALTY CORP"|"151028"|"1548436"|"MAINE MEDICAL CENTER"|"01-0238552"|"3"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0199596"|"THE WOMEN'S BOARD OF THE MAINE GENERAL HOSPITAL"|"151277"|"1551037"|"MAINE MEDICAL CENTER"|"01-0238552"|"3"|"Y"|"Y"|"Y"|"12375.0000"|""
"01-0818232"|"COMMUNITY CONNECTIONS REAL ESTATE FOUNDATION"|"151895"|"1559483"|"COMMUNITY CONNECTIONS"|"52-1349382"|"9"|"N"|"Y"|"Y"|"500000.0000"|""
"01-6149025"|"The Mark and Emily Turner Mamorial Library Charitable Trust"|"152619"|"1567784"|"City of Presque Isle"|"01-6000033"|"6"|"Y"|"Y"|"Y"|"1197744.0000"|""
"01-0552288"|"THE FG FOUNDATION"|"153287"|"1577962"|"THE COLUM BUS FOUNDATION"|"31-6044264"|"8"|"Y"|"Y"|"Y"|"10047.0000"|""
"01-6009643"|"Academv Trust of Frvebura"|"153406"|"1580561"|"Fryeburg Academy"|""|""|"Y"|"Y"|""|"18727.0000"|""
"01-0544705"|"ST ANTHONYS MONASTERY ASSOCIATION"|"153423"|"1582546"|"FRANCISCAN MONASTERY"|"22-2288242"|"CHURCH"|"Y"|"Y"|"Y"|"183829.0000"|""
