"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FORM_1096"|"W_2G"|"ALL_YEAR_EMPLOYEES"|"UNRELATED_BUSINESS_CBX"|"FORM_990_T_CBX"|"FOREIGN_ACCOUNT_CBX"|"NAME_COUNTRY"|"TAX_SHELTER_CBX"|"SOLICIT_GIFTS_CBX"|"TAX_DEDUCT_CBX"|"FUNDS_PBC_CBX"|"PREMIUMS_PBC_CBX"|"EXCESS_BUSINESS_HOLDINGS_CBX"|"TAXABLE_DIST_4966_CBX"|"DONOR_DIST_CBX"|"SCH_O_V_CBX"|"MULTISTATE_PLANS_CBX"|"RESERVES_REQUIRED_AMT"|"RESERVES_ONHAND_AMT"|"INDOOR_TANNING_CBX"|"FORM_720_CBX"
"01-0701608"|"PARTNERSHIP ACADEMY"|"806939"|"22"|"0"|"53"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0726348"|"SOUTHWEST WASHINGTON WORKFORCE DEVELOPMENT COUNCIL"|"806946"|"23"|"0"|"21"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0357314"|"MERCY ENDOWMENT FOUNDATION"|"807363"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0378758"|"Maine College of Art"|"807372"|"168"|"0"|"289"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0388818"|"Maine Handicapped Skiing Sunday River Ski Resort"|"807377"|"3"|"0"|"10"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0461436"|"THE GENESIS FUND"|"807380"|"59"|"0"|"6"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0518745"|"MAINE MANUFACTURING EXTENSION PARTNERSHIP"|"807388"|"15"|"0"|"10"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0530420"|"Jewish Community Alliance of Southern Maine"|"807389"|"8"|"0"|"88"|"Y"|"Y"|"N"|""|"N"|"Y"|"Y"|""|""|""|""|""|""|""|""|""|"N"|""
"01-0558388"|"Link A Community Assessment & Resource Center"|"807399"|"0"|"0"|"14"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0628536"|"ARROW CHILD AND FAMILY MINISTRIES"|"807408"|"30"|"0"|"33"|"N"|""|"Y"|"Honduras"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-6009240"|"UNITED MID-COAST CHARITIES, INC"|"807427"|"1"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"02-0119917"|"DAVIGNON CLUB, INC."|"821193"|"0"|"0"|"18"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0802914"|"Assoc Students of California State Univ Channel Islands Inc"|"821376"|"0"|"0"|"0"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0130427"|"BRIDGTON HOSPITAL"|"824297"|"51"|"0"|"373"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0477639"|"WELLPOINT RETIREE VEBA TRUST"|"824604"|"0"|"0"|"0"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|"Y"|""|""|""|"N"|""
"01-0527044"|"OCTOBER CORPORATION"|"824611"|"24"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0773840"|"Syracuse Community Center Inc"|"824624"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0729873"|"North Carolina Motorsports Association"|"830231"|"2"|"0"|"1"|"N"|"N"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0356077"|"CENTRAL MAINE MEDICAL CENTER COLLEGE OF NURSING AND HEALTH PROFESSIONS"|"831637"|"317"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0479776"|"Maine Education Association Benefits Trust"|"831642"|"7"|"0"|"4"|"N"|"N"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0483267"|"INSTITUTE FOR CIVIC LEADERSHIP"|"831644"|"7"|"0"|"9"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0606871"|"THE HOUSE NEXT DOOR FAMILY FOUNDATION"|"831652"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0760254"|"Penn Foundation Trust"|"831660"|"0"|"0"|"0"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-6015613"|"ORR'S BAILEY YACHT CLUB"|"836231"|"4"|"0"|"12"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0553431"|"AMERICAN FRIENDS OF YESHIVAT HESDER SDEROT,INC"|"836824"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0748214"|"ARBOR BAY SCHOOL"|"836829"|"0"|"0"|"0"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"02-0222111"|"Trustees of Dartmouth College"|"836837"|"1960"|"0"|"10144"|"Y"|"Y"|"Y"|"GM; SP; FR; IT; UK; SF; EI"|"N"|"N"|""|"N"|"N"|""|"N"|"N"|"Y"|""|""|""|"N"|""
"01-0269460"|"CHEWONKI FOUNDATION INC"|"836997"|"40"|"0"|"238"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0346260"|"PORTLAND EDUCATION ASSOCIATION"|"837005"|"0"|"0"|"13"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0468460"|"G & H AMBULANCE SERVICE INC"|"837011"|"0"|"0"|"44"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0472964"|"BIDDEFORD-SACO AREA ECONOMIC DEVELOPMENT CORPORATION"|"837015"|"0"|"0"|"3"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0648561"|"NORTHWEST CONNECTICUT AHEC INC"|"837027"|"2"|"0"|"21"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0866698"|"COMPREHENSIVE SENIOR CARE CORPORATION"|"837030"|"70"|"0"|"43"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0644063"|"Berkshire Emergency Squad"|"837316"|""|""|""|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0212172"|"WEBBER AVENUE SOCIAL CLUB INC"|"838394"|"0"|"0"|"7"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|"Y"|""|""|""|"N"|""
"01-0365191"|"ASSOCIATION OF SMALL BUSINESS DEV. CENTR"|"838400"|"12"|"0"|"7"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0659307"|"Jefferson Park Ministries, Inc"|"838443"|"0"|"0"|"11"|"N"|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0272879"|"Skills Inc"|"839063"|"169"|"0"|"513"|"Y"|"Y"|"Y"|"CA"|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0323280"|"Penguis Mental Health Association"|"839069"|"3"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0368096"|"Alpha One"|"839081"|"8"|"0"|"13"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0482994"|"MAINE ADULT EDUCATION ASSOCIATION"|"839084"|"1"|"0"|"1"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0598494"|"TEN CROSS STREET CORPORATION"|"839108"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0833582"|"ALLIANCE HUNTINGTON PARK COLLEGE-READY ACADEMY HIGH SCHOOL"|"839126"|"17"|"0"|"54"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-6114884"|"JOHN CHABOT EDUCATIONAL FOUNDATION TRUST"|"845620"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0220091"|"NORTHEAST HARBOR LIBRARY"|"846027"|"0"|"0"|"16"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0457896"|"C & M CONSULTING AND MANAGEMENT SERVICES"|"846037"|"9380"|"0"|"10"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0729134"|"CLARE OAKS"|"846065"|"85"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0387418"|"PENOBSCOT THEATRE COMPANY"|"847934"|"73"|"0"|"13"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"02-0223176"|"NEW HAMPSHIRE MEDICAL SOCIETY"|"847975"|"13"|"0"|"6"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0904345"|"PHOENIX LODGE 2 FRATERNAL ORDER OF POLICE"|"850510"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|"N"|""
"01-0964541"|"PRAISEALUJAH DISCIPLESHIP"|"850513"|"0"|"0"|""|"N"|""|"N"|""|"N"|"N"|"N"|"N"|""|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0315847"|"HALFWAY HOUSE INC"|"850522"|"3"|"0"|"3"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0496139"|"ISLAND COMMONS RESOURCE CENTER"|"850527"|"6"|"0"|"16"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAMS INC"|"852966"|"347"|"0"|"216"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0153960"|"ST ANDREWS HOSPITAL"|"853594"|"0"|"0"|"253"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0277678"|"Kennebec Valley Community Action Program"|"854124"|"154"|"0"|"334"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"02-0127246"|"GREATER DOVER CHAMBER OF COMMERCE"|"855031"|"12"|"0"|"8"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0487091"|"COASTAL MEDICAL CARE"|"855129"|"0"|"0"|"4"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0524835"|"SPRING HARBOR COMMUNITY SERVICES"|"855133"|"16"|"0"|"232"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0569403"|"HRCA BROOKLINE HOUSING 1550 BEACON PLAZA INC"|"855138"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0818232"|"COMMUNITY CONNECTIONS REAL ESTATE FOUNDATION"|"855140"|"3"|"0"|"0"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"02-0222157"|"Monadnock Community Hospital"|"855150"|"77"|"0"|"758"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0284446"|"REDINGTON-FAIRVIEW GENERAL HOSPITAL"|"860416"|"77"|"0"|"690"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0727280"|"BRONX CHARTER SCHOOL FOR THE ARTS"|"860422"|"28"|"0"|"78"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0211501"|"Eastern Maine Medical Center"|"862777"|"180"|"0"|"3975"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0434215"|"MMC REALTY CORP"|"862790"|"0"|"0"|"0"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0732928"|"US RUSSIA FOUNDATION FOR ECONOMIC ADVANCEMENT AND THE RULE OF LAW"|"862800"|"8"|"0"|"3"|"N"|""|"Y"|"RS"|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0195310"|"THE YORKS CHAMBER OF COMMERCE INC"|"864958"|"2"|"0"|"7"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0906593"|"MANAGEMENT SERVICES, INC"|"864969"|"2"|"0"|"4"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0941732"|"Connecticut Catholic Public Affairs Conference, Inc."|"864971"|"3"|"0"|"2"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"02-0102440"|"ABENAQUI COUNTRY CLUB, INC."|"864972"|"0"|"0"|"156"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"02-0103680"|"American Guernsey Association"|"864973"|"3"|"0"|"3"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0061310"|"Fraternal Order of Eagles"|"866812"|"0"|"0"|"40"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"02-0223390"|"MANCHESTER HISTORIC ASSOCIATION"|"867963"|"3"|"0"|"11"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0269301"|"MAINE ASSOCIATION OF REALTORS"|"868426"|"18"|"0"|"8"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0287814"|"Caribou Country Club"|"868427"|"0"|"0"|"12"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0523209"|"MAINE COMPOSITES ALLIANCE"|"868435"|"0"|"0"|"5"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0536008"|"MAINE CONSERVATION VOTERS"|"868437"|"5"|"0"|"5"|"N"|""|"N"|""|"N"|"Y"|"Y"|""|""|""|""|""|""|""|""|""|"N"|""
"01-0688619"|"WHITE OAK GROVE OUTREACH CENTER INC"|"868442"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|"N"|""
"01-0939609"|"FOOD OF LIFE OUTREACH MINSTRIES INC"|"868451"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"02-0156800"|"GUARDIAN ANGEL CREDIT UNION"|"868454"|"0"|"0"|"24"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0790552"|"Theater Arts Group"|"873260"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|"N"|""|""|""|""|""|""|""|""|""
"01-0448263"|"Ronald McDonald House Charities of Maine, Inc."|"873871"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0456644"|"MAINE YANKEE ATOMIC POWER COMPANY EMPLOYEE WELFARE TRUST"|"873872"|"0"|"0"|"0"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0505433"|"WATERVILLE REGIONAL ARTS AND COMMUNITY CENTER"|"873875"|"3"|"0"|"0"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0511596"|"THE NATHAN AND HENRY B CLEAVES LAW LIBRARY"|"873876"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0495250"|"Ingraham Housing Corporation"|"853388"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|""|""|""|""|""|""|"N"|""
"01-0865446"|"Cosby High School Athletic Boosters"|"853229"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0640326"|"AHWATUKEE CHILDREN'S THEATRE INC"|"873879"|"13"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0729841"|"LOVE INC OF GREATER SHELDON"|"873884"|"0"|"0"|"4"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0857526"|"A FAMILY AFFAIR BRIDGES INC"|"873891"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"02-0215228"|"AMERICAN LEGION POST #8"|"873900"|"12"|"0"|"13"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0027741"|"AUGUSTA MAINE ELKS LODGE NO. 964"|"879152"|"0"|"0"|"9"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0285449"|"SOUTHERN KENNEBEC CHILD DEVELOPMENT CC"|"879157"|"26"|""|"151"|"N"|"N"|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0416939"|"Northern Maine Community College Education Foundation"|"879158"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"02-0136438"|"Fraternal Order Of Eagles #1464"|"879161"|"0"|"0"|"19"|"N"|"N"|"N"|""|"N"|"N"|""|"N"|"N"|"N"|""|"N"|""|"Y"|""|""|"N"|"Y"
"01-0509793"|"PITTSTON FAIR ASSOCIATION"|"880335"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0620340"|"WHISPERS OF HOPE HORSE FARM"|"880342"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0881587"|"SIERRA NEVADA JOURNEYS"|"880347"|"0"|"0"|"52"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""
"01-0605273"|"WE ARE ONE MINISTRIES INC"|"884636"|""|""|""|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0535175"|"WINTERKIDS EDUCATION FOUNDATION"|"885940"|"0"|"0"|"4"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0386284"|"HOPE HAVEN GOSPEL MISSION INC"|"886253"|"2"|"0"|"7"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0484793"|"Table of Plenty"|"886255"|"0"|"0"|"0"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|"N"
"01-0557881"|"GRANDIN THEATRE FOUNDATION, INC."|"886258"|"3"|"0"|"24"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0856114"|"CAVALIER KING CHARLES SPANIEL CLUB RESCUE INC"|"888179"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0096117"|"ISLAND COUNTRY CLUB"|"889788"|"2"|"0"|"12"|"N"|""|"N"|""|"N"|"Y"|"Y"|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0237912"|"Boothbay Region YMCA"|"889792"|"0"|"0"|"118"|""|"N"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0313213"|"YORK GOLF & TENNIS CLUB"|"889795"|"0"|"0"|"78"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0323915"|"Ambulance Service Inc."|"889796"|"0"|"0"|"33"|"N"|""|"N"|""|"N"|"N"|""|""|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0577111"|"CHIN BAPTIST MISSION CHURCH"|"889804"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|"N"
"01-0601611"|"HARVEY HOUSE LTD"|"889807"|"2"|"0"|"0"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0635317"|"Hoosier Owners and Providers for the Elderly, Inc."|"889808"|"4"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0930015"|"BREAKFORTH MINISTRIES AND CONSULTING INC"|"889815"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"02-0222215"|"ST JOSEPH HPSPITAL"|"889826"|"223"|"0"|"1557"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0525615"|"Maine Winter Sports Center"|"893140"|"22"|"0"|"25"|"N"|""|"N"|"N"|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0710619"|"THE WESTWOOD MONTESSORI SCHOOL, INC."|"893141"|"0"|"0"|"11"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0206603"|"COMMUNITY CREDIT UNION"|"893930"|"843"|"0"|"45"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0317602"|"Oceanview Manor Inc"|"893933"|"2"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0568603"|"GLOBAL GATEWAY NETWORK"|"893942"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-3073027"|"MAINE COUNCIL-ATLANTIC SALMON FEDERATION"|"893954"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0211533"|"MCARTHUR LIBRARY ASSOCIATION"|"896590"|"0"|"0"|"23"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0224627"|"BOOTHBAY HARBOR MEMORIAL LIBRARY ASSOCIATION"|"896592"|"2"|"0"|"4"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"896594"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0248224"|"MAINE CREDIT UNION LEAGUE"|"897525"|"23"|"0"|"8"|"N"|"N"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0492125"|"ALLIANCE OF INDEP ACADEMIC MEDICAL CTRS"|"897528"|"0"|"0"|"2"|"N"|""|"N"|""|"N"|"N"|""|"N"|""|""|""|""|""|""|""|""|"N"|""
"01-0531223"|"JORDAN BAY PLACE CO AVESTA HOUSING"|"897530"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0848225"|"Youth Media Minds of America"|"897535"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0584930"|"Richmond County Medical Society Project Access Inc"|"898714"|"0"|"0"|"0"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0810429"|"GOVERNMENT TRAINING SERVICES INC"|"898717"|"22"|"0"|"10"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-6014031"|"ST MARKS HOME FOR WOMEN"|"898719"|"0"|"0"|"23"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-6044928"|"AUGUSTA ELECTRICAL JATC"|"898720"|"1"|"0"|"7"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0373341"|"KENNEBEC VALLEY EMERGENCY MEDICAL SERVICES"|"900190"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0278130"|"MEMORIAL AMBULANCE CORPS"|"900260"|"1"|"0"|"39"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0288542"|"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL #2327"|"900261"|"22"|"0"|"5"|"N"|""|"N"|""|"N"|"Y"|"Y"|""|""|""|""|""|""|""|""|""|"N"|""
"01-0768541"|"FRIENDS OF YOUTH SPORTS"|"900268"|"0"|"0"|"0"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-6029208"|"American Legion Post 153"|"900272"|"1"|"0"|"5"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
