"C_EIN"|"C_Org_Name"|"SCHED_D_PART_VII_ID"|"xml_document_id"|"DESCRIPTION_SECURITY"|"METHOD_EOY_MARKET_VALUE"
"01-0831698"|"JEWISH COMMUNITY FOUNDATION"|"122304"|"1109795"|"CSV - LIFE INSURANCE"|"F"
"01-0831698"|"JEWISH COMMUNITY FOUNDATION"|"122305"|"1109795"|"SPLIT INTEREST GIFTS"|"F"
"01-0831698"|"JEWISH COMMUNITY FOUNDATION"|"122306"|"1109795"|"REAL ESTATE"|"C"
"01-0831698"|"JEWISH COMMUNITY FOUNDATION"|"122307"|"1109795"|"LIMITED PARTNERSHIPS"|"C"
"01-0831698"|"JEWISH COMMUNITY FOUNDATION"|"122308"|"1109795"|"LOAN PARTICIPATION AGREEMENTS"|"F"
"01-6011501"|"UNIVERSITY OF MAINE FOUNDATION"|"122309"|"1109796"|"Financial derivatives"|"F"
"01-0269802"|"GIRL SCOUTS OF MAINE INC"|"122566"|"1111239"|"BENEFICIALINTEREST IN PERPETUAL TRUST"|"F"
"01-0377246"|"New Hope for Women, Inc."|"122567"|"1111241"|"Investments"|"End-of-Year Market Value"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"123229"|"1114633"|"ALTERNATIVE INVESTMENTS"|"F"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"123230"|"1114633"|"BENEFICIAL INTEREST IN PERPETUAL TRUSTS"|"F"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"123231"|"1114633"|"INVESTMENT IN REAL PROPERTY"|"F"
"02-0207161"|"NEW HAMPSHIRE ASSOCIATION OF INSURANCE AGENTS"|"123232"|"1114639"|"EQUITY IN INS. AGENTS SERVICES"|"C"
"02-0207161"|"NEW HAMPSHIRE ASSOCIATION OF INSURANCE AGENTS"|"123233"|"1114639"|"BIG I REINSURANCE"|"Cost"
"01-0198980"|"Northeast Harbor Fleet"|"123410"|"1115654"|"Clifton Dock Corporation"|"End-of-Year Market Value"
"01-0709158"|"FIRST COAST NO MORE HOMELESS PETS"|"123465"|"1116230"|"there are no investment"|"FMV"
"01-0226195"|"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS 1253 LOCAL"|"124717"|"1123514"|"Closely-held equity interests"|"C"
"01-0217639"|"THE COMMUNITY SCHOOLS AT OPPORTUNITY FARM AND CAMDEN"|"125541"|"1128316"|"Ohter"|"END-OF-YEAR MARKET VALUE"
"01-0357314"|"MERCY ENDOWMENT FOUNDATION"|"126192"|"1133072"|"WELLS FARGO ADV GOVT MON MKR FUND"|"C"
"02-0103705"|"AMERICAN LEGION HENRY J SWEENEY POST#1"|"126287"|"1133558"|"Other"|"MARKET"
"01-0478709"|"Maine Island Trail Association"|"126368"|"1134143"|"Beneficial Interest in Assets Held by Others"|"F"
"01-0202445"|"Grindstone Association"|"126831"|"1136840"|"Cash Equivalents"|"End of Year Market Value"
"01-0280430"|"Fort Kent Housing, Inc"|"126832"|"1136842"|"Financial derivatives"|""
"01-0280430"|"Fort Kent Housing, Inc"|"126833"|"1136842"|"Closely-held equity interests"|""
"01-0693025"|"GILLOURY INSTITUTE"|"126834"|"1136859"|"Financial derivatives"|""
"01-0693025"|"GILLOURY INSTITUTE"|"126835"|"1136859"|"Closely-held equity interests"|""
"01-0583485"|"South Martin Conservation Alliance, Inc"|"127019"|"1139808"|"Closely held equity interests"|"C"
"02-0223322"|"Currier Museum of Art"|"127737"|"1179764"|"Real estate investment funds"|"F"
"02-0223322"|"Currier Museum of Art"|"127738"|"1179764"|"Alternative investments"|"F"
"01-0211497"|"PRESIDENT ex TRUSTEES OF COLBY COUEGE"|"128327"|"1186768"|"Other Securities- Domestic Equity"|"F"
"01-0211497"|"PRESIDENT ex TRUSTEES OF COLBY COUEGE"|"128328"|"1186768"|"Other Securities- Hedge Funds"|"F"
"01-0211497"|"PRESIDENT ex TRUSTEES OF COLBY COUEGE"|"128329"|"1186768"|"Other Securities- Foreign Equity"|"F"
"01-0211497"|"PRESIDENT ex TRUSTEES OF COLBY COUEGE"|"128330"|"1186768"|"Other Securities- Real Estate"|"F"
"01-0211497"|"PRESIDENT ex TRUSTEES OF COLBY COUEGE"|"128331"|"1186768"|"Other Securities- Hard Asset"|"F"
"01-0211497"|"PRESIDENT ex TRUSTEES OF COLBY COUEGE"|"128332"|"1186768"|"Temporary Cash Investments"|"F"
"01-0211497"|"PRESIDENT ex TRUSTEES OF COLBY COUEGE"|"128333"|"1186768"|"Foreign Currency"|"F"
"01-0211497"|"PRESIDENT ex TRUSTEES OF COLBY COUEGE"|"128334"|"1186768"|"Partnerships- Private Equity"|"F"
"01-0211497"|"PRESIDENT ex TRUSTEES OF COLBY COUEGE"|"128335"|"1186768"|"Partnerships- Foreign Equity"|"F"
"01-0211497"|"PRESIDENT ex TRUSTEES OF COLBY COUEGE"|"128336"|"1186768"|"Partnerships- Hedge Funds"|"F"
"01-0211497"|"PRESIDENT ex TRUSTEES OF COLBY COUEGE"|"128337"|"1186768"|"Partnerships- Hard Assets"|"F"
"01-0211497"|"PRESIDENT ex TRUSTEES OF COLBY COUEGE"|"128338"|"1186768"|"Partnerships- Real Estate"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"128958"|"1188078"|"MONEY MARKET FUNDS"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"128959"|"1188078"|"PRIVATE EQUITY"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"128960"|"1188078"|"POOLED INTERNATIONAL EQUITY FUNDS"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"128961"|"1188078"|"HEDGED EQUITY"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"128962"|"1188078"|"POOLED DOMESTIC EQUITY FUNDS"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"128963"|"1188078"|"REAL ASSETS"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"128964"|"1188078"|"POOLED FIXED INCOME FUNDS"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"128965"|"1188078"|"LONG/SHORT CREDIT"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"128966"|"1188078"|"MULTI-STRATEGY"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"128967"|"1188078"|"PRIVATELY HELD DOMESTIC EQUITY"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"128968"|"1188084"|"Private Equity/Venture Capital Limited Partnership"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"128969"|"1188084"|"Private Equity/Venture Real Estate & Real Asset lited Partnership"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"128970"|"1188084"|"Private Equity/Venture Other Investments"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"128971"|"1188084"|"Cash & Cash Equlivalents and Commingled"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"128972"|"1188084"|"Fixed Income Securities and Commingled Funds"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"128973"|"1188084"|"Global Equity Commingled Funds"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"128974"|"1188084"|"Marketable Alternative Strategies Commingled Funds"|"F"
"02-0172300"|"BUSINESS AND INDUSTRY ASSOCIATION OF NH"|"129695"|"1154942"|"PUBLICLY TRADED SECURITIES"|"END-OF-YEAR MARKET VALUE"
"02-0150530"|"INTERNATIONAL BROTHERHOOD OF TEAMSTERS 633 TCWH LOCAL"|"129816"|"1155546"|"CERTIFICATES OF DEPOSIT"|"F"
"02-0150530"|"INTERNATIONAL BROTHERHOOD OF TEAMSTERS 633 TCWH LOCAL"|"129817"|"1155546"|"INVESTMENT IN AFFILIATE"|"C"
"01-0808707"|"Islamic Organization of North America"|"130104"|"1191960"|"Ameen Housing Investment"|""
"01-0215213"|"BOWDOIN COLLEGE"|"130106"|"1192041"|"EQUITIES"|"F"
"01-0215213"|"BOWDOIN COLLEGE"|"130107"|"1192041"|"FIXED INCOME"|"F"
"01-0215213"|"BOWDOIN COLLEGE"|"130108"|"1192041"|"ABSOLUTE RETURN"|"F"
"01-0215213"|"BOWDOIN COLLEGE"|"130109"|"1192041"|"BUYOUTS/DISTRESSED"|"F"
"01-0215213"|"BOWDOIN COLLEGE"|"130110"|"1192041"|"VENTURE CAPITAL"|"F"
"01-0215213"|"BOWDOIN COLLEGE"|"130111"|"1192041"|"REAL ESTATE"|"F"
"01-0215213"|"BOWDOIN COLLEGE"|"130112"|"1192041"|"NATURAL RESOURCES"|"F"
"01-0219126"|"LINCOLN ACADEMY"|"130113"|"1192043"|"FIXEDINCOME INSTRUMENTS"|"F"
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"130114"|"1192047"|"Closely-held equity interests"|"F"
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"130115"|"1192047"|"INVESTMENT IN JOINT VENTURES"|"F"
"01-0630527"|"PERSONAL ASSISTANCE OPTIONS INC"|"130118"|"1192055"|"AGENCY FUNDS"|"F"
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"130119"|"1192061"|"1,538 0000 SHS VANGUARD MSCI EMERGING"|"F"
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"130120"|"1192061"|"10,167 8750 SHS LITMAN GREGORY MASTERS - INTLFD"|"F"
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"130121"|"1192061"|"11,980 4940 SHS LITMAN GREGORY MASTERS - EQTY FD INST"|"F"
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"130122"|"1192061"|"14,646 6660 SHS LITMAN GREGORY MASTERS - FOCUSED OPPTY FD"|"F"
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"130123"|"1192061"|"3,075 1180 SHS OAKMARK GLOBAL FUND"|"F"
"01-0211484"|"Bangor Theological Seminary"|"131268"|"1200789"|"Beneficial Interest in Perpetual Trusts"|"F"
"01-0211484"|"Bangor Theological Seminary"|"131269"|"1200789"|"Equity and Bond Mutual Funds held in the Commonfund"|"F"
"01-0212444"|"York Hospital"|"131270"|"1200790"|"Other Investments"|"F"
"01-0212444"|"York Hospital"|"131271"|"1200790"|"Alternative investments"|"F"
"01-0359948"|"HIRUNDO WILDLIFE TRUST"|"132171"|"1168390"|"VARIOUS"|"END-OF-YEAR MARKET VALUE"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"132456"|"1170884"|"PRIME MONEY MARKET FUND"|"END-OF-YEAR MARKET VALUE"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"132457"|"1170884"|"VBS BOND HOLDINGS"|"END-OF-YEAR MARKET VALUE"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"132458"|"1170884"|"SMALL-CAP INDEX FUND ADM"|"END-OF-YEAR MARKET VALUE"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"132459"|"1170884"|"TOTAL STOCK MKT INX ADM"|"END-OF-YEAR MARKET VALUE"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"132460"|"1170884"|"INTER-TERM BOND INDEX ADM"|"END-OF-YEAR MARKET VALUE"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"132461"|"1170884"|"SHORT-TERM BOND INDEX ADM"|"END-OF-YEAR MARKET VALUE"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"132462"|"1170884"|"INTERNATIONAL GROWTH ADM"|"END-OF-YEAR MARKET VALUE"
"01-0724306"|"THE PHILLY AND CHARLIE DAKE FOUNDATION"|"132463"|"1170916"|"STEWART'S SHOPS CORP COMMON STOCK"|"F"
"01-0756138"|"FIVE ACRES ANIMAL SHELTER"|"132464"|"1170920"|"MUTUAL FUNDS"|"FMV"
"01-0211567"|"YOUNG MEN'S CHRISTIAN ASSOCIATION OF LEWISTON-AUBURN"|"133436"|"1181824"|"INVESTMENT IN ASSETS IN MAINE COMMUNITY FOUNDATION"|"F"
"01-0552288"|"THE FG FOUNDATION"|"133437"|"1181840"|"Closely-held equity interests"|"F"
"01-0540911"|"JANUS SUPPORTIVE LIVING SERVICES INC"|"134202"|"1189913"|"FUNDEDDEPREC -INVESTMENTS"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"134486"|"1194170"|"Beneficial interest in perpetual trusts"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"134487"|"1194170"|"Domestic equity funds"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"134488"|"1194170"|"Hedge funds"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"134489"|"1194170"|"International equity funds"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"134490"|"1194170"|"Private equity fund"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"134491"|"1194170"|"Split Interest Agreements"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"134492"|"1194170"|"Capital Diversified LP"|"F"
"01-0284115"|"THE MAIN IDEA INC"|"134493"|"1194173"|"MORGAN STANLEY INVESTMENTS"|"F"
"01-0456895"|"MOUNT AUBURN CEMETERY CORP CO MARY E KEOUGH"|"135263"|"1204063"|"SECURITIES"|"F"
"01-0648145"|"ORTHOCAROLINA RESEARCH INSTITUTE INC FMRLY O L MILLER RESEARCH INSTITUTE"|"135264"|"1204088"|"FIXEDINCOME POOL"|"F"
"01-0648145"|"ORTHOCAROLINA RESEARCH INSTITUTE INC FMRLY O L MILLER RESEARCH INSTITUTE"|"135265"|"1204088"|"EQUITY POOL"|"F"
"01-0648145"|"ORTHOCAROLINA RESEARCH INSTITUTE INC FMRLY O L MILLER RESEARCH INSTITUTE"|"135266"|"1204088"|"PRIVATEINVESTMENT FUNDS"|"F"
"01-6015740"|"BOOTHBAY REGION HUMANE SOCIETY"|"135267"|"1204116"|"HIGH FIELDS PROPERTY"|"C"
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"136400"|"1213297"|"CORPORATE EQUITY SECURITIES"|"F"
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"136401"|"1213297"|"US GOVT AND AGENCY OBLIG"|"F"
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"136402"|"1213297"|"CORPORATE OBLIGATIONS"|"F"
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"136403"|"1213297"|"MONEY MARKET FUNDS"|"F"
"01-0517984"|"CENTER FOR FURNITURE CRAFTSMANSHIP"|"136404"|"1213305"|"Closely-held equity interests"|"C"
"01-0116390"|"SHRINERS INTERNATIONAL"|"137145"|"1224767"|"INV FUNDS/BD DESIGNATED"|"F"
"01-0116390"|"SHRINERS INTERNATIONAL"|"137146"|"1224767"|"INVESTMENTS/LIFE MEMBERS"|"F"
"01-0116390"|"SHRINERS INTERNATIONAL"|"137147"|"1224767"|"SAVINGS/CIRCUS RESERVE"|"F"
"01-0116390"|"SHRINERS INTERNATIONAL"|"137148"|"1224767"|"INVESTMENTS-UNITS"|"F"
"01-0206603"|"COMMUNITY CREDIT UNION"|"137588"|"1227768"|"MEMBERSHIP CAPITAL SHARE DEPOSITS"|"C"
"01-0206603"|"COMMUNITY CREDIT UNION"|"137589"|"1227768"|"DEBENTURES"|"C"
"01-0206603"|"COMMUNITY CREDIT UNION"|"137590"|"1227768"|"CERTIFICATES OF DEPOSIT IN OTHER INSTITUTIONS"|"C"
"01-0207022"|"FAIRMOUNT CEMETERY ASSOC"|"137591"|"1227769"|"VANGUARD STAR FUND"|"END-OF-YEARMARKETVALUE"
"01-0808707"|"ISLAMIC ORGANIZATION OF NORTH AMERICA"|"137592"|"1227776"|"AMEEN HOUSING INVESTMENT"|""
"01-0750822"|"TMG FOUNDATION"|"137816"|"1237240"|"Closely-held equity interests"|"F"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS, INC."|"137842"|"1237825"|"CASH RESERVE FUNDS"|"END-OF-YEAR MARKET VALUE"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS, INC."|"137843"|"1237825"|"MUTUAL FUNDS"|"END-OF-YEAR MARKET VALUE"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS, INC."|"137844"|"1237825"|"BONDS"|"END-OF-YEAR MARKET VALUE"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS, INC."|"137845"|"1237825"|"STOCKS"|"END-OF-YEAR MARKET VALUE"
"01-0566111"|"SCHENECTADY COMMUNITY HOME INC"|"137846"|"1237832"|"MARKETABLE SECURITIES"|"F"
"01-0589927"|"MINOT COMMUNITY FOUNDATION"|"138215"|"1241403"|"OTHER INVESTMENTS"|"F"
"02-0103705"|"HENRY J SWEENEY POST NO 2, NEW HAMPSHIRE"|"138467"|"1244182"|"INVESTMENTS"|"F"
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|"139166"|"1251073"|"STOCKS AND SECUITIESD"|"END-OF-YEAR MARKET VALUE"
"01-0536785"|"UNITY FOUNDATION"|"139249"|"1252291"|"Investment in Unitek Holdings-a subsidia"|"End-of-Year Market Value"
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"140003"|"1259323"|"other-CD"|"Market"
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"140004"|"1259323"|"Cash Equivalent - Money Marke"|"Market"
"01-0430078"|"DOWNEAST COASTAL CONSERVANCY"|"140376"|"1263910"|"MONEY MARKET FUNDS"|"END-OF-YEAR MARKET VALUE"
"01-0430078"|"DOWNEAST COASTAL CONSERVANCY"|"140377"|"1263910"|"MUTUAL FUNDS"|"END-OF-YEAR MARKET VALUE"
"01-0430078"|"DOWNEAST COASTAL CONSERVANCY"|"140378"|"1263910"|"FEDCO INVESTMENT"|"END-OF-YEAR MARKET VALUE"
"01-0342859"|"SPORTS PROJECTS INC"|"140451"|"1264450"|"SECURITIES"|"F"
"02-0222215"|"ST JOSEPH HOSPITAL"|"140706"|"1278304"|"Closely-held equity interests"|"F"
"01-0221126"|"CASTINE COMMUNITY HOSPITAL"|"140812"|"1278887"|"UBS PAINEWEBBER"|"END OF YEAR MARKET VALUE"
"01-0221126"|"CASTINE COMMUNITY HOSPITAL"|"140813"|"1278887"|"VANGUARD INDEX TRUST"|"END OF YEAR MARKET VALUE"
"01-0221126"|"CASTINE COMMUNITY HOSPITAL"|"140814"|"1278887"|"MAINE COMMUNITY FOUNDATION"|"END OF YEAR MARKET VALUE"
"01-0734263"|"LEE & HERMAN OSTROW FAMILY FOUNDATION"|"141526"|"1286260"|"COMMON INVESTMENT POOL"|"FMV"
"01-6169936"|"THE WELCH FUND FOR HARVARD"|"142055"|"1298703"|"INVESTMENT IN ENTREPRENEURIAL FUND LTD."|"COST"
"01-6014236"|"MORSE HIGH SCHOOL SCHOLARSHIP FUND"|"142217"|"1299781"|"PUBLICLY TRADED SECURITIES-ATTACHED"|"COST"
"01-0794834"|"International Society for Autism Research"|"143079"|"1301397"|"Certificates of deposit"|"C"
"01-6004404"|"United Way of Kennebec Valley"|"143226"|"1301796"|"Mutual funds"|"End-of-Year Marekt Value"
"01-0645457"|"EL PORTAL DE BELEN FOUNDATION"|"143277"|"1304001"|"INVESMENTS BONDS"|"F"
"01-0645457"|"EL PORTAL DE BELEN FOUNDATION"|"143278"|"1304001"|"INVESTMENTS - STOCK"|"F"
"01-0645457"|"EL PORTAL DE BELEN FOUNDATION"|"143279"|"1304001"|"INVESTMENTS-CD'S&EQUIVALENTS"|"F"
"01-0645457"|"EL PORTAL DE BELEN FOUNDATION"|"143280"|"1304001"|"INVESTMENTS - GOVERNMENT SECURITIES"|"F"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"144931"|"1221734"|"US EQUITIES"|"F"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"144932"|"1221734"|"GLOBAL EX U S EQUITIES"|"F"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"144933"|"1221734"|"ABSOLUTE RETURN LONG/SHORT"|"F"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"144934"|"1221734"|"PRIVATEEQUITY & REAL ESTATE"|"F"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"144935"|"1221734"|"OTHER"|"F"
"02-0222182"|"SAINT ANSELM COLLEGE"|"144936"|"1221735"|"Financial derivatives"|"F"
"02-0222182"|"SAINT ANSELM COLLEGE"|"144937"|"1221735"|"Equities"|"F"
"02-0222182"|"SAINT ANSELM COLLEGE"|"144938"|"1221735"|"Collective Trusts"|"F"
"02-0222182"|"SAINT ANSELM COLLEGE"|"144939"|"1221735"|"REIT's"|"F"
"02-0222182"|"SAINT ANSELM COLLEGE"|"144940"|"1221735"|"Flexible Capital"|"F"
"01-0502563"|"CAMP BEECH CLIFF"|"146289"|"1241170"|"CASH & CASH EQUIVALENTS"|"END-OF-YEAR MARKET VALUE"
"01-0502563"|"CAMP BEECH CLIFF"|"146290"|"1241170"|"MUTUAL FUNDS"|"END-OF-YEAR MARKET VALUE"
"01-0553431"|"AMERICAN FRIENDS OF YESHIVAT HESDER SDEROT,INC"|"146743"|"1261088"|"LIFE INSURANCE POLICIES"|"COST"
"01-0433461"|"THE MEDICAL DOSIMETRIST CERTIFICATION BOARD"|"147056"|"1302627"|"Financial derivatives"|"F"
"01-0433461"|"THE MEDICAL DOSIMETRIST CERTIFICATION BOARD"|"147057"|"1302627"|"COMMON AND PREFERRED STOCK"|"F"
"01-0433461"|"THE MEDICAL DOSIMETRIST CERTIFICATION BOARD"|"147058"|"1302627"|"CORPORATE FIXED INCOME"|"F"
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"147088"|"1305783"|"SPONSORED ENTERPRISES"|"F"
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"147089"|"1305783"|"ASSET-BACKED SECURITIES"|"F"
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"147090"|"1305783"|"COMMERCIAL MORTGAGE BACKED SEC"|"F"
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"147091"|"1305783"|"MUNICIPAL BONDS"|"F"
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"147092"|"1305783"|"CORPORATE DEBT SECURITIES"|"F"
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"147093"|"1305783"|"ACCRUED INTEREST"|"F"
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"147094"|"1305783"|"FOREIGN GOVERNMENTS"|"F"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"147525"|"1309102"|"NRUCFC CAPITAL TERM CERTIFICATES"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"147526"|"1309102"|"CFC MEMBERSHIP"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"147527"|"1309102"|"NRUCFC PATRONAGE CAPITAL CERTIFICATES"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"147528"|"1309102"|"UUS PATRONAGE CAPITAL"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"147529"|"1309102"|"NRTC PARONAGE CAPITAL & MEMBERSHIP"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"147530"|"1309102"|"CRC PATRONAGE CAPITAL"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"147531"|"1309102"|"COOP RESPONSE MEMBERSHIP"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"147532"|"1309102"|"INVESTMENT IN FOX ISLAND WIND LLC"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"147533"|"1309102"|"DEPOSIT WITH POWER SUPPLIER - VPPSA"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"147534"|"1309102"|"SEDC MEMBERSHIP"|"C"
"01-0204000"|"MAINE STATE EMPLOYEES ASSOCIATION"|"147624"|"1309781"|"Closely-held equity interests"|"COST"
"01-0263908"|"SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC"|"148111"|"1313329"|"ORCHID ASIA III FUNDS"|"F"
"01-0263908"|"SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC"|"148112"|"1313329"|"TIGER GLOBAL CLASS C SERIES 1A FUND"|"F"
"01-0165110"|"MAINE TOURISM ASSOCIATION"|"148179"|"1313589"|"MORGAN STANLEY SMITH BARNEY ACCOUNT"|"END-OF-YEAR MARKET VALUE"
"01-0269009"|"GREATER PORTLAND BOARD OF REALTORS"|"148512"|"1315477"|"Closely-held equity interests"|"C"
"01-0027741"|"AUGUSTA MAINE ELKS LODGE NO. 964"|"149805"|"1325047"|"HARTFORD MUTUAL FUNDS"|"FMV"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150020"|"1326302"|"AMERICAN CENTURY FUND(20THCEN)"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150021"|"1326302"|"SEI"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150022"|"1326302"|"MERIDIAN"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150023"|"1326302"|"CRM"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150024"|"1326302"|"EUROPACIFIC"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150025"|"1326302"|"HSBC"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150026"|"1326302"|"VANGUARD- BOND INDEX FUND"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150027"|"1326302"|"VANGUARD - INTERTERN TREASURER"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150028"|"1326302"|"VANGUARD - INFLATION PROTECTED"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150029"|"1326302"|"VANGUARD - ENERGY"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150030"|"1326302"|"DODGE &COX"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150031"|"1326302"|"FORESTER PARTNERS"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150032"|"1326302"|"TAP"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150033"|"1326302"|"AEW"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150034"|"1326302"|"PIMCO TOTAL RETURN"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150035"|"1326302"|"COLCHESTER"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150036"|"1326302"|"NYES LEDGE - HEDGE FUND"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150037"|"1326302"|"WEATHERLOW- HEDGE FUND"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150038"|"1326302"|"DRAKE - HEDGE FUND"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150039"|"1326302"|"HIGHMARK MIDCAP GROWTH MF"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150040"|"1326302"|"VANGUARD STOCK MKT IX SIGNAL MF"|"F"
