"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FED_CAMPAIGNS"|"MEMBERSHIP_DUES"|"FUNDRAISING"|"RELATED_ORGS"|"GOV_GRANTS"|"CONTRIB_OTHER"|"CONTRIB_NONCASH"|"CONTRIB_ALL"|"SERVICE_REVENUE"|"INCOME_INVESTMENT"|"INCOME_BONDS"|"ROYALTIES"|"RENTS_REAL"|"RENTS_PERSONAL"|"RENT_EXP_REAL"|"RENT_EXP_PERSONAL"|"RENT_INCOME_REAL"|"RENT_INCOME_PERSONAL"|"NET_RENTAL"|"GROSS_SECURITIES"|"GROSS_OTHER"|"COST_SECURITIES"|"COST_OTHER"|"GAIN_SECURITIES"|"GAIN_OTHER"|"NET_SALES"|"CONTRIBUTIONS"|"GROSS_SPECIAL"|"DIRECT_EXPENSES"|"NET_SPECIAL"|"GAMING_INCOME"|"GAMING_EXPENSES"|"GAMING_NET"|"GROSS_SALES"|"COST_GOODS"|"GROSS_PROFIT"|"REVENUE_OTHER"|"REVENUE_TOTAL"|"SERVICE_DESC_A"|"SERVICE_CODE_A"|"SERVICE_AMT_A"|"SERVICE_DESC_B"|"SERVICE_CODE_B"|"SERVICE_AMT_B"|"SERVICE_DESC_C"|"SERVICE_CODE_C"|"SERVICE_AMT_C"|"SERVICE_DESC_D"|"SERVICE_CODE_D"|"SERVICE_AMT_D"|"SERVICE_DESC_E"|"SERVICE_CODE_E"|"SERVICE_AMT_E"|"SERVICE_DESC_F"|"SERVICE_CODE_F"|"SERVICE_AMT_F"
"01-0247002"|"GEORGE STEVENS ACADEMY"|"1104833"|""|""|""|""|""|"668225.0000"|""|"668225.0000"|"4004694.0000"|"251788.0000"|""|""|""|""|""|""|""|""|""|"6797649.0000"|""|"6752546.0000"|""|"45103.0000"|""|"45103.0000"|""|"4118.0000"|"3221.0000"|"897.0000"|""|""|""|""|""|""|"183066.0000"|"5153773.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0339969"|"Maine Society of CPA's"|"1104834"|""|""|""|""|""|""|""|""|"233844.0000"|"12235.0000"|""|""|""|""|""|""|""|""|""|"72140.0000"|""|"65988.0000"|""|"6152.0000"|""|"6152.0000"|""|""|""|""|""|""|""|""|""|""|"7477.0000"|"259708.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211565"|"WAYNFLETE SCHOOL"|"1106172"|""|""|""|""|""|"1240491.0000"|""|"1240491.0000"|"13711510.0000"|"384584.0000"|""|""|"20800.0000"|""|"17737.0000"|""|"3063.0000"|""|"3063.0000"|"654164.0000"|"3350.0000"|"462444.0000"|"0.0000"|"191720.0000"|"3350.0000"|"195070.0000"|""|"47168.0000"|"35627.0000"|"11541.0000"|""|""|""|""|""|""|""|"15546259.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0276272"|"GREATER PORTLAND LANDMARKS INC"|"1106173"|""|""|"5500.0000"|""|"35931.0000"|"237285.0000"|""|"278716.0000"|"108857.0000"|"5173.0000"|""|""|"84326.0000"|""|"58419.0000"|""|"25907.0000"|""|"25907.0000"|"353984.0000"|""|"353984.0000"|"2917.0000"|"0.0000"|"-2917.0000"|"-2917.0000"|"5500.0000"|"15789.0000"|"18116.0000"|"-2327.0000"|""|""|""|"16761.0000"|"7741.0000"|"9020.0000"|"7629.0000"|"430058.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0467073"|"St Croix Regional Family Health Center"|"1106174"|""|""|""|""|""|""|""|""|"1130843.0000"|"287.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1168.0000"|"1132298.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0618964"|"OASIS CARE INC"|"1106175"|""|""|""|""|"2847051.0000"|""|""|"2847051.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2847051.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0207865"|"HOPKINTON STATE FAIR ASSOCIATION"|"1106176"|""|""|""|""|""|"248.0000"|""|"248.0000"|"909178.0000"|"426.0000"|""|""|"16251.0000"|""|""|""|"16251.0000"|""|"16251.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"926103.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0223482"|"Millinocket Regional Hospital"|"1108441"|""|""|""|""|"124346.0000"|"21755.0000"|""|"146101.0000"|"27163666.0000"|"206991.0000"|""|""|"36000.0000"|""|"19180.0000"|""|"16820.0000"|""|"16820.0000"|"2615416.0000"|"22000.0000"|"2532104.0000"|"41767.0000"|"83312.0000"|"-19767.0000"|"63545.0000"|""|""|""|""|""|""|""|""|""|""|"-26457.0000"|"27570666.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0553077"|"LINKS OF HOPE INC"|"1108448"|""|""|"2749.0000"|""|"15650.0000"|"139529.0000"|""|"157928.0000"|"15800.0000"|"2.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"173730.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0762192"|"HARRY AND JEANETTE WEINBERG VILLAGE I at Owings Mills I Inc CHAI"|"1108450"|""|""|""|"24395.0000"|""|""|""|"24395.0000"|"561037.0000"|"487.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|"0.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|"0.0000"|"585919.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0846888"|"RESTORATION CENTER INC"|"1108451"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"46745.0000"|"0.0000"|"0.0000"|"46745.0000"|"550100.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"596845.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0860991"|"PLAINSBORO FREE PUBLIC LIBRARY FOUNDATION,INC"|"1108452"|""|""|""|""|""|"3379.0000"|""|"3379.0000"|"0.0000"|"1510.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|""|"4889.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6000785"|"BANGOR PUBLIC LIBRARY"|"1108453"|""|""|""|""|"1475312.0000"|"284322.0000"|""|"1759634.0000"|"37066.0000"|"351649.0000"|""|""|""|""|""|""|""|""|""|"6095337.0000"|""|"6393917.0000"|""|"-298580.0000"|""|"-298580.0000"|""|""|""|""|""|""|""|""|""|""|""|"1849769.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0214887"|"VETERANS OF FOREIGN WARS DEPARTMENT"|"1108454"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"3643.0000"|"0.0000"|"3643.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"19645.0000"|""|""|""|"19645.0000"|"0.0000"|"19645.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"89636.0000"|"85559.0000"|"4077.0000"|"395742.0000"|"258972.0000"|"136770.0000"|"0.0000"|"164135.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0267492"|"PORTLAND CHEVRA KADISHA"|"1108442"|""|""|""|""|""|"838.0000"|""|"838.0000"|"250838.0000"|"8596.0000"|""|""|"12000.0000"|""|""|""|"12000.0000"|""|"12000.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"704.0000"|"272976.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0310087"|"Hancock County Planning Commission"|"1108443"|""|""|""|""|"295287.0000"|""|""|"295287.0000"|"63396.0000"|"870.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|"6237.0000"|"365790.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0483192"|"FAMILIES AND CHILDREN TOGETHER"|"1108445"|""|""|""|""|"1301440.0000"|"38241.0000"|""|"1339681.0000"|"372737.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1712418.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0541892"|"WASHINGTON COUNTY EMERGENCY MEDICAL SERVICE AUTHORITY"|"1108447"|""|""|""|""|""|""|""|""|"1124212.0000"|"38.0000"|""|""|""|""|""|""|""|""|""|""|"97000.0000"|""|"77619.0000"|""|"19381.0000"|"19381.0000"|""|""|""|""|""|""|""|""|""|""|"13119.0000"|"1156750.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0288275"|"MAINE MARINE TRADE ASSOCIATION"|"1106906"|""|"63513.0000"|""|""|"213359.0000"|""|""|"276872.0000"|"76071.0000"|"319.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1360.0000"|"354622.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0479776"|"Maine Education Association Benefits Trust"|"1106907"|""|""|""|""|""|""|""|"0.0000"|"14274777.0000"|"786296.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|"41224550.0000"|""|"41374638.0000"|""|"-150088.0000"|""|"-150088.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|"0.0000"|"14910985.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0542376"|"CHALLENGER LEARNING CENTER OF MAINE"|"1106908"|""|""|""|""|""|"156785.0000"|""|"156785.0000"|"68669.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"5630.0000"|"2557.0000"|"3073.0000"|""|"228527.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0554275"|"CCCP COMMUNITY TRUST"|"1106909"|""|""|""|""|""|"2497000.0000"|""|"2497000.0000"|"667353.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"3164353.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211483"|"COMMUNITY HEALTH AND COUNSELING SERVICES"|"1107354"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"2678901.0000"|"1485420.0000"|""|"4164321.0000"|"29657570.0000"|"84481.0000"|"0.0000"|"0.0000"|""|""|""|""|"0.0000"|"0.0000"|""|"285863.0000"|"0.0000"|"312886.0000"|"0.0000"|"-27023.0000"|"0.0000"|"-27023.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|"100543.0000"|"33979892.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0246278"|"FOXCROFT ACADEMY TRUSTEES OF"|"1107355"|""|""|""|""|""|"355705.0000"|""|"355705.0000"|"7349994.0000"|"216406.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|"1585018.0000"|""|"1609312.0000"|""|"-24294.0000"|""|"-24294.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|"252930.0000"|"8150741.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0263385"|"Thomas College"|"1107356"|""|""|""|""|"397786.0000"|"1665338.0000"|""|"2063124.0000"|"20683759.0000"|"500286.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|"562248.0000"|""|"492067.0000"|""|"70181.0000"|""|"70181.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|"182366.0000"|"23499716.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0323280"|"Penguis Mental Health Association"|"1107357"|""|""|""|""|""|"158554.0000"|"158554.0000"|"158554.0000"|"461680.0000"|"2652.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"622886.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0318051"|"Central Maine Area Agency on Aging Inc"|"1097206"|"84713.0000"|""|"54489.0000"|""|"2526258.0000"|"871963.0000"|""|"3537423.0000"|"2930894.0000"|"16511.0000"|"0.0000"|"0.0000"|"295401.0000"|""|"251158.0000"|""|"44243.0000"|""|"44243.0000"|"15389.0000"|"20955.0000"|"14935.0000"|"22492.0000"|"454.0000"|"-1537.0000"|"-1083.0000"|"54489.0000"|"19249.0000"|"19249.0000"|"0.0000"|""|""|"0.0000"|"88444.0000"|"45122.0000"|"43322.0000"|"30363.0000"|"6601673.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0498250"|"WINGS FOR CHILDREN & FAMILIES INC"|"1097207"|""|""|""|""|"512225.0000"|""|""|"512225.0000"|"3196352.0000"|"2437.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"4852.0000"|"3715866.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0052260"|"Cumberland Club"|"1097618"|""|""|""|""|""|""|""|""|"468874.0000"|"142.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"595454.0000"|"651977.0000"|"-56523.0000"|"2331.0000"|"414824.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0451663"|"JHA Services"|"1097619"|""|""|"15050.0000"|""|""|"167963.0000"|""|"183013.0000"|"10596266.0000"|"112874.0000"|""|""|""|""|""|""|""|""|""|"85919.0000"|""|"93578.0000"|""|"-7659.0000"|""|"-7659.0000"|"15050.0000"|"7503.0000"|"10298.0000"|"-2795.0000"|""|""|""|""|""|""|""|"10881699.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0666441"|"CORI'S PLACE"|"1097622"|""|""|"105874.0000"|""|""|""|""|"105874.0000"|"558806.0000"|"59.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"105874.0000"|""|""|""|""|""|""|""|""|""|""|"664739.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6015647"|"Penobscot Marine Museum"|"1097623"|""|"29431.0000"|""|""|""|"382836.0000"|""|"412267.0000"|"78379.0000"|"117677.0000"|""|""|""|""|""|""|""|""|""|"1218739.0000"|""|"1145064.0000"|""|"73675.0000"|""|"73675.0000"|""|"4388.0000"|"0.0000"|"4388.0000"|""|""|""|"75544.0000"|"21043.0000"|"54501.0000"|""|"740887.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0488478"|"KENNEBEC VALLEY COUNCIL OF GOVERNMENTS"|"1107358"|""|""|""|""|"453062.0000"|"110000.0000"|""|"563062.0000"|"503249.0000"|"2954.0000"|""|""|"7200.0000"|""|"0.0000"|""|"7200.0000"|""|"7200.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"138189.0000"|"1214654.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0499084"|"MAINE LONG-TERM CARE OMBUDSMAN PROGRAI"|"1107359"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"653048.0000"|"10045.0000"|"0.0000"|"663093.0000"|"3032.0000"|"28.0000"|"0.0000"|"0.0000"|"3124.0000"|""|""|""|"3124.0000"|"0.0000"|"3124.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"669277.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"1108440"|"0.0000"|"0.0000"|"31510.0000"|"0.0000"|"2188055.0000"|"11158763.0000"|""|"13378328.0000"|"101708445.0000"|"1610112.0000"|"0.0000"|"0.0000"|"531185.0000"|"0.0000"|"551637.0000"|"0.0000"|"-20452.0000"|"0.0000"|"-20452.0000"|"30829642.0000"|"7842576.0000"|"27605816.0000"|"0.0000"|"3223826.0000"|"7842576.0000"|"11066402.0000"|"31510.0000"|"45007.0000"|"64261.0000"|"-19254.0000"|""|""|""|""|""|""|"0.0000"|"127723581.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0321597"|"DIOCESAN BUREAU OF HOUSING"|"1109787"|""|""|""|""|"987790.0000"|""|""|"987790.0000"|"1015831.0000"|"7883.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2011504.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0331180"|"DOWNEAST HORIZONS INC"|"1109788"|""|""|""|""|"29095.0000"|"317839.0000"|""|"346934.0000"|"4555399.0000"|"10925.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"4913258.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0369195"|"Maine-Dartmouth Family Medicine Residency"|"1109789"|""|""|""|""|"158183.0000"|"33329.0000"|""|"191512.0000"|"10980794.0000"|"45883.0000"|""|""|""|""|""|""|""|""|""|"670000.0000"|""|"608084.0000"|""|"61916.0000"|""|"61916.0000"|""|""|""|""|""|""|""|""|""|""|""|"11280105.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0780934"|"LAKE COUNTY INT CHARTER SCHOOL"|"1111248"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"135162.0000"|"311083.0000"|"0.0000"|"446245.0000"|"0.0000"|"836.0000"|"0.0000"|"0.0000"|""|""|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"447081.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0951001"|"Alpha Phi International Fraternity - Chi Chapter"|"1111250"|""|""|""|""|""|""|""|""|"231805.0000"|"10.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"231815.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211532"|"KENTS HILL SCHOOL"|"1113283"|""|""|"41157.0000"|""|""|"1388521.0000"|""|"1429678.0000"|"10767175.0000"|"424540.0000"|""|""|"216190.0000"|""|"258931.0000"|""|"-42741.0000"|""|"-42741.0000"|""|""|""|""|""|""|""|"41157.0000"|"50205.0000"|"20374.0000"|"29831.0000"|""|""|""|"205413.0000"|"204283.0000"|"1130.0000"|"91184.0000"|"12700797.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211548"|"Redington Memorial Hospital Association"|"1113284"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"190090.0000"|"0.0000"|"0.0000"|"219024.0000"|"0.0000"|"280475.0000"|"0.0000"|"-61451.0000"|"0.0000"|"-61451.0000"|"6952051.0000"|"0.0000"|"6422161.0000"|"0.0000"|"529890.0000"|"0.0000"|"529890.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|"0.0000"|"658529.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0212438"|"Maine Central Institute"|"1113285"|""|""|""|""|""|"2051838.0000"|""|"2051838.0000"|"9475123.0000"|"89768.0000"|""|""|""|""|""|""|""|""|""|"4966326.0000"|"250.0000"|"3891979.0000"|"0.0000"|"1074347.0000"|"250.0000"|"1074597.0000"|""|""|""|""|""|""|""|""|""|""|""|"12691326.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0276859"|"Aroostook Mental Health Services, Inc."|"1113286"|""|""|""|""|"2556879.0000"|"22141.0000"|""|"2579020.0000"|"14042518.0000"|"792.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"82711.0000"|"16705041.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0355649"|"St John Valley Associates Inc"|"1113287"|"0.0000"|"15.0000"|"0.0000"|"0.0000"|"22519.0000"|"13975.0000"|"0.0000"|"36509.0000"|"688238.0000"|"1440.0000"|"0.0000"|"0.0000"|""|""|""|""|"0.0000"|"0.0000"|""|""|""|""|""|"0.0000"|"0.0000"|""|"0.0000"|""|""|""|""|""|""|""|""|""|"5306.0000"|"731493.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0500860"|"Amistad. Inc."|"1113289"|"49242.0000"|""|""|""|"1042926.0000"|"17375.0000"|""|"1109543.0000"|"40301.0000"|"184.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1150028.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0726348"|"SOUTHWEST WASHINGTON WORKFORCE DEVELOPMENT COUNCIL"|"1113290"|""|""|""|""|"6712647.0000"|"10237.0000"|""|"6722884.0000"|""|"486.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"88219.0000"|"6811589.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6010406"|"AHAVAS ACHIM SOCIETY OF BROTHERLY LOVE"|"1111251"|""|""|""|""|""|""|""|"0.0000"|"0.0000"|"23154.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|"0.0000"|"23154.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0373396"|"The Park Danforth"|"1109790"|""|""|""|""|""|""|""|""|"1302612.0000"|"2614.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"424.0000"|""|"-424.0000"|"-424.0000"|""|""|""|""|""|""|""|""|""|""|""|"1304802.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0374597"|"YOUTH AND FAMILY OUTREACH"|"1109791"|""|""|""|""|"284044.0000"|"44715.0000"|""|"328759.0000"|"270317.0000"|"26277.0000"|""|""|""|""|""|""|""|""|""|"1080.0000"|""|"62.0000"|""|"1018.0000"|""|"1018.0000"|""|"6385.0000"|"1558.0000"|"4827.0000"|""|""|""|""|""|""|""|"631198.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0438695"|"MAINE HOUSING AND BUILDING MATERIALS EXCHANGE"|"1109792"|""|"8355.0000"|""|""|""|"91600.0000"|""|"99955.0000"|"2151.0000"|""|""|""|"12000.0000"|""|"28585.0000"|""|"-16585.0000"|""|"-16585.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"170268.0000"|"90177.0000"|"80091.0000"|""|"165612.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0612697"|"Farmington Youth Basketball Association"|"1109794"|""|""|""|""|""|"300.0000"|""|"300.0000"|"142764.0000"|"21.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|"0.0000"|"143085.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0831698"|"JEWISH COMMUNITY FOUNDATION"|"1109795"|""|""|""|"482939.0000"|""|"1959875.0000"|""|"2442814.0000"|"185551.0000"|"281715.0000"|""|""|"44812.0000"|""|"0.0000"|""|"44812.0000"|""|"44812.0000"|"318606.0000"|"93018.0000"|"289058.0000"|"600000.0000"|"29548.0000"|"-506982.0000"|"-477434.0000"|""|""|""|""|""|""|""|""|""|""|"-3057.0000"|"2474401.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6011501"|"UNIVERSITY OF MAINE FOUNDATION"|"1109796"|""|""|""|""|""|"12359605.0000"|""|"12359605.0000"|"0.0000"|"3215623.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|"54842897.0000"|"200712.0000"|"53522094.0000"|"264353.0000"|"1320803.0000"|"-63641.0000"|"1257162.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|"755734.0000"|"17588124.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0061300"|"Fraternal Order of Eagles #1457"|"1111234"|"0.0000"|"6050.0000"|"0.0000"|"0.0000"|"0.0000"|"699.0000"|"0.0000"|"6749.0000"|"0.0000"|"55.0000"|"0.0000"|"0.0000"|"1050.0000"|""|""|""|"1050.0000"|"0.0000"|"1050.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"4308.0000"|"629.0000"|"3679.0000"|"244784.0000"|"192878.0000"|"51906.0000"|"161789.0000"|"110409.0000"|"51380.0000"|"4528.0000"|"119347.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0104905"|"LAUREL HILL CEMETERY ASSOCIATION"|"1111235"|""|""|""|""|""|"4400.0000"|""|"4400.0000"|""|"158601.0000"|""|""|""|""|""|""|""|""|""|"656243.0000"|""|"705007.0000"|""|"-48764.0000"|""|"-48764.0000"|""|""|""|""|""|""|""|"271100.0000"|"137187.0000"|"133913.0000"|"305257.0000"|"553407.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211810"|"UNIVERSITY OF NEW ENGLAND"|"1111236"|""|""|""|""|"5943776.0000"|"11315132.0000"|""|"17258908.0000"|"155594212.0000"|"441400.0000"|""|""|"362948.0000"|""|"195953.0000"|""|"166995.0000"|""|"166995.0000"|"2653363.0000"|"83800.0000"|"2441168.0000"|"3796.0000"|"212195.0000"|"80004.0000"|"292199.0000"|""|"27352.0000"|"13293.0000"|"14059.0000"|""|""|""|""|""|""|"2611788.0000"|"176379561.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
