"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOT_REV_CURRENT"|"DISCONTINUED_OPS_CBX"|"TOT_VOLUNTEERS"|"TOT_UBR"|"NET_UBR_990T"|"CONTRIB_ALL_PRIOR"|"SERVICE_REVENUE_PRIOR"|"INCOME_INVESTMENT_PRIOR"|"REVENUE_OTHER_PRIOR"|"TOT_REV_PRIOR"|"GRANTS_PRIOR"|"BENEFITS_TOTAL_PRIOR"|"COMP_BENEFITS_PRIOR"|"FUNDRAISING_TOTAL_PRIOR"|"OTHER_EXPENSES_PRIOR"|"EXPENSES_TOTAL_PRIOR"|"REV_EXP_PRIOR"
"01-0927327"|"ELECTRIFICATION COALITION FOUNDATION"|"1337181"|"1925000.0000"|""|"0"|"0.0000"|"0.0000"|"1850000.0000"|"0.0000"|"0.0000"|"1500.0000"|"1851500.0000"|"0.0000"|"0.0000"|"440365.0000"|"30000.0000"|"271234.0000"|"741599.0000"|"1109901.0000"
"01-0535534"|"SOMERSET ECONOMIC DEVELOPMENT ECONOMIC DEVELOPMENT"|"1337732"|"389645.0000"|""|""|"0.0000"|""|"644194.0000"|"950.0000"|"8265.0000"|""|"653409.0000"|""|""|"73652.0000"|""|"596719.0000"|"670371.0000"|"-16962.0000"
"01-0566033"|"ISRAEL EMERGENCY ALLIANCE"|"1337734"|"8716377.0000"|""|"149"|"0.0000"|"0.0000"|"6078307.0000"|"215640.0000"|"80760.0000"|"-14924.0000"|"6359783.0000"|""|""|"2978662.0000"|""|"3374614.0000"|"6353276.0000"|"6507.0000"
"01-0600248"|"EASTERN NC REGIONAL SCIENCE CENTER"|"1337735"|"96254.0000"|""|"670"|"0.0000"|"0.0000"|"64082.0000"|"0.0000"|"56.0000"|""|"64138.0000"|""|""|"61890.0000"|""|"26363.0000"|"88253.0000"|"-24115.0000"
"01-0542842"|"GERIATRIC RESOURCE NETWORK"|"1340879"|"292708.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0382340"|"COVE'S EDGE INC"|"1341668"|"15068919.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0540292"|"Konbit Sante Cap Haitien Health Partners"|"1341670"|"911231.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0131770"|"ODD FELLOWS HALL"|"1341919"|"26191.0000"|""|"0"|"0.0000"|"0.0000"|""|""|"69837.0000"|"5883.0000"|"75720.0000"|""|""|"20868.0000"|""|"19672.0000"|"40540.0000"|"35180.0000"
"01-0379899"|"EAGLE HILL INSTITUTE"|"1341924"|"495574.0000"|""|""|"0.0000"|""|"39281.0000"|"439194.0000"|"302.0000"|"4494.0000"|"483271.0000"|"100.0000"|""|"105530.0000"|""|"357501.0000"|"463131.0000"|"20140.0000"
"01-0476545"|"COASTAL MAINE BOTANICAL GARDENS INC"|"1341928"|"3656828.0000"|""|"571"|"0.0000"|"0.0000"|"1921587.0000"|"1025115.0000"|"28013.0000"|"339831.0000"|"3314546.0000"|"0.0000"|"0.0000"|"972201.0000"|"0.0000"|"1517705.0000"|"2489906.0000"|"824640.0000"
"01-0780689"|"HOLLENBECK POLICE ACTIVITIES LEAGUE"|"1341939"|"666294.0000"|""|""|"0.0000"|""|"652556.0000"|""|""|"176779.0000"|"829335.0000"|""|""|"385056.0000"|""|"153495.0000"|"538551.0000"|"290784.0000"
"01-0884383"|"MILAGRE KIDS SCHOOLS INC"|"1341942"|"766759.0000"|""|"0"|"0.0000"|"0.0000"|"7903.0000"|"724929.0000"|"0.0000"|"0.0000"|"732832.0000"|"0.0000"|"0.0000"|"571641.0000"|"0.0000"|"136818.0000"|"708459.0000"|"24373.0000"
"01-0316041"|"Youth Alternatives Ingraham"|"1346479"|"10637933.0000"|""|"20"|"-31662.0000"|"-31662.0000"|"6772671.0000"|"10954240.0000"|"54936.0000"|"-30788.0000"|"17751059.0000"|"0.0000"|"0.0000"|"12718890.0000"|"0.0000"|"5499687.0000"|"18218577.0000"|"-467518.0000"
"01-0493869"|"SMART CHILD & FAMILY SERVICES"|"1346485"|"1934783.0000"|""|""|"0.0000"|""|"7880.0000"|"1718035.0000"|"6.0000"|""|"1725921.0000"|""|""|"863036.0000"|""|"828218.0000"|"1691254.0000"|"34667.0000"
"01-0699969"|"COMPASS CHARTER MIDDLE SCHOOL INC"|"1346490"|"1046238.0000"|""|"8"|"0.0000"|""|"115849.0000"|"987411.0000"|""|"57890.0000"|"1161150.0000"|""|""|""|""|"1202858.0000"|"1202858.0000"|"-41708.0000"
"01-0784491"|"FOR THE KID IN ALL OF US INC"|"1346496"|"339154.0000"|""|"225"|"0.0000"|""|"308282.0000"|""|""|"37983.0000"|"346265.0000"|""|""|""|""|"357648.0000"|"357648.0000"|"-11383.0000"
"02-0162153"|"MANCHESTER MASONIC TEMPLE ASSOC"|"1346500"|"161356.0000"|""|""|"0.0000"|""|""|"14569.0000"|"10789.0000"|"138422.0000"|"163780.0000"|""|""|"25986.0000"|""|"133867.0000"|"159853.0000"|"3927.0000"
"01-0372148"|"THE AROOSTOOK MEDICAL CENTER"|"1349133"|"217882913.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211486"|"MT DESERT ISLAND YMCA"|"1349304"|"1430725.0000"|""|""|"0.0000"|""|"285983.0000"|"964786.0000"|"59187.0000"|"86111.0000"|"1396067.0000"|""|""|"808883.0000"|""|"571102.0000"|"1379985.0000"|"16082.0000"
"01-0345195"|"SACOPEE RESCUE UNIT INC"|"1349307"|"308937.0000"|""|""|"0.0000"|"0.0000"|"54946.0000"|"235804.0000"|"40.0000"|""|"290790.0000"|""|""|"102840.0000"|""|"201897.0000"|"304737.0000"|"-13947.0000"
"01-0415961"|"Veterans For Peace Inc"|"1349311"|"534048.0000"|""|""|"0.0000"|"0.0000"|"261347.0000"|"233939.0000"|"975.0000"|"17860.0000"|"514121.0000"|""|""|"155844.0000"|""|"308379.0000"|"464223.0000"|"49898.0000"
"01-0867393"|"CR JRS CHIP"|"1349329"|"1017593.0000"|""|"125"|"0.0000"|"0.0000"|"299185.0000"|"198323.0000"|"771.0000"|"16915.0000"|"515194.0000"|"0.0000"|"7600.0000"|"373838.0000"|"0.0000"|"136162.0000"|"517600.0000"|"-2406.0000"
"01-0974476"|"Charter Board Partners"|"1349334"|"494475.0000"|""|"10"|"0.0000"|"0.0000"|"397300.0000"|"2000.0000"|""|""|"399300.0000"|""|""|"146541.0000"|""|"173219.0000"|"319760.0000"|"79540.0000"
"01-0242095"|"ROBERT W TRAIP TRUST"|"1353473"|"100963.0000"|""|"6"|"0.0000"|""|""|""|"95350.0000"|""|"95350.0000"|"63294.0000"|""|""|""|"27345.0000"|"90639.0000"|"4711.0000"
"01-0407276"|"Sunrise Opportunities"|"1353476"|"5784072.0000"|""|""|"28158.0000"|""|"897266.0000"|"4612532.0000"|""|"59313.0000"|"5569111.0000"|""|""|"3670640.0000"|""|"2056750.0000"|"5727390.0000"|"-158279.0000"
"01-0586454"|"FULL SPECTRUM FARMS INC"|"1353481"|"49398.0000"|""|"28"|"0.0000"|""|"371808.0000"|"543.0000"|""|""|"372351.0000"|"34045.0000"|""|"18996.0000"|"5147.0000"|"72549.0000"|"130737.0000"|"241614.0000"
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"1353488"|"14230300.0000"|""|"1490"|"3191.0000"|"2191.0000"|"1250383.0000"|"11158391.0000"|"36306.0000"|"67011.0000"|"12512091.0000"|"1778235.0000"|""|"6643563.0000"|""|"4274006.0000"|"12695804.0000"|"-183713.0000"
"01-0730325"|"THE MOUNT KENYA ACADEMY FOUNDATION, INC."|"1358802"|"1366190.0000"|""|"0"|"0.0000"|"0.0000"|"189200.0000"|"949980.0000"|"4375.0000"|"0.0000"|"1143555.0000"|"0.0000"|"0.0000"|"468641.0000"|"0.0000"|"582947.0000"|"1051588.0000"|"91967.0000"
"01-0964759"|"Ho'okipaipai LLC"|"1329242"|"384087.0000"|""|"0"|"0.0000"|"0.0000"|"336682.0000"|"0.0000"|"0.0000"|"0.0000"|"336682.0000"|"0.0000"|"0.0000"|"135438.0000"|"0.0000"|"81028.0000"|"216466.0000"|"120216.0000"
"01-0796859"|"MONTEFIORE NORTH AMBULATORY CARE CENTER, INC."|"1329241"|"2978303.0000"|""|"0"|"0.0000"|"0.0000"|"0.0000"|"3169933.0000"|"0.0000"|"0.0000"|"3169933.0000"|"0.0000"|"0.0000"|"3622718.0000"|"0.0000"|"1616917.0000"|"5239635.0000"|"-2069702.0000"
"01-6012414"|"KATAHDIN COUNCIL INC BOY SCOUTS OF AMERICA"|"1313845"|"624901.0000"|""|"60"|"0.0000"|""|"3300.0000"|""|"56214.0000"|"102172.0000"|"161686.0000"|""|""|""|""|"228494.0000"|"228494.0000"|"-66808.0000"
"01-0496860"|"PORTLAND OPERA REPERTORY THEATRE"|"1362277"|"346816.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0224138"|"ROCKLAND FESTIVAL CORPORATION"|"1362324"|"455313.0000"|""|"1000"|"0.0000"|"0.0000"|"10800.0000"|"326142.0000"|"69.0000"|"108391.0000"|"445402.0000"|"37900.0000"|"0.0000"|"0.0000"|"0.0000"|"369016.0000"|"406916.0000"|"38486.0000"
"01-0637743"|"MOST VALUABLE KIDS INC"|"1362327"|"142219.0000"|""|"14"|"0.0000"|"0.0000"|"126210.0000"|"0.0000"|"16.0000"|"0.0000"|"126226.0000"|"0.0000"|"0.0000"|"56634.0000"|"17500.0000"|"65959.0000"|"140093.0000"|"-13867.0000"
"01-0661979"|"MAJESTIC THEATER ASSOCIATION"|"1362328"|"64521.0000"|""|"0"|"0.0000"|"0.0000"|"8171.0000"|"46725.0000"|"120.0000"|""|"55016.0000"|""|""|"1433.0000"|""|"96082.0000"|"97515.0000"|"-42499.0000"
"01-0683413"|"THE COUNCIL OF URBAN PROFESSIONALS INSTITUTE"|"1313841"|"815892.0000"|""|"15"|"0.0000"|""|"2021004.0000"|""|"256.0000"|""|"2021260.0000"|"560925.0000"|""|"438939.0000"|""|"916708.0000"|"1916572.0000"|"104688.0000"
"02-0120120"|"COCHECHO COUNTRY CLUB INC"|"1263911"|"1290409.0000"|""|""|"60660.0000"|"13221.0000"|""|"1266484.0000"|"8446.0000"|"-16251.0000"|"1258679.0000"|""|""|"672869.0000"|""|"640619.0000"|"1313488.0000"|"-54809.0000"
"01-0211539"|"PATTEN FREE LIBRARY"|"1262216"|"1153872.0000"|""|"100"|"0.0000"|"0.0000"|"583627.0000"|"55295.0000"|"128428.0000"|""|"767350.0000"|""|""|"434675.0000"|""|"305018.0000"|"739693.0000"|"27657.0000"
"01-0514750"|"PENOBSCOT COMMUNITY HEALTH CENTER"|"1364308"|"52271740.0000"|""|""|"-115715.0000"|"-115715.0000"|"6835999.0000"|"42909461.0000"|"2651.0000"|"128683.0000"|"49876794.0000"|""|""|"31876762.0000"|""|"14500593.0000"|"46377355.0000"|"3499439.0000"
"01-0772160"|"Circle K International Inc"|"1366786"|"602446.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0490759"|"PARENTS AGAINST TIRED TRUCKERS"|"1366914"|"212823.0000"|""|"100"|"0.0000"|"0.0000"|"208454.0000"|"0.0000"|"1098.0000"|"0.0000"|"209552.0000"|"0.0000"|"0.0000"|"135409.0000"|"0.0000"|"71760.0000"|"207169.0000"|"2383.0000"
"01-6242128"|"EUCLID HITACHI RETIREE VEBA BENEFIT PLAN"|"1368917"|"481091.0000"|""|""|"0.0000"|""|""|""|"106783.0000"|"884121.0000"|"990904.0000"|""|"1395831.0000"|""|""|"169857.0000"|"1565688.0000"|"-574784.0000"
"01-0207716"|"VICTORIA MANSION"|"1369785"|"554075.0000"|""|"70"|"0.0000"|"0.0000"|"229057.0000"|"259755.0000"|"57463.0000"|"16666.0000"|"562941.0000"|"0.0000"|"0.0000"|"294924.0000"|"0.0000"|"176880.0000"|"471804.0000"|"91137.0000"
"01-0331728"|"PATHWAYS INC"|"1369786"|"1848757.0000"|""|"0"|"0.0000"|"0.0000"|"88542.0000"|"1870143.0000"|"0.0000"|"49183.0000"|"2007868.0000"|"0.0000"|"0.0000"|"1574324.0000"|"0.0000"|"440459.0000"|"2014783.0000"|"-6915.0000"
"01-0439009"|"AUBURN RESIDENTIAL DEVELOPMENT CORP"|"1369787"|"697962.0000"|""|"5"|"0.0000"|"0.0000"|"0.0000"|"68179.0000"|"125129.0000"|"0.0000"|"193308.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"114039.0000"|"114039.0000"|"79269.0000"
"01-0455018"|"ROTARY INTERNATIONAL DISTRICT 7780"|"1369788"|"241863.0000"|""|"0"|"0.0000"|"0.0000"|"59828.0000"|"100763.0000"|"438.0000"|"0.0000"|"161029.0000"|"17313.0000"|"0.0000"|"0.0000"|"0.0000"|"155497.0000"|"172810.0000"|"-11781.0000"
"01-0225267"|"Tarratine Club of Dark Harbor"|"1371187"|"1442522.0000"|""|""|"18.0000"|""|""|"1357573.0000"|"136.0000"|""|"1357709.0000"|""|""|"562930.0000"|""|"831333.0000"|"1394263.0000"|"-36554.0000"
"01-0366667"|"MAINE OPTOMETRIC ASSOCIATION"|"1371188"|"413803.0000"|""|""|"5204.0000"|"832.0000"|""|"404619.0000"|"2089.0000"|"18315.0000"|"425023.0000"|""|""|"44036.0000"|""|"350910.0000"|"394946.0000"|"30077.0000"
"01-0211551"|"ST MARY'S REGIONAL MEDICAL CENTER"|"1260126"|"153761301.0000"|""|"268"|"90974.0000"|"40770.0000"|"661698.0000"|"156798268.0000"|"521952.0000"|"235274.0000"|"158217192.0000"|"0.0000"|"0.0000"|"84317673.0000"|"0.0000"|"70966574.0000"|"155284247.0000"|"2932945.0000"
"01-0923793"|"Camp Ten Trees"|"1256092"|"174841.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0527319"|"Northern Maine Independent System Administrator Inc"|"1253446"|"1105084.0000"|""|"0"|"0.0000"|"0.0000"|"0.0000"|"937547.0000"|"841.0000"|"0.0000"|"938388.0000"|"0.0000"|"0.0000"|"424034.0000"|"0.0000"|"514354.0000"|"938388.0000"|"0.0000"
"01-0462738"|"UA Local 716 Apprenticeship & Training"|"1374156"|"159021.0000"|""|""|"0.0000"|""|"67999.0000"|"101036.0000"|"5167.0000"|"16358.0000"|"190560.0000"|""|""|"78823.0000"|""|"176852.0000"|"255675.0000"|"-65115.0000"
"01-0191203"|"MAINE AUTOMOBILE DEALERS ASSOCIATION, INC."|"1375111"|"1037003.0000"|""|"0"|"440261.0000"|"0.0000"|""|"510179.0000"|"28128.0000"|"460675.0000"|"998982.0000"|""|""|"482919.0000"|""|"402105.0000"|"885024.0000"|"113958.0000"
"01-0490316"|"OGUNQUIT PLAYHOUSE FOUNDATION"|"1253445"|"5761837.0000"|""|"308"|"82310.0000"|""|"334133.0000"|"4034231.0000"|"4808.0000"|"207000.0000"|"4580172.0000"|""|""|"2227954.0000"|"3600.0000"|"2546187.0000"|"4777741.0000"|"-197569.0000"
"01-0371037"|"UNION COUNTRY CLUB INC"|"1253443"|"46341.0000"|""|"0"|"21442.0000"|"4169.0000"|"25457.0000"|"2596.0000"|"18704.0000"|"2759.0000"|"49516.0000"|"0.0000"|"0.0000"|"40497.0000"|"0.0000"|"22447.0000"|"62944.0000"|"-13428.0000"
"01-0838125"|"S.A.F.E. FAMILY MINISTRIES"|"1243636"|"182411.0000"|""|"92"|""|""|"101971.0000"|"52536.0000"|""|"60.0000"|"154567.0000"|""|""|""|""|"104821.0000"|"104821.0000"|"49746.0000"
"01-0540981"|"COMMUNITY CONCEPTS FINANCE CORPORATION"|"1243569"|"584568.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211485"|"YOUNG MEN'S CHRISTIAN ASSOCIATION BANGOR"|"1376762"|"3212518.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0829282"|"GOOD SHEPHERD MEDICAL CENTER-LINDEN"|"1376765"|"12730246.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0925282"|"HERO House"|"1376959"|"420767.0000"|""|"0"|"0.0000"|"0.0000"|"374433.0000"|"7488.0000"|"102.0000"|"0.0000"|"382023.0000"|"0.0000"|"0.0000"|"262396.0000"|"0.0000"|"190884.0000"|"453280.0000"|"-71257.0000"
"01-0749311"|"UFCW UNIONS & PARTICIPATING EMPLOYERS HEALTH & WELFARE FUND"|"1237566"|"37873486.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0273431"|"Centerboard Yacht Club"|"1237562"|"188080.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0357293"|"HERITAGE COURT INC"|"1361108"|"375050.0000"|""|"0"|"0.0000"|"0.0000"|"292988.0000"|"88811.0000"|"542.0000"|"0.0000"|"382341.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"311491.0000"|"311491.0000"|"70850.0000"
"01-0234189"|"Northern Maine Medical Center"|"1380059"|"53450516.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0621802"|"CAMDEN FIRST COMMUNITY DEVELOPMENT CORPORATION"|"1361955"|"233666.0000"|""|"25"|"0.0000"|""|"174560.0000"|"21195.0000"|"1.0000"|"33022.0000"|"228778.0000"|""|""|"45305.0000"|""|"223659.0000"|"268964.0000"|"-40186.0000"
"01-6021200"|"COASTAL HUMANE SOCIETY, INC."|"1361956"|"1032453.0000"|""|"150"|"0.0000"|"0.0000"|"584147.0000"|"221467.0000"|"39809.0000"|"15660.0000"|"861083.0000"|"0.0000"|"0.0000"|"571647.0000"|"0.0000"|"527675.0000"|"1099322.0000"|"-238239.0000"
"01-0558961"|"HARRISBURG CULTURAL & SOCIAL SERVIC"|"1385553"|"261363.0000"|""|"1"|"0.0000"|""|"97947.0000"|"160747.0000"|"4.0000"|"32248.0000"|"290946.0000"|""|""|""|""|"331995.0000"|"331995.0000"|"-41049.0000"
"01-0554061"|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|"1363035"|"-152359.0000"|""|""|"0.0000"|""|""|""|"3156.0000"|"-179182.0000"|"-176026.0000"|""|""|""|""|""|""|"-176026.0000"
"01-6023974"|"Washington County Association for Retarded Citizens"|"1363038"|"441428.0000"|""|""|"-6240.0000"|"-4986.0000"|"100916.0000"|"370608.0000"|"1481.0000"|"2134.0000"|"475139.0000"|"28927.0000"|""|""|""|"360139.0000"|"389066.0000"|"86073.0000"
"01-0228578"|"SPRINGVALE SOCIAL CLUB"|"1307891"|"222579.0000"|""|"12"|"0.0000"|"0.0000"|"24228.0000"|""|"69.0000"|"205321.0000"|"229618.0000"|""|""|"91386.0000"|""|"93581.0000"|"184967.0000"|"44651.0000"
"01-0215915"|"HANCOCK COUNTY TRUSTEES OF PUBLIC RESERVATIONS"|"1389873"|"316748.0000"|""|"49"|"0.0000"|""|"122775.0000"|"45438.0000"|"69200.0000"|"-4609.0000"|"232804.0000"|""|""|"123041.0000"|""|"138946.0000"|"261987.0000"|"-29183.0000"
"01-0275734"|"ASSOCIATED GENERAL CONTRACTORS OF MAINE INC"|"1389874"|"702559.0000"|""|"12"|"15400.0000"|"0.0000"|"381282.0000"|"262714.0000"|"-10969.0000"|"36750.0000"|"669777.0000"|"0.0000"|"0.0000"|"289855.0000"|"0.0000"|"424747.0000"|"714602.0000"|"-44825.0000"
"01-0572077"|"ENABLE AMERICA INC"|"1389886"|"443795.0000"|""|"5"|"0.0000"|"0.0000"|"363535.0000"|"0.0000"|"0.0000"|"0.0000"|"363535.0000"|"0.0000"|"0.0000"|"166910.0000"|"0.0000"|"311176.0000"|"478086.0000"|"-114551.0000"
"01-0770241"|"DRUG TREATMENT COURT FOUNDATION OF KALAMAZOO COUNTY"|"1389898"|"477172.0000"|""|"30"|"0.0000"|""|"103709.0000"|""|"111307.0000"|"102.0000"|"215118.0000"|"139000.0000"|""|""|"69018.0000"|"128750.0000"|"336768.0000"|"-121650.0000"
"01-0824477"|"JESUS TEAM MINISTRIES INC"|"1389902"|"32807.0000"|""|""|"0.0000"|""|""|"30540.0000"|""|""|"30540.0000"|""|"30762.0000"|""|""|""|"30762.0000"|"-222.0000"
"01-0836208"|"HAND IN HAND MANO EN MANO"|"1389903"|"406376.0000"|""|"60"|"0.0000"|"0.0000"|"766182.0000"|"121697.0000"|"91.0000"|"0.0000"|"887970.0000"|"3000.0000"|"0.0000"|"129341.0000"|"0.0000"|"92075.0000"|"224416.0000"|"663554.0000"
"02-0179723"|"POLISH AMERICAN CITIZENS CLUB"|"1389914"|"96030.0000"|""|""|"0.0000"|"0.0000"|"5315.0000"|""|"317.0000"|"85769.0000"|"91401.0000"|"821.0000"|""|"48796.0000"|""|"54374.0000"|"103991.0000"|"-12590.0000"
"01-0205722"|"Brookside Cemetery Association, Inc."|"1396961"|"20337.0000"|""|"0"|"0.0000"|"0.0000"|"53.0000"|"3150.0000"|"29292.0000"|"0.0000"|"32495.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"14256.0000"|"14256.0000"|"18239.0000"
"01-0228262"|"Northeast Heanng & Speech Center Inc"|"1396969"|"1595290.0000"|""|"0"|"0.0000"|"0.0000"|"276676.0000"|"1311413.0000"|"1747.0000"|"0.0000"|"1589836.0000"|"0.0000"|"0.0000"|"1015168.0000"|"0.0000"|"473405.0000"|"1488573.0000"|"101263.0000"
"01-0279335"|"THE PIERRE MONTEUX MEMORIAL FOUNDATION"|"1396974"|"189926.0000"|""|"57"|"0.0000"|""|"78496.0000"|"89134.0000"|"1112.0000"|"19705.0000"|"188447.0000"|""|""|"14816.0000"|""|"163882.0000"|"178698.0000"|"9749.0000"
"01-0347381"|"Sacopee Valley Health Center"|"1396978"|"3616957.0000"|""|"3"|"0.0000"|""|"1307691.0000"|"2009648.0000"|"64.0000"|"115133.0000"|"3432536.0000"|""|""|"2554560.0000"|""|"721091.0000"|"3275651.0000"|"156885.0000"
"01-0352258"|"CHILDREN'S MUSEUM AND THEATRE OF MAINE"|"1396979"|"1210658.0000"|""|"75"|"0.0000"|"0.0000"|"714194.0000"|"471081.0000"|"2346.0000"|"5920.0000"|"1193541.0000"|"0.0000"|"0.0000"|"747223.0000"|"0.0000"|"392609.0000"|"1139832.0000"|"53709.0000"
"01-0466131"|"THE PUBLIC THEATER INC"|"1396992"|"605980.0000"|""|"0"|"0.0000"|"0.0000"|"289374.0000"|"173229.0000"|"2528.0000"|"0.0000"|"465131.0000"|"0.0000"|"0.0000"|"341625.0000"|"0.0000"|"189690.0000"|"531315.0000"|"-66184.0000"
"01-0683331"|"JFK MEDICAL CENTER CHARTER SCHOOL INC"|"1397005"|"3869525.0000"|""|"172"|"0.0000"|"0.0000"|"154204.0000"|"3404000.0000"|"0.0000"|"290358.0000"|"3848562.0000"|"0.0000"|"0.0000"|"2340147.0000"|"0.0000"|"1489975.0000"|"3830122.0000"|"18440.0000"
"01-0694632"|"SEYMOUR OSMAN COMMUNITY CENTER AND YOUTH HAVEN"|"1397006"|"270447.0000"|""|"0"|"0.0000"|"0.0000"|"253731.0000"|"12712.0000"|"25.0000"|"7509.0000"|"273977.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"305923.0000"|"305923.0000"|"-31946.0000"
"01-0263198"|"Down East Community Hospital"|"1404299"|"35436647.0000"|""|"32"|"0.0000"|"0.0000"|"1073878.0000"|"35350668.0000"|"179149.0000"|"0.0000"|"36603695.0000"|"376910.0000"|"0.0000"|"19889297.0000"|"0.0000"|"16092371.0000"|"36358578.0000"|"245117.0000"
"02-0147630"|"HOLDERNESS SCHOOL"|"1406935"|"18015727.0000"|""|"26"|"0.0000"|"0.0000"|"2144351.0000"|"13561187.0000"|"575141.0000"|"60740.0000"|"16341419.0000"|"3014340.0000"|"0.0000"|"7811233.0000"|"0.0000"|"5790539.0000"|"16616112.0000"|"-274693.0000"
"01-0383493"|"MAINE PEOPLE'S ALLIANCE"|"1383880"|"1098342.0000"|""|"6424"|"0.0000"|""|"892304.0000"|"30078.0000"|""|"-5755.0000"|"916627.0000"|"5000.0000"|""|"630001.0000"|""|"303534.0000"|"938535.0000"|"-21908.0000"
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"1307252"|"54017489.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0215911"|"Mid Coast Hospital"|"1284519"|"126160636.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0281875"|"Eastern Maine Development Corporation"|"1413855"|"6417540.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0645482"|"OVERTURE CENTER FOUNDATION INC"|"1413911"|"8543451.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0593565"|"THE ONE CAMPAIGN"|"1413929"|"55927760.0000"|""|"17"|"1771727.0000"|"-871107.0000"|"13717951.0000"|""|"106521.0000"|"16590.0000"|"13841062.0000"|"1213850.0000"|""|"12642107.0000"|"251613.0000"|"13346027.0000"|"27453597.0000"|"-13612535.0000"
"01-0599150"|"REACHING U A FOUNDATION FOR URUGUAY"|"1413931"|"622414.0000"|""|"107"|"0.0000"|"0.0000"|"353288.0000"|"0.0000"|"66.0000"|"-14884.0000"|"338470.0000"|"314423.0000"|"0.0000"|"0.0000"|"0.0000"|"56536.0000"|"370959.0000"|"-32489.0000"
"01-0728655"|"APEX PROFESSIONAL SERVICES"|"1413934"|"613538.0000"|""|"4"|"0.0000"|""|"355942.0000"|""|""|""|"355942.0000"|""|""|"55117.0000"|""|"254830.0000"|"309947.0000"|"45995.0000"
"01-0746862"|"WINDUSTRY"|"1413935"|"490903.0000"|""|"72"|"0.0000"|"0.0000"|"559590.0000"|"112348.0000"|"265.0000"|"195.0000"|"672398.0000"|"0.0000"|"0.0000"|"396654.0000"|"0.0000"|"434792.0000"|"831446.0000"|"-159048.0000"
"01-0755874"|"MANZANO MOUNTAIN EARLY LEARNING CENTER"|"1413936"|"216948.0000"|""|"0"|"0.0000"|"0.0000"|"71147.0000"|"135207.0000"|"0.0000"|"419.0000"|"206773.0000"|"0.0000"|"0.0000"|"136198.0000"|"0.0000"|"74102.0000"|"210300.0000"|"-3527.0000"
"01-0778873"|"EASTON MOUNTAIN, INC."|"1413938"|"599576.0000"|""|"26"|"0.0000"|"0.0000"|"132627.0000"|"441372.0000"|""|"7498.0000"|"581497.0000"|""|""|"139948.0000"|""|"500451.0000"|"640399.0000"|"-58902.0000"
"01-0430261"|"Maine Women's Fund"|"1416282"|"388166.0000"|""|"124"|"0.0000"|""|"240596.0000"|""|"79061.0000"|"-4118.0000"|"315539.0000"|"80000.0000"|""|"210318.0000"|""|"87559.0000"|"377877.0000"|"-62338.0000"
"01-0615880"|"THE CHILDREN'S GARDEN INC"|"1416284"|"338002.0000"|""|"0"|"0.0000"|"0.0000"|"780.0000"|"306790.0000"|"0.0000"|"52606.0000"|"360176.0000"|"0.0000"|"0.0000"|"247721.0000"|"0.0000"|"78860.0000"|"326581.0000"|"33595.0000"
"01-0626449"|"GATEWAY MONTESSORI SCHOOL INC"|"1416285"|"484596.0000"|""|"7"|"0.0000"|""|"3047.0000"|"410136.0000"|""|"95.0000"|"413278.0000"|""|""|"138967.0000"|""|"220164.0000"|"359131.0000"|"54147.0000"
"02-0214564"|"GREATER KEENE CHAMBER OF COMMERCE"|"1416295"|"383519.0000"|""|"20"|"0.0000"|"0.0000"|""|"327833.0000"|"711.0000"|"9930.0000"|"338474.0000"|""|""|"181063.0000"|""|"167597.0000"|"348660.0000"|"-10186.0000"
