"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"ENDOW_BOY"|"ENDOW_CONTRIB"|"ENDOW_INVESTMENTS"|"ENDOW_GRANTS"|"ENDOW_OTHER_EXPENSES"|"ENDOW_ADMIN_EXPENSES"|"ENDOW_EOY"|"ENDOW_BOARD_DESIGNATED_EOY"|"ENDOW_PERMANENT_EOY"|"ENDOW_TERM_EOY"|"ENDOW_UNRELATED_ORGS_CBX"|"ENDOW_RELATED_ORGS_CBX"|"ENDOW_SCHEDR_CBX"
"01-0628536"|"ARROW CHILD AND FAMILY MINISTRIES"|"807408"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6009240"|"UNITED MID-COAST CHARITIES, INC"|"807427"|"1364215.0000"|"3200.0000"|"-7813.0000"|""|""|"141046.0000"|"1218556.0000"|"0.00"|"89.30"|"10.70"|"Y"|"N"|""
"02-0119917"|"DAVIGNON CLUB, INC."|"821193"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0802914"|"Assoc Students of California State Univ Channel Islands Inc"|"821376"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0130427"|"BRIDGTON HOSPITAL"|"824297"|"3341734.0000"|"56905.0000"|"207021.0000"|""|"40680.0000"|""|"3564980.0000"|""|"31.46"|"68.54"|"N"|"Y"|"Y"
"01-0477639"|"WELLPOINT RETIREE VEBA TRUST"|"824604"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0527044"|"OCTOBER CORPORATION"|"824611"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0773840"|"Syracuse Community Center Inc"|"824624"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0729873"|"North Carolina Motorsports Association"|"830231"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0356077"|"CENTRAL MAINE MEDICAL CENTER COLLEGE OF NURSING AND HEALTH PROFESSIONS"|"831637"|"5710427.0000"|"235299.0000"|"880567.0000"|"31800.0000"|""|""|"6794493.0000"|"0.00"|"85.06"|"14.93"|"N"|"Y"|"Y"
"01-0479776"|"Maine Education Association Benefits Trust"|"831642"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0483267"|"INSTITUTE FOR CIVIC LEADERSHIP"|"831644"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0606871"|"THE HOUSE NEXT DOOR FAMILY FOUNDATION"|"831652"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0760254"|"Penn Foundation Trust"|"831660"|"198682.0000"|"4647.0000"|"1130.0000"|""|"440.0000"|"520.0000"|"203499.0000"|""|"100.00"|""|"N"|"N"|"N"
"01-6015613"|"ORR'S BAILEY YACHT CLUB"|"836231"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0553431"|"AMERICAN FRIENDS OF YESHIVAT HESDER SDEROT,INC"|"836824"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0748214"|"ARBOR BAY SCHOOL"|"836829"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0222111"|"Trustees of Dartmouth College"|"836837"|"2998302307.0000"|"52718726.0000"|"541549240.0000"|"-39486695.0000"|"-139676806.0000"|""|"3413406772.0000"|"26.29"|"26.26"|"47.45"|"N"|"N"|""
"01-0269460"|"CHEWONKI FOUNDATION INC"|"836997"|"4504277.0000"|"396127.0000"|"543163.0000"|""|""|""|"5443567.0000"|"7.13"|"91.15"|"1.72"|"N"|"N"|""
"01-0346260"|"PORTLAND EDUCATION ASSOCIATION"|"837005"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0468460"|"G & H AMBULANCE SERVICE INC"|"837011"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0472964"|"BIDDEFORD-SACO AREA ECONOMIC DEVELOPMENT CORPORATION"|"837015"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0648561"|"NORTHWEST CONNECTICUT AHEC INC"|"837027"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0866698"|"COMPREHENSIVE SENIOR CARE CORPORATION"|"837030"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0644063"|"Berkshire Emergency Squad"|"837316"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0212172"|"WEBBER AVENUE SOCIAL CLUB INC"|"838394"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0365191"|"ASSOCIATION OF SMALL BUSINESS DEV. CENTR"|"838400"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0659307"|"Jefferson Park Ministries, Inc"|"838443"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0272879"|"Skills Inc"|"839063"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0323280"|"Penguis Mental Health Association"|"839069"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0368096"|"Alpha One"|"839081"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0482994"|"MAINE ADULT EDUCATION ASSOCIATION"|"839084"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0598494"|"TEN CROSS STREET CORPORATION"|"839108"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0833582"|"ALLIANCE HUNTINGTON PARK COLLEGE-READY ACADEMY HIGH SCHOOL"|"839126"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6114884"|"JOHN CHABOT EDUCATIONAL FOUNDATION TRUST"|"845620"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0220091"|"NORTHEAST HARBOR LIBRARY"|"846027"|"2829663.0000"|"31285.0000"|"57107.0000"|"74300.0000"|"134044.0000"|"14271.0000"|"2695440.0000"|"86.00"|"14.00"|""|"Y"|"N"|""
"01-0457896"|"C & M CONSULTING AND MANAGEMENT SERVICES"|"846037"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0729134"|"CLARE OAKS"|"846065"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0387418"|"PENOBSCOT THEATRE COMPANY"|"847934"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"02-0223176"|"NEW HAMPSHIRE MEDICAL SOCIETY"|"847975"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0904345"|"PHOENIX LODGE 2 FRATERNAL ORDER OF POLICE"|"850510"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0964541"|"PRAISEALUJAH DISCIPLESHIP"|"850513"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0315847"|"HALFWAY HOUSE INC"|"850522"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0496139"|"ISLAND COMMONS RESOURCE CENTER"|"850527"|"250106.0000"|""|"805.0000"|""|"14443.0000"|""|"236468.0000"|""|"100.00"|""|"N"|"N"|""
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAMS INC"|"852966"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0865446"|"Cosby High School Athletic Boosters"|"853229"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0495250"|"Ingraham Housing Corporation"|"853388"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0153960"|"ST ANDREWS HOSPITAL"|"853594"|"4402289.0000"|"70055.0000"|"91209.0000"|""|""|"-18534.0000"|"4545019.0000"|"89.31"|"10.69"|""|"Y"|"N"|"N"
"01-0277678"|"Kennebec Valley Community Action Program"|"854124"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0127246"|"GREATER DOVER CHAMBER OF COMMERCE"|"855031"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0487091"|"COASTAL MEDICAL CARE"|"855129"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-0524835"|"SPRING HARBOR COMMUNITY SERVICES"|"855133"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-0569403"|"HRCA BROOKLINE HOUSING 1550 BEACON PLAZA INC"|"855138"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0818232"|"COMMUNITY CONNECTIONS REAL ESTATE FOUNDATION"|"855140"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0222157"|"Monadnock Community Hospital"|"855150"|"10031251.0000"|"884501.0000"|"93759.0000"|""|"2695306.0000"|""|"8314205.0000"|"16.33"|"83.67"|"0.00"|"Y"|"N"|""
"01-0284446"|"REDINGTON-FAIRVIEW GENERAL HOSPITAL"|"860416"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0727280"|"BRONX CHARTER SCHOOL FOR THE ARTS"|"860422"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211501"|"Eastern Maine Medical Center"|"862777"|"21974979.0000"|"148655.0000"|"236593.0000"|""|"1341607.0000"|""|"21018620.0000"|"1.50"|"98.50"|""|"N"|"Y"|"Y"
"01-0434215"|"MMC REALTY CORP"|"862790"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-0732928"|"US RUSSIA FOUNDATION FOR ECONOMIC ADVANCEMENT AND THE RULE OF LAW"|"862800"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0195310"|"THE YORKS CHAMBER OF COMMERCE INC"|"864958"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0906593"|"MANAGEMENT SERVICES, INC"|"864969"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0941732"|"Connecticut Catholic Public Affairs Conference, Inc."|"864971"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0102440"|"ABENAQUI COUNTRY CLUB, INC."|"864972"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0103680"|"American Guernsey Association"|"864973"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0061310"|"Fraternal Order of Eagles"|"866812"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0223390"|"MANCHESTER HISTORIC ASSOCIATION"|"867963"|"4373163.0000"|"116.0000"|"45379.0000"|""|"-300200.0000"|"-140.0000"|"4118318.0000"|"12.66"|"87.34"|""|"N"|"N"|""
"01-0269301"|"MAINE ASSOCIATION OF REALTORS"|"868426"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0287814"|"Caribou Country Club"|"868427"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0523209"|"MAINE COMPOSITES ALLIANCE"|"868435"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0536008"|"MAINE CONSERVATION VOTERS"|"868437"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0688619"|"WHITE OAK GROVE OUTREACH CENTER INC"|"868442"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0939609"|"FOOD OF LIFE OUTREACH MINSTRIES INC"|"868451"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0156800"|"GUARDIAN ANGEL CREDIT UNION"|"868454"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0790552"|"Theater Arts Group"|"873260"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0448263"|"Ronald McDonald House Charities of Maine, Inc."|"873871"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0456644"|"MAINE YANKEE ATOMIC POWER COMPANY EMPLOYEE WELFARE TRUST"|"873872"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0505433"|"WATERVILLE REGIONAL ARTS AND COMMUNITY CENTER"|"873875"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0511596"|"THE NATHAN AND HENRY B CLEAVES LAW LIBRARY"|"873876"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0640326"|"AHWATUKEE CHILDREN'S THEATRE INC"|"873879"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0729841"|"LOVE INC OF GREATER SHELDON"|"873884"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-0857526"|"A FAMILY AFFAIR BRIDGES INC"|"873891"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0215228"|"AMERICAN LEGION POST #8"|"873900"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0027741"|"AUGUSTA MAINE ELKS LODGE NO. 964"|"879152"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0285449"|"SOUTHERN KENNEBEC CHILD DEVELOPMENT CC"|"879157"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0416939"|"Northern Maine Community College Education Foundation"|"879158"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0136438"|"Fraternal Order Of Eagles #1464"|"879161"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0509793"|"PITTSTON FAIR ASSOCIATION"|"880335"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0620340"|"WHISPERS OF HOPE HORSE FARM"|"880342"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0881587"|"SIERRA NEVADA JOURNEYS"|"880347"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0605273"|"WE ARE ONE MINISTRIES INC"|"884636"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0535175"|"WINTERKIDS EDUCATION FOUNDATION"|"885940"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0386284"|"HOPE HAVEN GOSPEL MISSION INC"|"886253"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0484793"|"Table of Plenty"|"886255"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0557881"|"GRANDIN THEATRE FOUNDATION, INC."|"886258"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0856114"|"CAVALIER KING CHARLES SPANIEL CLUB RESCUE INC"|"888179"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0096117"|"ISLAND COUNTRY CLUB"|"889788"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0237912"|"Boothbay Region YMCA"|"889792"|"3692684.0000"|"34516.0000"|"131017.0000"|""|"418295.0000"|""|"3439922.0000"|"59.93"|"2.00"|"38.07"|"N"|"N"|""
"01-0313213"|"YORK GOLF & TENNIS CLUB"|"889795"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0323915"|"Ambulance Service Inc."|"889796"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0577111"|"CHIN BAPTIST MISSION CHURCH"|"889804"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0601611"|"HARVEY HOUSE LTD"|"889807"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0635317"|"Hoosier Owners and Providers for the Elderly, Inc."|"889808"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0930015"|"BREAKFORTH MINISTRIES AND CONSULTING INC"|"889815"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0222215"|"ST JOSEPH HPSPITAL"|"889826"|"1064132.0000"|"246999.0000"|"243.0000"|""|"340280.0000"|""|"971094.0000"|"0.00"|"37.51"|"62.49"|"N"|"N"|""
"01-0525615"|"Maine Winter Sports Center"|"893140"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0710619"|"THE WESTWOOD MONTESSORI SCHOOL, INC."|"893141"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0206603"|"COMMUNITY CREDIT UNION"|"893930"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0317602"|"Oceanview Manor Inc"|"893933"|"0.0000"|"342337.0000"|""|""|""|""|"342337.0000"|"0.00"|"0.00"|"100.00"|"N"|"N"|""
"01-0568603"|"GLOBAL GATEWAY NETWORK"|"893942"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-3073027"|"MAINE COUNCIL-ATLANTIC SALMON FEDERATION"|"893954"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211533"|"MCARTHUR LIBRARY ASSOCIATION"|"896590"|"108337.0000"|""|"1801.0000"|""|"12892.0000"|""|"97246.0000"|""|"100.00"|""|"N"|"N"|""
"01-0224627"|"BOOTHBAY HARBOR MEMORIAL LIBRARY ASSOCIATION"|"896592"|"642923.0000"|"50000.0000"|"22482.0000"|"0.0000"|"-32290.0000"|"-5990.0000"|"677125.0000"|"100.00"|"0.00"|"0.00"|"N"|"N"|""
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"896594"|"821789.0000"|"0.0000"|"-9719.0000"|"0.0000"|"3451.0000"|"0.0000"|"808619.0000"|""|"80.75"|"19.25"|"Y"|"N"|""
"01-0248224"|"MAINE CREDIT UNION LEAGUE"|"897525"|"23140.0000"|""|"15.0000"|""|""|""|"23155.0000"|""|"100.00"|""|"N"|"N"|"N"
"01-0492125"|"ALLIANCE OF INDEP ACADEMIC MEDICAL CTRS"|"897528"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0531223"|"JORDAN BAY PLACE CO AVESTA HOUSING"|"897530"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0848225"|"Youth Media Minds of America"|"897535"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0584930"|"Richmond County Medical Society Project Access Inc"|"898714"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0810429"|"GOVERNMENT TRAINING SERVICES INC"|"898717"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6014031"|"ST MARKS HOME FOR WOMEN"|"898719"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|""
"01-6044928"|"AUGUSTA ELECTRICAL JATC"|"898720"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0373341"|"KENNEBEC VALLEY EMERGENCY MEDICAL SERVICES"|"900190"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0278130"|"MEMORIAL AMBULANCE CORPS"|"900260"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0288542"|"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL #2327"|"900261"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0768541"|"FRIENDS OF YOUTH SPORTS"|"900268"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6029208"|"American Legion Post 153"|"900272"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0263507"|"Central Aroostook ARC"|"902169"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0216837"|"The Maine Sea Coast Mission"|"902671"|"27286834.0000"|"77024.0000"|"30575.0000"|"117100.0000"|"1311684.0000"|""|"25965649.0000"|"63.68"|"26.89"|"9.43"|"N"|"N"|""
"01-0372829"|"BOOTHBAY RAILWAY VILLAGE"|"902674"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0622507"|"AMERICA IN BLOOM"|"902678"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0793507"|"THE LOWCOUNTRY HOUSING TRUST INC"|"902679"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6012835"|"ISLANDS COMMUNITY MEDICAL SERVICES"|"902686"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0056837"|"EASTERN MAINE ELECTRIC COOPERATIVE INC"|"905416"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0451441"|"NEW LIFE MISSION"|"905420"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0472641"|"RANGELEY LAKES HERITAGE TRUSTINC"|"905421"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0654140"|"Clark Shores Water Corporation"|"905427"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0779341"|"CHOICES FOR COMMUNITY LIVING-DELAWARE INC"|"905430"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0461436"|"THE GENESIS FUND"|"907371"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0243548"|"HAYSTACK MOUNTAIN SCHOOL OF CRAFTS"|"908622"|"4686731.0000"|"356228.0000"|"76751.0000"|""|"188984.0000"|""|"4930726.0000"|"46.31"|"53.69"|""|"N"|"N"|""
"01-0329748"|"WALDOBORO PUBLIC LIBRARY"|"908690"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0365454"|"YORK COUNTY FISH & GAME ASSOCIATION INC"|"908691"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0777850"|"OPERATION HOMEFRONT MO & & SOUTHWEST ILL INC"|"908701"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0781452"|"NASHVILLE RBI INC"|"908703"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0201854"|"AMERICAN LEGION POST # 40"|"910588"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0367546"|"THE HOUSING FOUNDATION-DISP"|"910589"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0595647"|"K-9 PLACEMENT & ASSISTANCE LEAGUE"|"911066"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0783649"|"Outreach Farm Inc"|"911067"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0212545"|"MAINE STATE SOCIETY FOR THE PROTECTION OF ANIMALS"|"912257"|"4483014.0000"|""|"258287.0000"|""|"707846.0000"|"19201.0000"|"4014254.0000"|"39.00"|"61.00"|""|"Y"|"N"|"N"
"01-0271477"|"Maine Maritime Museum"|"913664"|"5111623.0000"|"176000.0000"|"-33733.0000"|""|"341067.0000"|""|"4912823.0000"|"20.48"|"76.01"|"3.51"|"N"|"N"|""
"01-0280483"|"Maine Pulp & Paper Association"|"913665"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0346779"|"NORRIDGEWOCK HOUSING CORPORATION"|"913666"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0360869"|"Maine Innkeepers Association, Inc."|"913667"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0380271"|"WESTMAN VILLAGE INC"|"913670"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0541597"|"Maine Traditional Music Association"|"913678"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0548371"|"MUSLIM LEGAL FUND OF AMERICA"|"913680"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0775286"|"CAMBRIDGEGUERNSEY COUNTY VISITORS & CONVENTION BUREAU"|"913694"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0793986"|"PROPEL, Inc."|"913695"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0842491"|"Old Rochester Community Television Inc"|"913699"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0863576"|"JANICE BARNETT MINISTRIES INC"|"913701"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0870672"|"El Sol, Jupiter's Neighborhood Resource"|"913702"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0893778"|"WILLMAR AREA MULTICULTURAL MARKET"|"913704"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0917763"|"CAROLINA CHRISTIAN FOUNDATION INC"|"913706"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0215910"|"Bangor Humane Society"|"918503"|"1015196.0000"|""|"-15149.0000"|""|""|""|"1000047.0000"|"78.00"|"22.00"|""|"N"|"N"|""
"01-0369255"|"RANGELEY HOUSING DEVELOPMENT CORPORATION"|"918505"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6019359"|"BOOTHBAY REGION STUDENT AID FUND, INC."|"918510"|"2858219.0000"|"15345.0000"|"54346.0000"|"-35000.0000"|"0.0000"|"-24844.0000"|"2868066.0000"|"49.00"|"51.00"|"0.00"|"Y"|"N"|""
"01-0211567"|"YOUNG MEN'S CHRISTIAN ASSOCIATION OF LEWISTON-AUBURN"|"919981"|"3247707.0000"|"30000.0000"|"-128517.0000"|""|""|""|"3149190.0000"|"100.00"|""|""|"Y"|"N"|""
"01-0238760"|"BRICK STORE MUSEUM INC"|"919982"|"1902823.0000"|"71289.0000"|"61898.0000"|""|"66906.0000"|"11062.0000"|"1958042.0000"|""|""|""|"N"|"N"|""
"01-0414169"|"THE WOODLANDS CLUB"|"919983"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0430464"|"NORTHERN NEW ENGLAND CONCRETE PROMOTION ASSOCIATION"|"919987"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0455163"|"SAMOSET FIRE COMPANY OF BRISTOL BRISTOL FIRE AND RESCUE"|"919989"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0504257"|"MUSEUM L-A"|"919991"|"6025.0000"|""|""|""|""|""|"6025.0000"|""|"100.00"|""|"N"|"N"|"N"
"01-0674962"|"SHINER NURSING & REHAB CENTER INC"|"919994"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-0736958"|"Jersey Agility Association of Central New Jersey"|"919995"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0749557"|"SEACOAST GOLF ACADEMY INC"|"919996"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0206110"|"THE WORKINGMENS RELIEF SOCIETY OF MANCHESTER NH"|"920001"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0671672"|"CNLTV"|"924348"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0771671"|"SUB-SAHARAN AFRICAN YOUTH AND FAMIL"|"924352"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0606871"|"The House Next Door Family Foundation"|"925603"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0495974"|"ACADIA WILDLIFE FOUNDATION"|"925876"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0403876"|"NEWBURGH SENIORS' HOUSING CORPORATION- PERSISTENCE"|"927223"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0363879"|"Pinewood Manor Inc"|"928315"|"0.0000"|"954067.0000"|""|""|""|""|"954067.0000"|"0.00"|"0.00"|"100.00"|"N"|"N"|""
"01-0602578"|"VISION 21 LEARNING CENTER INC"|"928319"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6162280"|"King-Thomas Scholarship Trust"|"928323"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211489"|"KATAHDIN AREA COUNCIL BOY SCOUTS OF AMERICA INC"|"930297"|"462999.0000"|"4200.0000"|"-48788.0000"|""|""|""|"418411.0000"|""|"99.90"|"0.10"|"N"|"N"|"N"
"01-0422885"|"Alternative Health Services"|"930301"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0517984"|"CENTER FOR FURNITURE CRAFTSMANSHIP"|"930302"|"3428361.0000"|"427994.0000"|"10235.0000"|""|"87683.0000"|""|"3778907.0000"|""|"79.95"|"20.05"|"N"|"N"|"N"
"01-0573988"|"PROGRESSIVE ARTS ALLIANCE INCORPORATED"|"930304"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0371194"|"WILLOWBROOK AT NEWFIELD RESTORATION VILLAGE"|"931595"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0735690"|"TEXAS CHAPTER OF THE AMERICAN ASSOCIATION OF CLINICAL ENDOCRINOLOGISTS"|"931598"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6004194"|"FERRY BEACH PARK ASSOCIATION"|"931600"|"222019.0000"|"14438.0000"|"1176.0000"|""|""|"36.0000"|"237597.0000"|"100.00"|""|""|"N"|"N"|""
"01-0206386"|"BLUE HILL COUNTRY CLUB INC"|"933174"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-0672893"|"CONSTANTINO BRUMIDI LODGE # 2 SONS OF ITALY"|"933186"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0967495"|"HEART OF RESCUE"|"933191"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0493123"|"WALDO COUNTY YMCA"|"939538"|"180327.0000"|"1100.0000"|"-2661.0000"|""|"-25935.0000"|""|"152831.0000"|"16.00"|"76.00"|"8.00"|"N"|"N"|"N"
"01-0815503"|"PLYMOUTH BAY HOUSING CORPORATION"|"939539"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
