"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"CODE_A"|"EXPENSES_A"|"GRANT_A"|"REVENUE_A"|"SERVICE_A"|"CODE_B"|"EXPENSES_B"|"GRANT_B"|"REVENUE_B"|"SERVICE_B"|"CODE_C"|"EXPENSES_C"|"GRANT_C"|"REVENUE_C"|"SERVICE_C"
"01-0563728"|"COVERED BRIDGE AFFORDABLE HOUSING CORP"|"1194190"|""|"244200.0000"|""|"113146.0000"|"26 unit apartment complex for the elderly in Dover, NH"|""|""|""|""|""|""|""|""|""|""
"01-0565218"|"GLAMOURGALS FOUNDATION INC"|"1194191"|""|"169501.0000"|""|""|"To foster intergenerational relationships"|""|""|""|""|""|""|""|""|""|""
"01-0603034"|"Rural Health Collaborative of Southern Ohio"|"1194193"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0637920"|"THE MEDICAL STAFF OF PARKVIEW COMMUNITY HOSPITAL"|"1194195"|""|""|""|""|"The Medical Staff promotes development of its leaders, including the MS officers, department and committee chairs by sending them to conferences outside the hospital"|""|""|""|""|"The Medical Staff is responsible for credentialing by primary source verification for all members of the Medical Staff expenses include subscription and non-subscription resources to verify education, board certification, malpractice insurance, etc"|""|""|""|""|"Medical Staff sponsored continuing medical education programs throughout the year, available to all members of the Medical Staff"
"01-0662412"|"WEST BARTOW FRONT PORCH REVITALIZATION COUNCIL"|"1194196"|""|"54265.0000"|"45370.0000"|"-8895.0000"|"More than 35 volunter participated in keep polk county beautiful, great American clean up 2 partner with DOC to develop a mentoring program for offenders to be releassed 3 dcf renewed partnership agreement for the access Florida progran an estimate 3200 person applied for some type of assistance,(housing, emergency, medical, financial, food stamps, etc ) 4 2600 persons utilized computers and internet service for job search 5 supervision of more than 190 adult and student"|""|""|""|""|""|""|""|""|""|""
"01-0678012"|"MCDUFFIE MUSEUM INC"|"1194197"|""|"34852.0000"|""|"27555.0000"|"McDuffie Museum is in full operation hosting varying exhibits and programs focused on education for all age groups and the preservation of local history"|""|""|""|""|""|""|""|""|""|""
"01-0684347"|"IN ARMS REACH INC."|"1194198"|""|"98487.0000"|""|""|"Served children whose parents were formerly offenders of the criminal justice system."|""|""|""|""|""|""|""|""|""|""
"01-0688221"|"FILM CLIPS SPIRIT OF AMERICA"|"1194199"|""|"232892.0000"|""|""|"Program service accomplishments in 2011 FCSOA equipped more than 2,500 teacher trainers and teachers of character education throughout North America with school site and conference workshops. The trainers represented many educational organizations including the national middle school association, California school councilor association, American school counselor association, characterplus, character education partnership, national service learning partnership, character countsjohn lounsbury"|""|""|""|""|"Elementary grade character education series in 2011, the FCSOA elementary grade character education series was distributed free of charge to more than 300 teachers, counselors and administrators. The value and effectiveness of this series, used in conjunction with school wide character education programs, has been exceptionally positive."|""|""|""|""|"Film Clips/special olympics project unify in 2011, FCSOA worked with special olympics project unify to create a program using Film Clips and leadership guides presented jointly by general education students and students with intellectual diabilities. It was given at no charge to more than 2,000 youth and community leaders this year. This program is projected to grow substantially in 2012."
"01-0705972"|"HONEOYE FISH & GAME CLUB INC"|"1194200"|""|"12802.0000"|""|"13242.0000"|"The Honeoye Fish & Game Club, Inc engages in skeet, trap, rifle shooting Sunday mornings all year long, and is a participant in the Livingston County trap league which engages in competitive (REGISTERED) trap shooting in addition, there are specialty shoots, such as ""Turkey shoots "" this also comprises gun raffles and awards"|""|""|""|""|"The Honeoye Fish & Game Club, Inc sponsors the kids ice fishing clinic in January, and hunter training & safety courses in satisfaction of nys hunter safety requirements in an effort to provide the community with safe and fun outdoor recreation"|""|""|""|""|"The Honeoye Fish & Game Club, Inc provides free assistance in fish stocking in Honeoye Lake in an effort to help the nys dept of environmental conservation reach their wildlife mgt goals"
"01-0706027"|"MID-SOUTH MINORITY COUNCIL TADP, INC"|"1194202"|""|"490936.0000"|"0.0000"|"428878.0000"|"Provide technical business assistance, legal consultation, human resource management, and other business support to women and minority owned businesses."|""|""|""|""|""|""|""|""|""|""
"01-0712520"|"SOUTH CAROLINA EQUALITY COALITION"|"1194203"|""|""|""|""|"The coalition performs grass roots lobbying on behalf of the lesbian, bisexual, gay, and transgender community"|""|""|""|""|""|""|""|""|""|""
"01-0759974"|"THOUSAND ISLANDS EMERGENCY RESCUE SERVICE INC"|"1194206"|""|"502597.0000"|"10750.0000"|"527391.0000"|"Mobile emergency medical services and training"|""|""|""|""|""|""|""|""|""|""
"01-0777925"|"ELEVA BROILER FESTIVAL INC"|"1194207"|""|"116121.0000"|"6800.0000"|""|"School activities, children's sports, needy people contributions"|""|""|""|""|""|""|""|""|""|""
"01-0848225"|"Youth Media Minds of America"|"1194209"|""|"31357.0000"|""|""|"Nearly 250 Students engaged in studio and real work audio and video productions, Interviews with professional athletics such as Earvin Magic Johnson at the 41 Stand with Majic event, Interviewed Russell Simmons, founder/CEO of Def Jam, Interview Dekalb County CEO Vernon Jones at a press meeting where he annouced that will run for Senator In additon wrote and produced HIV/AIDS Teen Awareness, a public service announcement which aired on Comcast Cable Television, and wrote and produced"|""|""|""|""|""|""|""|""|""|""
"01-0857925"|"Sauqus Plaza Funding Company"|"1194210"|""|""|""|""|"The Corporation"|""|""|""|""|""|""|""|""|""|""
"01-0862621"|"ST JOSEPH SHELTER"|"1194211"|""|"198507.0000"|""|""|"The shelter's family program served 79 people (21 families), including 47 children the program provides shelter rooms for up to 11 families and provides resources for these families"|""|"79087.0000"|""|""|"The migrant shelter program housed 94 migrant workers in the shelter's dorms for men meals served at the shelter were 17,750 a total of 17,894 shelter nights were provided during 2012"|""|"31124.0000"|""|""|"The mission Benedict program is a food bank that serves the populations of mt angel and monitor, or in addition, clothing, household goods, furniture, etc are available to those in need in 2012, the mission served on average 421 people each month and distributed 76,699 pounds of food the mission also provided $10,223 in emergency financial assistance to needy mt angel families, and helped many others access essential resources"
"01-0870672"|"El Sol Jupiter's Neighborhood Resource Center Inc"|"1194212"|""|"285333.0000"|""|""|"Operation of a day labor center in and for the residents of the Town of Jupiter Further provided language and literacy classes, job training and life skills education, meals, legal aid, health services and other social service referrals, and community service opportunities"|""|""|""|""|""|""|""|""|""|""
"01-0883506"|"NEW MEXICO YOUTH TENNIS FOUNDATION"|"1194213"|""|"124598.0000"|"11870.0000"|""|"The NMYTF supports and promotes 4education and opportunity through tennis4 the organization will provide grants and scholarships to individual Youth Tennis players that are residents of the state of New Mexico (18 years of age and younger) to enable them to pursue their tennis careers and education the organization will also provide educational grants or stipends to those involved in programs providing instruction in after school tennis programs and other programs supporting the mission of"|""|""|""|""|""|""|""|""|""|""
"01-0914846"|"COMMUNITY IST-AMERICA'S CHARITIES OF GREATER WASHINGTON DC"|"1194215"|""|"3199916.0000"|"3097818.0000"|"232985.0000"|"COMBINED FEDERAL CAMPAIGN (CFC) - ACTIVITIES RELATED TO THE MANAGEMENT OF COMMUNITYlST - AMERICA'S CHARITIES OF GREATER WASHINGTON, D. (CFDC) MEMBER CHARITY PARTICIPATION IN THE FEDERAL GOVERNMENT'S ANNUAL WORKPLACE GIVING CAMPAIGN IN WHICH FEDERAL EMPLOYEES CAN DONATE TO CHARITY. IN 2012, CFDC WORKED TO GENERATE UNRESTRICTED, SUSTAINABLE FINANCIAL SUPPORT FOR ITS MEMBERS IN THE PUBLIC SECTOR. CFDC APPLIED ON BEHALF OF ITS MEMBERS AND SECURED PARTICIPATION IN 4 CFCS IN THE GREATER"|""|"543850.0000"|"529873.0000"|""|"Fiscal services includes membership benefit program, general and other. Cfdc fiscal services focused on delivering excellent customer services in meeting the needs of employers. Fiscal services included aggregating donor and pledge data, performing analyses of pledges and providing payment services. Delivered transparent, detailed, and customized reports to member charities, other charities, and public and private sector employers. in addition, assisted member charities' finance departments"|""|"41479.0000"|"40291.0000"|"2770.0000"|"Private sector - activities related to the management of annual private sector client workplace giving programs and the participation by cfdc member charities in those programs. in 2012, cfdc worked to generate unrestricted, sustainable financial support for its members in the private sector. Further, the organization supported member charity participation in over 350 private sector programs and related-events to support private sector employee giving. Cfdc shared intellectual capital and"
"01-0920313"|"IMPACT PERSONAL SAFETY, INC."|"1194216"|""|"177287.0000"|""|"176209.0000"|"Through classes, men, women, and children improve their ability to speak for themselves, set healthy boundaries, foster better relationships, and teenagers learn safe dating. Violence prevention skills are taught to allow families, couples, parents, and children to live together peacefully while meeting individual needs. in the workplace, impact's training strives to end sexual harrassment through awareness in both genders and to develop strong boundary-setting skills. Physical skills learned"|""|""|""|""|""|""|""|""|""|""
"01-0930015"|"BREAKFORTH MINISTRIES AND CONSULTING INC"|"1194217"|""|"11404.0000"|""|"15384.0000"|"Breakforth Ministries and Consulting, Inc fulfills its exempt purpose and function by providing evangelistic ministry services and support to ministries and faith-based organizations within target and local communities"|""|""|""|""|"Breakforth Ministries and Consulting, Inc provides charitable support and makes charitable donations/contributions to target faith- based non-profit organizations"|""|""|""|""|"Breakforth Ministries and Consulting, Inc conducts and hosts a national first-class women's conference for women in ministry for the purposes of equipping, developing, enhancing, empowering, encouraging, and deploying women in ministry with the necessary tools, skills and resources to take their ministries to the next level of ministry excellence and development"
"01-0931463"|"Protecting Our Children Outreach"|"1194218"|""|"535096.0000"|""|"551999.0000"|"Fed over 1,000 children per day breakfast, lunch and snacke at 36 different sites"|""|""|""|""|""|""|""|""|""|""
"01-0941732"|"Connecticut Catholic Public Affairs Conference, Inc."|"1194219"|""|"322893.0000"|"0.0000"|"328544.0000"|"To formulate and advance jpolicy positions regarding government policies, programs and legislation which affects the common good and the interests of the Church. To develop and coordinate interdiocesan programs and projects that address statewide social and pastoral needs to promote the material and spiritual well-being of the jpeople of Connecticut. Also to foster Gospel values in Church teachings especially for Catholic social teaching."|""|""|""|""|""|""|""|""|""|""
"01-3073027"|"MAINE COUNCIL-ATLANTIC SALMON FEDERATION"|"1194222"|""|"50750.0000"|"46856.0000"|"22592.0000"|"The organization worked with the Atlantic Salmon Federation to protect and restore wild Atlantic Salmon (and other native fish species) and the riverine and coastal habitat on which they depend"|""|""|""|""|""|""|""|""|""|""
"01-6013463"|"EVERGREEN CEMETERY ASSN"|"1194223"|""|"35705.0000"|""|"2281.0000"|"Serves as the public cemetery for the Town of Milbndge, Maine"|""|""|""|""|""|""|""|""|""|""
"01-6149025"|"THE MARK AND EMILY TURNER MEMORIAL LIBRARY CHARITABLE TRUST"|"1194225"|""|"57122.0000"|"50666.0000"|""|"Managed property given or devised to the Mark and Emily Turner Memorial Library and supported a state of the art learning center"|""|""|""|""|""|""|""|""|""|""
"02-0119913"|"CLUB CANADIAN INC"|"1194226"|""|"196701.0000"|""|""|"To provide social, recreational, and entertainment related activities for the benefit of all members there are currently 442 members"|""|""|""|""|""|""|""|""|""|""
"02-0119917"|"DAVIGNON CLUB, INC."|"1194227"|""|"8128.0000"|""|""|"Charitable Donations"|""|""|""|""|""|""|""|""|""|""
"02-0128010"|"DUBLIN LAKE CLUB"|"1194228"|""|"674696.0000"|""|"230965.0000"|"The club was organized to provide recreation and social interaction for its members the club offers a variety of activities and functions to attain its purpose including golf, sailing and tennis"|""|""|""|""|""|""|""|""|""|""
"02-0144343"|"HAMPTON AREA CHAMBER OF COMMERCE"|"1194229"|""|""|""|""|"To promote local business"|""|""|""|""|""|""|""|""|""|""
"02-0161920"|"GREATER MANCHESTER CHAMBER OF COMMERCE"|"1194230"|""|""|""|""|"General promotion of local business, community, and various member services"|""|""|""|""|""|""|""|""|""|""
"02-0206110"|"THE WORKINGMENS RELIEF SOCIETY OF MANCHESTER NH"|"1194232"|""|"137843.0000"|""|""|"To provide social, recreational, and entertainment related activities for the benefit of all members there are 691 members"|""|""|""|""|""|""|""|""|""|""
"02-0223334"|"WEBSTER HOUSE"|"1194233"|""|"822968.0000"|"5599.0000"|"600428.0000"|"Board and care food, clothing, shelter and guidance to an average of 13 children"|""|""|""|""|""|""|""|""|""|""
"02-0240644"|"TILTON-NORTH FIELD RECREATION COUNCIL"|"1194234"|""|"268812.0000"|""|""|"Provided facilities, supervision and instruction for all activities"|""|""|""|""|""|""|""|""|""|""
"01-0215910"|"Bangor Humane Society"|"1199987"|""|"959005.0000"|""|""|"Adoption, care and donation services for homeless and unwanted animals in the greater Bangor area communities"|""|""|""|""|""|""|""|""|""|""
"01-0362343"|"THE CHILD HEALTH CENTER CO JOHN GRIFFITH"|"1199988"|""|"0.0000"|""|""|"The agency is an organization whose purpose is to help improve the health and well-being of children in western and central Maine due to the dissolution of the organization no programs were ongoing during the current fiscal year"|""|""|""|""|""|""|""|""|""|""
"01-0443318"|"Blue Hill Fire Company"|"1199989"|""|"25118.0000"|"18701.0000"|""|"Fire prevention-keeping current with equipment and training needs-emergency response that encompasses extrication, Marine Rescue, hazardous materials and confined space rescue."|""|""|""|""|""|""|""|""|""|""
"01-0444523"|"John M. Eagleson Jr. Institute"|"1200602"|""|"679676.0000"|""|"806144.0000"|"Technical newsletter and training materials/seminars that share the results of advancements in the field of biohazard and chemical science. Seminars are conducted on technological innovations."|""|""|""|""|""|""|""|""|""|""
"01-0455355"|"MID-COAST HABITAT FOR HUMANITY, INC."|"1200603"|"230000"|"140942.0000"|""|"135000.0000"|"Cost of constructing one new home with the assistance of many volunteers and local organizations for a qualified, low-income applicant in Knox County. This is our 22nd house."|"522200"|"82351.0000"|""|"89240.0000"|"Discount issued on one 30-year, no-interest mortgage for current house transferred and amortization of discounts on 13 additional mortgages held."|""|"60357.0000"|""|""|"Expenses for program personnel and volunteers to administer services following the organization's mission."
"01-0567853"|"EBENEZER CHARITIES INC."|"1200646"|""|"1740.0000"|"0.0000"|"6550.0000"|"Support projects and programs that deal with children that are orphaned as a result of the death of their parents from AIDS in Africa"|""|"1740.0000"|"0.0000"|"6549.0000"|"Render assistance to the elderly in Africa who have been made destitute by the loss of their adult children because of HIV-AIDS."|""|""|""|""|""
"01-0095414"|"INDEPENDENT ORDER OF ODD FELLOWS GRAND LODGE OF MAINE"|"1200787"|""|""|""|""|"Maintain a fraternal and beneficial lodge system in Maine"|""|""|""|""|"Odd Fellows' and Rebekahs' home of Maine - donations to assist in the care of its residents"|""|""|""|""|"Maine eye bank - provide funds for eye care and visual research"
"01-0198331"|"Maine Coast Regional Health Facilities"|"1200788"|""|"80158612.0000"|""|"85028528.0000"|"Admissions 3,58lPatient Days 9, lz8Average Stay 2 lz DaysClinic visits I-leanor Widener Dixon Clinic 10,8635 W Harbor Medical Center 4,6951-mergency Room Visits 18,257Surgical Cases- Inpatient 816Surgical Cases- Outpatient 3,396Laboratory Tests 286,802Radiology Exams Diagnostic Radiology 18,200Ultrasound 4,577CT Scan 5,105Mammography 4,O22Nuclear Medicine 2,928MRI 2,289Physical Therapy 57,510Births 294"|""|""|""|""|""|""|""|""|""|""
"01-0211484"|"Bangor Theological Seminary"|"1200789"|""|"1239238.0000"|"110746.0000"|"599311.0000"|"Chartered in 1814, BangorTheological Seminary is an ecumenical seminary in the Congregational tradition of The United Church of Christ With Campuses in Bangor and Portland, Maine, the Seminary is a post-secondary school for theological studies and enrolls approximately 100 full and part time students"|""|""|""|""|""|""|""|""|""|""
"01-0212444"|"York Hospital"|"1200790"|""|"148774628.0000"|"96163.0000"|"157104007.0000"|"York Hospital is a not-for-profit health care center established to provide health care services to the York county area It offers both inpatient and outpatient acute services and has 79 licensed acute beds and 13 licensed skilled nursing care beds The Hospital has outpatient satellite services in Wells, Kittery, Berwick, North Berwick, and South Berwick We are committed to providing exceptional care to our patients and their families."|""|""|""|""|""|""|""|""|""|""
"01-0212542"|"TRUSTEES OF SAINT JOSEPH'S COLLEGE SAINT JOSEPH'S COLLEGE OF MAINE"|"1200791"|""|"38425000.0000"|"13891501.0000"|"35961311.0000"|"Higher education institution offering small classes with an up-close and personal learning environment -more than 40 majors, minors, and partnership programs -classes of just six students are not unusual-average class size of 17 -student faculty ratio 14 1 -first-year students meet with a faculty mentor -professors will get to know you and inspire you"|""|"6578852.0000"|""|"9104900.0000"|"On-line education, offered through the division of graduate & professional studies includes -master's degrees -bachelor's degrees - associate degrees -certificate programs -continuing education courses"|""|""|""|""|""
"01-0221344"|"BRIDGTON ACADEMY"|"1200792"|""|"5304938.0000"|"2344730.0000"|"8360734.0000"|"The largest expenses in our program services are related to salaries & wages, fringe benefits, and financial aid these three expenses support the ongoing mission of the school in offering a one year college preparatory program salaries & wages/fringe benefits supports the schools biggest program achievement by providing teachers for academic instruction financial aid allows students to attend our school, based on individual and/or family financial circumstances"|""|""|""|""|""|""|""|""|""|""
"01-0278395"|"WOODFORDS FAMILY SERVICES"|"1200793"|""|"2555314.0000"|"34400.0000"|"2926226.0000"|"Early childhood- provides services aimed at building developmental, medical, social and learning skills for children with autism and other diagnoses between age 14 months and 5 years"|""|"3509240.0000"|"79252.0000"|"4147802.0000"|"Residential- provides residential services to adults with disabilities based upon their personal choices in order to facilitate the individuals' full integration into their community"|""|"1657784.0000"|"362911.0000"|"1964113.0000"|"Family support- provides trained support staff to families in which there are children with pervasive development disorders, autism, or developmental delays staff assists families in their homes in reaching goals and objectives geared to increase the child's independence"
"01-0316041"|"Youth Alternatives Ingraham"|"1200795"|""|"15605970.0000"|""|"10954240.0000"|"Maine FamihesMaine Families features a variety of programs designed to support present and future parents One component of the program offers a community based, universal home visiting program designed to support new and expectant parents Families are offered support from a parent partner who makes regular home visits This partnership may continue from pregnancy or birth until the child reaches kindergarten age Parent partners share information, educational resources and knowledge about"|""|""|""|""|"Multidimensional Treatment Foster CareMultidimensional Treatment Foster Care (MTFC) is an alternative to corrections and group care facilities As researched and developed by the Oregon Social Learning Center, MTFC places juvenile offenders who need residential treatment with foster families who are trained to provide close supervision, fair limits, consistent consequences and a supportive relationship Research on MTFC programs in this country has proven it to be a cost effective and"|""|""|""|""|"MainestayA collaborative program including a eight bed treatment residence for homeless youth, ages 18 to 25 with serious emotional disorders or mental illness intensified by substance abuse problems Treatment focuses on the skills and supports necessary to transition youths to their community and ""family"" Programming includes outreach, individual, group, and family treatment, aftercare planning and support services Number of clients served 40Gordon GreenAn eight bed permanent residence"
"01-0323144"|"GREATER PORTLAND CHRISTIAN SCHOOL"|"1200796"|""|"729441.0000"|"90146.0000"|"682392.0000"|"Pre-school and grades k through 12 - Greater Portland Christian School offers a full program of study focusing on the classics and core courses whose mastery is expected of an educated person both college preparatory and general courses are offered with accelerated classes offered in language and mathematics through calculus Spanish is offered as a foreign language the primary purpose of the pre-school program is to inspire the joy of learning in children from a biblical perspective"|""|""|""|""|""|""|""|""|""|""
"01-0353682"|"LEARNINGWORKS"|"1200797"|""|"1894907.0000"|""|"649900.0000"|"Programs for at-risk youth, the immigrant community, and low income families are provided in two major categories as follows 1) education programs- includes English language program for adults, afterschool program for grades 3-5, which provide extended learning for low-achieving elementary school students, evening resource and computer lab which provides tutoring, computer support, and English conversation, youth building alternatives, an alternative high school providing academic support"|""|"459855.0000"|""|"526667.0000"|"The affordable housing program includes acquisition, rehabilitation and management of affordable housing units for low income families in Portland's West-end neighborhood currently the agency provides 39 rental units to the community"|""|""|""|""|""
"01-0376014"|"WOMANCAREAEGIS ASSOCIATION"|"1200798"|""|"174017.0000"|""|""|"Individual advocacy and crisis response services one-to-one assistance to victims of domestic violence and concerned others, accessed through a 24-hour hotline or in person, for the purpose of helping individuals at risk from domestic abuse as well as others in crisis to increase their safety, maximize their capability to act on their own behalf, and to have a greater sense of power over their lives the program also includes educational groups, transitional housing/services, availability at"|""|"135763.0000"|""|"1300.0000"|"Community education/community response program (ce/cr) efforts are focused on preventing domestic violence, alleviating the effects of such violence, and changing societal attitudes and behaviors in relation to domestic violence through such activities as information dissemination, education, training, advocacy for changes in relavant civil, governmental, and penal systems, and collaboration/monitoring of the community's response to domestic violence this program is divided between"|""|"65257.0000"|""|""|"Legal services program provides comprehensive civil legal and support services to individuals who have experienced domestic violence, dating violence, or stalking the legal advocate assists victims/survivors with filling out necessary paperwork (family matters), provides court advocacy, and/or, makes appropriate referrals to the penquis law project, which provides legal services for low- and moderate- income residents of penobscot, piscataquis, and Knox counties advocates assist with filling"
"01-0444523"|"John M Eagleson Jr Institute"|"1200799"|""|"1067791.0000"|""|"1196052.0000"|"Technical newsletter and training materials/seminars that share the results of advancements in the field of biohazard and chemical science Seminars are conducted on technological innovations"|""|""|""|""|""|""|""|""|""|""
"01-0455355"|"MID-COAST HABITAT FOR HUMANITY, INC."|"1200800"|"230000"|"116130.0000"|""|"146200.0000"|"Cost of constucting one new home with the assistance of many volunteers and local organizations for a qualified, low-income applicant in Knox County. This is our 23rd house."|"522200"|"80330.0000"|""|"23754.0000"|"Discount issued on one 24.9-year, no-interest mortgage for current house transferred and amortization of discounts on 14 additional mortgages held."|""|"62501.0000"|""|""|"Expense for program personnel and volunteers to administer services following the orgnaization's mission."
"01-0484154"|"MAHC INC"|"1200801"|""|""|""|""|"Title holding company"|""|""|""|""|""|""|""|""|""|""
"01-0495250"|"Ingraham Housing Corporation"|"1200802"|""|"147507.0000"|""|"147508.0000"|"Rental of properties to a related 501(c)(3) organization"|""|""|""|""|""|""|""|""|""|""
"01-0496139"|"ISLAND COMMONS RESOURCE CENTER"|"1200803"|""|"327675.0000"|""|"244566.0000"|"Operation of residential care facility on Chebeague Island, Maine"|""|""|""|""|""|""|""|""|""|""
"01-0530955"|"SKYLINE FARM"|"1200805"|""|"21094.0000"|""|""|"To preserve and maintain the open spaces of Skyline Farm for recreational use by the public and equine enthusiasts"|""|"21094.0000"|""|""|"To maintain Skyline Farm carriage museum to promote the understanding of horse drawn transportation through the collection, preservation, and exhibition of carriages and sleighs typically used in New England"|""|""|""|""|""
"01-0535770"|"ORONO ECONOMIC DEVELOPMENT CORP"|"1200806"|""|"328808.0000"|""|""|"Leasing a 55,000 square foot office building to a major corporation, which has created significant employment opportunities within the greater Orono area"|""|""|""|""|""|""|""|""|""|""
"01-0547297"|"THE NEW SCHOOL"|"1200808"|""|"194016.0000"|"3000.0000"|"235746.0000"|"Alternative education at the high school level for 30-40 students per year"|""|""|""|""|""|""|""|""|""|""
"01-0564286"|"DAYTON LEARNING CENTER"|"1200809"|""|"210902.0000"|""|""|"Provides daycare services as a branch of Dayton Church of God also provides lunches for the children"|""|""|""|""|""|""|""|""|""|""
"01-0729134"|"CLARE OAKS"|"1200810"|""|"19030001.0000"|""|"19171903.0000"|"Clare Oaks provides an assisted living facility as well as memory care services to older adults it provides housing and supportive services by certified and licensed nursing staff including support for adl's, medication administration, onsite 24 hour security, dining, wellness programs, activities, transportation, health clinic, housekeeping, and a physical fitness venue Clare Oaks provides an independent living facility that provides housing and supportive services including onsite 24 hour"|""|""|""|""|""|""|""|""|""|""
"01-0729873"|"NORTH CAROLINA MOTORSPORTS ASSOCIATION"|"1200811"|""|""|""|""|"THE NORTH CAROLINA MOTORSPORTS ASSOCIATION IS INVOLVED IN PUBLIC POLICY THROUGH WORK WITH THE NORTH CAROLINA LEGISLATURE, BUSINESS DEVELOPMENT THROUGH THE NORTH CAROLINA DEPARTMENT OF COMMERCE, WORKFORCE FEVELOPMENT WHICH INVOLVES EDUCATIONAL INSTITUTIONS STATEWIDE, THE BUSINESS COMMUNITY AND MOTORSPORTS ORGANIZATIONS ALSO, PROVIDED ARE NETWORKING OPPORTUNITIES AND INDUSTRY INFORMATION TO MEMBERS NCMA STRIVES TO FIND WAYS TO INCREASE MEMBERS' PROFITABILinY AND HOST EVENTS WHICH BENEFIT THE"|""|""|""|""|""|""|""|""|""|""
"01-0735369"|"Yonkers South Broadway District Management Association, Inc."|"1200812"|""|"384013.0000"|"0.0000"|"248051.0000"|"The organization's programs and services enhancing the South Broadway Yonkers District include Extensive renovations and improvements in Lincoln Park which include installing the public safety kiosk and the reopening and maintenance of the public restrooms. This, along with the landscaping makeover, have revitalized Lincoln Park and returned it to its form as the ""Jewel in the Crown of South Broadway. "" Other enhancements in the district include storefront signagebuilding renovations"|""|""|""|""|""|""|""|""|""|""
"01-0768551"|"ASHLAND COUNTY LIFEWORX INC"|"1200814"|""|"67062.0000"|"81239.0000"|"2479.0000"|"To provide educational, vocational, recreational, and social supports for persons with a mental health diagnosis"|""|""|""|""|""|""|""|""|""|""
"01-0802914"|"Assoc Students of California State Univ Channel Islands Inc"|"1200815"|""|"233825.0000"|""|""|"The Student Union serves to foster community and enhance student learning and development on the CI campus by providing exceptional services, supporting holistic programming, creating regular opportunities for staff development, and maintaining an environmentally responsible facility"|""|"68092.0000"|""|""|"Student Programming Board (SPB) provides an abundance of opportunities by providing a social outlet for students, helping students learn how to plan and coordinate events, and working with local businesses and organizations"|""|"61397.0000"|""|""|"Student Government 1 Communicate with the entire campus including our student body as well as staff, faculty, and administration to ensure that all parties are working collaboratively towards the common goal of student success 2 Facilitate and promote community by providing a safe and comfortable campus environment, collaborating with other areas of the University, embracing our local community, and engaging in statewide affairs 3 Support co-cumcular education by providing leadership"
"01-0814995"|"ROTARY SOUTH VALLEY CHARITIES"|"1200816"|""|"37192.0000"|"37192.0000"|""|"Rotary South Valley Charities generates donations from members of rotary it also conducts an annual golf tournament as a fundraising event using rotary club members as unpaid volunteers the donations and fundraising received are used to support charitable organizations and activities that serve Albuquerque, New Mexico and other programs supported by the rotary international foundation"|""|""|""|""|""|""|""|""|""|""
"01-0892950"|"JUMP OF OHIO INC"|"1200817"|""|"74368.0000"|""|""|"The program is designed to help youth who have been challenged with secondary or post secondary education, as well as transitioning into the workforce"|""|""|""|""|""|""|""|""|""|""
"01-6011843"|"GREATER ANDROSCOGGIN HUMANE SOCIETY"|"1200819"|""|"688135.0000"|""|"335412.0000"|"Provide food and shelter for homeless animals along with adoption and medical services"|""|""|""|""|""|""|""|""|""|""
"01-6217452"|"ELLIOT HEALTH SYSTEM PROFESSIONAL & GENERAL LIABILITY INSURANCE TRUST"|"1200821"|""|"1765370.0000"|""|"0.0000"|"Provision of funding for Professional, General, and other liability losses for organizations controlled by Elliot Health System and Elliot hospital"|""|""|""|""|""|""|""|""|""|""
"01-0248224"|"MAINE CREDIT UNION LEAGUE"|"1204047"|""|"1777326.0000"|""|"1647289.0000"|"The league provides education, training and promotion of Credit Union services to member credit unions"|""|""|""|""|""|""|""|""|""|""
"01-0271477"|"Maine Mantime Museum"|"1204048"|""|"781019.0000"|""|"304019.0000"|"Collections and Exhibits Includes all items relating to maritime history primarily in Maine Paintings and other artwork, rigged models, half hulls, tools used in maritime history, navigating equipment, ship parts and watercraft on display Exhibits include historic buildings and period displays of maritime life during the late 1800's Includes the preservation of both new and existing displays"|""|"125923.0000"|""|"0.0000"|"Library and Archives The library and archives house thousands of books, maritime manuscripts, business records, photographs, maps, charts, and ship plans Includes purchasing, maintaining and storing, and restoring these items The library is available for general and scholarly use"|""|"631523.0000"|""|"334955.0000"|"Education & Public Programs Lecture series, symposiums, adult and youth classes, school programs, senior college programs, boat lecture cruises, summer shipyard activities, Sherman Zwicker tours, volunteer support programs, family programs, museum trips, summer camps, trolly tours of Bath Iron Works, and other guided tours are all part of the education and public programs"
"01-0272150"|"Harbor House Community Service Center"|"1204049"|""|"614746.0000"|""|"429650.0000"|"Harbor House Community Service Center offers a wide range of programs in the areas of childcare, sports, recreation, education and health and fitness for all ages In collaboration with schools, local government, health care facilities and non-profit organizations, Harbor House is able to provide the skills and resources necessary for the creation and continuation of programs that conserve and enrich the quality of life on Mount Desert Island"|""|""|""|""|""|""|""|""|""|""
"01-0342167"|"PHILLIPS-STRICKLAND HOUSE CORP."|"1204050"|""|"1644389.0000"|""|"1513140.0000"|"Operating a 48 bed boarding care facility for elderly men and women"|""|""|""|""|""|""|""|""|""|""
"01-0342353"|"FALMOUTH ELDERLY HOUSING CORPORATION"|"1204051"|""|"184240.0000"|""|"80652.0000"|"The organization provides low-income Elderly Housing"|""|""|""|""|""|""|""|""|""|""
