"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"PURPOSE"|"SIG_PROG_SERV_CBX"|"ENGAGE_CBX"|"OTHER_GRANTS"|"OTHER_EXPENSES"|"REVENUE_D"|"EXPENSES_TOTAL"|"SCH_O_III_CBX"
"01-0192761"|"CHILD EVANGELISM FELLOWSHIP, INC"|"1119130"|"Ministry to children through good news clubs,-day clubs, camps, literature distribution teacher trainine"|"N"|"N"|""|""|""|""|""
"01-0594835"|"Oakland Kids First"|"1119463"|"The mission of Oakland Kids First is to create leadership opportunities for young people to transform their schools and communities so all youth graduate with skills and motivation to reach their dreams."|"N"|"N"|""|""|""|"519512.0000"|"Y"
"01-6012936"|"MERRILL MEMORIAL LIBRARY"|"1119465"|"To provide free public library services to the town of yarmouth, Maine and nearby communities."|"N"|"N"|""|""|""|"427841.0000"|""
"01-0565218"|"GLAMOURGALS FOUNDATION INC"|"1117598"|"To fosterintergenerational relationships bet we en teen girls and elderly women living in senior homes through monthly facials and makeovers"|"N"|"N"|""|""|""|"143544.0000"|""
"01-0362049"|"MONMOUTH RESCUE ASSOCIATION, INC."|"1117667"|"Providing ambulance service to local communities in the monthmouth area"|"N"|"N"|""|"8682.0000"|""|"218554.0000"|"Y"
"01-0482508"|"THE NEXT STEP DOMESTIC VIOLENCE PROJECT"|"1117668"|"The Next Step Domestic Violence Project supports and empowers people whose lives are affected by Domestic Violence, while striving to prevent and to end the cycle of dome stic violence thro ugh education and social change"|"N"|"N"|""|""|""|"781511.0000"|""
"01-0530420"|"Jewish Community Alliance of Southern Maine"|"1117670"|"To coordinate, promote and support the Jewish philanthropic, benevolent, educational, and communal activities in Southern Maine To foster, develop and encourage agencies as will best promote the welfare of this community"|"N"|"N"|""|""|""|"1252561.0000"|""
"01-0843838"|"LIONS EYE INSTITUTE FOR TRANSPLANT AND RESEARCH FOUNDATION INC"|"1117671"|"The Lions Eye Institute foundation was founded in 2005 with the sole purpose of supporting the three major areas of concent ration at the Lions Eye Institute the ocular research center (first ever research center to be combined with an eye bank) designed to find cures for blinding eye diseases the eye bank providing eye tissue for research and transplantation worldwide support and education by providing funding for programs enriching the quality of life for the visually impaired"|"N"|"N"|""|""|""|"54317.0000"|"Y"
"01-0880770"|"Community Foundation of Harfo"|"1117672"|"Support not-for-profit, tax exempt organizations"|"N"|"N"|""|""|""|"68316.0000"|""
"01-0908761"|"OPENCOURSEWARE CONSORTIUM INC"|"1117673"|"Opencourseware Consortium, Inc was incorporated in July 2008 to pro vide free and open digital publication of high quality educational mate rials, organized as courses, thro ugh a collaboration of higher education institutions and affiliated organizations from around the world, creating a broad and deep body of open eductional content using a shared model, and to advance education and empower people worldwide through its open courseware programs"|"N"|"N"|""|""|""|"755816.0000"|"Y"
"01-5145247"|"AMERICAN VETERANS POST 153"|"1117674"|"Provide a social atmosphere to foster relations among the nations veterans"|"N"|"N"|""|""|""|"80099.0000"|""
"01-0158948"|"SIGMA KAPPA SORORITY"|"1122837"|"To provide women lifelong opportunities and support for social, intellectual, and spiritual development by bringing women together to positively impact our communities"|"N"|"N"|""|""|""|""|""
"01-0443470"|"Attendant Services Maine, Inc."|"1122838"|"To develop programs for the provision of personal care assistant services for the physically handicapped."|"N"|"N"|""|""|""|"10620434.0000"|""
"01-0900952"|"PEABODY CHARTER SCHOOL"|"1122839"|"A California public charter elementary school"|"N"|"N"|""|""|""|"4474386.0000"|""
"01-0191822"|"DEPARTMENT OF MAINE, VETERANS OF FOREIGN WARS OF THE UNITED STATES"|"1125646"|"To assist Veterans of Foreign Wars posts throughout the state of Maine in providing services to members and their families in accessing veterans benefits including medical services. Promote the principles of democracy and freedom within our communities and schools. Direct"|"N"|"N"|""|""|""|""|"Y"
"01-0265559"|"Kennebec Valley Mental Health Center"|"1125647"|"The mission of KBH is to promote the well-being of children, adults and families who experience mental illness, emotional or developmental difficulties, or behavioral challenges."|"N"|"N"|""|"9047754.0000"|"8669.0000"|"19747614.0000"|"Y"
"01-0316813"|"Tri-County Mental Health Services"|"1125649"|"To promote mental health, reduce substance abuse & develop the potential of persons with mental illness & intellectual disabilities in the State of Maine by providing effective mental health, substance abuse, mental illness & intellectual services, relevant educational"|"N"|"N"|""|"4310199.0000"|"2317.0000"|"17415786.0000"|"Y"
"01-0366057"|"Maine Rural Water Association"|"1125650"|"Education and assistance to water utilities and wastewater utilities."|"N"|"N"|""|""|""|""|""
"01-0840857"|"TRANSFORMATIVE ACTION INSTITUTE"|"1125654"|"Conflict resolution, consensus and personal transformation"|"N"|"N"|""|""|""|"213697.0000"|""
"01-0520813"|"PENINSULA MONTESSORI, INC."|"1125651"|"To educate children using the Montessori Philosophy."|"N"|"N"|""|"68859.0000"|""|"68859.0000"|"Y"
"01-0597318"|"DARE EDUCATION FOUNDATION INC"|"1125652"|"Our mission is to promote excellence in education through active partnership with the community. Our most significant activities are to enhance the educational experiences and opportunities for students and staff of dare county public schools."|"N"|"N"|"6312.0000"|"27725.0000"|""|"191214.0000"|"Y"
"01-0603214"|"SAINT FRANCIS HOSPITAL SOUTH, LLC"|"1125653"|"To extend the presence and healing ministry of Christ in all we do"|"N"|"N"|"0.0000"|"0.0000"|""|"44348559.0000"|"Y"
"01-0222037"|"VETERANS OF FOREIGN WARS OF THE U.S. FOREST J. PARE POST 1285"|"1128317"|"Services to Veterans of Foreign Wars."|"N"|"N"|""|""|""|""|""
"01-0702652"|"CAFA, INC."|"1128333"|"Cafa is a public school under charter to provide education"|"N"|"N"|""|""|""|"4496953.0000"|""
"01-0720520"|"FRANKLIN HIGH SCHOOL BOOSTER CLUB"|"1128335"|"The primary objective of the organization is to lend support to student body activity programs at Franklin High School by encouraging school spirit, citizenship, academic excellence and physical growth through keen competition. The organization encourages and supports good sportsmanship and promotes good relationships between the High School and other schools with which the students engage in extracurricular and academic activities."|"N"|"N"|""|""|""|"168530.0000"|"Y"
"01-0806645"|"REGIONAL LOCAL UNION NO 846 OF' THE INTERNATIONAL ASSOCIATION"|"1128336"|"The organization is a regional reinforcing specialty Local Union of the International Association of bridge, structural, ornamental and reinforcing iron workers (IABSORIW) engaged in organizing and representing workers in various segments of the iron working industry."|"N"|"N"|""|""|""|""|"Y"
"01-0818965"|"DEMEDICI CORPORATION"|"1128337"|"To lease school facilities to Philadelphia performing arts charter school."|"N"|"N"|""|""|""|"272757.0000"|""
"01-6004444"|"FALMOUTH MEMORIAL LIBRARY ASS"|"1128339"|"The mission of the library is to enrich the community by providing resources and services that Foster A Love of reading and inspire imagination, curiosity, and an open exchange of ideas and information"|"N"|"N"|""|"47295.0000"|""|"484215.0000"|""
"01-6010995"|"Wayne Library Association"|"1128340"|"To engage, inform and enrich everyone who enters by providing a welcoming space for books, collections, programs and activities that encourage the enjoyment of discovery and lifelong learning provide library services to the community through use of facilities, resources, technology, programs and staff."|"N"|"N"|""|""|""|"219848.0000"|""
"02-0205076"|"WINONA SOCIAL CLUB, INC"|"1128342"|"Promoting mutual acquaintance and good fellowship among all members of the club"|"N"|"N"|"0.0000"|"0.0000"|""|"0.0000"|""
"01-0233275"|"MACCRILLIS-ROUSSEAU POST NO. 8835 VETERANS OF FOREIGN WARS"|"1128318"|"To provide services to members who are Veterans of Foreign Wars, including assistance to obtain veterans' benefits, hospital and other medical care, conducting funeral and memorial services for deceased members, and social and recreational facilities. To participate in"|"N"|"N"|""|""|""|""|"Y"
"01-0263519"|"TRUSTEES OF LEAVITT INSTITUTE"|"1128319"|"To support the public high school with programs that are npot supported by the local budget and to administer scholarships to graduatinf students furthering their education."|"N"|"N"|""|""|""|"108772.0000"|""
"01-0191822"|"DEPARTMENT OF MAINE, VETERANS OF FOREIGN WARS OF THE UNITED STATES"|"1125521"|"To assist Veterans of Foreign Wars posts throughout the state of Maine in providing services to members and their families in accessing veterans benefits including medical services. Promote the principles of democracy and freedom within our communities and schools. Direct"|"N"|"N"|""|""|""|""|"Y"
"01-0274725"|"The Opportunity Alliance"|"1128320"|"Transforming our community by helping people in need build better lives."|"N"|"N"|""|""|""|"14439386.0000"|""
"01-0361089"|"YORK COUNTY SHELTER PROGRAMS INC"|"1128322"|"To assist in poverty and social services issues, in York County, Maine"|"N"|"N"|""|""|""|"4460070.0000"|""
"01-0368188"|"SO. MAINE EMERGENCY MED SERVICES COUNCIL INC"|"1128323"|"Education and support services to organizations which administer and support medical services in the southern Maine area."|"N"|"N"|"0.0000"|"0.0000"|""|"144334.0000"|""
"01-0370020"|"BANGOR AIRPORT CIVIC DEVELOPMENT CORP"|"1128324"|"Promote & sustain economic growth & development through promotion and establishment of enterprise centers and foreign trade zones"|"N"|"N"|""|""|""|"429272.0000"|""
"01-0435170"|"ANDROSCOGGIN HABITAT FOR HUMANITY INC"|"1128326"|"CONSTRUCTION OF RESIDENTIAL HOUSING FOR LOW INCOME FAMILIES AND FINANCIAL EDUCATION TO ' FAMILIES TO BUDGET AND LIVE WITHIN THEIR MEANS WHILE PROMOTING HOME OWNERSHIP i"|"N"|"N"|""|""|""|"166865.0000"|""
"01-0502709"|"Atlantic States Rural Water and Wastewater Association"|"1126827"|"Education and assistance to water utilities and wastewater utilities."|"N"|"N"|""|""|""|""|""
"01-0657461"|"MARYLAND COMMUNITY HEALTH INITIATIVES INC"|"1127014"|"To enable persons with low incomes to be more responsible for their own health and well-being, particularly those struggling with addiction and recovery."|"N"|"N"|""|""|""|"645719.0000"|""
"01-0664127"|"IBEW LOCAL 180 HOLDING COMPANY"|"1127015"|"To hold title of property on behalf of Ibew Local 180."|"N"|"N"|""|""|""|""|""
"01-0686429"|"CLUB HORIZON, INC."|"1127016"|"Improve the quality of life for adults with serious mental illness"|"N"|"N"|""|""|""|"467199.0000"|""
"01-0329300"|"Rumford Group Homes"|"1127627"|"To develop & administer programs to enhance the quality of life for children & families through a comprehensive continuum of care in social services, education, mental health & housing."|"N"|"N"|""|"176938.0000"|"45.0000"|"1095826.0000"|"Y"
"01-6016350"|"SOMERSET WOODS TRUSTEES"|"1128087"|"To preserve, protect and enhance the main routes coming into skowhegan and to provide access to the lands for public use."|"N"|"N"|""|""|""|"9114.0000"|""
"01-0217639"|"THE COMMUNITY SCHOOLS AT OPPORTUNITY FARM AND CAMDEN"|"1128316"|"To offer a relational learning program that transforms the nature of a high school education. We provide students with the skills and experience necessary to discover their strengths, connect with families, practice personal responsibility, and contribute to their"|"Y"|"N"|""|""|""|"1145662.0000"|"Y"
"01-0518428"|"NORTH ATLANTIC FIGURE SKATING CLUB"|"1128327"|"Provide Figure Skating instruction, certification, and ice time to members."|"N"|"N"|""|""|""|"152535.0000"|""
"01-0556446"|"Quincy Asian Resources, Inc."|"1128328"|"To foster and improve the social, cultural, economic and civic lives of Asian Americans and their families to benefit Quincy and its neighboring communities. Through colliahorations and partnerships, we provide culturally competent services including adult education programs, youth development, and cultural events as well as information and referrals to public and other community organizations."|"N"|"N"|""|""|""|"250555.0000"|"Y"
"01-0639265"|"Meritus Healthcare Foundation, Inc."|"1128330"|"To provide fund development, financial, and other assistance to Meritus Medical Center, Inc. (MMC). Meritus Healthcare Foundation (MHF) is operated exclusively for the charitable and educational ouroose of succorting guality health care and related services of MMC."|"N"|"N"|""|""|""|"2943749.0000"|"Y"
"01-0032215"|"BOOTHBAY HARBOR YACHT CLUB"|"1124778"|"Encourage all aspects of yachting in the Boothbay Harbor region of Maine"|"N"|"N"|""|""|""|""|""
"01-0676306"|"CAMBRIDGE HEALTH ALLIANCE FOUNDATION, INC. F/K/A ALLIANCE FOUNDATION FOR COMMUNITY HEALTH, INC."|"1124779"|"Fundraising support for the Cambridge Health Alliance and all related organizations."|"N"|"N"|""|""|""|"950498.0000"|""
"01-0342167"|"PHILLIPS-STRICKLAND HOUSE CORP."|"1123477"|"To ensure that the aging population of Eastern Maine will have a top-quality residence with essential services."|"N"|"N"|""|""|""|"1703190.0000"|""
"01-0226195"|"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS 1253 LOCAL"|"1123514"|"The objectives of the International Brotherhood of Electrical Workers are to organize all wo rkers in the entire electrical industry in the United States and Canada, including all those in public utilities and electrical manufacturing, into local unions, to promote reasonable methods of work, to cultivate fee lings of friendship among those of our industry, to settle all disputes bet we en employers and employees by arbitration (if possible), to assist each other in sickness or distress, to"|"N"|"N"|""|""|""|""|"Y"
"01-0277678"|"Kennebec Valley Community Action Program"|"1123515"|"The organization supports individual solutions to build stronger communities by improving the lives of people through education, prevention and advocacy efforts KVCAP seeks collaborative partnerships in the community to identify needs, coordinate resources and creatively invest funding dollars to make the greatest positive impact on the lives of low-income families served in ninety-one communities"|"N"|"N"|""|"32126.0000"|"4964.0000"|"17262374.0000"|"Y"
"01-0368096"|"Alpha One"|"1123516"|"To provide and promote independent living opportunities to persons with disabilities in the State of Maine."|"N"|"N"|""|""|""|"2627426.0000"|""
"01-0544468"|"FOUR DIRECTIONS DEVELOPMENT CORPORATION"|"1123517"|"To improve the social and economic conditions of tribal mem bers in the four Maine tribes (MA li seet, micmac, passamaquoddy and penobscot) through education and investment in affordable housing, tribal business ventures, and entrepreneurs"|"N"|"N"|""|""|""|"1089550.0000"|""
"01-0371992"|"Downeast Transportation"|"1131687"|"To provide fixed route, public transportation service in and around Hancock County in order to give rural communities improved access to work, shopping, medical, human and government services."|"N"|"N"|""|""|""|"1898529.0000"|""
"02-0223390"|"MANCHESTER HISTORIC ASSOCIATION"|"1131688"|"To collect and preserve materials relating to the history of Manchester, New Hampshire, and to operate a museum, research center, and educational programs relating to this history for the benefit of the public."|"N"|"N"|""|""|""|"478252.0000"|"Y"
"01-0357314"|"MERCY ENDOWMENT FOUNDATION"|"1133072"|"Established to support health care facilities"|"N"|"N"|""|""|""|"2000000.0000"|""
"02-0103705"|"AMERICAN LEGION HENRY J SWEENEY POST#1"|"1133558"|"To provide its members and their families entertainment. Our most significant activity is the service of beverages."|"N"|"N"|""|"489946.0000"|""|"489946.0000"|"Y"
"01-0086202"|"THE HARBOR CLUB, INC."|"1133607"|""|"N"|"N"|""|""|""|""|""
"01-0119375"|"MEGANTIC FISH AND GAME CO BERRY TALBOT ROYER"|"1133608"|"Propagation of nature study and preservation and provision of recreation and sporting facility"|"N"|"N"|""|""|""|""|""
"01-0367553"|"SETON VILLAGE"|"1133610"|"To manage a 140 unit apartment complex for low-income elderly tenants"|"N"|"N"|""|""|""|"882924.0000"|""
"01-6006001"|"Bigelow Laboratory for Ocean Sciences"|"1133611"|"To understand key processes driving the worlds ocean ecosystems, their evolution, and their fundamental relationship to life on Earth throughinterrelated research, education, and technology transfer programs"|"N"|"N"|""|""|""|"5992042.0000"|""
"02-0179953"|"GREATER PORTSMOUTH CHAMBER OF COMMERCE"|"1133612"|"Advance the economic, industrial, professional, cultural and civic welfare of the Greater Portsmouth, New Hampshire area"|"N"|"N"|""|""|""|"423674.0000"|""
"01-0324705"|"THE SUSAN L CURTIS CHARITABLE FOUNDATION"|"1134142"|"To build the individual character, self-confidence and self-esteem of economically disadvantaged Maine child ren though the pro vision oftuit ion-free, high quality camping, educationaland social experiences"|"N"|"N"|""|""|""|"535435.0000"|""
"01-0478709"|"Maine Island Trail Association"|"1134143"|"The Maine Island Trail Association's goal is to establish a model of thoughtful use and volunteer stewardship for the Maine islands that will assure their conservation in a natural state while providing an exceptional recreational asset that is maintained and cared for by the people who use it"|"N"|"N"|""|""|""|"330984.0000"|"Y"
"01-0212178"|"AMERICAN LEGION POST 158 COOMBS-MONTFORT"|"1134409"|"The objectives and purpose of the post shall be to promote the principles and policies of the American Legion as set forth in the national and department constitutions and by such post regulations as may serve top promote policies on the local level."|"N"|"N"|""|""|""|"13165.0000"|"Y"
"01-0505151"|"PROFESSIONAL LOGGING CONTRACTORS OF MAINE"|"1134410"|"Educate the public to understand the logging industry in Maine and increase the health of the Maine forests; educate and train Logging Contractors in Maine to promote compliance with forester and harvesting practices which maintain sustainable forestry levels."|"N"|"N"|""|""|""|"176404.0000"|""
"01-0729385"|"Chesapeake Rivers Association, Inc"|"1134411"|"Our mission is to protect and restore the Severn River through education, monitoring, community outreach and restoration projects"|"N"|"N"|""|""|""|"120824.0000"|""
"01-0812774"|"Bonfield Express Foundation"|"1134412"|"The Foundation is dedicated to raising money for the purpose of awarding scholarships to area High School graduating seniors based on character and commitment to community."|"N"|"N"|""|""|""|"100219.0000"|""
"01-0842289"|"United Associations of Healther Ridge, Inc."|"1134747"|"To operate the open space/golf course property owned by the Heather Ridge metropolitan District No. 1 for the benefit of the community within the district and the public at large, including beautification and maintenance of the District property, and providing an outlet for social recreational activities. The organization also promotes charity golf events for the direct benefit of other non-profit 501(c)(3) organizations."|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""
"02-0107545"|"BEACH CLUB, INC."|"1134752"|"Provide social and athletic activities for club members"|"N"|"N"|""|""|""|""|""
"01-0216811"|"WATERVILLE LODGE #33 F & A M"|"1132575"|"Educational and charitable activities"|"N"|"N"|"0.0000"|"0.0000"|""|"79722.0000"|""
"01-0564259"|"FREEMUSLIM ASSOCIATION, INC."|"1134740"|"Humanitarian education"|"N"|"N"|""|""|""|""|""
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1134741"|"The Foundation for Enhancing Communities is a community foundation, a charitable organization. It offers opportunities for donors to achieve their philanthropic goals, to establish funds, to meet economic diverse situations and maximize their tax deductions. The foundation makes grants to nonprofit organizations to meet community needs and also provides technical assistance to them."|"N"|"N"|""|"983499.0000"|""|"5097174.0000"|"Y"
"01-0582162"|"CONTEXTUAL FAMILY SERVICES"|"1134742"|"Provide in home therapy services to families in order to reduce the risk of residential placement of children."|"N"|"N"|""|""|""|"220061.0000"|""
"01-0669290"|"BELCHERTOWN LAND TRUST INC."|"1134744"|"Preservation of open space and important conservation lands protection of national resources; public education on conservation of natural resources; lading and main taining land for recreation and conservation purposes."|"N"|"Y"|""|""|""|"124577.0000"|"Y"
"01-0805301"|"Hobby Radio Inc"|"1134746"|"To provide older easy-listening music for public enjoyment."|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""
"01-0550350"|"Regents Academy of Nacogdoches"|"1134738"|"To serve Nacogdoches and surrounding communities with a high quality, accelerated college preparatory education based on a historically proven and successful classical educational model with a Christian worldview that prepares students to become thoughtful, life-learners that can effectively articulate their thoughts and perspectives."|"N"|"N"|""|""|""|"365956.0000"|""
"01-0563040"|"Servant's Heart Camp Ministries"|"1134739"|"Many children, teens, and adults are struggling emotionally, physically and spiritually. The government cannot possibly meet the needs of everyone. SHCM has the unique opportunity to minister to these needs. As children, teens, and adults come into right relationship with Jesus Christ many other issues in life begin to fade. It is our goal to meet every need of each person, but our ultiamte goals are spiritual."|"N"|"N"|""|""|""|""|""
"01-0388818"|"Maine Adaptive Sports & Recreation"|"1132576"|"Maine Adaptive Sports & Recreation is a year-round adaptive recreational program that teaches adaptive sports activities to people with physical disabilities, age 4 and up."|"N"|"N"|""|""|""|"456590.0000"|""
"02-0164078"|"Littleton Masonic Temple Building"|"1134753"|"Maintain the proporty used by Masonic Temple bodies whose main objectives are to build moral character, individual responsibility, citizenship and charity."|"N"|"N"|""|""|""|""|""
"01-0223898"|"WINDSOR FAIR"|"1134733"|"To sponsor an agricultural fair"|"N"|"N"|""|""|""|"1298979.0000"|""
"01-0274746"|"CENTRAL MAINE BIBLE CONFERENCE"|"1134736"|"Children's services, summer camp, religious programs"|"N"|"N"|""|""|""|"57964.0000"|""
"01-0590995"|"Animal Advocates of Moore County INC"|"1136854"|"Animal Rescue, emergency services for dogs, cats hit by cars; TNR Feral cats,lost and found, take over fro Moore County Animal Control on weekends, education at schools,garden clubs, churches, girl scouts, kiwanas, elks lodge, etc."|"N"|"N"|""|""|""|"54123.0000"|""
"01-0621026"|"INSTITUTO MAZATLAN BELLAS ARTES DE SACRAMENTO"|"1136855"|"To teach and train children from South America, central America and Mexico in art, music and colture"|"N"|"N"|""|""|""|"139379.0000"|""
"01-0642220"|"4 S FOUNDATION INC"|"1136856"|"Educate, train and provide assistance to create water systems and provide healthcare facilities for the poor population in India"|"N"|"N"|""|""|""|"1689.0000"|""
"01-0651449"|"Serene Light Inc"|"1136857"|"A non profit organization dedicated to assist in providing social supports through group referral services. Promotes awareness and education related to health and wellness issues."|"N"|"N"|""|""|""|"4050.0000"|""
"01-0651516"|"MOUNTAIN MISSIONS DEVELOPMENT CORPO"|"1136858"|"Econ health and spirit servic"|"N"|"N"|""|""|""|"11476.0000"|""
"01-0693025"|"GILLOURY INSTITUTE"|"1136859"|"Silk Road Rising creates live theatre and online videos that tell stories through primarily Asian American and Middle Eastern American lenses In representing communities that intersect and overlap, we advance a polycultural worldview"|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"504407.0000"|""
"01-0709830"|"EDUCATIONAL RESEARCH GROUP"|"1136860"|"The organization is a full service public health educational-based communication, marketing, and research, company, that is comm hed to providing innovative logistical soluters that will educate and advance human health"|"N"|"N"|""|""|""|""|""
"01-0782731"|"HOME SWEETS HOME YOUTH SERVICES, INC"|"1136862"|"Our mission is to provide mentor support services for at risk youth"|"N"|"N"|""|""|""|""|""
"01-0884285"|"CATS LEAGUE AND ASSISTANCE OF WESTERN SLOPE"|"1136865"|"Animal shelter"|"N"|"N"|""|""|""|"111522.0000"|""
"01-0966602"|"JESUS AND MARY HOPE MINISTRY"|"1136866"|"Community service. Educate and unlock potential skills of disadvantaged individuals. Teach conflict resolution techniques to adults and youth. Teach importance of goal setting. Build self esteem. Coordinate with other social organizations"|""|""|""|""|""|"12247.0000"|""
"01-6016268"|"Tardiff Belanger Post #39, The American Legion"|"1136867"|"Services to US Military veterans and their families. Support for local community activities Support for local children and youth"|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"13994.0000"|""
"01-6029434"|"MAINE CHIROPRACTIC ASSOCIATION, INC."|"1136868"|"Conferences and seminars for the continuing education of chiropractor members."|"N"|"N"|""|""|""|"220484.0000"|""
"01-0178800"|"MID-MAINE CHAMBER OF COMMERCE"|"1136839"|"All program services consist of various activities designed to promote the Mid-Maine area. Thereby increasing the potential market for area businesses"|"N"|"N"|""|""|""|"115542.0000"|""
"01-0202445"|"Grindstone Association"|"1136840"|"Social club"|"N"|"N"|""|""|""|"304371.0000"|""
"01-0226382"|"MAINE OSTEOPATHIC ASSOCIATION"|"1136841"|"The mission of the Maine Osteopathic Association is to promote the continued growth of the osteopathic profession by means of education, seminars and publications. The association serves approximately 405 members."|"N"|"N"|""|""|""|"239832.0000"|""
"01-0280430"|"Fort Kent Housing, Inc"|"1136842"|"TO provide housing for elderly residents of Fort Kent, Maine"|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"111161.0000"|""
"01-0332352"|"PATTEN HOUSING CORPORATION"|"1136844"|"Low income senior citizen housing"|"N"|"N"|""|""|""|"212273.0000"|""
"01-0363316"|"OAKFIELD HOUSING CORPORATION"|"1136845"|"Low Income Elderly Housing"|"N"|"N"|""|""|""|"256234.0000"|""
"01-0365386"|"ISLAND FALLS HOUSING CORPORATION"|"1136846"|"Low income senior citizen housing"|"N"|"N"|""|""|""|""|""
"01-0375377"|"ALLAGASH DEVELOPMENT CORPORATION"|"1136847"|"To provide low income housing"|"N"|"N"|""|""|""|"0.0000"|""
"01-0412221"|"Maine Council of Self Insurers"|"1136848"|"MCSI's primary purpose is to advocate the interest of self-insured employers for Workers Compensation in the state of Maine, and to provide education services for its members."|"N"|"N"|""|""|""|""|""
"01-0440702"|"Aroundell Cemetery Corp."|"1136849"|"To provide in perpetuity a rentaller resting place for replaced and ceinture of Kennebunkport, Maine"|"N"|"N"|""|""|""|""|""
"01-0561114"|"POST TRANSPLANT FOUNDATION"|"1136851"|"Maintain we site and provide other educational materials describing information of value to Post-Transplant patients and others who want to learn more about Post-Transplant conditions."|"N"|"N"|""|""|""|"1734.0000"|""
"01-0582371"|"SUNSHINE SOCIAL SERVICES, INC"|"1136853"|"To provide critical life assistance and professional mental health services with an emphasis on economically disadvantaged, marginalized youth, and senior adults in the greater South Florida metropolitan area"|"N"|"N"|""|"56244.0000"|""|"682028.0000"|"Y"
"01-6157155"|"SANFORD SPRINGVALE MOUSAMWAY LAND TRUST"|"1136869"|"Preserve open space for public use, and wildlife habitat, educate the public about the need for conservation. Convict scientific research for best management practices."|"N"|"N"|""|"549.0000"|""|"2098.0000"|"Y"
"02-0213403"|"VETERANS OF FOREIGN WARS OF THE US VFS-NH"|"1136871"|"Support of VFW programs through district and state departments as well as community projects and activities"|"N"|"N"|""|""|""|""|""
"01-0207850"|"AMERICAN LEGION GROVER EINCKLEY POST 14"|"1139794"|"Veterans meeting hall"|"N"|"N"|""|""|""|"109378.0000"|""
"01-0227132"|"LE PARESSEUX INC."|"1139795"|"Operation of social room for members and guests with a beano night."|"N"|"N"|""|"18426.0000"|""|""|""
"01-0266549"|"KENNEBEC VALLEY HUMANE SOCIETY"|"1139796"|"To care for, protect and place animals for adoption in lifelong homes, and to prevent cruelty to animals by educating our community in the proper and humane care of animals."|"N"|"N"|""|""|""|"297231.0000"|""
"01-0313213"|"York Golf & Tennis Club"|"1139797"|"Member Golf & Tennis Club"|"N"|"N"|""|""|""|""|""
"01-0317698"|"CALAIS METHODIST HOME, INC"|"1139798"|"Subsidized low income housing"|"N"|"N"|""|""|""|"690041.0000"|""
"01-0367791"|"UNITED PEJEPSCOT HOUSING. INC"|"1139799"|"Providing income based goverment assisted housing for 12-months"|"N"|"N"|""|""|""|"738065.0000"|""
"01-0377632"|"Maine Hamess Horsemen.s Association"|"1139800"|"Promote the welfare of Harness Rcaing in the State of maine"|"N"|"N"|""|""|""|""|""
"01-0494342"|"Woodie Wheaton Land Trust"|"1139802"|"Land Conservation"|"N"|"N"|""|""|""|"31839.0000"|""
"01-0517028"|"CMP DEATH BENFIT VEBA TRUST"|"1139803"|"Funds self-insured death benefits plan"|"N"|"N"|""|""|""|""|""
"01-0517029"|"CMP PRM UNION VEBA TRUST"|"1139804"|"Funds self-insured medical plan for union members"|"N"|"N"|""|""|""|""|""
"01-0517035"|"CMP PRM NON-UNION VEBA TRUST"|"1139805"|"Funds self-insured medical plan for Non-Union members"|"N"|"N"|""|""|""|""|""
"01-0528754"|"THE OPERA HOUSE AT BOOTHBAY HARBOR"|"1139806"|"The organization's misssion is to provide a community arts center dedicated to the presentation of quality programs and the preservation of the historic Boothbay Harbor Opera House for the enrichment of the community."|"N"|"N"|""|""|""|"317644.0000"|""
"01-0558388"|"The Link"|"1139807"|"To ensure assessment driven preventions and intervention services for at-risk youth and their families."|"N"|"N"|""|""|""|"157181.0000"|""
"01-0583485"|"South Martin Conservation Alliance, Inc"|"1139808"|"South Ma/tin Conservation Alliance, Inc was formed topreserve ecologically significant undeveloped lands located in Martin County, Florida for their natural state"|"N"|"N"|"0.0000"|"0.0000"|""|"0.0000"|""
"01-0654140"|"Clark Shores Water Corporation"|"1139809"|"provide drinking water"|"N"|"N"|""|""|""|""|"Y"
"01-0764731"|"Texas County Museum of Art and History"|"1139811"|""|""|""|""|""|""|""|""
"01-0774338"|"North Ridgeville Amateur Soccer League"|"1139812"|"Youth amateur athletic soccer program."|"N"|"N"|""|""|""|"126827.0000"|""
"01-0783423"|"VISION COMMUNICATIONS INTERNATIONAL"|"1139813"|"Vision Communications is the creative and fundraising source for Christian television programming to be produced and aired across the middle East, Europe and North America. It also sponsors humanitarian aid projects in middle eastern countries."|"Y"|"N"|""|""|""|"573617.0000"|"Y"
"01-0784332"|"SECKMAN ICE HOCKEY CLUB"|"1139814"|"Seckman Ice Hockey Club qperates outh hockey teams. Varsity, Junior Varejty. a benefit moral improvement and physical advancement of the participants."|"N"|"N"|""|""|""|""|"Y"
