"C_EIN"|"C_Org_Name"|"OTHER_FACILITY_ID"|"XML_DOCUMENT_ID"|"OTHER_FAC_NAME"|"OTHER_FAC_STREET"|"OTHER_FAC_CITY"|"OTHER_FAC_STATE"|"OTHER_FAC_COUNTRY"|"OTHER_FAC_ZIP"|"OTHER_FAC_TYPE"
"01-0130427"|"BRIDGTON HOSPITAL"|"21324"|"1192039"|"NORTHERN BRIDGTON FAMILY PRACTICE"|"14 WYONEGONIC ROAD"|"BRIDGTON"|"ME"|"USA"|"04009"|"OUTPATIENT PHYSICIANCLINIC"
"01-0130427"|"BRIDGTON HOSPITAL"|"21325"|"1192039"|"BRIDGTON OBGYN"|"15 HOSPITALDRIVE BUILDING B"|"BRIDGTON"|"ME"|"USA"|"04009"|"OUTPATIENT PHYSICIANCLINIC"
"01-0130427"|"BRIDGTON HOSPITAL"|"21326"|"1192039"|"CENTRALMAINEGASTROENTEROLOGY"|"15 HOSPITALDRIVE BUILDING B"|"BRIDGTON"|"ME"|"USA"|"04009"|"OUTPATIENT PHYSICIANCLINIC"
"01-0130427"|"BRIDGTON HOSPITAL"|"21327"|"1192039"|"BRIDGTON PEDIATRICS"|"25 HOSPITALDRIVE"|"BRIDGTON"|"ME"|"USA"|"04009"|"OUTPATIENT PHYSICIANCLINIC"
"01-0130427"|"BRIDGTON HOSPITAL"|"21328"|"1192039"|"BRIDGTON INTERNALMEDICINE"|"25 HOSPITALDRIVE"|"BRIDGTON"|"ME"|"USA"|"04009"|"OUTPATIENT PHYSICIANCLINIC"
"01-0130427"|"BRIDGTON HOSPITAL"|"21329"|"1192039"|"BRIDGTON ORTHOPEDICS"|"25 HOSPITALDRIVE"|"BRIDGTON"|"ME"|"USA"|"04009"|"OUTPATIENT PHYSICIANCLINIC"
"01-0130427"|"BRIDGTON HOSPITAL"|"21330"|"1192039"|"BRIDGTON SURGICAL SPECIALISTS"|"25 HOSPITALDRIVE"|"BRIDGTON"|"ME"|"USA"|"04009"|"OUTPATIENT PHYSICIANCLINIC"
"01-0130427"|"BRIDGTON HOSPITAL"|"21331"|"1192039"|"FRYEBURG FAMILY MEDICINE"|"253 BRIDGTON ROAD"|"FRYEBURG"|"ME"|"USA"|"04037"|"OUTPATIENT PHYSICIANCLINIC"
"01-0130427"|"BRIDGTON HOSPITAL"|"21332"|"1192039"|"NAPLES FAMILY PRACTICE"|"410 ROOSEVELT TRAIL"|"NAPLES"|"ME"|"USA"|"04055"|"OUTPATIENT PHYSICIANCLINIC"
"01-0215227"|"RUMFORD HOSPITAL"|"21333"|"1192042"|"DIXFIELD CLINIC"|"146 WEL STREET"|"DIXFIELD"|"ME"|"USA"|"04224"|"OUTPATIENT PHYSICIANCLINIC"
"01-0215227"|"RUMFORD HOSPITAL"|"21334"|"1192042"|"SWIFT RIVERCLINIC"|"430 FRANKLIN STREET"|"RUMFORD"|"ME"|"USA"|"04276"|"OUTPATIENT PHYSICIANCLINIC"
"01-0215227"|"RUMFORD HOSPITAL"|"21335"|"1192042"|"RIVER VALLEY INTERNAL MEDICINE"|"431 FRANKLIN STREET"|"RUMFORD"|"ME"|"USA"|"04276"|"OUTPATIENT PHYSICIANCLINIC"
"01-0215227"|"RUMFORD HOSPITAL"|"21336"|"1192042"|"RUMFORD SPECIALTY SUITES"|"431 FRANKLIN STREET"|"RUMFORD"|"ME"|"USA"|"04276"|"OUTPATIENT PHYSICIANCLINIC"
"01-0215227"|"RUMFORD HOSPITAL"|"21337"|"1192042"|"RUMFORD SURGICAL SPECIALISTS"|"431 FRANKLIN STREET"|"RUMFORD"|"ME"|"USA"|"04276"|"OUTPATIENT PHYSICIANCLINIC"
"01-0212444"|"York Hospital"|"21762"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21763"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21764"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21765"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21766"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21767"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21768"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21769"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21770"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21771"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21772"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21773"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21774"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21775"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21776"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21777"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21778"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21779"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21780"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21781"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21782"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0212444"|"York Hospital"|"21783"|"1200790"|"Heart Health InstituteOncologyPT"|"127 Long Sands Road"|"York"|"ME"|"USA"|"03909"|"General Medical & Surgical"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"24890"|"1260110"|"Blue Hill Cardiology"|"65 Water Street"|"Blue Hill"|"ME"|"USA"|"04614"|"Physician Offices"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"24891"|"1260110"|"Island Family Medicine"|"354 Airport Road"|"Stonington"|"ME"|"USA"|"04681"|"Physician Offices"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"24892"|"1260110"|"Castine Community Health Services"|"102 Court Street"|"Castine"|"ME"|"USA"|"04421"|"Physician Offices"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"24893"|"1260110"|"Bucksport Family Medicine"|"58 Main Street"|"Bucksport"|"ME"|"USA"|"04416"|"Physician Offices"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"24894"|"1260110"|"Blue Hill Women's Healthcare"|"65 Water Street"|"Blue Hill"|"ME"|"USA"|"04614"|"Physician Offices"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"24895"|"1260110"|"Blue Hill Specialty Services"|"65 Water Street"|"Blue Hill"|"ME"|"USA"|"04614"|"Physician Offices"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"24896"|"1260110"|"Blue Hill Orthopedics"|"65 Water Street"|"Blue Hill"|"ME"|"USA"|"04614"|"Physician Offices"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"24897"|"1260110"|"Blue Hill Family Medicine"|"65 Water Street"|"Blue Hill"|"ME"|"USA"|"04614"|"Physician Offices"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25000"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25001"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25002"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25003"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25004"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25005"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25006"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25007"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25008"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25009"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25010"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25011"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25012"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25013"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25014"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25015"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25016"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25017"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25018"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25019"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25020"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25021"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25022"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25023"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25024"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25025"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25026"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25027"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25028"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25029"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25030"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25031"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25032"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25033"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25034"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25035"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25036"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25037"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25038"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"25039"|"1266701"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0217211"|"INLAND HOSPITAL"|"25040"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25041"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25042"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25043"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25044"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25045"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25046"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25047"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25048"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25049"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25050"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25051"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25052"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25053"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25054"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25055"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25056"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25057"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25058"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"25059"|"1266702"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0372148"|"THE AROOSTOOK MEDICAL CENTER"|"22260"|"1298332"|"ORTHOPEDICS & SPORTS MEDICINE"|"140 ACADEMY STREET STE 9"|"PRESQUE ISLE"|"ME"|"USA"|"04769"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0372148"|"THE AROOSTOOK MEDICAL CENTER"|"22261"|"1298332"|"GENERAL & VASCULAR SURGERY CTR"|"146 ACADEMY STREET STE 1A"|"PRESQUE ISLE"|"ME"|"USA"|"04769"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0372148"|"THE AROOSTOOK MEDICAL CENTER"|"22262"|"1298332"|"FAMILY PRACTICE & INTERNAL MEDICINE"|"23 NORTH STREET STE 4"|"PRESQUE ISLE"|"ME"|"USA"|"04769"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0372148"|"THE AROOSTOOK MEDICAL CENTER"|"22263"|"1298332"|"OB/GYN MIDWIFERY SERVICES"|"140 ACADEMY STREET STE 4"|"PRESQUE ISLE"|"ME"|"USA"|"04769"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0372148"|"THE AROOSTOOK MEDICAL CENTER"|"22264"|"1298332"|"AROOSTOOK PEDIATRICS"|"23 NORTH STREET STE 1"|"PRESQUE ISLE"|"ME"|"USA"|"04769"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0372148"|"THE AROOSTOOK MEDICAL CENTER"|"22265"|"1298332"|"SLEEP MEDICINE SERVICES"|"140 ACADEMY STREET STE 2 & 3"|"PRESQUE ISLE"|"ME"|"USA"|"04769"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0372148"|"THE AROOSTOOK MEDICAL CENTER"|"22266"|"1298332"|"AROOSTOOK CANCER CARE"|"140 ACADEMY STREET"|"PRESQUE ISLE"|"ME"|"USA"|"04769"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0372148"|"THE AROOSTOOK MEDICAL CENTER"|"22267"|"1298332"|"RADIATION ONCOLOGY"|"140 ACADEMY STREET"|"PRESQUE ISLE"|"ME"|"USA"|"04769"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0372148"|"THE AROOSTOOK MEDICAL CENTER"|"22268"|"1298332"|"AROOSTOOK HEALTH CENTER"|"15 HIGHLAND AVENUE"|"MARS HILL"|"ME"|"USA"|"04758"|"NURSING HOME, OUTPATIENT CLINIC"
"01-0372148"|"THE AROOSTOOK MEDICAL CENTER"|"22269"|"1298332"|"FORT FAIRFIELD HEALTH CENTER"|"23 HIGH STREET"|"FORT FAIRFIELD"|"ME"|"USA"|"04742"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0372148"|"THE AROOSTOOK MEDICAL CENTER"|"22270"|"1298332"|"OUTPATIENT SPECIALTY CLINICS"|"146 ACADEMY STREET STE 1C"|"PRESQUE ISLE"|"ME"|"USA"|"04769"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0372148"|"THE AROOSTOOK MEDICAL CENTER"|"22271"|"1298332"|"WALK IN CARE"|"23 NORTH STREET STE 2"|"PRESQUE ISLE"|"ME"|"USA"|"04769"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0372148"|"THE AROOSTOOK MEDICAL CENTER"|"22272"|"1298332"|"AROOSTOOK HEART & LUNG CENTER"|"146 ACADEMY STREET STE B"|"PRESQUE ISLE"|"ME"|"USA"|"04769"|"OUTPATIENT PHYSICIAN CLINIC"
