"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOTAL_EXPENSES"
"01-0920922"|"MIGHTY WRITERS"|"902683"|""
"01-0932008"|"A A PLUS"|"902684"|""
"01-6012835"|"ISLANDS COMMUNITY MEDICAL SERVICES"|"902686"|"1547685.0000"
"01-0056837"|"EASTERN MAINE ELECTRIC COOPERATIVE INC"|"905416"|"7822766.0000"
"01-0145138"|"PROUTS NECK YACHT CLUB"|"905417"|""
"01-0212541"|"Animal Refuge League"|"905418"|"1676406.0000"
"01-0451441"|"NEW LIFE MISSION"|"905420"|""
"01-0472641"|"RANGELEY LAKES HERITAGE TRUSTINC"|"905421"|"590403.0000"
"01-0506743"|"SANDCASTLE CLINICAL AND EDUCATIONAL SERVICES"|"905423"|""
"01-0522241"|"ECOLOGY EDUCATION INC"|"905424"|""
"01-0547336"|"NORTHERN LIGHTHOUSE"|"905425"|""
"01-0570543"|"EAST ARKANSAS ENTERPRISE COMMUNITY"|"905426"|"920511.0000"
"01-0654140"|"Clark Shores Water Corporation"|"905427"|""
"01-0769341"|"PARENTS OF AUTISTIC CHILDREN OF NORTHERN VIRGINIA"|"905428"|""
"01-0772839"|"Homes of Hope Inc"|"905429"|""
"01-0779341"|"CHOICES FOR COMMUNITY LIVING-DELAWARE INC"|"905430"|"3494423.0000"
"01-0794834"|"INT'L SOCIETY FOR AUTISM RESEARCH"|"905431"|""
"01-0859843"|"National Museum of World War II Aviation Inc"|"905432"|""
"01-0861643"|"PUTNAM LAND CONSERVANCY INC"|"905433"|""
"01-6133041"|"MAINE FINANCIAL INSTITUTIONS EMPLOYEE BENEFITS TRUST"|"905434"|"23478698.0000"
"02-0144343"|"HAMPTON AREA CHAMBER OF COMMERCE"|"905435"|""
"01-0461436"|"THE GENESIS FUND"|"907371"|"523621.0000"
"01-0211539"|"PATTEN FREE LIBRARY"|"907773"|"739693.0000"
"02-0241839"|"NEW HAMPSHIRE A.F.L. - C.I.O."|"907775"|"419018.0000"
"02-0208444"|"AMERICAN LEGION POST #21"|"907828"|""
"01-0768932"|"BROKEN WALLS INTERNATIONAL INC"|"908151"|""
"01-0883506"|"NEW MEXICO YOUTH TENNIS FOUNDATION"|"908152"|""
"01-0729039"|"NORTHEAST WILDERNESS TRUST CORPORATION"|"908405"|""
"01-0243548"|"HAYSTACK MOUNTAIN SCHOOL OF CRAFTS"|"908622"|"1580141.0000"
"01-0211551"|"ST MARY'S REGIONAL MEDICAL CENTER"|"908689"|"153001094.0000"
"01-0329748"|"WALDOBORO PUBLIC LIBRARY"|"908690"|""
"01-0365454"|"YORK COUNTY FISH & GAME ASSOCIATION INC"|"908691"|""
"01-0442447"|"STATE RISK & INSURANCE MANAGEMENT ASSOCIATION"|"908693"|""
"01-0444245"|"MAINESHARE"|"908694"|"166220.0000"
"01-0476545"|"COASTAL MAINE BOTANICAL GARDENSINC"|"908695"|"2489906.0000"
"01-0485254"|"WILHELM REICH INFANT TRUST CORP"|"908696"|""
"01-0574950"|"THE AKSHAYA PATRA FOUNDATION (USA)"|"908697"|""
"01-0777850"|"OPERATION HOMEFRONT MO & & SOUTHWEST ILL INC"|"908701"|"5966371.0000"
"01-0781452"|"NASHVILLE RBI INC"|"908703"|""
"01-0791649"|"THE PROMISED LAND FOUNDATION INC"|"908704"|""
"01-0870248"|"FAMILIES OF SLAIN CHILDREN INCORPORATED"|"908705"|""
"01-6015947"|"Camden Public Library Maintenance Fund"|"908706"|""
"01-6018651"|"AMERICAN LEGION POST 0068"|"908707"|""
"01-0201854"|"AMERICAN LEGION POST # 40"|"910588"|""
"01-0367546"|"THE HOUSING FOUNDATION-DISP"|"910589"|"460010.0000"
"01-0452749"|"FISH RIVER RURAL HEALTH"|"910590"|"2631753.0000"
"01-0282853"|"BANGOR HISTORICAL SOCIETY"|"911064"|""
"01-0445046"|"Maine Association of Realtors Foundation"|"911065"|""
"01-0595647"|"K-9 PLACEMENT & ASSISTANCE LEAGUE"|"911066"|""
"01-0783649"|"Outreach Farm Inc"|"911067"|""
"01-0888448"|"ANGELES COMPREHENSIVE COMMUNITY CLINIC INC"|"911068"|""
"02-0222247"|"KEENE YOUNG MEN'S CHRISTIAN ASSOCIATION"|"911069"|"1678577.0000"
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"912007"|"10993145.0000"
"01-0212545"|"MAINE STATE SOCIETY FOR THE PROTECTION OF ANIMALS"|"912257"|"1204633.0000"
"01-0313050"|"FIRST PARISH CEMETERY ASSOC-YORK"|"912258"|""
"01-0342353"|"FALMOUTH ELDERLY HOUSING CORPORATION"|"912259"|"199923.0000"
"01-0354752"|"Lincolnville Volunteer Fire Department"|"912260"|""
"01-0514750"|"PENOBSCOT COMMUNITY HEALTH CENTER"|"912261"|"46377355.0000"
"01-0627754"|"CLEVELAND ARTS PRIZE"|"912262"|""
"01-0681650"|"VIRGINIA STATE UNIVERSITY REAL ESTATE FOUNDATION"|"912263"|"3263280.0000"
"01-0266854"|"ELMHURST INC"|"913091"|""
"01-0353352"|"NEW MARBLEHEAD SENIORS HOUSING CORP"|"913246"|"217879.0000"
"01-0217861"|"SWANS ISLAND ELECTRIC COOPERATIVE INC P O BOX 14"|"913662"|""
"01-0267392"|"Maine Children's Home for Little Wanderers"|"913663"|"1682130.0000"
"01-0271477"|"Maine Maritime Museum"|"913664"|"1921487.0000"
"01-0280483"|"Maine Pulp & Paper Association"|"913665"|""
"01-0346779"|"NORRIDGEWOCK HOUSING CORPORATION"|"913666"|"166558.0000"
"01-0360869"|"Maine Innkeepers Association, Inc."|"913667"|""
"01-0367056"|"MANCHESTER HOUSING FOR THE ELDERLY"|"913668"|"186439.0000"
"01-0370385"|"FRANKLIN COUNTY CHILDREN'S TASK FORCEINC"|"913669"|""
"01-0380271"|"WESTMAN VILLAGE INC"|"913670"|""
"01-0425010"|"Camp Runora Alumnae Organization"|"913671"|""
"01-0458555"|"SCARBOROUGH FISH & GAME ASSOCIATION"|"913672"|""
"01-0490759"|"PARENTS AGAINST TIRED TRUCKERS"|"913673"|"207169.0000"
"01-0509087"|"HALL-DALE AFTER SCHOOL PROGRAM"|"913674"|""
"01-0511656"|"UNITY BARN RAISERS INC"|"913675"|""
"01-0523390"|"Senator George J Mitchell Scholarship Research Institute"|"913676"|"1496585.0000"
"01-0524769"|"Greater Franklin Development Corporation"|"913677"|""
"01-0541597"|"Maine Traditional Music Association"|"913678"|""
"01-0548371"|"MUSLIM LEGAL FUND OF AMERICA"|"913680"|""
"01-0554374"|"THE PENINSULA COMMUNITY FOUNDATION"|"913682"|""
"01-0562689"|"Triangle Lightning"|"913684"|""
"01-0569069"|"Colchester Football Booster Assoc"|"913685"|""
"01-0619670"|"FOUNDATION FOR THE CHALLENGED"|"913686"|""
"01-0651059"|"DAIRY INDUSTRY ENVIRONMENTAL COALITION"|"913687"|""
"01-0652065"|"THE CAMPUS THEATRE LTD"|"913688"|""
"01-0656156"|"American College of Bankruptcy Foundation"|"913689"|"118466.0000"
"01-0695292"|"SOWERS OF THE HARVEST MINISTRIES, INC."|"913690"|""
"01-0745483"|"DOROTHY'S SOFT TOUCH CORP"|"913691"|""
"01-0746862"|"WINDUSTRY"|"913692"|"831446.0000"
"01-0775286"|"CAMBRIDGEGUERNSEY COUNTY VISITORS & CONVENTION BUREAU"|"913694"|""
"01-0793986"|"PROPEL, Inc."|"913695"|""
"01-0817065"|"STRATEGIC MARKETPLACE INITIATIVE"|"913696"|"966268.0000"
"01-0838477"|"SOUTHERN IOWA COG HOUSING TRUST FUN"|"913698"|"65012.0000"
"01-0842491"|"Old Rochester Community Television Inc"|"913699"|"303451.0000"
"01-0855170"|"Catholic Christians Defending Christ & His Church"|"913700"|""
"01-0863576"|"JANICE BARNETT MINISTRIES INC"|"913701"|""
"01-0870672"|"El Sol, Jupiter's Neighborhood Resource"|"913702"|"438909.0000"
"01-0891955"|"COALITION AGAINST DOMAIN NAME ABUSE INC"|"913703"|""
"01-0893778"|"WILLMAR AREA MULTICULTURAL MARKET"|"913704"|""
"01-0917763"|"CAROLINA CHRISTIAN FOUNDATION INC"|"913706"|""
"01-0925282"|"HERO House"|"913707"|"453280.0000"
"01-6013463"|"EVERGREEN CEMETERY ASSN"|"913709"|""
"01-6013593"|"Telephone Association of Maine"|"913710"|""
"01-6020566"|"WALDO COMMUNITY ACTION PARTNERS"|"913712"|"6496628.0000"
"01-6045966"|"SOUTH PORTLAND HISTORICAL SOCIETY"|"913713"|""
"01-6241467"|"UNITED ASSOCIATION SCHOLARSHIP TRUST"|"913714"|"439235.0000"
"01-0215910"|"Bangor Humane Society"|"918503"|""
"01-0369255"|"RANGELEY HOUSING DEVELOPMENT CORPORATION"|"918505"|"362355.0000"
"01-0706379"|"WESTBY HOUSING ASSOCIATES INC"|"918509"|"1488121.0000"
"01-6019359"|"BOOTHBAY REGION STUDENT AID FUND, INC."|"918510"|"449601.0000"
"01-0155360"|"MAINE BANKERS ASSOCIATION"|"919979"|"2704683.0000"
"01-0211558"|"ST MARY'S D'YOUVILLE PAVILION"|"919980"|"22598604.0000"
"01-0211567"|"YOUNG MEN'S CHRISTIAN ASSOCIATION OF LEWISTON-AUBURN"|"919981"|"2179708.0000"
"01-0238760"|"BRICK STORE MUSEUM INC"|"919982"|""
"01-0414169"|"THE WOODLANDS CLUB"|"919983"|"6473965.0000"
"01-0415961"|"VETERANS FOR PEACE INC"|"919984"|""
"01-0419157"|"Eastport Youth Associaton"|"919985"|""
"01-0430464"|"NORTHERN NEW ENGLAND CONCRETE PROMOTION ASSOCIATION"|"919987"|""
"01-0446468"|"Kennebec Estuary Land Trust"|"919988"|""
"01-0455163"|"SAMOSET FIRE COMPANY OF BRISTOL BRISTOL FIRE AND RESCUE"|"919989"|""
"01-0496258"|"Maine Life Care Retirement Community Inc"|"919990"|"15207268.0000"
"01-0504257"|"MUSEUM L-A"|"919991"|""
"01-0527664"|"HOWELL HOUSE"|"919992"|""
"01-0674962"|"SHINER NURSING & REHAB CENTER INC"|"919994"|"4105128.0000"
"01-0736958"|"Jersey Agility Association of Central New Jersey"|"919995"|""
"01-0749557"|"SEACOAST GOLF ACADEMY INC"|"919996"|""
"01-0771966"|"Fibromuscular Dysplasia Society of Amen"|"919997"|""
"01-0909860"|"COMMUNITY CONNECTIONS OF NY INC"|"919999"|"3336466.0000"
"02-0206110"|"THE WORKINGMENS RELIEF SOCIETY OF MANCHESTER NH"|"920001"|""
"01-0245261"|"ERSKINE ACADEMY"|"923560"|"7074344.0000"
"01-0283465"|"WATERVILLE AREA YMCA"|"923562"|"968008.0000"
"01-0746064"|"The Laurel Park Community Boosters Club"|"923565"|""
"01-0425071"|"Friends of Acadia"|"924346"|"2748028.0000"
"01-0621770"|"HANDS OF HOPE MINISTRIES INC"|"924347"|""
"01-0671672"|"CNLTV"|"924348"|""
"01-0679073"|"PARKER COUNTY HEALTH FOUNDATION"|"924349"|""
"01-0705972"|"HONEOYE FISH & GAME CLUB INC"|"924351"|""
"01-0771671"|"SUB-SAHARAN AFRICAN YOUTH AND FAMIL"|"924352"|""
"01-0448173"|"CENTER FOR TEACHING AND LEARNING"|"925602"|"812709.0000"
"01-0606871"|"The House Next Door Family Foundation"|"925603"|""
"01-0186375"|"YORK HARBOR READING ROOM"|"925873"|""
"01-0275875"|"METHODIST CONFERENCE HOME INC"|"925874"|""
"01-0461075"|"MARIAN MOVEMENT OF PRIESTS"|"925875"|""
"01-0495974"|"ACADIA WILDLIFE FOUNDATION"|"925876"|""
"01-0628076"|"GIRLS ON THE RUN OF SILICON VALLEY INC"|"925877"|""
"01-0755874"|"MANZANO MOUNTAIN EARLY LEARNING CENTER"|"925878"|""
"01-0403876"|"NEWBURGH SENIORS' HOUSING CORPORATION- PERSISTENCE"|"927223"|"231843.0000"
"01-0029480"|"BIDDEFORD-SACO CHAMBER OF COMMERCE"|"928312"|""
"01-0213979"|"EASTPORT MEMORIAL HOSPITAL"|"928313"|""
"01-0271579"|"SOUTHWEST HARBOR-TREMONT NURSING SERVICE INC"|"928314"|""
"01-0363879"|"Pinewood Manor Inc"|"928315"|"704028.0000"
"01-0478281"|"FRIENDS OF FORT KNOX"|"928316"|""
"01-0533179"|"FREEMAN FOREST HOUSING CORP"|"928317"|"240964.0000"
"01-0540180"|"Hospice of Southern Maine"|"928318"|"8817774.0000"
"01-0602578"|"VISION 21 LEARNING CENTER INC"|"928319"|""
"01-0692980"|"PROMISE MINISTRIES"|"928320"|""
"01-0693679"|"LONG ISLAND MEDICAL FOUNDATION INC"|"928321"|"761213.0000"
"01-0777882"|"COMMUNITY HOUSING III INC"|"928322"|"199315.0000"
"01-6162280"|"King-Thomas Scholarship Trust"|"928323"|""
"01-0043285"|"ANDROSCOGGIN COUNTY CHAMBER OF COMMERCE"|"930296"|""
"01-0211489"|"KATAHDIN AREA COUNCIL BOY SCOUTS OF AMERICA INC"|"930297"|"1124280.0000"
"01-0227184"|"ANDROSCOGGIN HOME HEALTH SERVICES INC"|"930298"|"25630535.0000"
"01-0267988"|"BRISTOL AREAL LIBRARY ASSOCIATION"|"930299"|""
"01-0422885"|"Alternative Health Services"|"930301"|"1877827.0000"
"01-0517984"|"CENTER FOR FURNITURE CRAFTSMANSHIP"|"930302"|"1151303.0000"
"01-0523789"|"PARK STREET HOME"|"930303"|""
"01-0573988"|"PROGRESSIVE ARTS ALLIANCE INCORPORATED"|"930304"|"389463.0000"
"01-0598889"|"A LITTLE HOPE INC"|"930306"|"794571.0000"
"02-0216783"|"NEW HAMPSHIRE LODGING AND RESTAURANT ASSOCIATION"|"930310"|""
"01-0211488"|"Trustees of Bloomfield Academy"|"931359"|""
"01-0196194"|"MAINE STATE CREDIT UNION"|"931593"|"13305878.0000"
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"931594"|"2034202.0000"
"01-0371194"|"WILLOWBROOK AT NEWFIELD RESTORATION VILLAGE"|"931595"|""
"01-0531093"|"HOMELESS ANIMAL RESCUE TEAM OF MAINE INC"|"931596"|""
"01-0601585"|"OWEN HOUSE LTD"|"931597"|"61177.0000"
"01-0735690"|"TEXAS CHAPTER OF THE AMERICAN ASSOCIATION OF CLINICAL ENDOCRINOLOGISTS"|"931598"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"931599"|""
"01-6004194"|"FERRY BEACH PARK ASSOCIATION"|"931600"|"1077167.0000"
"02-0211990"|"AMERICAN LEGION CLUB WHITEMAN-DAVIDSON P"|"931602"|""
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE"|"932872"|"2070969.0000"
"01-0206386"|"BLUE HILL COUNTRY CLUB INC"|"933174"|""
"01-0211791"|"Seventy-Five State Street"|"933175"|"5433698.0000"
"01-0274998"|"Mount St Joseph"|"933176"|"11192506.0000"
"01-0315296"|"AVESTA HOUSING DEVELOPMENT CORPORATION"|"933177"|""
"01-0317899"|"DOVER-FOXCROFT HOUSING DEVELOPMENT CORPORATION"|"933178"|"454869.0000"
"01-0361797"|"SEBAGO LAKES REGION CHAMBER OF COMMERCE"|"933179"|""
"01-0383493"|"MAINE PEOPLE'S ALLIANCE"|"933180"|""
"01-0456895"|"MOUNT AUBURN CEMETERY CORP"|"933181"|""
"01-0503294"|"MCKEEN STREET LEARNING CENTER"|"933182"|""
"01-0535494"|"GULF OF MAINE LOBSTER FOUNDATION"|"933183"|"742665.0000"
"01-0601798"|"US GREEN BUILDING COUNCIL NY CHAPTER"|"933184"|""
"01-0670794"|"Together Enhancing Autism Awareness in Mississippi"|"933185"|""
"01-0672893"|"CONSTANTINO BRUMIDI LODGE # 2 SONS OF ITALY"|"933186"|""
"01-0674195"|"CYPRESS LANDING GOLF CLUB INC"|"933187"|"1197334.0000"
"01-0774996"|"MAD DADS"|"933188"|""
"01-0815275"|"Y'SHUA OUTREACH MINISTRIES"|"933189"|""
"01-0961799"|"HOPE BUILDERS INTERNATIONAL"|"933190"|"543575.0000"
"01-0967495"|"HEART OF RESCUE"|"933191"|""
"01-0274898"|"HOPE ASSOCIATION"|"935532"|"2444346.0000"
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC"|"935533"|""
"01-0469196"|"University of Maine at Fort Kent Foundation"|"935534"|""
"01-0533796"|"The Maine Special Education Mental Health Collaborative"|"935536"|"2823755.0000"
"01-0593099"|"PENSACOLA BEACH ELEMENTARY SCHOOL INC"|"935537"|"918995.0000"
"01-0387300"|"VILE ARBORETUM"|"937410"|""
"01-6021200"|"COASTAL HUMANE SOCIETY, INC."|"937411"|""
"01-0092600"|"HOPE CEMETERY CORPORATION"|"937597"|""
"01-0473601"|"Washington Library Association"|"939310"|""
"01-6020406"|"York County Community Action Corporation"|"939484"|"16516155.0000"
"01-0427323"|"THE GENERAL HENRY KNOX MUSEUM"|"939536"|""
"01-0449907"|"Safe Abortions For Everyone"|"939537"|""
"01-0493123"|"WALDO COUNTY YMCA"|"939538"|"1764231.0000"
"01-0815503"|"PLYMOUTH BAY HOUSING CORPORATION"|"939539"|""
"01-0916403"|"NATIONAL GRASSROOTS ADVOCACY INC"|"939541"|"2043606.0000"
"01-0211807"|"Sweetser"|"940426"|""
"01-0601606"|"American Int'l School of Bamako Foundation"|"940428"|""
"01-0225008"|"FRANKLIN COUNTY AGRICULTURAL"|"942460"|""
"01-0180531"|"WEST OXFORD AGRICULTURAL SOCIETY"|"942557"|""
"01-0269009"|"GREATER PORTLAND BOARD OF REALTORS"|"942558"|""
"01-0566012"|"ANAHUAK YOUTH SOCCER ASSOCIATION"|"942560"|""
"01-0566111"|"SCHENECTADY COMMUNITY HOME INC"|"942561"|""
"01-0701611"|"VISION HOPE COMMUNITY DEVELOPMENT"|"942562"|""
"01-0712524"|"SOUTH CAROLINA EQUALTY"|"942563"|""
"01-0759717"|"THE LAZARUS PROJECT Inc"|"942564"|"875824.0000"
"01-0786312"|"Missouri Valley Eclipse Amateur Athletic Club"|"942565"|""
"02-0214113"|"AMERICAN LEGION POST #69"|"942566"|""
"01-0165110"|"MAINE TOURISM ASSOCIATION"|"943760"|""
"01-0406611"|"PLEASANT STREET HOUSING INC"|"943763"|"211291.0000"
"01-0443318"|"Blue Hill Fire Company"|"943764"|""
"01-0532411"|"Maine Space Grant Consortium"|"943765"|"1650952.0000"
"01-0488811"|"MAINE STATE GOLF ASSOCIATION INC"|"944726"|""
"01-0650805"|"KOAL TO DIAMOND"|"944727"|""
"01-0662412"|"WEST BARTOW FRONT PORCH REVITALIZATION C"|"944728"|""
"01-0748205"|"THE FRIENDS OF THALAMUS"|"944729"|""
"01-0851113"|"LIFELINX CORPORATION"|"944730"|""
"01-0022415"|"Kennebec Valley Chamber of Commerce"|"945409"|""
"01-0516517"|"Senior Needs Committee of Wells and Ogunquit"|"945410"|"188924.0000"
"01-0211517"|"Cedars Nursing Care Center"|"946082"|"11226403.0000"
"01-0868717"|"H E L P MINISTRIES, INC"|"946084"|""
"02-0172115"|"ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ VALLEY OF NASHUA CONSISTORY"|"946086"|""
"01-0287022"|"THE THEATER AT MONMOUTH"|"946564"|"412103.0000"
"01-0528831"|"Waterfall Arts"|"946565"|""
"01-0647817"|"IGLESIA PENTPODER DESDE LO ALTO INC"|"946566"|""
"01-0712520"|"SOUTH CAROLINA EQUALITY COALITION"|"946567"|""
"01-0810817"|"THE SCHOOL OF THE IMMACULATA INC"|"946568"|""
"01-0205722"|"Brookside Cemetery Association, Inc."|"947211"|""
"01-0265231"|"UPLIFT INC"|"947212"|"5409533.0000"
"01-0389416"|"Northern Aroostook Alternatives Inc"|"947213"|"1409659.0000"
"01-0603820"|"KALAMAZOO REGIONAL CHAMBER FOUNDATION"|"947215"|""
"01-0274746"|"CENTRAL MAINE BIBLE CONFERENCE"|"947753"|""
"01-0288757"|"Child And Family Opportunities, Inc."|"947754"|"5101862.0000"
"01-0339295"|"MAINE HUMANITIES COUNCIL"|"947755"|"1938835.0000"
"01-0368188"|"SO MAINE EMERGENCY MED SERVICES COUNCIL INC"|"947756"|""
"01-0870395"|"Music Haven, Inc."|"947757"|""
"01-0279387"|"Pine Tree Legal Assistance, Inc."|"947987"|"6676368.0000"
"01-0282197"|"GUILFORD DEVELOPMENT CORPORATION"|"947988"|"342454.0000"
"01-0358743"|"GLENBURN HOUSING CORPORATION"|"947989"|"207760.0000"
"01-0371037"|"UNION COUNTRY CLUB INC"|"947990"|""
"01-0372129"|"NORTH AMERICAN LAKE MANAGEMENT SOCIETY"|"947991"|"563219.0000"
"01-0379498"|"Stanley Museum Inc"|"947992"|""
"01-0379899"|"EAGLE HILL INSTITUTE"|"947993"|""
"01-0441229"|"DOWNEAST AIDS NETWORK INC"|"947995"|""
"01-0468832"|"MUNICIPAL REVIEW COMMITTEE INC"|"947996"|"414674.0000"
"01-0505729"|"FRIENDS OF THE ST LAWRENCE CHURCH"|"947997"|""
"01-0613834"|"HIRES FAMILY RESOURCES INC"|"947999"|""
"01-0628727"|"SUNSET WOODS ASSOCIATION"|"948000"|"145066.0000"
"01-0690378"|"PERRY MENNONITE RECEPTION CENTER"|"948002"|""
"01-0706027"|"MID-SOUTH MINORITY COUNCIL TADP, INC"|"948003"|""
"01-0728655"|"APEX PROFESSIONAL SERVICES"|"948004"|""
"01-0972999"|"LEGACY CONNECTIONS"|"948010"|""
"01-6020038"|"CAMDEN FIRST AID ASSOCIATION"|"948012"|""
"01-0043280"|"Portland Regional Chamber"|"950768"|"1188466.0000"
"01-0216657"|"SANFORD LIBRARY ASSOCIATION, INC."|"950771"|""
"01-0331728"|"PATHWAYS INC"|"950772"|"2014783.0000"
"01-0360256"|"York Public Library"|"950774"|""
"01-0366544"|"COMMONSENSE HOUSING, INC."|"950775"|"3818500.0000"
"01-0485045"|"RANGELEY REGION HEALTH AND WELLNESS PARTNERSHIP"|"950778"|"369311.0000"
"01-0538232"|"Big Rock"|"950780"|""
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"950783"|""
"01-0504725"|"ELDERCARE NETWORK OF LINCOLN COUNTY"|"953093"|"2010231.0000"
"01-0574830"|"NCCNEUMANN SENIOR HOUSING CORPORATION"|"953094"|"860070.0000"
"01-0633329"|"Cambridge Valley Community Development Preservation Partnership Inc"|"953095"|"142346.0000"
"01-6208491"|"SEDGWICK CMS 501(C)(9) WELFARE TRUST"|"953096"|"70345389.0000"
"01-0369891"|"LANDMARK HUMAN RESOURCES, INC"|"954223"|""
"01-0562891"|"Atlantic Cape Family Support Organization, Inc"|"954224"|"616013.0000"
"01-0589882"|"JARED C. BRUCE ACADEMY"|"954225"|"1558810.0000"
"01-0964525"|"Tanque Verde Soccer Club Inc"|"954226"|""
"01-6004866"|"UNITED WAY OF MID COAST MAINE, INC."|"954227"|"1851604.0000"
"01-0574137"|"Yuma-Southwest Contractors Association"|"955134"|""
"01-0598137"|"The Thelma Gaylord Lyric Theate End"|"955135"|""
"01-0661535"|"SD PROPERTIES INC"|"955136"|"257256.0000"
"01-0706736"|"AMERICAN EAGLE LIFECARE CORPORATION"|"955137"|""
"01-0725238"|"LEAD MARYLAND FOUNDATION INC"|"955511"|""
"01-0670943"|"Torrey Pines Pop Warner Inc"|"957369"|""
"01-0388637"|"New England Baptist Bible College"|"957698"|"503424.0000"
"01-0645244"|"HEAD START OF EASTERN ORANGE COUNTY INC"|"958623"|"2890174.0000"
"01-0140290"|"PINE GROVE CEMETERY CORPORATION"|"959379"|""
"01-0376890"|"Pines Health Services"|"959380"|"16102982.0000"
"01-0449348"|"The Cobscook Community Learning Center"|"959381"|""
"01-0488538"|"Maine Association of Nonprofits"|"959382"|"801506.0000"
"01-0516646"|"NORTHWEST ATLANTIC MARINE ALLIANCE INC"|"959383"|""
"01-0588347"|"CPYSC"|"959384"|""
"01-0629345"|"VOLUNTEER CHRISTIAN TELEVISION INC"|"959385"|""
"01-0652445"|"RODNEY STREET TENNIS AND TUTORING ASSOCIATION INC"|"959386"|""
"01-0691450"|"STRATEGIC WORLD IMPACT INC"|"959387"|""
"01-0711547"|"CROSS-GENERATION"|"959388"|"787290.0000"
"01-0883062"|"CHICAGO COMMUNITY LAND TRUST"|"959390"|"260830.0000"
"01-6196051"|"INTERNATIONAL BROTHERHOOD OF TEAMSTERS VOLUNTARY EMPLOYEE BENEFITS TRUST"|"959392"|"27275532.0000"
"01-0380150"|"MECHANIC FALLS DEVELOPMENT COMMISSION"|"960749"|"17676.0000"
"01-0457589"|"MAINE RESOURCE RECOVERY ASSOCIATION"|"960751"|""
"01-0554061"|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|"960752"|"0.0000"
"01-0595845"|"USA SOUTH ATHLETIC CONFERENCE, INC."|"960753"|"333056.0000"
"01-0626449"|"GATEWAY MONTESSORI SCHOOL INC"|"960754"|"404131.0000"
"01-0793953"|"LAKE BOWEN Baptist Church Childcare"|"960755"|""
"02-0156447"|"Fraternal Order of Eagles, Lamprey Aerie #1934"|"960756"|""
"02-0241746"|"COE-BROWN NORTHWOOD ACADEMY"|"960758"|"10122199.0000"
"01-0132580"|"OQUOSSOC ANGLING ASSOCIATION"|"961776"|""
"01-0244457"|"NEW ENGLAND ELECTRIC RAILWAY HISTORICAL SOCIETY"|"961777"|"782000.0000"
"01-0416974"|"FRANNIE PEABODY CENTER"|"961778"|"2580966.0000"
"01-0561554"|"THE SHEPHERD'S CROOK MINISTRIES INC"|"961780"|""
"01-6129359"|"Weathervane Seafoods Health & Welfare Trust"|"961782"|"937854.0000"
"01-0345660"|"BOOTHBAY REGION AMBULANCE SERVICE"|"962664"|""
"01-0424895"|"SOUTH PARK DEVELOPMENT CORPORATION"|"962665"|""
"01-0621556"|"THE GILL ST. BERNARD'S PARENTS' ASSOCIATION, INC."|"962666"|""
"01-0211476"|"THE CHAPMAN HOUSE"|"963958"|""
"01-0342874"|"MERTON IRA STAPLES AMVETS POST #1"|"963959"|""
"01-0353284"|"MATTAWAMKEAG HOUSING CORPORATION"|"963960"|"179341.0000"
"01-0357799"|"ORRINGTON HOUSING CORPORATION"|"963961"|"169480.0000"
"01-0377559"|"UNITED WAY OF TRI VALLEY AREA"|"963962"|"355202.0000"
"01-0382676"|"Employees of Municipal and Other Public Employers E"|"963963"|"120498234.0000"
"01-0643676"|"International Cultural Exchange Org Inc"|"963964"|""
"01-0665790"|"COUNCIL OF STATE HISTORICAL RECORDS COORDINATORS INC"|"963965"|"492936.0000"
"01-0808098"|"INDEPENDENT WORLD TELEVISION INC"|"963968"|"749698.0000"
"01-6011487"|"PINE TREE STATE 4-H FOUNDATION UNIVERSITY OF MAINE"|"963969"|""
"01-0409494"|"HARRINGTON FAMILY HEALTH CENTERINC"|"965240"|"2023027.0000"
"01-0488464"|"GREAT POND MOUNTAIN CONSERVATION TRUST"|"965241"|""
"01-0538683"|"EMC AFFORDABLE HOUSING PRESERVATION CORP"|"965243"|"447074.0000"
"01-6019477"|"GARD W TWADDLE NURSES ENDOWMENT"|"965244"|""
"01-0131770"|"ODD FELLOWS HALL"|"966084"|""
"01-0262394"|"LOUIS T GRAVES MEMORIAL PUBLIC LIBRARY"|"966085"|""
"01-0520096"|"CENTER THEATRE INC"|"966086"|""
"01-0597067"|"THE GARRISON INSTITUTE, INC"|"966087"|"4135258.0000"
"01-0621494"|"NEIGHBORHOOD LEADERSHIP INSTITUTE"|"966088"|"1676177.0000"
"01-0667694"|"Family Health Center of Southern Oklahoma, Inc."|"966089"|"4813238.0000"
"01-0794788"|"ECUMENICAL COMMUNITY OF CHAUTAUQUA INC"|"966090"|"134748.0000"
"01-0142660"|"PORTLAND COUNTRY CLUB"|"967007"|"4805449.0000"
