"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"CLOTH_CBX"|"CLOTH_NON_CASH_CONTRIB"|"CLOTH_NON_CASH_METHOD"|"SEC_PUB_CBX"|"SEC_PUB_NUM_CONTRIB"|"SEC_PUB_NON_CASH_CONTRIB"|"SEC_PUB_NON_CASH_METHOD"|"SEC_STOCK_CBX"|"SEC_STOCK_NUM_CONTRIB"|"SEC_STOCK_NON_CASH_CONTRIB"|"SEC_STOCK_NON_CASH_METHOD"|"SEC_TRUST_CBX"|"SEC_TRUST_NUM_CONTRIB"|"SEC_TRUST_NON_CASH_CONTRIB"|"SEC_TRUST_NON_CASH_METHOD"|"SEC_MISC_CBX"|"SEC_MISC_NUM_CONTRIB"|"SEC_MISC_NON_CASH_CONTRIB"|"SEC_MISC_NON_CASH_METHOD"|"FOOD_CBX"|"FOOD_NUM_CONTRIB"|"FOOD_NON_CASH_CONTRIB"|"FOOD_NON_CASH_METHOD"|"DRUG_CBX"|"DRUG_NUM_CONTRIB"|"DRUG_NON_CASH_CONTRIB"|"DRUG_NON_CASH_METHOD"
"01-0357357"|"TRI-COUNTY EMERGENCY MEDICAL SERVICES INC"|"1396980"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0358732"|"MOBIUS INC"|"1396981"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0364464"|"Vose Library"|"1396982"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0367357"|"AMERICAN CML LIBERTIES UNION OF MAINE FOUNDATION"|"1396983"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0369983"|"BANGOR POLICE RELIEF ASSOCIATION"|"1396984"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0373341"|"ATLANTIC PARTNERS EMS, INC."|"1396985"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0376239"|"STELLA MARIS HOUSING DEVELOPMENT CORP"|"1396986"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0376510"|"MAINE MENTAL HEALTH CONNECTIONS INC"|"1396987"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0406214"|"NAMI MAINE"|"1396989"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0440182"|"ST. XAVIER'S HOME"|"1396990"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0466131"|"THE PUBLIC THEATER INC"|"1396992"|""|""|""|"Y"|"1"|"15134.0000"|"FMV"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0490620"|"HOME RESOURCES OF MAINE INC"|"1396993"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0500860"|"Amistad Inc"|"1396994"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0532411"|"Maine Space Grant Consortium"|"1396996"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0547006"|"ASHLAND CARE GIVERS ASSOCIATION"|"1396999"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"1397000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0563134"|"MANRESA ALHAMBRA HOUSE INC"|"1397001"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0576704"|"THE FUND FOR PUBLIC ADVOCACY INC"|"1397002"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0621733"|"EIZER BACHURIM DMONSEY FRIENDS OF TEENAGERS INC"|"1397003"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0653458"|"FOUNDATION FOR CHILDREN"|"1397004"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0683331"|"JFK MEDICAL CENTER CHARTER SCHOOL INC"|"1397005"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0694632"|"SEYMOUR OSMAN COMMUNITY CENTER AND YOUTH HAVEN"|"1397006"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0781831"|"THE DOUGLAS CENTER"|"1397008"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0785049"|"Queens Community Center, Inc."|"1397009"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0818635"|"KINGS ACADEMY CHRISTIAN SCHOOL INC"|"1397011"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0927505"|"STOCKTON HINDU CULTURAL & COMMUNITY"|"1397013"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0943022"|"WEBSTER ATHLETIC ASSOCIATION INC"|"1397014"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6013080"|"STANTON BIRD CLUB INC"|"1397019"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0235942"|"Meredith Chamber of Commerce"|"1397030"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0494481"|"RICHMOND ELDERCARE COALITION"|"1403911"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0606871"|"The House Next Door Family Foundation"|"1403912"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0263198"|"Down East Community Hospital"|"1404299"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0528831"|"Waterfall Arts"|"1404302"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0533472"|"Tanglewood Camp and Learning Center"|"1404303"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0693398"|"THE CENTER HELPING OBESITY IN CHILDREN END SUCCESSFULLY INC"|"1404305"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0724773"|"AMERICAN FEDERATION OF STATE COUNTY MUNICIPAL EMPLOYEES LOCAL 199"|"1404307"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0740393"|"THE RENAISSANCE SCHOOL"|"1404309"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0888448"|"ANGELES COMPREHENSIVE COMMUNITY CLINIC"|"1404312"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0974537"|"BRING CHANGE 2 MIND"|"1404314"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0173095"|"Trefethen-Evergreen Improvement Association"|"1406921"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0220430"|"THE LINCOLN HOME"|"1406922"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0279587"|"Waban Projects Inc"|"1406923"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0321597"|"DIOCESAN BUREAU OF HOUSING"|"1406924"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0322532"|"Day One"|"1406925"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0355090"|"LOVEJOY HEALTH CENTER, INC"|"1406926"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0369891"|"LANDMARK HUMAN RESOURCES INC"|"1406927"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0459572"|"THE ASSOCIATES OF THE OSHER MAP LIBRARY"|"1406928"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0471173"|"KENNEBEC VALLEY COMMUNITY COLLEGE FOUNDATION"|"1406929"|""|""|""|"Y"|"2"|"97544.0000"|"Market"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0874029"|"POLARIS CHARTER ACADEMY"|"1406930"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6004866"|"UNITED WAY OF MID COAST MAINE, INC."|"1406933"|""|""|""|"Y"|"15"|"30798.0000"|"STOCK QUOTATIONS"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0147630"|"HOLDERNESS SCHOOL"|"1406935"|""|""|""|"Y"|"43"|"489431.0000"|"FMV ON DOTION DATE"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0211966"|"VETERANS OF FOREIGN WARS - POST 1670"|"1406937"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0224718"|"CUMBERLAND FARMERS CLUB -PREVOST"|"1409805"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0352636"|"FAMILY CRISIS SERVICES"|"1409806"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0388818"|"Maine Adaptive Sports & Recreation"|"1409807"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0842036"|"LUTHERAN FAMILY SERVICES OF COLORADO FOUNDATION INC"|"1409808"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6012936"|"MERRILL MEMORIAL LIBRARY"|"1409809"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0938132"|"7 RIVERS ALLIANCE"|"1410296"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0364237"|"Good Neighbors Inc"|"1411537"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0634942"|"OHIO CAPITAL FINANCE CORPORATION"|"1411912"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0735741"|"FAUNA SANCTUARY INC"|"1411913"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0208444"|"AMERICAN LEGION POST 21"|"1411914"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0671144"|"WASHINGTON DRUG & ALCOHOL COMMISSION INC"|"1412305"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0694045"|"Florida Breast Cancer Coalition Research Foundation Inc"|"1412306"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0368070"|"THE WILLIAM A FARNSWORTH LIBRARY AND ART MUSEUM INC"|"1412878"|""|""|""|"Y"|"1"|"100521.0000"|"Market"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0342515"|"MOTIVATIONAL SERVICES INC"|"1413043"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0607915"|"MOUND STREET MILITARY ACADEMY"|"1413044"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0267877"|"KENNEBUNK BEACH IMPROVEMENT ASSOCIATION"|"1413922"|""|""|""|"Y"|"3"|"44397.0000"|"FAIR MARKET VALUE"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0368571"|"The Arts and Recreation Center"|"1413923"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0544956"|"Hygeia Foundation"|"1413926"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"1413927"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0593565"|"THE ONE CAMPAIGN"|"1413929"|""|""|""|"Y"|"2"|"4014351.0000"|"FMV"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0598053"|"Sears Brazos Retirement Corporation"|"1413930"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0599150"|"REACHING U A FOUNDATION FOR URUGUAY"|"1413931"|"Y"|"6364.0000"|"FMV AT DATE OF SALE"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0728655"|"APEX PROFESSIONAL SERVICES"|"1413934"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0746862"|"WINDUSTRY"|"1413935"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0755874"|"MANZANO MOUNTAIN EARLY LEARNING CENTER"|"1413936"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0773957"|"GIFTS OF LOVE INTERNATIONAL"|"1413937"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0778873"|"EASTON MOUNTAIN, INC."|"1413938"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0801061"|"Fort Worth HOPE Center"|"1413939"|"Y"|""|"Garage sale prices"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|""|""|"Wholesale rates / we"|""|""|""|""
"01-0963657"|"NATIONAL MEDICAL FELLOWSHIPS, INC."|"1413940"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6010506"|"UA Local 716 Health & Welfare Trust Fund"|"1413941"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6014288"|"KENNEBUNKPORT HISTORICAL SOCIETY"|"1413942"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0286963"|"ARUNDEL YACHT CLUB"|"1416280"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0360072"|"Small Woodland Owners Association of Maine"|"1416281"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0430261"|"Maine Women's Fund"|"1416282"|""|""|""|"Y"|"1"|"9660.0000"|"Quoted Market Prices"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0615880"|"THE CHILDREN'S GARDEN INC"|"1416284"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0626449"|"GATEWAY MONTESSORI SCHOOL INC"|"1416285"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0633672"|"EARLY CHILDHOOD COUNCIL OF LARIMER COUNTY, INC"|"1416286"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0709158"|"First Coast No More Homeless Pets, Inc."|"1416288"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0214564"|"GREATER KEENE CHAMBER OF COMMERCE"|"1416295"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211783"|"Calals Reglonal Hospltal"|"1418222"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0693679"|"LONG ISLAND MEDICAL FOUNDATION INC"|"1418223"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0745483"|"DOROTHY'S SOFT TOUCH CORP."|"1418224"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211478"|"UNITED WAY OF EASTERN MAINE"|"1418606"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6026691"|"Veterans of Foreign Wars of the 7865 Harvell Bishop Post"|"1419074"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0483192"|"FAMILIES AND CHILDREN TOGETHER"|"1419433"|"Y"|"24821.0000"|"ESTIMATE"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0544094"|"BRIXHAM MONTESSORI FRIENDS SCHOOL"|"1419434"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0762192"|"HARRY AND JEANETTE WEINBERG VILLAGE I at Owings Mills I Inc CHAI"|"1419435"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0450803"|"MAINE NATIONAL GUARD FOUNDATION FUND"|"1419764"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0544901"|"WATERVILLE MAIN STREET"|"1419765"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0806304"|"PENNSYLVANIA AFFORDABLE HSG CORP"|"1419766"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6006001"|"Bigelow Laboratory for Ocean Sciences"|"1419767"|"Y"|"125000.0000"|"market"|"Y"|"5"|"521728.0000"|"FMV"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0635895"|"SHELTER CARE PROVIDERS OF SAN DIEGO INC"|"1420359"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"1420360"|""|""|""|"Y"|"5"|"66859.0000"|"FMV"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0351795"|"BELGRADE REGIONAL HEALTH CENTER, INC ."|"1420626"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0513301"|"CANCER COMMUNITY CENTER"|"1421037"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0896501"|"US CENTRAL ASIA EDUCATION FOUNDATION"|"1421038"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0288275"|"MAINE MARINE TRADE ASSOCIATION"|"1421511"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0531683"|"RESOURCES FIRST FOUNDATION"|"1422136"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0775179"|"ECOM FOUNDATION FOR DEVELOPMENT OF ORIGIN RESOURCES"|"1422137"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-3253364"|"SPONTANEOUS CELEBRATIONS INC"|"1422620"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0130335"|"NORTHEAST HARBOR TENNIS CLUB"|"1422745"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0204920"|"WATERVILLE COUNTRY CLUB"|"1422746"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0237244"|"LEE ACADEMY"|"1422747"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0245341"|"CORNELIA WARREN COMMUNITY ASSOCIATION"|"1422748"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0285920"|"EAST GRAND HEALTH CENTER INC."|"1422749"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0332058"|"Hancock County Auditorium Associates"|"1422750"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0352658"|"SAFE VOICES"|"1422751"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0359180"|"MAINE COALITION TO END DOMESTIC VIOLENCE"|"1422752"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0367582"|"PORT RESOURCES INC"|"1422753"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0369255"|"RANGELEY HOUSING DEVELOPMENT CORPORATION"|"1422754"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0370020"|"BANGOR AIRPORT CIVIC DEVELOPMENT CORP"|"1422755"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0376664"|"MAINE ELKS ASSOCIATION"|"1422756"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0384633"|"CARRABASSETT VALLEY ACADEMY"|"1422757"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0385020"|"HOSPICE VOLUNTEERS OF HANCOCK COUNTY"|"1422759"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0420232"|"MAINE COALITION AGAINST SEXUAL ASSAULT"|"1422760"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0451663"|"JHA Services"|"1422761"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0454077"|"WHA, INC."|"1422762"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0472964"|"BIDDEFORD-SACO AREA ECONOMIC DEVELOPMENT CORPORATION"|"1422763"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0473116"|"Peregrine Corporation"|"1422764"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0492876"|"OAKLEAF HOUSING TRUST INC"|"1422765"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0499734"|"UNITED SOCCER FEDERATION OF MAINE"|"1422766"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0516064"|"CO-OCCURRING COLLABORATIVE SERVING MAINE"|"1422767"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0538232"|"Big Rock"|"1422768"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0541280"|"SUMMER FESTIVAL OF THE ARTS"|"1422769"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0555559"|"ECS MINISTRIES"|"1422771"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0565752"|"CANOPY: TREES FOR PALO ALTO"|"1422773"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0595450"|"VISITATION HOUSE INC"|"1422774"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0596543"|"Ashburn Travel Hockey Inc"|"1422775"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0597016"|"Pelican Isle Yacht Club Inc"|"1422776"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0602033"|"TN VOL MANUFACTURING & SERVICES INC"|"1422777"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0607881"|"MOUND STREET IT ACADEMY"|"1422778"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0635954"|"FAYETTEVILLE MAIN STREET TOURISM ASSOCIATION INC"|"1422779"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0666441"|"CORI'S PLACE"|"1422780"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
