"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"EFILE"|"ORGNAME"|"DBA"|"PHONE"|"CO_ATTN"|"STREET"|"SUITE"|"CITY"|"STATE"|"COUNTRY"|"ZIP"|"PERIOD_BEGIN"|"PERIOD_END"|"CHANGE_ADDR_CBX"|"CHANGE_NAME_CBX"|"INIT_RET_CBX"|"FINAL_RET_CBX"|"APP_PEND_CBX"|"PRINCIPAL_NAME"|"RECEIPT_TOT"|"TYPE"|"WEB"|"ORG_TYPE_CORPORATION_CBX"|"ORG_TYPE_TRUST_CBX"|"ORG_TYPE_ASSOCIATION_CBX"|"ORG_TYPE_OTHER_CBX"|"ORG_TYPE"|"FORMATION_YEAR"|"LEGAL_DOM"|"GROUP_RET_STATUS_CBX"|"GROUP_RET_ALL_AFFIL_CBX"|"GROUP_RET_GEN"|"LAST_MODIFIED"|"Prefix"|"FirstName"|"MiddleName"|"LastName"|"Suffix"|"Gender"|"ParseNameFlag"
"01-0233275"|"MACCRILLIS-ROUSSEAU POST NO. 8835 VETERANS OF FOREIGN WARS"|"1128318"|"N"|"MACCRILLIS-ROUSSEAU POST NO. 8835 VETERANS OF FOREIGN WARS"|""|"207-873-1908"|""|"175 VETERAN DRIVE"|""|"WINSLOW"|"ME"|"USA"|"04901"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"JOSEPH BAKER"|"1051147.0000"|"19"|""|"Y"|""|""|""|""|"1955"|"ME"|"N"|""|"9154"|"12/2/2013 12:43:25 PM"|""|"Joseph"|""|"Baker"|""|"Male"|"True"
"01-0263519"|"TRUSTEES OF LEAVITT INSTITUTE"|"1128319"|"N"|"TRUSTEES OF LEAVITT INSTITUTE"|""|"207-224-7842"|"GEORGE RICHARDSON"|"PO BOX 613"|""|"N. TURNER"|"ME"|"USA"|"04266"|"5/1/2011 12:00:00 AM"|"4/30/2012 12:00:00 AM"|""|""|""|""|""|"GEORGE RICHARDSON"|"297348.0000"|"03"|""|"Y"|""|""|""|""|"1948"|"ME"|"N"|""|""|"12/2/2013 12:43:34 PM"|""|"George"|""|"Richardson"|""|"Male"|"True"
"01-0274725"|"The Opportunity Alliance"|"1128320"|"N"|"The Opportunity Alliance"|""|"207-874-1175"|""|"50 Monument Square"|""|"Portland"|"ME"|"USA"|"04101"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|"Y"|"Y"|""|""|""|"Michael J. Tarpinian"|"16268458.0000"|"03"|"www.opportunityaliance.org"|"Y"|""|""|""|""|"1965"|"ME"|"N"|""|""|"12/2/2013 12:43:43 PM"|""|"Michael"|"J"|"Tarpinian"|""|"Male"|"True"
"01-0361089"|"YORK COUNTY SHELTER PROGRAMS INC"|"1128322"|"N"|"YORK COUNTY SHELTER PROGRAMS INC"|""|"207-324-1137"|""|"PO BOX 820"|""|"ALFRED"|"ME"|"USA"|"04002"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"BROTHER JAMES LACASSE"|"5478466.0000"|"03"|"WWW.YORKCOUNTYSHELTERPROGRAMS.ORG"|"Y"|""|""|""|""|"1979"|"ME"|"N"|""|""|"12/2/2013 12:44:01 PM"|""|"Brother"|"James"|"Lacasse"|""|"Unknown"|"True"
"01-0368188"|"SO. MAINE EMERGENCY MED SERVICES COUNCIL INC"|"1128323"|"N"|"SO. MAINE EMERGENCY MED SERVICES COUNCIL INC"|""|"207-741-2790"|""|"176 NARRAGANSTT STREET"|""|"GORHAM"|"ME"|"USA"|"04038"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|"Y"|""|""|""|""|"MARC A MINKLER"|"261200.0000"|"03"|"WWW.SMEMS.ORG"|"Y"|""|""|""|""|"1980"|"ME"|"N"|""|""|"12/2/2013 12:44:10 PM"|""|"Marc"|"A"|"Minkler"|""|"Male"|"True"
"01-0370020"|"BANGOR AIRPORT CIVIC DEVELOPMENT CORP"|"1128324"|"N"|"BANGOR AIRPORT CIVIC DEVELOPMENT CORP"|""|"207-947-4842"|""|"73 HARLOW STREET"|""|"BANGOR"|"ME"|"USA"|"04401"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"SCOTT T. JOHNSON"|"454907.0000"|"04"|""|"Y"|""|""|""|""|"1980"|"ME"|"N"|""|""|"12/2/2013 12:44:19 PM"|""|"Scott"|"T"|"Johnson"|""|"Male"|"True"
"01-0435170"|"ANDROSCOGGIN HABITAT FOR HUMANITY INC"|"1128326"|"N"|"ANDROSCOGGIN HABITAT FOR HUMANITY INC"|""|"207-786-2598"|""|"PO BOX 3041"|""|"AUBURN"|"ME"|"USA"|"04212"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|""|"208235.0000"|"03"|"WWW.ANDROHFORH.ORG"|"Y"|""|""|""|""|"1993"|"ME"|"N"|""|""|"12/2/2013 12:44:36 PM"|""|""|""|""|""|""|""
"01-0518428"|"NORTH ATLANTIC FIGURE SKATING CLUB"|"1128327"|"N"|"NORTH ATLANTIC FIGURE SKATING CLUB"|""|"207-781-7179"|""|"P. O. BOX 6052"|""|"FALMOUTH"|"ME"|"USA"|"04105"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"SAME AS C ABOVE"|"220545.0000"|"03"|"WWW.NORTHATLANTICFSC.ORG"|"Y"|""|""|""|""|"1999"|"ME"|"N"|""|""|"12/2/2013 12:44:45 PM"|"Same as c"|"Above"|""|""|""|"Unknown"|"False"
"01-0556446"|"Quincy Asian Resources, Inc."|"1128328"|"N"|"Quincy Asian Resources, Inc."|""|"617-472-2200"|""|"1509 Hancock Street"|"209"|"Quincy"|"MA"|"USA"|"02169"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|""|"476742.0000"|"03"|"www.quincyasianresources.org"|"Y"|""|""|""|""|""|""|"N"|""|""|"12/2/2013 12:44:54 PM"|""|""|""|""|""|""|""
"01-0639265"|"Meritus Healthcare Foundation, Inc."|"1128330"|"N"|"Meritus Healthcare Foundation, Inc."|""|"301-790-8872"|""|"11116 Medical Campus Road"|""|"Hagerstown"|"MD"|"USA"|"21742"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"Joseph Ross"|"5333208.0000"|"03"|"www.meritushealth.com"|"Y"|""|""|""|""|"2002"|"MD"|"N"|""|""|"12/2/2013 12:45:12 PM"|""|"Joseph"|""|"Ross"|""|"Male"|"True"
"01-0702652"|"CAFA, INC."|"1128333"|"N"|"CAFA, INC."|""|"480-635-1900"|""|"1120 S. GILBERT RD. BLDG 200"|"112"|"GILBERT"|"AZ"|"USA"|"85296"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"EVELYN C TAYLOR"|"4828161.0000"|"03"|"WWW.LFAPA.COM"|"Y"|""|""|""|""|"2002"|"AZ"|"N"|""|""|"12/2/2013 12:45:39 PM"|""|"Evelyn"|"C"|"Taylor"|""|"Female"|"True"
"01-0720520"|"FRANKLIN HIGH SCHOOL BOOSTER CLUB"|"1128335"|"N"|"FRANKLIN HIGH SCHOOL BOOSTER CLUB"|""|"916-714-8150"|""|"6400 WHITELOCK PKWY"|""|"ELK GROVE"|"CA"|"USA"|"95757-5928"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"FRANKLIN HIGH SCHOOL BOOSTER CLUB"|"219487.0000"|"03"|"WWW.FHSBOOSTERCLUB.COM"|"Y"|""|""|""|""|"2003"|"CA"|"N"|""|""|"12/2/2013 12:45:56 PM"|"Franklin"|"High"|"School"|"Booster"|"Club"|"Male"|"True"
"01-0806645"|"REGIONAL LOCAL UNION NO 846 OF' THE INTERNATIONAL ASSOCIATION"|"1128336"|"N"|"REGIONAL LOCAL UNION NO 846 OF' THE INTERNATIONAL ASSOCIATION"|""|"803-644-2187"|""|"6260 WOODSIDE EXECUTIVE COURT"|""|"AIKEN"|"SC"|"USA"|"29803"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|"Y"|""|""|""|""|"KURT HOFFMAN"|"618070.0000"|"05"|"WWW.IW846.ORG"|""|""|"Y"|""|""|"2004"|"FL"|"N"|""|""|"12/2/2013 12:46:05 PM"|""|"Kurt"|""|"Hoffman"|""|"Male"|"True"
"01-0818965"|"DEMEDICI CORPORATION"|"1128337"|"N"|"DEMEDICI CORPORATION"|""|"856-505-1300"|""|"13000 LINCOLN DRIVE WEST"|""|"MARLTON"|"NJ"|"USA"|"08053"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"JAVIER KUEHNLE"|"759787.0000"|"03"|""|"Y"|""|""|""|""|"2004"|"PA"|"N"|"Y"|""|"12/2/2013 12:46:14 PM"|""|"Javier"|""|"Kuehnle"|""|"Male"|"True"
"01-6004444"|"FALMOUTH MEMORIAL LIBRARY ASS"|"1128339"|"N"|"FALMOUTH MEMORIAL LIBRARY ASS"|""|"207-781-2351"|""|"5 LUNT ROAD"|""|"FALMOUTH"|"ME"|"USA"|"04105"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"ANDREA JACKSON-DARL"|"754116.0000"|"03"|"WWW.FALMOUTHMEMORIALLIBRARY.ORG"|"Y"|""|""|""|""|"1944"|"ME"|"N"|""|""|"12/2/2013 12:46:31 PM"|""|"Andrea"|""|"Jackson-Darl"|""|"Unknown"|"True"
"01-6010995"|"Wayne Library Association"|"1128340"|"N"|"Wayne Library Association"|"Annie L. Cary Memorial Liabary"|"207-685-3612"|""|"P.O.BOX 127"|""|"Wayne"|"ME"|"USA"|"04284"|"10/1/2011 12:00:00 AM"|"9/30/2012 12:00:00 AM"|""|""|""|""|""|"Judy Danieison"|"379512.0000"|"03"|"www.cary-memorial.lib.me.us/"|""|""|"Y"|""|""|"1960"|"ME"|"N"|""|""|"12/2/2013 12:46:40 PM"|""|"Judy"|""|"Danieison"|""|"Unknown"|"True"
"02-0205076"|"WINONA SOCIAL CLUB, INC"|"1128342"|"N"|"WINONA SOCIAL CLUB, INC"|""|"603-623-9248"|""|"168 MANCHESTER STREET"|""|"MANCHESTER"|"NH"|"USA"|"03103"|"11/1/2011 12:00:00 AM"|"10/31/2012 12:00:00 AM"|""|""|""|""|""|"Thomas McCarthy"|"298906.0000"|"07"|""|"Y"|""|""|""|""|"1963"|"NH"|"N"|""|""|"12/2/2013 12:46:58 PM"|""|"Thomas"|""|"McCarthy"|""|"Male"|"True"
"01-0371992"|"Downeast Transportation"|"1131687"|"N"|"Downeast Transportation"|""|"207-667-5796"|""|"Box 914"|""|"Ellsworth"|"ME"|"USA"|"04605"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"Donald Cooper"|"2454265.0000"|"03"|"www.downeasttrans.org"|"Y"|""|""|""|""|"1981"|"ME"|"N"|""|""|"12/3/2013 11:00:53 AM"|""|"Donald"|""|"Cooper"|""|"Male"|"True"
"02-0223390"|"MANCHESTER HISTORIC ASSOCIATION"|"1131688"|"N"|"MANCHESTER HISTORIC ASSOCIATION"|""|"603-622-7531"|""|"129 AMHERST ST"|""|"MANCHESTER"|"NH"|"USA"|"03101"|"10/1/2011 12:00:00 AM"|"9/30/2012 12:00:00 AM"|""|""|""|""|""|"AURORE EATON"|"1671704.0000"|"03"|"www.manchesterhistoric.org"|"Y"|""|""|""|""|"1896"|"NH"|"N"|""|""|"12/3/2013 11:01:53 AM"|""|"Aurore"|""|"Eaton"|""|"Female"|"True"
"01-0216811"|"WATERVILLE LODGE #33 F & A M"|"1132575"|"N"|"WATERVILLE LODGE #33 F & A M"|"MARK THIBODEAU"|""|""|"12 CARDINAL WAY"|""|"WINSLOW"|"ME"|"USA"|"04901"|"12/1/2011 12:00:00 AM"|"11/30/2012 12:00:00 AM"|"Y"|""|""|""|""|"DOUGLAS B TAYLOR"|"218468.0000"|"10"|""|""|""|"Y"|""|""|"1820"|"ME"|"N"|""|"0275"|"12/10/2013 11:25:24 AM"|""|"Douglas"|"B"|"Taylor"|""|"Male"|"True"
"01-0388818"|"Maine Adaptive Sports & Recreation"|"1132576"|"N"|"Maine Adaptive Sports & Recreation"|""|"207-824-2440"|""|"8 Sundance Lane"|""|"Newry"|"ME"|"USA"|"04261"|"11/1/2011 12:00:00 AM"|"10/31/2012 12:00:00 AM"|""|"Y"|""|""|""|"Peter S. Adams"|"664429.0000"|"03"|"www.maineadaptive.org"|"Y"|""|""|""|""|"1983"|"ME"|"N"|""|""|"12/10/2013 11:25:33 AM"|""|"Peter"|"S"|"Adams"|""|"Male"|"True"
"01-0357314"|"MERCY ENDOWMENT FOUNDATION"|"1133072"|"Y"|"MERCY ENDOWMENT FOUNDATION"|""|"207-878-4504"|""|"148 BREAKWATER DRIVE"|"207"|"SOUTH PORTLAND"|"ME"|"USA"|"04106"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|"Y"|""|""|""|""|"SR DOROTHY SULLIVAN"|"3289011.0000"|"03"|""|"Y"|""|""|""|""|"1978"|"ME"|"N"|""|""|"12/12/2013 5:25:38 PM"|""|"Sr"|"Dorothy"|"Sullivan"|""|"Unknown"|"True"
"02-0103705"|"AMERICAN LEGION HENRY J SWEENEY POST#1"|"1133558"|"N"|"AMERICAN LEGION HENRY J SWEENEY POST#1"|""|"603-623-9145"|""|"251 MAPLE STREET"|""|"MANCHESTER"|"NH"|"USA"|"03103"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|""|"487791.0000"|"03"|""|"Y"|""|""|""|""|""|""|"N"|""|"0925"|"12/16/2013 2:19:39 PM"|""|""|""|""|""|""|""
"01-0086202"|"THE HARBOR CLUB, INC."|"1133607"|"N"|"THE HARBOR CLUB, INC."|""|"207-276-3707"|""|"P.O.BOX 804"|""|"MOUNT DESERT"|"ME"|"USA"|"04660"|"11/1/2011 12:00:00 AM"|"10/31/2012 12:00:00 AM"|""|""|""|""|""|"MR.PHILIP S.J.MORIARTY"|"681015.0000"|"07"|""|"Y"|""|""|""|""|"1950"|"ME"|"N"|""|""|"12/16/2013 2:26:55 PM"|"Mr       "|"Mr.philip"|"S"|"S.j.moriarty"|""|"Male"|"True"
"01-0119375"|"MEGANTIC FISH AND GAME CO BERRY TALBOT ROYER"|"1133608"|"N"|"MEGANTIC FISH AND GAME CO BERRY TALBOT ROYER"|""|"207-243-2954"|"BTR"|"6 FUNDY ROAD"|""|"FALMOUTH"|"ME"|"USA"|"04105"|"11/1/2011 12:00:00 AM"|"10/31/2012 12:00:00 AM"|""|""|""|""|""|"HENRY S REEDER"|"619458.0000"|"07"|""|"Y"|""|""|""|""|"1887"|"ME"|"N"|""|""|"12/16/2013 2:27:03 PM"|""|"Henry"|"S"|"Reeder"|""|"Male"|"True"
"01-0367553"|"SETON VILLAGE"|"1133610"|"N"|"SETON VILLAGE"|""|"207-773-6471"|""|"510 OCEAN AVENUE"|""|"PORTLAND"|"ME"|"USA"|"04103"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"DAVID TWOMEY"|"1175269.0000"|"03"|""|"Y"|""|""|""|""|"1976"|"ME"|"N"|""|"0928"|"12/16/2013 2:27:21 PM"|""|"David"|""|"Twomey"|""|"Male"|"True"
"01-6006001"|"Bigelow Laboratory for Ocean Sciences"|"1133611"|"N"|"Bigelow Laboratory for Ocean Sciences"|""|"207-633-9600"|""|"PO Box 475 Mckown Point"|""|"West Boothbay Harbor"|"ME"|"USA"|"04575"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|""|"20050956.0000"|"03"|"www.bigelow.org"|"Y"|""|""|""|""|"1974"|"ME"|"N"|"N"|""|"12/16/2013 2:27:30 PM"|""|""|""|""|""|""|""
"02-0179953"|"GREATER PORTSMOUTH CHAMBER OF COMMERCE"|"1133612"|"N"|"GREATER PORTSMOUTH CHAMBER OF COMMERCE"|""|"603-610-5515"|""|"P.O. BOX 239"|""|"PORTSMOUTH"|"NH"|"USA"|"03802-0239"|"9/1/2011 12:00:00 AM"|"8/31/2012 12:00:00 AM"|""|""|""|""|""|"DOUG BATES"|"752972.0000"|"06"|"WWW.PORTSMOUTHCHAMBER.ORG"|"Y"|""|""|""|""|"1917"|"NH"|"N"|""|""|"12/16/2013 2:27:39 PM"|""|"Doug"|""|"Bates"|""|"Male"|"True"
"01-0324705"|"THE SUSAN L CURTIS CHARITABLE FOUNDATION"|"1134142"|"N"|"THE SUSAN L CURTIS CHARITABLE FOUNDATION"|""|"207-774-1552"|""|"1321 WASHINGTON AVENUE"|"104"|"PORTLAND"|"ME"|"USA"|"04103"|"11/1/2011 12:00:00 AM"|"10/31/2012 12:00:00 AM"|""|""|""|""|""|"MELISSA CILLEY"|"1347567.0000"|"03"|"WWW.SUSANCURTISFOUNDATION.ORG"|"Y"|""|""|""|""|"1971"|"ME"|"N"|""|""|"12/17/2013 4:12:23 PM"|""|"Melissa"|""|"Cilley"|""|"Female"|"True"
"01-0478709"|"Maine Island Trail Association"|"1134143"|"N"|"Maine Island Trail Association"|""|"207-761-8225"|""|"58 Fore Street"|""|"Portland"|"ME"|"USA"|"04101"|"10/1/2011 12:00:00 AM"|"9/30/2012 12:00:00 AM"|""|""|""|""|""|"Douglas Welch"|"624396.0000"|"03"|"www.mita.org"|"Y"|""|""|""|""|"1993"|"ME"|"N"|""|""|"12/17/2013 4:13:13 PM"|""|"Douglas"|""|"Welch"|""|"Male"|"True"
"01-0212178"|"AMERICAN LEGION POST 158 COOMBS-MONTFORT"|"1134409"|"N"|"AMERICAN LEGION POST 158 COOMBS-MONTFORT"|""|"207-353-8192"|""|"PO BOX 575, 10 WEBSTER ROAD"|""|"LISBON"|"ME"|"USA"|"04250"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|"THOMAS H. NARAGON"|"612660.0000"|"19"|"WWW.POST158ME.ORG"|""|""|""|"Y"|"NON P"|"1947"|"ME"|"N"|""|""|"12/20/2013 3:12:31 PM"|""|"Thomas"|"H"|"Naragon"|""|"Male"|"True"
"01-0505151"|"PROFESSIONAL LOGGING CONTRACTORS OF MAINE"|"1134410"|"N"|"PROFESSIONAL LOGGING CONTRACTORS OF MAINE"|""|"207-688-8195"|""|"49 PINELAND DR"|"201A"|"NEW GLOUCESTER"|"ME"|"USA"|"04260"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|"BOB LINKLETTER"|"241774.0000"|"03"|"WWW.MAINELOGGERS.COM"|"Y"|""|""|""|""|"1995"|"ME"|"N"|""|""|"12/20/2013 2:11:24 AM"|""|"Bob"|""|"Linkletter"|""|"Male"|"True"
"01-0729385"|"Chesapeake Rivers Association, Inc"|"1134411"|"N"|"Chesapeake Rivers Association, Inc"|"Severn Riverkeeper Program"|"410-849-8540"|""|"329 Riverview Trail"|""|"Annapolis"|"MD"|"USA"|"21401"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|""|"514268.0000"|"03"|"www.severnriverkeeper.org"|"Y"|""|""|""|""|"2002"|"MD"|"N"|""|""|"12/20/2013 6:38:15 AM"|""|""|""|""|""|""|""
"01-0812774"|"Bonfield Express Foundation"|"1134412"|"N"|"Bonfield Express Foundation"|""|"630-964-9549"|""|"P.O. Box 773"|""|"Downers Grove"|"IL"|"USA"|"60515"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|"Annette Bonfield"|""|"03"|"www.bonfieldexpress.com"|"Y"|""|""|""|""|"2004"|"IL"|"N"|""|""|"12/19/2013 10:04:39 AM"|""|"Annette"|""|"Bonfield"|""|"Female"|"True"
"01-0223898"|"WINDSOR FAIR"|"1134733"|"N"|"WINDSOR FAIR"|""|"207-622-6831"|"JAMES TRACY"|"230 PARK STREET"|""|"FARMINGDALE"|"ME"|"USA"|"04344"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|"THOMAS E. FOSTER"|"1395662.0000"|"05"|"WWW.WINDSORFAIR.COM"|"Y"|""|""|""|""|"1888"|"ME"|"N"|""|""|"12/20/2013 7:39:08 AM"|""|"Thomas"|"E"|"Foster"|""|"Male"|"True"
"01-0274746"|"CENTRAL MAINE BIBLE CONFERENCE"|"1134736"|"N"|"CENTRAL MAINE BIBLE CONFERENCE"|""|"207-722-3456"|""|"81 WEST FAIR HAVEN LANE"|""|"BROOKS"|"ME"|"USA"|"04921"|"9/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|"JAMES C MILLER"|"68712.0000"|"03"|""|"Y"|""|""|""|""|"1950"|"ME"|"N"|""|""|"12/20/2013 3:02:46 AM"|""|"James"|"C"|"Miller"|""|"Male"|"True"
"01-0550350"|"Regents Academy of Nacogdoches"|"1134738"|"N"|"Regents Academy of Nacogdoches"|""|"936-559-7343"|""|"200 NE Stallings Drive"|""|"Nacogdoches"|"TX"|"USA"|"75961"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|"Michael J. Kunk, Treasurer"|"613071.0000"|"03"|"WWW.regentsacademy.com"|"Y"|""|""|""|""|"2001"|"TX"|"N"|""|""|"12/19/2013 10:18:53 AM"|"Michael"|"J."|"kunk,"|"Treasurer"|""|"Male"|"False"
"01-0563040"|"Servant's Heart Camp Ministries"|"1134739"|"N"|"Servant's Heart Camp Ministries"|""|"717-808-7992"|""|"P.O. Box 244"|""|"Ramey"|"PA"|"USA"|"16671"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|"James D. Fry"|"162284.0000"|"03"|"www.shcm.org"|"Y"|""|""|""|""|"2001"|"PA"|"N"|""|""|"12/20/2013 4:10:21 PM"|""|"James"|"D"|"Fry"|""|"Male"|"True"
"01-0564259"|"FREEMUSLIM ASSOCIATION, INC."|"1134740"|"N"|"FREEMUSLIM ASSOCIATION, INC."|""|"202-413-4745"|""|"1050 17TH ST., NW"|"800"|"WASHINGTON"|"DC"|"USA"|"20036"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|"MOHAMMAD AKHAWAN"|"50954.0000"|"03"|""|"Y"|""|""|""|""|"2001"|"VA"|"N"|""|""|"12/20/2013 3:03:18 AM"|""|"Mohammad"|""|"Akhawan"|""|"Male"|"True"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1134741"|"N"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|""|"717-236-5040"|""|"200 NORTH 3RD STREET, 8TH FLOOR"|""|"HARRISBURG"|"PA"|"USA"|"17108-0678"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|"JANICE BLACK"|"11967002.0000"|"03"|"WWW.TFEC.ORG"|"Y"|""|""|""|""|"1920"|"PA"|"N"|""|""|"12/20/2013 7:40:17 AM"|""|"Janice"|""|"Black"|""|"Female"|"True"
"01-0582162"|"CONTEXTUAL FAMILY SERVICES"|"1134742"|"N"|"CONTEXTUAL FAMILY SERVICES"|""|"908-237-9193"|""|"9 CARDINAL WAY"|""|"FLEMINGTON"|"NJ"|"USA"|"08822"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|"JEAN BANTI"|"238550.0000"|"03"|"WWW.CONTEXTUALFAMILYSERVICES.ORG"|"Y"|""|""|""|""|"2002"|"NJ"|"N"|""|""|"12/19/2013 10:19:00 AM"|""|"Jean"|""|"Banti"|""|"Unknown"|"True"
"01-0669290"|"BELCHERTOWN LAND TRUST INC."|"1134744"|"N"|"BELCHERTOWN LAND TRUST INC."|""|"413-323-9455"|""|"PO BOX 152"|""|"BELCHERTOWN"|"MA"|"USA"|"01007"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|"Edward Corean"|"13601.0000"|"03"|"www.belchertownlandtrust.org"|"Y"|""|""|""|""|"2002"|"MA"|"N"|""|""|"12/20/2013 3:04:07 AM"|""|"Edward"|""|"Corean"|""|"Male"|"True"
"01-0805301"|"Hobby Radio Inc"|"1134746"|"N"|"Hobby Radio Inc"|""|"740-593-3683"|""|"6747 St Hwy 56"|""|"Athens"|"OH"|"USA"|"45701"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|"Richard Whitmore"|"17093.0000"|"03"|""|"Y"|""|""|""|""|"2006"|"OH"|"N"|""|""|"12/19/2013 10:19:07 AM"|""|"Richard"|""|"Whitmore"|""|"Male"|"True"
"01-0842289"|"United Associations of Healther Ridge, Inc."|"1134747"|"N"|"United Associations of Healther Ridge, Inc."|""|"303-745-9805"|""|"2497 South Victor street"|"D"|"Aurora"|"CO"|"USA"|"80014-2040"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|"Vinvent Roith"|"0.0000"|"04"|"www.uahr.org"|"Y"|""|""|""|""|"2005"|"CO"|"N"|""|""|"12/20/2013 4:11:10 PM"|""|"Vinvent"|""|"Roith"|""|"Unknown"|"True"
"02-0107545"|"BEACH CLUB, INC."|"1134752"|"N"|"BEACH CLUB, INC."|""|"603-929-2813"|""|"2450 OCEAN BOULEVARD"|""|"RYE BEACH"|"NH"|"USA"|"03871"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|"JACK CANTY"|"600909.0000"|"07"|"WWW.BEACHCLUB-RYE.COM"|"Y"|""|""|""|""|"1960"|"NH"|"N"|""|""|"12/20/2013 3:05:35 AM"|""|"Jack"|""|"Canty"|""|"Male"|"True"
"02-0164078"|"Littleton Masonic Temple Building"|"1134753"|"N"|"Littleton Masonic Temple Building"|""|""|""|"PO Box 1013"|""|"Littleton"|"NH"|"USA"|"03561"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|""|"7977.0000"|"08"|""|"Y"|""|""|""|""|""|""|"N"|""|""|"12/20/2013 7:43:00 AM"|""|""|""|""|""|""|""
"01-0178800"|"MID-MAINE CHAMBER OF COMMERCE"|"1136839"|"N"|"MID-MAINE CHAMBER OF COMMERCE"|""|"207-873-3315"|""|"50 ELM STREET"|""|"WATERVILLE"|"ME"|"USA"|"04901"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|"KIMBERLY LINDLOF"|"462708.0000"|"06"|"WWW.MIDMAINECHAMBER.COM"|"Y"|""|""|""|""|"1912"|"ME"|"N"|""|""|"12/20/2013 2:10:32 AM"|""|"Kimberly"|""|"Lindlof"|""|"Female"|"True"
"01-0202445"|"Grindstone Association"|"1136840"|"N"|"Grindstone Association"|""|"207-667-6270"|""|"P.O. Box 2"|""|"Winter Harbor"|"ME"|"USA"|"04693"|"1/1/2012 12:00:00 AM"|"12/31/2012 12:00:00 AM"|""|""|""|""|""|"Grindstone Association"|"838396.0000"|"07"|""|""|""|"Y"|""|""|""|"ME"|"N"|""|""|"12/21/2013 8:17:32 AM"|"Grindston"|"Grindstone"|""|"Association"|""|"Unknown"|"True"
