"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FUNDRAISING_MAIL_CBX"|"FUNDRAISING_EMAIL_CBX"|"FUNDRAISING_PHONE_CBX"|"FUNDRAISING_PERSON_CBX"|"FUNDRAISING_NON_GOV_GRANTS_CBX"|"FUNDRAISING_GOV_GRANTS_CBX"|"FUNDRAISING_SPECIAL_EVENTS_CBX"|"FUNDRAISING_PROF_CBX"|"FUNDRAISING_TOTAL_GROSS_RECEIPTS"|"TOTAL_PAID_TO_FUNDRAISER"|"FUNDRAISING_TOTAL_PAID_ORG"
"01-6024157"|"PEJEPSCOT HISTORICAL SOCIETY"|"1204117"|""|""|""|""|""|""|""|""|""|""|""
"01-6047645"|"GOOSE ROCKS BEACH FIRE COMPANY"|"1204118"|""|""|""|""|""|""|""|""|""|""|""
"01-0142660"|"PORTLAND COUNTRY CLUB"|"1212234"|""|""|""|""|""|""|""|""|""|""|""
"01-6036492"|"AMERICAN LEGION 202 MEM POST"|"1212236"|""|""|""|""|""|""|""|""|""|""|""
"01-6117658"|"Downeast Energy Corp. Health/Dental Plan"|"1212237"|""|""|""|""|""|""|""|""|""|""|""
"01-0199596"|"THE WOMEN'S BOARD OF THE MAINE GENERAL HOSPITAL"|"1212979"|""|""|""|""|""|""|""|""|""|""|""
"01-0513859"|"BRIDGTON ICE ARENA INC"|"1212980"|""|""|""|""|""|""|""|""|""|""|""
"01-0648561"|"NORTHWEST CONNECTICUT AHEC INC"|"1212981"|""|""|""|""|""|""|""|""|""|""|""
"01-6036492"|"AMERICAN LEGION 202 MEM POST"|"1212982"|""|""|""|""|""|""|""|""|""|""|""
"01-0100593"|"KENNEBUNK RIVER CLUB"|"1213296"|""|""|""|""|""|""|""|""|""|""|""
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"1213297"|""|""|""|""|""|""|""|""|""|""|""
"01-0249865"|"Wiscasset Public Library"|"1213298"|""|""|""|""|""|""|""|""|""|""|""
"01-0355797"|"BLUE KNIGHTS MOTORCYCLE CLUB"|"1213299"|""|""|""|""|""|""|""|""|""|""|""
"01-0425071"|"Friends of Acadia"|"1213301"|""|""|""|""|""|""|""|""|""|""|""
"01-0446468"|"Kennebec Estuary Land Trust"|"1213302"|""|""|""|""|""|""|""|""|""|""|""
"01-0478004"|"THE MAINE NARROW GAUGE RAILROAD AND INDUSTRIAL HERITAGE TRUST"|"1213303"|""|""|""|""|""|""|""|""|""|""|""
"01-0509087"|"HALL-DALE AFTER SCHOOL PROGRAM"|"1213304"|""|""|""|""|""|""|""|""|""|""|""
"01-0517984"|"CENTER FOR FURNITURE CRAFTSMANSHIP"|"1213305"|""|""|""|""|""|""|""|""|""|""|""
"01-0537084"|"Western Mountains Charitable Foundation"|"1213306"|""|""|""|""|""|""|""|""|""|""|""
"01-0573988"|"PROGRESSIVE ARTS ALLIANCE INCORPORATED"|"1213307"|""|""|""|""|""|""|""|""|""|""|""
"01-0582284"|"COMMUNITY CONNECTIONS INC"|"1213308"|""|""|""|""|""|""|""|""|""|""|""
"01-0652445"|"RODNEY STREET TENNIS AND TUTORING ASSOCIATION INC"|"1213309"|""|""|""|""|""|""|""|""|""|""|""
"01-0674195"|"CYPRESS LANDING GOLF CLUB"|"1213310"|""|""|""|""|""|""|""|""|""|""|""
"01-0679073"|"PARKER COUNTY HEALTH FOUNDATION"|"1213311"|""|""|""|""|""|""|""|""|""|""|""
"01-0774996"|"MAD DADS"|"1213313"|""|""|""|""|""|""|""|""|""|""|""
"01-0871294"|"New Redeemed Bible Fellowship Inc"|"1213314"|""|""|""|""|""|""|""|""|""|""|""
"01-6011487"|"PINE TREE STATE 4-H FOUNDATION UNIVERSITY OF MAINE"|"1213316"|""|""|""|""|""|""|""|""|""|""|""
"01-6018651"|"AMERICAN LEGION POST 0068"|"1213317"|""|""|""|""|""|""|""|""|""|""|""
"01-0021545"|"MAINE STATE CHAMBER OF COMMERCE"|"1215298"|""|""|""|""|""|""|""|""|""|""|""
"01-0347504"|"COASTAL ENTERPRISES INC"|"1215299"|""|""|""|""|""|""|""|""|""|""|""
"01-0370309"|"JOHN BAPST MEMORIAL HIGH SCHOOL"|"1215301"|""|""|""|""|""|""|""|""|""|""|""
"01-0518745"|"MAINE MANUFACTURING EXTENSION PARTNERSHIP"|"1215303"|""|""|""|""|""|""|""|""|""|""|""
"01-0569965"|"Hillel at Binghamton Inc"|"1215304"|""|""|""|""|""|""|""|"N"|""|""|""
"01-0723951"|"J C S Band Boosters Inc"|"1215305"|""|""|""|""|""|""|""|""|""|""|""
"01-0745909"|"Academy For New Musical Theatre"|"1215306"|""|""|""|""|""|""|""|""|""|""|""
"01-0269301"|"MAINE ASSOCIATION OF REALTORS"|"1216571"|""|""|""|""|""|""|""|""|""|""|""
"01-0418902"|"UNITED BIKERS OF MAINE"|"1216572"|""|""|""|""|""|""|"Y"|""|""|""|""
"01-0484605"|"ALBION ASSOCIATES"|"1216573"|""|""|""|""|""|""|""|""|""|""|""
"01-0491904"|"MAINE RENEWABLE ENERGY ASSOCIATION"|"1216574"|""|""|""|""|""|""|""|""|""|""|""
"01-0788905"|"MASTER BREWERS ASSOCIATION OF THE AMERICAS INC"|"1216575"|""|""|""|""|""|""|""|""|""|""|""
"01-0891955"|"COALITION AGAINST DOMAIN NAME ABUSE INC"|"1216576"|""|""|""|""|""|""|""|""|""|""|""
"01-6019359"|"BOOTHBAY REGION STUDENT AID FUND, INC."|"1217615"|""|""|""|""|""|""|""|""|""|""|""
"01-6026691"|"Veterans of Foreign Wars of the 7865 Harvell Bishop Post"|"1217769"|""|""|""|""|""|""|""|"N"|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"1217810"|""|""|""|""|""|""|""|""|""|""|""
"01-0269460"|"CHEWONKI FOUNDATION INC"|"1217811"|""|""|""|""|""|""|""|""|""|""|""
"01-0360259"|"Southern Maine Agency on Aging"|"1217812"|""|""|""|""|""|""|""|""|""|""|""
"01-0375969"|"MAINE AQUACULTURE ASSOCIATION"|"1217813"|""|""|""|""|""|""|""|"N"|""|""|""
"01-0378758"|"Maine College of Art"|"1217814"|"Y"|"Y"|""|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""
"01-0416755"|"MAINE CENTER ON DEAFNESS"|"1217815"|""|""|""|""|""|""|""|""|""|""|""
"01-0445163"|"Anson Madison Starks Ambulance"|"1217816"|""|""|""|""|""|""|""|""|""|""|""
"01-0483267"|"Institute for Civic Leadership"|"1217817"|""|""|""|""|""|""|""|""|""|""|""
"01-0493055"|"CLUB SEBAGO ASSOCIATION"|"1217818"|""|""|""|""|""|""|""|""|""|""|""
"01-0495262"|"SHAW HOUSE"|"1217819"|""|""|""|""|""|""|""|""|""|""|""
"01-0578476"|"BRANDYWINE SCHOOL OF EARLY LEARNING INC"|"1217821"|""|""|""|""|""|""|""|""|""|""|""
"01-0660264"|"TEAM ACADEMY CHARTER SCHOOL INC"|"1217823"|""|""|""|""|""|""|""|""|""|""|""
"01-0882170"|"TOP HOUSE INC"|"1217825"|""|""|""|""|""|""|""|""|""|""|""
"01-6019960"|"WALTON LINCOLN TRUST OCHR 20 -101160023840"|"1217826"|""|""|""|""|""|""|""|""|""|""|""
"01-0412269"|"Downeast Family Young Men's Christian Association"|"1219892"|""|""|""|""|""|""|""|"N"|""|""|""
"01-0414169"|"THE WOODLANDS CLUB"|"1219893"|""|""|""|""|""|""|""|""|""|""|""
"01-0508465"|"HOSPICE REGATTA OF MAINE"|"1219894"|""|""|""|""|""|""|""|""|""|""|""
"01-0523156"|"PHILLIPS-STRICKLAND CHARITIES"|"1219896"|""|""|""|""|""|""|""|""|""|""|""
"01-0523162"|"PSH PROPERTIES II"|"1219897"|""|""|""|""|""|""|""|""|""|""|""
"01-0671151"|"American Friends of Lucerne Festivatl"|"1219899"|""|""|""|""|""|""|""|""|""|""|""
"01-0674962"|"SHINER NURSING & REHAB CENTER INC"|"1219900"|""|""|""|""|""|""|""|""|""|""|""
"01-0717802"|"GLOBAL VISION CITADELLE MINISTRIES INC"|"1219901"|""|""|""|""|""|""|""|""|""|""|""
"01-0771671"|"SUB-SAHARAN AFRICAN YOUTH AND FAMIL"|"1219902"|""|""|""|""|""|""|""|""|""|""|""
"01-0771966"|"Fibromuscular Dysplasia Society of America Inc"|"1219903"|""|""|""|""|""|""|""|""|""|""|""
"01-0813672"|"ASIAN FESTIVAL CORP"|"1219904"|""|""|""|""|""|""|""|""|""|""|""
"01-0897461"|"United African Organization"|"1219905"|""|""|""|""|""|""|""|""|""|""|""
"01-0897469"|"SEIU HEALTHCARE MICHIGAN"|"1219906"|""|""|""|""|""|""|""|""|""|""|""
"01-0909860"|"COMMUNITY CONNECTIONS OF NY INC"|"1219907"|""|""|""|""|""|""|""|""|""|""|""
"01-6010068"|"FARMINGTON PUBLIC LIBRARY ASS"|"1219908"|""|""|""|""|""|""|""|""|""|""|""
"01-0211568"|"CUMBERLAND COUNTY YMCA"|"1221712"|""|""|""|""|""|""|""|""|""|""|""
"01-0224898"|"Hebron Academy Incorporated"|"1221713"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|"N"|""|"39884.0000"|""
"01-0272879"|"Skills Inc"|"1221714"|""|""|""|""|""|""|""|""|""|""|""
"01-0339489"|"St Joseph's Rehabilitation & Residence"|"1221715"|""|""|""|""|""|""|""|""|""|""|""
"01-0356077"|"CENTRAL MAINE MEDICAL CENTER COLLEGE OF NURSING AND HEALTH PROFESSIONS"|"1221716"|""|""|""|""|""|""|""|""|""|""|""
"01-0387674"|"CENTRAL MAINE REAL ESTATE MANAGEMENT CORP"|"1221717"|""|""|""|""|""|""|""|""|""|""|""
"01-0487091"|"COASTAL MEDICAL CARE"|"1221719"|""|""|""|""|""|""|""|""|""|""|""
"01-0489978"|"SOUTHERN MAINE ECONOMIC DEVELOPMENT DISTRICT"|"1221720"|""|""|""|""|""|""|""|""|""|""|""
"01-0553478"|"EAST MOUNTAIN HOSPITAL INC"|"1221721"|""|""|""|""|""|""|""|""|""|""|""
"01-0560081"|"NATIONAL NURSING CENTERS CONSORTIUM INC"|"1221722"|""|""|""|""|""|""|""|""|""|""|""
"01-0631375"|"COMMUNITY BASED CARE OF CENTRAL FLORIDAINC"|"1221723"|""|""|""|""|""|""|""|""|""|""|""
"01-0662680"|"TIFTON JUDICIAL CIRCUIT SHELTER INC"|"1221725"|""|""|""|""|""|""|""|""|""|""|""
"01-0719892"|"ALEXANDER HAMILTON HOME-SCHOOL ASSOCIATION"|"1221726"|""|""|""|""|""|""|""|"N"|""|""|""
"01-0727280"|"BRONX CHARTER SCHOOL FOR THE ARTS"|"1221727"|""|""|""|""|""|""|""|""|""|""|""
"01-0728178"|"ALVEOLI CORPORATION"|"1221728"|""|""|""|""|""|""|""|""|""|""|""
"01-0833578"|"ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH SCHOOL"|"1221729"|""|""|""|""|""|""|""|""|""|""|""
"01-0833582"|"ALLIANCE HUNTINGTON PARK COLLEGE-READY ACADEMY HIGH SCHOOL"|"1221730"|""|""|""|""|""|""|""|""|""|""|""
"01-0833588"|"ALLIANCE RICHARD MERKIN MIDDLE SCHOOL"|"1221731"|""|""|""|""|""|""|""|""|""|""|""
"01-6023681"|"VISITING BOARD OF THE CHILDREN'S HOSPITAL"|"1221732"|""|""|""|""|""|""|""|""|""|""|""
"02-0114695"|"CAMP TECUMSEH INC"|"1221733"|""|""|""|""|""|""|""|""|""|""|""
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"1221734"|""|""|""|""|""|""|""|""|""|""|""
"02-0222182"|"SAINT ANSELM COLLEGE"|"1221735"|""|""|""|""|""|""|""|""|""|""|""
"02-0242389"|"GREAT BAY SERVICES INC"|"1221737"|""|""|""|""|""|""|""|""|""|""|""
"01-0116390"|"SHRINERS INTERNATIONAL"|"1224767"|""|""|""|""|""|""|""|""|""|""|""
"01-0210495"|"American Legion Post 0015 Henry Pratt"|"1224768"|""|""|""|""|""|""|""|""|""|""|""
"01-0220091"|"NORTHEAST HARBOR LIBRARY"|"1224769"|""|""|""|""|""|""|""|""|""|""|""
"01-0261795"|"FIVE COUNTY CREDIT UNION"|"1224770"|""|""|""|""|""|""|""|""|""|""|""
"01-0376890"|"Pines Health Services"|"1224771"|""|""|""|""|""|""|""|""|""|""|""
"01-0478281"|"FRIENDS OF FORT KNOX"|"1224772"|"Y"|""|""|"Y"|""|""|"Y"|"N"|""|""|""
"01-0562689"|"Triangle Lightning"|"1224773"|""|""|""|""|""|""|""|""|""|""|""
"01-0628076"|"GIRLS ON THE RUN OF SILICON VALLEY INC"|"1224774"|""|""|""|""|""|""|""|""|""|""|""
"01-0670794"|"Together Enhancing Autism Awareness in Mississippi"|"1224775"|""|""|""|""|""|""|""|""|""|""|""
"01-0686191"|"4th Street Basement Boutique"|"1224776"|""|""|""|""|""|""|""|""|""|""|""
"01-0849087"|"Open Space Alliance for North Brooklyn Inc"|"1224777"|""|""|""|""|""|""|""|"N"|""|""|""
"01-0953997"|"Beacon of Hope"|"1224778"|""|""|""|""|""|""|""|""|""|""|""
"01-6162280"|"King-Thomas Scholarship Trust"|"1224779"|""|""|""|""|""|""|""|""|""|""|""
"02-0211990"|"AMERICAN LEGION CLUB WHITEMAN-DAVIDSON POST 49"|"1224781"|""|""|""|""|""|""|""|""|""|""|""
"02-0223176"|"NEW HAMPSHIRE MEDICAL SOCIETY"|"1224782"|""|""|""|""|""|""|""|""|""|""|""
"01-0496076"|"FRATERNAL ORDER OF EAGLES #4352"|"1226617"|""|""|""|""|""|""|""|""|""|""|""
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"1226619"|""|""|""|""|""|""|""|""|""|""|""
"01-0961799"|"HOPE BUILDERS INTERNATIONAL"|"1226885"|""|""|""|""|""|""|""|""|""|""|""
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC"|"1227102"|""|""|""|""|""|""|""|""|""|""|""
"01-0452403"|"DOWNEAST INSTITUTE FOR APPLIED MARINE RESEARCH AND EDUCATION, INC."|"1227499"|""|""|""|""|""|""|""|""|""|""|""
"01-0377901"|"Eastern Maine Medical Center Auxiliary"|"1227546"|""|""|""|""|""|""|""|"N"|""|""|"0.0000"
"01-0501407"|"UNION WORKERS BENEFITS TRUST"|"1227547"|""|""|""|""|""|""|""|""|""|""|""
"01-0206603"|"COMMUNITY CREDIT UNION"|"1227768"|""|""|""|""|""|""|""|""|""|""|""
"01-0207022"|"FAIRMOUNT CEMETERY ASSOC"|"1227769"|""|""|""|""|""|""|""|""|""|""|""
"01-0317602"|"Oceanview Manor Inc"|"1227770"|""|""|""|""|""|""|""|""|""|""|""
"01-0347202"|"HILL STREET TERRACE HOUSING CORPORATION"|"1227771"|""|""|""|""|""|""|""|""|""|""|""
"01-0434603"|"WOMEN UNLIMITED"|"1227772"|""|""|""|""|""|""|""|""|""|""|""
"01-0645907"|"LIFE EDUCATION FOUNDATION"|"1227773"|""|""|""|""|""|""|""|""|""|""|""
"01-0654320"|"The Lio Mission Inc."|"1227774"|""|""|""|""|""|""|""|""|""|""|""
"01-0659307"|"Jefferson Park Ministries, Inc"|"1227775"|""|""|""|""|""|""|""|"N"|"0.0000"|"0.0000"|"0.0000"
"01-0808707"|"ISLAMIC ORGANIZATION OF NORTH AMERICA"|"1227776"|""|""|""|""|""|""|""|""|""|""|""
"01-0908221"|"HOLSTEN HUMAN CAPITAL DEVELOPMENT NFP"|"1227777"|""|""|""|""|""|""|""|""|""|""|""
"01-0750822"|"TMG FOUNDATION"|"1237240"|""|""|""|""|""|""|""|""|""|""|""
"01-0227132"|"LE PARESSEUX INC"|"1237523"|""|""|""|""|""|""|""|""|""|""|""
"01-0273431"|"Centerboard Yacht Club"|"1237562"|""|""|""|""|""|""|""|""|""|""|""
"01-0386912"|"CENTRAL MAINE COMMUNITY HEALTH CORPORATION"|"1237564"|""|""|""|""|""|""|""|""|""|""|""
"01-0391208"|"LA ARTS"|"1237565"|""|""|""|""|""|""|""|""|""|""|""
"01-0749311"|"UFCW UNIONS & PARTICIPATING EMPLOYERS HEALTH & WELFARE FUND"|"1237566"|""|""|""|""|""|""|""|""|""|""|""
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS, INC."|"1237825"|""|""|""|""|""|""|""|""|""|""|""
"01-0216933"|"MAINE MEDICAL ASSOCIATION"|"1237826"|""|""|""|""|""|""|""|""|""|""|""
"01-0237912"|"Boothbay Region YMCA"|"1237827"|""|""|""|""|""|""|""|""|""|""|""
"01-0325912"|"MATTANAWCOOK TERRACE HOUSING CORPORATION"|"1237828"|""|""|""|""|""|""|""|""|""|""|""
"01-0357213"|"FREEPORT CONSERVATION TRUST"|"1237829"|""|""|""|""|""|""|""|""|""|""|""
"01-0425010"|"Camp Runoia Alumnae Organization"|"1237830"|""|""|""|""|""|""|""|""|""|""|""
"01-0528014"|"MAINE FARMLAND TRUST"|"1237831"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"60000.0000"|""
"01-0566111"|"SCHENECTADY COMMUNITY HOME INC"|"1237832"|""|""|""|""|""|""|""|""|""|""|""
"01-0570609"|"Camp Smile Foundation Inc"|"1237833"|""|""|""|""|""|""|""|""|""|""|""
"01-0649812"|"TWINSBURG YOUTH SOFTBALL LEAGUE INC"|"1237834"|""|""|""|""|""|""|""|""|""|""|""
"01-0701611"|"VISION HOPE COMMUNITY DEVELOPMENT"|"1237835"|""|""|""|""|""|""|""|""|""|""|""
"01-0773533"|"FIRST BAPTIST CHILDREN'S ACADEMY INC"|"1237837"|""|""|""|""|""|""|""|""|""|""|""
"01-0786312"|"Missouri Valley Eclipse Amateur Athletic Club"|"1237839"|""|""|""|""|""|""|""|""|""|""|""
"01-0932008"|"A A PLUS"|"1237843"|""|""|""|""|""|""|""|""|""|""|""
"01-0939609"|"POOO OF LIFE OUTREACH MINISTRlES INC"|"1237844"|""|""|""|""|""|""|""|""|""|""|""
"01-6014031"|"ST MARKS HOME FOR WOMEN"|"1237845"|""|""|""|""|""|""|""|""|""|""|""
"01-0052260"|"Cumberland Club"|"1239610"|""|""|""|""|""|""|""|""|""|""|""
"01-0061310"|"Fraternal Order of Eagles"|"1239612"|""|""|""|""|""|""|""|""|""|""|""
"01-0211533"|"MCARTHUR LIBRARY ASSOCIATION"|"1239613"|""|""|""|""|""|""|""|""|""|""|""
"01-0345660"|"BOOTHBAY REGION AMBULANCE SERVICE"|"1239614"|""|""|""|""|""|""|""|""|""|""|""
"01-0465231"|"Norumbega Medical Specialists LTD"|"1240159"|""|""|""|""|""|""|""|""|""|""|""
"01-0564032"|"THE INSTITUTE FOR GIS STUDIES, INC."|"1240304"|""|""|""|""|""|""|""|""|""|""|""
"01-0339631"|"BIDDEFORD YOUTH HOCKEY ASSOCIATION"|"1240712"|""|""|""|""|""|""|""|""|""|""|""
"01-0861643"|"PUTNAM LAND CONSERVANCY,INC"|"1240892"|""|""|""|""|""|""|""|""|""|""|""
"01-0502563"|"CAMP BEECH CLIFF"|"1241170"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"Y"|"Y"|"27915.0000"|"14900.0000"|"13015.0000"
"01-0732928"|"US RUSSIA FOUNDATION FOR ECONOMIC ADVANCEMENT AND THE RULE OF LAW"|"1241171"|""|""|""|""|""|""|""|""|""|""|""
"02-0222123"|"Capital Region Health Care Corporation"|"1241172"|""|""|""|""|""|""|""|""|""|""|""
"01-0029480"|"BIDDEFORD-SACO CHAMBER OF COMMERCE"|"1241393"|""|""|""|""|""|""|""|""|""|""|""
"01-0288480"|"THREE RIVERS AMBULANCE SERVICE"|"1241394"|""|""|""|""|""|""|""|""|""|""|""
"01-0323915"|"Ambulance Service Inc"|"1241395"|""|""|""|""|""|""|""|""|""|""|""
"01-0366464"|"KATAHDIN SHARED SERVICES"|"1241396"|""|""|""|""|""|""|""|""|""|""|""
"01-0372129"|"NORTH AMERICAN LAKE MANAGEMENT SOCIETY"|"1241397"|""|""|""|""|""|""|""|""|""|""|""
"01-0425115"|"MID-MAINE HOMELESS SHELTER"|"1241399"|""|""|""|""|""|""|""|""|""|""|""
"01-0448263"|"Ronald McDonald House Charities of Maine, Inc."|"1241400"|""|""|""|""|""|""|""|""|""|""|""
"01-0565782"|"The China Training Networks"|"1241402"|""|""|""|""|""|""|""|""|""|""|""
"01-0589927"|"MINOT COMMUNITY FOUNDATION"|"1241403"|""|""|""|""|""|""|""|""|""|""|""
"01-0629345"|"VOLUNTEER CHRISTIAN TELEVISION INC"|"1241405"|""|""|""|""|""|""|""|""|""|""|""
"01-0716364"|"Branch Brook Park Alliance,Inc."|"1241406"|"Y"|""|""|""|"Y"|"Y"|""|"Y"|"240500.0000"|"66353.0000"|"174147.0000"
"01-0769341"|"PARENTS OF AUTISTIC CHILDREN OF NORTHERN VIRGINIA"|"1241407"|""|""|""|""|""|""|""|""|""|""|""
"01-0790641"|"J AUSTIN WHITE CULTURAL CENTER INC"|"1241408"|""|""|""|""|""|""|""|""|""|""|""
"01-0964541"|"PRAISEALUJAH DISCIPLESHIP"|"1241410"|""|""|""|""|""|""|""|""|""|""|""
"01-6010628"|"MUSEUM OF ART OF OGUNQUIT"|"1241411"|""|""|""|""|""|""|""|""|""|""|""
"01-0414441"|"Maine Migrant Health Program, Inc."|"1243144"|""|""|""|""|""|""|""|""|""|""|""
"01-0547918"|"MAIN STREET MOBILE TREATMENT ASSOC"|"1243146"|""|""|""|""|""|""|""|""|""|""|""
"01-0540981"|"COMMUNITY CONCEPTS FINANCE CORPORATION"|"1243569"|""|""|""|""|""|""|""|""|""|""|""
"01-0838125"|"S.A.F.E. FAMILY MINISTRIES"|"1243636"|""|""|""|""|""|""|""|""|""|""|""
"01-0430751"|"Rosscare Nursing Homes, Inc."|"1243941"|""|""|""|""|""|""|""|""|""|""|""
"01-0735034"|"REED ACADEMY"|"1243942"|""|""|""|""|""|""|""|"N"|""|""|""
"01-6020406"|"York County Community Action Corporation"|"1243943"|""|""|""|""|""|""|""|""|""|""|""
"01-0504905"|"GULF OF MAINE RESEARCH INSTITUTE"|"1244173"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|"18633.0000"|""
"01-0557881"|"GRANDIN THEATRE FOUNDATION, INC."|"1244174"|""|""|""|""|""|""|""|""|""|""|""
"01-0576305"|"ANNALS OF FAMILY MEDICINE INC"|"1244175"|""|""|""|""|""|""|""|""|""|""|""
"01-0596305"|"RESCUEGROUPSORG INC"|"1244176"|""|""|""|""|""|""|""|""|""|""|""
"01-0597551"|"THE CRADDOCK CENTER INC"|"1244177"|""|""|""|""|""|""|""|""|""|""|""
"01-0628727"|"SUNSET WOODS ASSOCIATION"|"1244178"|""|""|""|""|""|""|""|""|""|""|""
"01-0681241"|"CERTIFIED FUNCTIONAL SAFETY EXPERT GOVERNANCE BOARD INC"|"1244179"|""|""|""|""|""|""|""|""|""|""|""
"01-0705428"|"Unkrainian Ministry, Inc."|"1244180"|""|""|""|""|""|""|""|""|""|""|""
"01-0890941"|"LAHAK HANOCHOS INC"|"1244181"|""|""|""|""|""|""|""|""|""|""|""
"02-0103705"|"HENRY J SWEENEY POST NO 2, NEW HAMPSHIRE"|"1244182"|""|""|""|""|""|""|""|""|""|""|""
"01-0421234"|"Lakewood A Continuing Care Center"|"1245514"|""|""|""|""|""|""|""|""|""|""|""
"01-0607464"|"WESTMORELAND APARTMENTS, INC."|"1245515"|""|""|""|""|""|""|""|""|""|""|""
"01-0276862"|"UNITED WAY OF YORK COUNTY"|"1245614"|""|""|""|""|""|""|""|""|""|""|""
"01-0309364"|"DEERING MEMORIAL POST 6859, VFW"|"1245615"|""|""|""|""|""|""|""|""|""|""|""
"01-0444245"|"MAINESHARE"|"1245616"|""|""|""|""|""|""|""|""|""|""|""
"01-0939141"|"RESTAURANT OPPORTUNITIES CENTERS UNITED"|"1245617"|""|""|""|""|""|""|""|""|""|""|""
"01-0697940"|"WOMEN IN PROGRESS INC"|"1246334"|""|""|""|""|""|""|""|""|""|""|""
"01-0730818"|"CIUDAD DE ANGELES INC"|"1246335"|""|""|""|""|""|""|""|""|""|""|""
"01-0851830"|"REGULATORY COMPLIANCE ASSOCIATION"|"1246600"|""|""|""|""|""|""|""|""|""|""|""
"01-0328376"|"EASTERN AREA AGENCY ON AGING"|"1246697"|""|""|""|""|""|""|""|""|""|""|""
"01-0424969"|"COMMUNITY CONCEPTS INC"|"1246698"|""|""|""|""|""|""|""|""|""|""|""
"01-0491854"|"EqualityMaine"|"1246699"|""|""|""|""|""|""|""|""|""|""|""
"01-0493897"|"Sunrise County Economic Council"|"1246700"|""|""|""|""|""|""|""|""|""|""|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"1246701"|""|""|""|""|""|""|""|""|""|""|""
"01-0790552"|"Theater Arts Group"|"1246702"|""|""|""|""|""|""|""|""|""|""|""
"01-0211798"|"Mount Desert Nursing Association"|"1247311"|""|""|""|""|""|""|""|""|""|""|""
"01-0275875"|"METHODIST CONFERENCE HOME INC"|"1247313"|""|""|""|""|""|""|""|""|""|""|""
"01-0278130"|"MEMORIAL AMBULANCE CORPS"|"1247314"|""|""|""|""|""|""|""|""|""|""|""
"01-0313050"|"FIRST PARISH CEMETERY ASSOC-YORK"|"1247315"|""|""|""|""|""|""|""|""|""|""|""
"01-0317899"|"DOVER-FOXCROFT HOUSING DEVELOPMENT CORPORATION"|"1247316"|""|""|""|""|""|""|""|""|""|""|""
"01-0332278"|"BRADFORD HOUSING CORP"|"1247317"|""|""|""|""|""|""|""|""|""|""|""
"01-0342399"|"ST ANDRE HEALTH CARE FACILITY"|"1247318"|""|""|""|""|""|""|""|""|""|""|""
"01-0353284"|"MATTAWAMKEAG HOUSING CORPORATION"|"1247319"|""|""|""|""|""|""|""|""|""|""|""
"01-0353352"|"NEW MARBLEHEAD SENIORS HOUSING CORP"|"1247320"|""|""|""|""|""|""|""|""|""|""|""
"01-0357595"|"Somerset Humane Society"|"1247321"|""|""|""|""|""|""|""|""|""|""|""
"01-0357799"|"ORRINGTON HOUSING CORPORATION"|"1247322"|""|""|""|""|""|""|""|""|""|""|""
"01-0360077"|"New Beginnings, Inc."|"1247323"|""|""|""|""|""|""|""|""|""|""|""
"01-0505695"|"BOSSOV BALLET THEATRE"|"1247324"|""|""|""|""|""|""|""|""|""|""|""
"01-0542054"|"FAIRBANKS SCHOOL NEIGHBORHOOD ASSOCIATION, Inc"|"1247326"|""|""|""|""|""|""|""|""|""|""|""
"01-0549750"|"FLORIDA ASSISTED LIVING AFFILIATION INC"|"1247327"|""|""|""|""|""|""|""|""|""|""|""
"01-0574830"|"NCCNEUMANN SENIOR HOUSING CORPORATION"|"1247328"|""|""|""|""|""|""|""|""|""|""|""
"01-0584930"|"Richmond County Medical Society Project Access Inc"|"1247329"|""|""|""|""|""|""|""|""|""|""|""
"01-0597067"|"THE GARRISON INSTITUTE, INC."|"1247330"|""|""|""|""|""|""|""|""|""|""|""
"01-0697869"|"ATZUM, INC"|"1247331"|""|""|""|""|""|""|""|""|""|""|""
"01-0711547"|"CROSS-GENERATION DBA CONNECTED FAMILIES"|"1247332"|""|""|""|""|""|""|""|""|""|""|""
"01-0747396"|"VOUGHT AIRCRAFT HERITAGE FOUNDATION"|"1247333"|""|""|""|""|""|""|""|""|""|""|""
"01-0761875"|"LOS ANGELES PRESS CLUB"|"1247334"|""|""|""|""|""|""|""|""|""|""|""
"01-0788484"|"WINDMOOR FOUNDATION, INC."|"1247335"|""|""|""|""|""|""|""|""|""|""|""
