"C_EIN"|"C_Org_Name"|"GOV_GRANT_ID"|"XML_DOCUMENT_ID"|"ORG_NAME"|"STREET"|"CITY"|"STATE"|"COUNTRY"|"ZIP"|"EIN"|"SECTION"|"ORG_CASH"|"ORG_NON_CASH"|"ORG_METHOD_VALUE"|"ORG_DESCR_NON_CASH"|"GRANT_PURPOSE"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635594"|"1774776"|"THE HARVEST HOUSE FOOD PROGRAM"|"2204 NICHOLS ST"|"BAY CITY"|"TX"|"USA"|"77414"|"74-2066335"|"501(C)3"|"4000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635595"|"1774776"|"SERVE OUTDOORS INC"|"PO BOX 238"|"MARKHAM"|"TX"|"USA"|"77456"|"26-3257195"|"501(C)3"|"4000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635596"|"1774776"|"PATRIOTS AND HEROES"|"PO BOX 1663"|"EL CAMPO"|"TX"|"USA"|"77437"|"27-4257441"|"501(C)3"|"4000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635597"|"1774776"|"BEYOND FAMILY"|"11208 FREESTONE AVENUE"|"PEARLAND"|"TX"|"USA"|"77584"|"27-4335961"|"501(C)3"|"4000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635598"|"1774776"|"CLUTE PARKS & RECREATION DEPARTMENT-SPECIAL OLYMPICS SOFTBALL"|"115 BARBARA DRIVE"|"CLUTE"|"TX"|"USA"|"77531"|"74-1998367"|"501(C)3"|"5000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635599"|"1774776"|"TEXAS GAME WARDEN ASSOCIATION"|"PO BOX 1930"|"KYLE"|"TX"|"USA"|"78640"|"75-1707293"|"501(C)3"|"6000.0000"|""|""|""|"SCHOLARSHIP SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635600"|"1774776"|"SOCIETY OF PROFESSIONAL WOMEN IN PETROLEUM INC"|"PO BOX 550788"|"HOUSTON"|"TX"|"USA"|"77255"|"76-0094424"|"501(C)3"|"6000.0000"|""|""|""|"SCHOLARSHIP SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635601"|"1774776"|"BLUEBONNET YOUTH RANCH"|"PO BOX 90"|"YOAKUM"|"TX"|"USA"|"77995"|"74-1680623"|"501(C)3"|"6000.0000"|""|""|""|"HOUSING SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635602"|"1774776"|"TEXAS RANGERS COMPANY A"|"12230 WEST ROAD"|"HOUSTON"|"TX"|"USA"|"77065"|"73-6000130"|"501(C)3"|"6000.0000"|""|""|""|"SCHOLARSHIP SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635603"|"1774776"|"COMBAT MARINE OUTDOORS"|"2555 CENTRAL PARKWAY"|"HOUSTON"|"TX"|"USA"|"77092"|"27-1469261"|"501(C)3"|"6000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635604"|"1774776"|"BIG BROTHERS BIG SISTERS OF SOUTHEAST TEXAS"|"6437 HIGH STAR"|"HOUSTON"|"TX"|"USA"|"77074"|"75-0800632"|"501(C)3"|"7000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635605"|"1774776"|"MATAGORDA EPISCOPAL HEALTH OUTREACH PROGRAM (MEHOP)"|"101 AVENUE F NORTH"|"BAY CITY"|"TX"|"USA"|"77414"|"20-0537948"|"501(C)3"|"7000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635606"|"1774776"|"TONY'S PROSTATE CANCER RESEARCH"|"PO BOX 7456"|"HOUSTON"|"TX"|"USA"|"77248"|"35-2187721"|"501(C)3"|"7500.0000"|""|""|""|"RESEARCH SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635607"|"1774776"|"BAY CITY-BOY SCOUT TROOP 45"|"PO BOX 1754"|"BAY CITY"|"TX"|"USA"|"77404"|"22-1576300"|"501(C)3"|"8000.0000"|""|""|""|"COMMUNITY SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635608"|"1774776"|"MATAGORDA VOLUNTEER FIRE DEPARTMENT (EMS)"|"PO BOX 70"|"MATAGORDA"|"TX"|"USA"|"77457"|"76-0426346"|"501(C)3"|"8000.0000"|""|""|""|"COMMUNITY SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635609"|"1774776"|"MATAGORDA COUNTY WOMEN'S CRISIS CENTER INC"|"PO BOX 1820"|"BAY CITY"|"TX"|"USA"|"77414"|"74-2316319"|"501(C)3"|"8000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635610"|"1774776"|"TERESA L HERBERT MEMORIAL FOUNDATION"|"PO BOX 477"|"ROSHARON"|"TX"|"USA"|"77583"|"76-0667147"|"501(C)3"|"8000.0000"|""|""|""|"SCHOLARSHIP SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635611"|"1774776"|"MASONIC LODGE OF MATAGORDA COUNTY"|"PO BOX 31"|"MATAGORDA"|"TX"|"USA"|"77024"|"51-0204861"|"501(C)3"|"8000.0000"|""|""|""|"SCHOLARSHIP SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635612"|"1774776"|"BOYS & GIRLS CLUB OF PALACIOS"|"1211 KAREN"|"EL CAMPO"|"TX"|"USA"|"77437"|"76-0364956"|"501(C)3"|"8000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635613"|"1774776"|"BAY CITY BOYS & GIRLS CLUB"|"PO BOX 762"|"BAY CITY"|"TX"|"USA"|"77404"|"76-0684690"|"501(C)3"|"8000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635614"|"1774776"|"CCA TEXAS TOMORROW FUND SCHOLARSHIP"|"6919 PORTWEST DR SUITE 100"|"HOUSTON"|"TX"|"USA"|"77024"|"74-1984482"|"501(C)3"|"10000.0000"|""|""|""|"SCHOLARSHIP ASSISTANCE"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635615"|"1774776"|"STILL WATER CHRISTIAN MINISTRIES"|"PO BOX 1885"|"BOERNE"|"TX"|"USA"|"78006"|"74-3007857"|"501(C)3"|"10000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635616"|"1774776"|"TEXAS VOLUNTEER FIRE FIGHTERS FUND"|"37603 MEADOW WOOD GREEN"|"MAGNOLIA"|"TX"|"USA"|"77355"|"76-0652636"|"501(C)3"|"15000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635617"|"1774776"|"TEXAS A&M FOUNDATION"|"PO BOX 1675"|"GALVESTON"|"TX"|"USA"|"77553"|"74-2245072"|"501(C)3"|"10000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635618"|"1774776"|"HOUSTON ACHIEVEMENT PLACE"|"245 WEST 17TH STREET"|"HOUSTON"|"TX"|"USA"|"77008"|"74-1802045"|"501(C)3"|"10000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635619"|"1774776"|"MAN TO MAN"|"PO BOX 4629"|"VICTORIA"|"TX"|"USA"|"77903"|"75-2966852"|"501(C)3"|"6500.0000"|""|""|""|"TRAINING SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635620"|"1774776"|"KATY WOLF PACK - SPECIAL OLYMPICS TEXAS"|"23315 FAIRBRANCH DR"|"KATY"|"TX"|"USA"|"77494"|"74-1998367"|"501(C)3"|"10000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635621"|"1774776"|"MATAGORDA UNITED METHODIST CHURCH (MINISTERIAL ALLIANCE)"|"PO BOX 113"|"MATAGORDA"|"TX"|"USA"|"77457"|"74-1849225"|"501(C)3"|"12000.0000"|""|""|""|"COMMUNITY SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635622"|"1774776"|"ALIEF INDEPENDENT SCHOOL DISTRICT"|"12135 HIGH STAR"|"ALIEF"|"TX"|"USA"|"77072"|"76-0410864"|"501(C)3"|"12000.0000"|""|""|""|"NEW UNIFORMS SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635623"|"1774776"|"YELLOWSTONE ACADEMY"|"3000 TRULLEY ST"|"HOUSTON"|"TX"|"USA"|"77004"|"76-0686870"|"501(C)3"|"9000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635624"|"1774776"|"AMERICAN RED CROSS-MATAGORDA COUNTY"|"PO BOX 522"|"BAY CITY"|"TX"|"USA"|"77404"|"76-0377586"|"501(C)3"|"13000.0000"|""|""|""|"COMMUNITY SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635625"|"1774776"|"LUKE & RACHEL BATTEN FOUNDATION"|"15210 MESA RED COURT"|"CYPRESS"|"TX"|"USA"|"77433"|"32-0011285"|"501(C)3"|"20000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635626"|"1774776"|"FORGOTTEN ANGELS INC"|"7918 BROADWAY SUITE 104"|"PEARLAND"|"TX"|"USA"|"77581"|"76-0638579"|"501(C)3"|"25000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635627"|"1774776"|"PROJECT JOY AND HOPE OF TEXAS"|"PO BOX 5111"|"PASADENA"|"TX"|"USA"|"77508"|"76-0646721"|"501(C)3"|"30000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635628"|"1774776"|"BOYS & GIRLS COUNTRY-HARRIS COUNTY"|"18806 ROBERTS ROAD"|"HOCKLEY"|"TX"|"USA"|"77447"|"74-6026198"|"501(C)3"|"60000.0000"|""|""|""|"HOUSING SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635629"|"1774776"|"SOUTH TEXAS CHILDREN'S HOME"|"PO BOX 1210"|"BEEVILLE"|"TX"|"USA"|"78104"|"74-1222260"|"501(C)3"|"100000.0000"|""|""|""|"FOSTER HOME SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635630"|"1774776"|"SHRINE BURN HOSPITAL FOR CHILDREN - GALVESTON"|"815 MARKET ST"|"GALVESTON"|"TX"|"USA"|"77062"|"36-2193608"|"501(C)3"|"100000.0000"|""|""|""|"GENERAL SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635631"|"1774776"|"BRIDGEWOOD FARMS"|"11680 ROSE RD"|"CONROE"|"TX"|"USA"|"77303"|"74-1595096"|"501(C)3"|"100000.0000"|""|""|""|"PROGRAM SUPPORT"
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"635632"|"1774776"|"MATAGORDA CEMETERY ASSOCIATION"|"PO BOX 24"|"MATAGORDA"|"TX"|"USA"|"77457"|"74-1851805"|"501(C)13"|"12000.0000"|""|""|""|"MARKER RESTORATION PROJECT"
"01-0622078"|"MUSLIM WOMEN'S COALITION A NJ NONPTOFIT CORPORATION"|"635633"|"1774777"|"RWJ University Hospital Foundation"|""|""|""|"USA"|""|""|""|"1000.0000"|""|""|""|"TO PROMOTE ASSISTANCE TO NEEDY PEOPLETO ASSIST"
"01-0622078"|"MUSLIM WOMEN'S COALITION A NJ NONPTOFIT CORPORATION"|"635634"|"1774777"|"ISCA"|""|""|""|"USA"|""|""|""|"7738.0000"|""|""|""|"TO ASSISTTO ASSIST"
"01-0622078"|"MUSLIM WOMEN'S COALITION A NJ NONPTOFIT CORPORATION"|"635635"|"1774777"|"HHH"|""|""|""|"USA"|""|""|""|"700.0000"|""|""|""|"TO ASSIST"
"01-0885377"|"America Gives Back Inc"|"635636"|"1774778"|"Gobee Group LLC Cell- Ed"|"227 Bellevue Way NE Ste 270"|"Bellevue"|"WA"|"USA"|"98004"|""|""|"70000.0000"|"0.0000"|"Cash"|""|"Eradication of illiteracy"
"01-0717788"|"PROVIDING AUTISM LINKS & SUPPORT INC"|"663122"|"1778819"|"UCF-CARD"|"12424 RESEARCH PKWY 365"|"ORLANDO"|"FL"|"USA"|"32826"|"59-2924021"|""|"17000.0000"|""|""|""|"Equipment Purchase"
"01-0518193"|"ENVIRONMENT NORTHEAST"|"664467"|"1781421"|"NATIONAL CONSUMER LAW CENTER"|"7 WINTHROP SQUARE"|"BOSTON"|"MA"|"USA"|"02110-1245"|"04-2488502"|"501(C)(3)"|"40000.0000"|""|"FMV"|""|"COMMITMENT TO ENERGY EFFICIENCY AND RENEWABLE POWER AS A TOOL TO MEET MA AND OTHER NEW ENGLAND"
"01-0638224"|"Council For Educational Change Inc."|"671288"|"1783110"|"Carter G. Woodson Elementary"|"2334 Butler Avenue"|"Jacksonville"|"FL"|"USA"|"32209"|"59-6000589"|"GOV"|"30000.0000"|""|""|""|"Educational"
"01-0638224"|"Council For Educational Change Inc."|"671289"|"1783110"|"Coral Gables Senior High School"|"450 Bird road"|"Miami"|"FL"|"USA"|"33146"|"59-6000572"|"GOV"|"85000.0000"|""|""|""|"Educational"
"01-0638224"|"Council For Educational Change Inc."|"671290"|"1783110"|"Monroe Middle School"|"4716 Montgomery Avenue"|"Tampa"|"FL"|"USA"|"33616"|"59-6000660"|"GOV"|"100000.0000"|""|""|""|"Educational"
"01-0638224"|"Council For Educational Change Inc."|"671291"|"1783110"|"Reynolds Lane Elementary School"|"840 Reynolds Lane"|"Jacksonville"|"FL"|"USA"|"32254"|"59-6000589"|"GOV"|"25000.0000"|""|""|""|"Educational"
"01-0638224"|"Council For Educational Change Inc."|"671292"|"1783110"|"SA Hull Elementary"|"7528 Hull Street"|"Jacksonville"|"FL"|"USA"|"32219"|"59-6000589"|"GOV"|"25000.0000"|""|""|""|"Educational"
"01-0638224"|"Council For Educational Change Inc."|"671293"|"1783110"|"Village Academy Elementary School"|"400 SW 12th Avenue"|"Delray Beach"|"FL"|"USA"|"33444"|"59-6000783"|"GOV"|"100000.0000"|""|""|""|"Educational"
"01-0638224"|"Council For Educational Change Inc."|"671294"|"1783110"|"Sandy Lane Elementary"|"1360 Sandy Lane"|"Clearwater"|"FL"|"USA"|"33755"|"59-6000799"|"GOV"|"100000.0000"|""|""|""|"Educational"
"01-0638224"|"Council For Educational Change Inc."|"671295"|"1783110"|"Campbell Park Elementary"|"1051 7th Ave S"|"St. Petersburg"|"FL"|"USA"|"33705"|"59-6000799"|"GOV"|"100000.0000"|""|""|""|"Educational"
"01-0638224"|"Council For Educational Change Inc."|"671296"|"1783110"|"Misc. Others Less Than $5,000"|""|""|""|"USA"|""|""|""|"655.0000"|""|""|""|"Educational"
"01-6013485"|"BANGOR YMCA FOUNDATION"|"683610"|"1790163"|"BANGOR Y"|"17 SECOND STREET"|"BANGOR"|"ME"|"USA"|"04401"|"01-0211485"|"501(C)(3)"|"103050.0000"|"0.0000"|""|""|"CAPITAL NEEDS"
"01-0263198"|"Down East Community Hospital"|"687791"|"1788892"|"Sunrise Nursing Care Facility"|"11 Hospital Drive"|"Machias"|"ME"|"USA"|"04654"|"22-2582949"|"501(c)(3)"|"185305.0000"|""|""|""|"Support to affiliate for operations and capital acquisitions"
"01-0263198"|"Down East Community Hospital"|"687792"|"1788892"|"Vvomenis Health Resource Llbrary"|"PO BOX 463"|"Milbndge"|"ME"|"USA"|"04658"|"55-0880014"|"501(c)(3)"|"9079.0000"|""|""|""|"To support the Women's Health Resource Library"
"01-0773957"|"GIFTS OF LOVE INTERNATIONAL"|"713059"|"1816896"|"INTEGRITY AND GRACE MINISTRIES"|"18221 TORRENCE AVE"|"LANSING"|"IL"|"USA"|"60438"|"36-4186681"|"501(C)(3)"|"13000.0000"|""|"COST"|""|"TO HELP SUPPORT THE MINISTER AND HIS CHARITABLE WORKS"
"01-0773957"|"GIFTS OF LOVE INTERNATIONAL"|"713060"|"1816896"|"CELEBRATE JESUS OF HAITI INC"|"903 SILVER FOX DR"|"INNSBROOK"|"MO"|"USA"|"63390"|"45-0490339"|"501(C)(3)"|"74523.0000"|""|"COST"|""|"TO HELP SUPPORT THE ORGANIZATION AND ITS CHARITABLE WORKS IN HAITI"
"01-0467644"|"RAGGED MOUNTAIN REC AREA FOUNDATION"|"754164"|"1848259"|"TOWN OF CAMDEN"|"ELM STREET"|"CAMDEN"|"ME"|"USA"|"04843"|""|""|"362335.0000"|"0.0000"|""|""|"CONTRIBUTIONS TO WA RDS REDEVELOPMENT"
"01-0972999"|"LEGACY CONNECTIONS"|"754165"|"1848268"|"ROSE BOWL OPERATING COMPANY"|"1001 ROSE BOWL DRIVE"|"PASADENA"|"CA"|"USA"|"91103"|"95-4729202"|"501(C)(3)"|"2400000.0000"|"0.0000"|""|""|"PAYMENT FOR ROSE BOWL RENOVATIONS AND TO ROSE BOWL OPERATING COMMITTEE FOR AMERICAFEST"
"01-0593565"|"THE ONE CAMPAIGN"|"778306"|"1857752"|"ONE ACTION"|"1400 EYE STREET NW"|"WASHINGTON"|"DC"|"USA"|"20005"|"02-0544768"|"501(C)(4)"|"1530000.0000"|""|""|""|"DIRECT & GRASSROOTS LOBBYING AND EDUCATIONAL GRANT"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796521"|"1860547"|"ALAMEDA COUNTY HEALTH CARE SERVICES AGCY"|"1000 SAN LEANDRO BLVD SUITE 300"|"SAN LEANDRO"|"CA"|"USA"|"94577"|""|"GOVERNMENT"|"4000000.0000"|""|""|""|"GOVERNMENT & PUBLIC ADMINISTRATION"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796522"|"1860547"|"VANGUARD CHARITABLE ENDOWMENT PROGRAM"|"PO BOX 55766"|"BOSTON"|"MA"|"USA"|"02205-5766"|"23-2888152"|"501(C)(3)"|"3000000.0000"|""|""|""|"PHILANTHROPY, VOLUNTARISM & GRANTMAKING FOUNDATIONS N E C"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796523"|"1860547"|"SAN FRANCISCO MUSEUM OF MODERN ART"|"151 THIRD STREET"|"SAN FRANCISCO"|"CA"|"USA"|"94103-3159"|"94-1156300"|"501(C)(3)"|"2658838.0000"|""|""|""|"ARTS, CULTURE & HUMANITIES NEC"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796524"|"1860547"|"UC BERKELEY FOUNDATION"|"2080 ADDISON STREET 4200"|"BERKELEY"|"CA"|"USA"|"94720"|"94-6090626"|"501(C)(3)"|"2634579.0000"|""|""|""|"SINGLE ORGANIZATION SUPPORT"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796525"|"1860547"|"ADVANCED ENERGYE ECONOMY INSTITUTE"|"1101 14TH STREET NW SUITE 1200"|"WASHINGTON"|"DC"|"USA"|"20005"|"80-0373801"|"501(C)(3)"|"2500000.0000"|""|""|""|"POLLUTION ABATEMENT & CONTROL"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796526"|"1860547"|"UCSF FOUNDATION"|"PO BOX 45339"|"SAN FRANCISCO"|"CA"|"USA"|"94145"|"94-2829914"|"501(C)(3)"|"2082750.0000"|""|""|""|"SINGLE ORGANIZATION SUPPORT"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796527"|"1860547"|"MK LEVEL PLAYING FIELD INSTITUTE"|"2201 BROADWAY SUITE 101"|"OAKLAND"|"CA"|"USA"|"94612"|"91-2088635"|"501(C)(3)"|"2015000.0000"|""|""|""|"SECONDARY & HIGH SCHOOLS"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796528"|"1860547"|"CENTER FOR THE NEXT GENERATION"|"351 CALIFORNIA STREET SUITE 1200"|"SAN FRANCISCO"|"CA"|"USA"|"94104"|"37-1618863"|"501(C)(3)"|"1500000.0000"|""|""|""|"ENVIRONMENT NEC"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796529"|"1860547"|"STANFORD UNIVERSITY"|"PO BOX 20466"|"STANFORD"|"CA"|"USA"|"94309-0466"|"94-1156365"|"501(C)(3)"|"1479116.0000"|""|""|""|"UNDERGRADUATE COLLEGES"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796530"|"1860547"|"SOLANO LAND TRUST"|"1001 TEXAS STREET SUITE C"|"FAIRFIELD"|"CA"|"USA"|"94533-5723"|"94-3015363"|"501(C)(3)"|"1000000.0000"|""|""|""|"LAND RESOURCES CONSERVATION"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796531"|"1860547"|"OAKLAND ZOO"|"9777 GOLF LINKS ROAD"|"OAKLAND"|"CA"|"USA"|"94605"|"94-1687847"|"501(C)(3)"|"1000000.0000"|""|""|""|"ZOOS & AQUARIUMS"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796532"|"1860547"|"SAN FRANCISCO SYMPHONY"|"201 VAN NESS AVENUE"|"SAN FRANCISCO"|"CA"|"USA"|"94102-4585"|"94-1156284"|"501(C)(3)"|"994479.0000"|""|""|""|"SYMPHONY ORCHESTRAS"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796533"|"1860547"|"COMMUNITY INITIATIVES"|"234 MONTGOMERY STREET SUITE 1142"|"SAN FRANCISCO"|"CA"|"USA"|"94104"|"94-3255070"|"501(C)(3)"|"886000.0000"|""|""|""|"CITIZEN PARTICIPATION"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796534"|"1860547"|"TOMKAT RANCH EDUCATIONAL FOUNDATION"|"PO BOX 726"|"PESCADERO"|"CA"|"USA"|"94060"|"26-2782200"|"501(C)(3)"|"817244.0000"|""|""|""|"EDUCATION"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796535"|"1860547"|"SUGAR BOWL SKI TEAM FOUNDATION"|"PO BOX 68"|"NORDEN"|"CA"|"USA"|"95724"|"94-3171879"|"501(C)(3)"|"812000.0000"|""|""|""|"SECONDARY & HIGH SCHOOLS"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796536"|"1860547"|"EXPLORATORIUMPIER 15/17"|""|"SAN FRANCISCO"|"CA"|"USA"|"94111"|"94-1696494"|"501(C)(3)"|"804150.0000"|""|""|""|"MUSEUMS"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796537"|"1860547"|"SMITHSONIAN AMERICAN ART MUSEUM"|"PO BOX 37012"|"WASHINGTON"|"DC"|"USA"|"20013"|"53-0206027"|"501(C)(3)"|"600000.0000"|""|""|""|"MUSEUMS"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796538"|"1860547"|"AMERICAN RED CROSS BAY AREA CHAPTER"|"1663 MARKET STREET"|"SAN FRANCISCO"|"CA"|"USA"|"94103"|"94-3045430"|"501(C)(3)"|"537050.0000"|""|""|""|"AMERICAN RED CROSS"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796539"|"1860547"|"ENVIRONMENTAL DEFENSE FUND"|"1875 CONNECTICUT AVE NW SUITE 600"|"WASHINGTON"|"DC"|"USA"|"20009"|"11-6107128"|"501(C)(3)"|"515000.0000"|""|""|""|"NATURAL RESOURCES CONSERVATION & PROTECTION"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796540"|"1860547"|"UC MERCED FOUNDATION"|"5200 NORTH LAKE ROAD"|"MERCED"|"CA"|"USA"|"95343"|"94-3250114"|"501(C)(3)"|"500000.0000"|""|""|""|"FUND RAISING & FUND DISTRIBUTION"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796541"|"1860547"|"FRED HUTCHINSON CANCER RESEARCH CENTER"|"PO BOX 19024 J5-200"|"SEATTLE"|"WA"|"USA"|"98109"|"23-7156071"|"501(C)(3)"|"500000.0000"|""|""|""|"CANCER RESEARCH"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796542"|"1860547"|"HARVARD UNIVERSITY"|"124 MOUNT AUBURN STREET"|"CAMBRIDGE"|"MA"|"USA"|"02138"|"53-0199180"|"501(C)(3)"|"498000.0000"|""|""|""|"SINGLE ORGANIZATION SUPPORT"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796543"|"1860547"|"KQED INC"|"2601 MARIPOSA STREET"|"SAN FRANCISCO"|"CA"|"USA"|"94110-1400"|"94-1241309"|"501(C)(3)"|"475188.0000"|""|""|""|"MEDIA & COMMUNICATIONS"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796544"|"1860547"|"FIDELITY CHARITABLE"|"PO BOX 770001"|"CINCINNATI"|"OH"|"USA"|"45277-0053"|"11-0303001"|"501(C)(3)"|"407280.0000"|""|""|""|"PHILANTHROPY, VOLUNTARISM & GRANTMAKING FOUNDATIONS N E C"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796545"|"1860547"|"CITY FIELDS FOUNDATION"|"1714 STOCKTON STREET SUITE 400"|"SAN FRANCISCO"|"CA"|"USA"|"94133"|"20-3068987"|"501(C)(3)"|"375000.0000"|""|""|""|"PARKS & PLAYGROUNDS"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"796546"|"1860547"|"AMERICAN ACADEMY OF ARTS AND SCIENCES"|"136 IRVING STREET"|"CAMBRIDGE"|"MA"|"USA"|"02138"|"04-2103651"|"501(C)(3)"|"375000.0000"|""|""|""|"INTERDISCIPLINARY RESEARCH"
