"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FIRM_NAME"|"FIRM_STREET"|"FIRM_CITY"|"FIRM_STATE"|"FIRM_COUNTRY"|"FIRM_ZIP"|"FIRM_EIN"|"FIRM_PHONE"|"DISCUSS_WITH_PREPARER_CBX"|"PREP_SELF_EMP_CBX"
"01-0359180"|"MAINE COALITION TO END DOMESTIC VIOLENCE"|"1079896"|"OUELLETTE & ASSOCIATES PA"|"1111 LISBON STREET"|"LEWISTON"|"ME"|"USA"|"04240"|"01-0448675"|"207-786-0328"|"Y"|""
"01-0363374"|"MAINE AFL-CIO HOUSING DEVELOPMENT INC"|"1079897"|"BELLOWS ASSOCIATES PA"|"130 S UNIVERSITY DR STE D"|"PLANTATION"|"FL"|"USA"|"33324"|""|"954-838-7000"|"Y"|""
"01-0363624"|"KENNEBUNKPORT EMERGENCY MEDICAL SERVICES INC"|"1079898"|"RUNYON KERSTEEN OUELLETTE"|"20 LONG CREEK DRIVE"|"SOUTH PORTLAND"|"ME"|"USA"|"04106"|"01-0440155"|"207-773-2986"|"Y"|""
"01-0371971"|"MIDTOWN ATHLETIC CLUB"|"1079899"|"ROBUSTELLI SOUCY HUSSEY PA"|"1071 LISBON ST"|"LEWISTON"|"ME"|"USA"|"04240-5768"|""|"207-783-2839"|"Y"|""
"01-0541280"|"SUMMER FESTIVAL OF THE ARTS"|"1079900"|"COSTON & MC ISAAC CPA'S"|"38 RODICK ST"|"BAR HARBOR"|"ME"|"USA"|"04609"|"01-0426847"|"207-288-9458"|"Y"|""
"01-0726924"|"LOAVES & FISHES FOOD PANTRY INC"|"1079901"|"ROBERT C ALARIO CPA PC"|"75 NORTH MAIN STREET"|"LEOMINSTER"|"MA"|"USA"|"01453"|"04-3344305"|"978-534-1999"|"Y"|""
"01-6013080"|"STANTON BIRD CLUB INC"|"1079902"|""|""|""|""|""|""|""|""|"N"|""
"01-6023974"|"Washington County Association for Retarded Citizens"|"1079903"|"Foster & Company LLP CPAs"|"78 Main Street PO Box C"|"Bucksport"|"ME"|"USA"|"04416"|""|"207-469-7364"|"Y"|""
"01-0283794"|"Maine Health Care Association"|"1081056"|"Berry Dunn McNeil & Parker LLC"|"PO Box 1100"|"Portland"|"ME"|"USA"|"04104-1100"|"01-0523282"|"207-775-2387"|"Y"|""
"01-0409991"|"FAMILY FOCUS"|"1081057"|"MARSHALL & LIBBY LLC"|"2367 CONGRESS ST"|"PORTLAND"|"ME"|"USA"|"04102-1932"|"01-0450551"|"207-775-1111"|"Y"|""
"01-0520094"|"GEORGE & RAYMOND FRANK FOUNDATION"|"1081058"|"PACIOS RAUSCH & CHASSE LLC PA"|"97 CENTER ST"|"AUBURN"|"ME"|"USA"|"04210-5902"|""|"207-784-1327"|"Y"|""
"01-6047288"|"MOUNT DESERT NURSERY SCHOOL"|"1081060"|"Coston & Mc Isaac CPA's"|"38 Rodick St"|"Bar Harbor"|"ME"|"USA"|"04609"|"01-0426847"|"207-288-9458"|"Y"|""
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"1082137"|"WITHUMSMITHBROWN PC"|"465 SOUTH STREET SUITE 200"|"MORRISTOWN"|"NJ"|"USA"|"07960"|""|"973-898-9494"|"Y"|""
"01-0732696"|"FAMILY SUPPORT ORGANIZATION OF UNION COUNTY INC"|"1082325"|"SPIRE GROUP PC"|"100 WALNUT AVE SUITE 103"|"CLARK"|"NJ"|"USA"|"07066"|"45-5221053"|"732-381-8887"|"Y"|""
"01-0275545"|"LONESOME PINE TRAILS, INC."|"1083585"|"PLOURDE, MORNEAULT & DUBAY, P.A."|"286 WEST MAIN STREET, SUITE 102"|"FORT KENT"|"ME"|"USA"|"04743"|"01-0423636"|"207-834-3104"|"Y"|""
"01-0349949"|"PEOPLE PLUS"|"1083586"|"Chandel Associates, PA"|"PO Box 7"|"Bridgton"|"ME"|"USA"|"04009-0007"|""|"207-647-5711"|"Y"|""
"01-0378246"|"Southern Maine Regional Planning Commission, Inc."|"1083587"|"Purdy Powers & Company"|"130 Middle Street"|"Portland"|"MA"|"USA"|"04101"|"01-0463013"|"207-775-3496"|"Y"|""
"01-0371245"|"GROUP MAIN STREAM INCORPORATED"|"1085031"|"Keirstead & Fox PA"|"2 Church Street"|"Westbrook"|"ME"|"USA"|"04092"|"01-0433621"|"207-854-1811"|"Y"|""
"01-0520045"|"Aroostook Council to Prevent Child Abuse"|"1085032"|"Felch & Company LLC"|"PO Box 906"|"Caribou"|"ME"|"USA"|"04736"|"01-0540055"|"207-498-3176"|"Y"|""
"01-0671144"|"WASHINGTON DRUG & ALCOHOL COMMISSION INC"|"1085033"|"HOUSTON & ASSOCIATES LLC"|"650 MILLCRAFT CENTER"|"WASHINGTON"|"PA"|"USA"|"15301"|"56-2622339"|"724-223-9465"|"Y"|""
"02-0152844"|"NUMBER SEVEN WEBSTER AVENUE"|"1085034"|"TYLER SIMMS & STSAUVEUR CPAS PC"|"19 MORGAN DRIVE"|"LEBANON"|"NH"|"USA"|"03766"|"02-0476956"|"603-653-0044"|"Y"|""
"01-0684347"|"IN ARMS REACH INC."|"1085246"|"A. F. Paredes & Co. CPA'S"|"250 Stelton Rd Ste -8"|"Piscataway"|"NJ"|"USA"|"08854"|"22-2987972"|"732-752-9530"|""|""
"01-0288347"|"MAINE AUTOMOBILE DEALERS ASSOCIATION, INC. INSURANCE TRUST"|"1085329"|"MACPAGE LLC"|"ONE MARKET SQUARE"|"AUGUSTA"|"ME"|"USA"|"04330"|"01-0242373"|"207-622-4766"|"Y"|""
"01-0475146"|"Big Brothers Big Sisters of Southern ME"|"1085330"|"Purdy Powers & Company"|"130 Middle Street"|"Portland"|"ME"|"USA"|"04101"|"01-0463013"|"207-775-3496"|"Y"|""
"01-0492747"|"Evergreen Behavioral Services"|"1085331"|"Berry Dunn McNeil & Parker LLC"|"PO Box 1100"|"Portland"|"ME"|"USA"|"04104-1100"|"01-0523282"|"207-775-2387"|"Y"|""
"01-0504446"|"Hyde School at South Woodstock Inc"|"1085332"|"Berry Dunn McNeil & Parker LLC"|"PO Box 1100"|"Portland"|"ME"|"USA"|"04104-1100"|"01-0523282"|"207-775-2387"|"Y"|""
"01-0534548"|"Community Care"|"1085333"|"Berry Dunn McNeil & Parker LLC"|"PO Box 1100"|"Portland"|"ME"|"USA"|"04104-1100"|"01-0523282"|"207-775-2387"|"Y"|""
"01-0351782"|"Disability Rights Center"|"1086041"|"Macpage LLC"|"One Market Square"|"Augusta"|"ME"|"USA"|"04330"|""|"207-774-5701"|"Y"|""
"01-0407276"|"Sunrise Opportunities"|"1086042"|"Foster & Company LLP CPAs"|"78 Main Street PO Box C"|"Bucksport"|"ME"|"USA"|"04416"|""|"207-469-7364"|"Y"|""
"01-0492876"|"OAKLEAF HOUSING TRUST INC"|"1086043"|"OTIS ATWELL"|"324 GANNETT DRIVE"|"SOUTH PORTLAND"|"ME"|"USA"|"04106"|"20-3690847"|"207-780-1100"|""|""
"01-0962276"|"DRISCOLL HEALTHCARE SERVICES"|"1086044"|"BKD LLP"|"2800 Post Oak Blvd Ste 3200"|"HOUSTON"|"TX"|"USA"|"77056"|""|"713-499-4600"|""|""
"01-6004776"|"COUNCIL OF INDEPENDENT COLLEGES"|"1086045"|"KENDALL PREBOLA AND JONES CPAS"|"PO BOX 259"|"BEDFORD"|"PA"|"USA"|"15522-0259"|"25-1645876"|"814-623-1880"|"Y"|""
"02-0210407"|"BALD PEAK COLONY CLUB"|"1087355"|"LEONE, MCDONNELL & ROBERTS, P.A."|"1O DUPREY ROAD"|"NORTH CONWAY"|"NH"|"USA"|"03860"|"02-0417217"|"603-356-6358"|"Y"|""
"01-0927505"|"STOCKTON HINDU CULTURAL & COMMUNITY"|"1087354"|"WILLIAM E HARTLEY CPA"|"5250 CLAREMONT AVE STE 233"|"STOCKTON"|"CA"|"USA"|"95207"|"94-0048955"|"209-472-3650"|"Y"|""
"01-0607915"|"MOUND STREET MILITARY ACADEMY"|"1087352"|"Plattenburg & Associates Inc"|"8260 Northcreek Dr Ste 330"|"Cincinnati"|"OH"|"USA"|"45236"|""|"513-891-2722"|"Y"|""
"01-0582508"|"ST. HOPE PUBLIC SCHOOLS, INC."|"1087351"|"GILBERT ASSOCIATES, INC."|"2880 GATEWAY OAKS DR, STE 100"|"SACRAMENTO"|"CA"|"USA"|"95833"|"68-0037990"|"916-646-6464"|"Y"|""
"01-0514118"|"HEAR ME NOW INC"|"1087350"|"ALBIN RANDALL & BENNETT"|"PO BOX 445 130 MIDDLE STREET"|"PORTLAND"|"ME"|"USA"|"04112-0445"|"01-0448006"|"207-772-1981"|"Y"|""
"01-0448905"|"YOUNG PRESIDENTS ORGANIZATION INC"|"1087348"|"BUSINESS BOOKKEEPING SERVICES"|"657 MIDDLE STREET"|"EAST WEYMOUTH"|"MA"|"USA"|"02189-1108"|""|"781-337-8788"|"Y"|""
"01-0367116"|"Families United of Washington County"|"1087347"|"RHR Smith & Company, C P.As"|"3 Old Orchard Road"|"Buxton"|"ME"|"USA"|"04093"|"04-3383155"|"207-929-4606"|"Y"|""
"01-0211505"|"THE TRUSTEES OF FRYEBURG ACADEMY"|"1087346"|""|""|""|""|""|""|""|""|""|""
"01-0114110"|"MAINE WATER UTILITIES ASSOCIATION"|"1087345"|"HORTON, MCFARLAND & VEYSEY"|"PO BOX 543"|"ELLSWORTH"|"ME"|"USA"|"04605"|"01-0219197"|"207-667-5529"|""|""
"01-0019705"|"Ancient Free and Accepted Masons of Maine Grand Lodge"|"1087344"|"Macpage LLC"|"30 Long Creek Dr"|"South Portland"|"ME"|"USA"|"04106"|""|"207-774-5701"|"Y"|""
"01-0749726"|"LIVER INSTITUTE AND FOUNDATION FOR"|"1087247"|"JEFFREY S. WALLERSTEIN CPA"|"120 WOOD AVS S STE 200"|"ISELIN"|"NJ"|"USA"|"08830-2709"|""|"732-603-7738"|"Y"|""
"01-0631183"|"ANDOVER HUSKIES YOUTH HOCKEY ASSOCIATION"|"1086757"|"MAHONEYULBRICHCHRISTIANSEN & RUSS PA"|"30 EAST PLATO BOULEVARD"|"SAINT PAUL"|"MN"|"USA"|"55107-1809"|"41-1647057"|"651-227-6695"|"Y"|""
"01-0249983"|"KENNEBUNK FREE LIBRARY ASSOCIATION"|"1086755"|"CUMMINGS LAMONT & MCNAMEE PA"|"305 LAFAYETTE CENTER"|"KENNEBUNK"|"ME"|"USA"|"04043"|"01-0372413"|"207-985-3339"|"Y"|""
"01-0143485"|"PORTLAND YACHT CLUB"|"1086754"|"SMITH & ASSOCIATES CPAS"|"500 US ROUTE 1 STE 203"|"YARMOUTH"|"ME"|"USA"|"04096-6937"|""|"207-846-8881"|""|""
"01-0511224"|"MAINE ENERGY MARKETERS ASSOCIATION EDUCATION FOUNDATION"|"1090970"|"Macpage LLC"|"One Market Square"|"Augusta"|"ME"|"USA"|"04330"|""|"207-774-5701"|"Y"|""
"02-0223321"|"COTTAGE HOSPITAL"|"1089887"|"TYLER SIMMS & ST SAUVEUR CPAS PC"|"19 MORGAN DRIVE"|"LEBANON"|"NH"|"USA"|"93766"|"02-0476956"|"603-653-0044"|"Y"|""
"01-0943022"|"WEBSTER ATHLETIC ASSOCIATION INC"|"1089886"|"William A Koopman CPA"|"47 W Main Street"|"Webster"|"NY"|"USA"|"14580-2901"|""|"585-872-0910"|"Y"|""
"01-0887021"|"WESTSIDE COMMUNITY SCHOOL OF THE ARTS"|"1089885"|"REA & ASSOCIATES INC"|"941 STEUBENVILLE AVE PO BOX 820"|"CAMBRIDGE"|"OH"|"USA"|"43725-0820"|"34-1310124"|"740-432-5658"|"Y"|""
"01-0744024"|"ARABIAN HORSE ASSOCIATION"|"1089882"|"JDS PROFESSIONAL GROUP"|"10303 E DRY CREEK RD STE 400"|"ENGLEWOOD"|"CO"|"USA"|"80112"|""|"303-771-0123"|"Y"|""
"01-0729022"|"EAST BAY HOUSING OPTIONS INC"|"1089881"|"OREFICE & CALIRI CPA'S"|"1445 WAMPANOAG TRAIL SUITE 117"|"EAST PROVIDENCE"|"RI"|"USA"|"02915-1000"|""|"401-433-3636"|"Y"|""
"01-0342515"|"MOTIVATIONAL SERVICES INC"|"1089880"|"Macpage LLC"|"One Market Square"|"Augusta"|"ME"|"USA"|"04330"|""|"207-774-5701"|"Y"|""
"01-0278623"|"Androscoggin Valley Council of Governments"|"1089879"|""|""|""|""|""|""|""|""|""|""
"01-0368684"|"MAINE AFL-CIO ELDERLY HOUSING INC OPERATIONS AS CHATEAU CUSHNOC"|"1089804"|"BELLOWS ASSOCIATES PA"|"130 S UNIVERSITY DR STE D"|"PLANTATION"|"FL"|"USA"|"33324"|""|"954-838-7000"|"Y"|""
"01-0554709"|"FLORIDA PROTON THERAPY INSTITUTE INC"|"1089171"|"MOORE STEPHENS LOVELACE PA"|"311 PARK PLACE BLVD SUITE 100"|"CLEARWATER"|"FL"|"USA"|"33759"|"59-3070669"|"727-531-4477"|"Y"|""
"01-0491710"|"ASSOCIATION OF COMPUTER TECHNOLOGY EDUCATORS OF MAINE"|"1089170"|"DAVID DOUIN & ASSOCIATES LLC"|"8 ELM STREET"|"GORHAM"|"ME"|"USA"|"04038"|""|"207-839-6400"|"Y"|""
"01-0362709"|"OHI"|"1089169"|""|""|""|""|""|""|""|""|""|""
"01-0640027"|"MGM RESORTS FOUNDATION"|"1090971"|"HOULDSWORTH RUSSO & COMPANY PC"|"8675 S EASTERN AVE STE A"|"LAS VEGAS"|"NV"|"USA"|"89123-2839"|""|"702-269-9992"|"Y"|""
"01-0462712"|"Lewiston Auburn Area Housing Development Corporation"|"1091832"|""|""|""|""|""|""|""|""|""|""
"01-0935534"|"THE ACADEMY OF ALAMEDA"|"1091849"|"HOSAKA, ROTHERHAM & COMPANY"|"1011 CAMINO DEL RIO S STE 410"|"SAN DIEGO"|"CA"|"USA"|"92108"|"45-1180982"|"619-543-9702"|"Y"|""
"01-0976638"|"COLORADO ASSOCIATION OF COMMUNITY CENTERS BOARDS"|"1091851"|"EDWARD B. MILLER, C.P.A."|"410 17TH STREET, SUITE 1353"|"DENVER"|"CO"|"USA"|"80202"|""|"303-592-4546"|"Y"|""
"01-0482628"|"Jobs for Maine's Graduates, Inc."|"1091833"|"Purdy Powers & Company"|"130 Middle Street"|"Portland"|"ME"|"USA"|"04101"|"01-0463013"|"207-775-3496"|"Y"|""
"01-0499934"|"ALLIES INC"|"1091834"|"ROY & ASSOCIATES CPA'S PA"|"209 STATE STREET"|"BANGOR"|"ME"|"USA"|"04401"|"01-0528843"|"207-990-8909"|"Y"|""
"01-0518534"|"THE SHARING FOUNDATION"|"1091836"|"WILLIAM T. RACINE, CPA"|"859 WASHINGTON STREET"|"BATH"|"ME"|"USA"|"04530"|"01-0425282"|"207-443-5716"|"Y"|""
"01-0525631"|"Harbor Schools of Maine, Inc."|"1091837"|"Gibson LeClair, LLC"|"150 Capitol Street, Suite 3"|"Augusta"|"ME"|"USA"|"04330"|"45-0512128"|"207-623-8401"|""|""
"01-0538534"|"Bangor Nursing & Rehabilitation Center"|"1091838"|"Berry Dunn McNeil & Parker LLC"|"PO Box 1100"|"Portland"|"ME"|"USA"|"04104-1100"|"01-0523282"|"207-775-2387"|"Y"|""
"01-0596543"|"Ashburn Travel Hockey, Inc."|"1091840"|"YOUNT, HYDE & BARBOUR, P.C."|"608 SOUTH KING STREET, SUITE 200"|"LEESBURG"|"VA"|"USA"|"20175"|"54-1149263"|"703-777-7739"|"Y"|""
"01-0603628"|"LEARNINGSPRING SCHOOL"|"1091841"|"LOEB & TROPER LLP"|"655 THIRD AVENUE 12TH FLOOR"|"NEW YORK"|"NY"|"USA"|"10017"|"13-1517563"|"212-867-4000"|"Y"|""
"01-0628536"|"ARROW CHILD AND FAMILY MINISTRIES"|"1091842"|"HAM, LANGSTON & BREZINA, LLP"|"11550 FUQUA, SUITE 475"|"HOUSTON"|"TX"|"USA"|"77034"|"76-0448495"|"281-481-1040"|""|""
"01-0717030"|"PORTAGE BAY INSURANCE"|"1091844"|"SASLOW LUFKIN & BUGGY LLP"|"TEN TOWER LANE"|"AVON"|"CT"|"USA"|"06001"|"06-1533253"|"860-678-9200"|"Y"|""
"01-0722629"|"MARIE A MANSBACH MEMORIAL STUDENT MOTIVATION PROGRAM"|"1091845"|"PBMARES LLP"|"150 BOUSH STREET SUITE 400"|"NORFOLK"|"VA"|"USA"|"23510"|"54-0737372"|"757-627-4644"|"Y"|""
"01-0724451"|"ASPEN CENTER FOR ENVIRONMENTAL STUDIES ENDOWMENT FUND INC"|"1091846"|"REESE HENRY & COMPANY INC"|"400 EAST MAIN STREET SUITE 2"|"ASPEN"|"CO"|"USA"|"81611"|"84-0803727"|"970-925-3771"|"Y"|""
"01-0740130"|"RIO HONDO COMMUNITY DEVELOPMENT CORPORATION"|"1091847"|"HKG, LLP"|"50 E FOOTHILL BLVD 3RD FLOOR"|"ARCADIA"|"CA"|"USA"|"91006"|"95-4552788"|"626-585-0666"|"Y"|""
"01-0268926"|"TOPSHAM PUBLIC LIBRARY"|"1091378"|"SMITH & ASSOCIATES CPAS"|"500 US ROUTE 1 STE 203"|"YARMOUTH"|"ME"|"USA"|"04096-6937"|""|"207-846-8881"|""|""
"01-0843142"|"SCUBANAUTS INTERNATIONAL, INC"|"1091653"|"KAREN L STEINMETZ, CPA"|"5455 4TH STREET NORTH"|"ST PETERSBURG"|"FL"|"USA"|"33703"|""|"727-525-2813"|""|""
"01-0211512"|"Home for the Aged"|"1091819"|"Berry Dunn McNeil & Parker LLC"|"PO Box 1100"|"Portland"|"ME"|"USA"|"04104-1100"|"01-0523282"|"207-775-2387"|"Y"|""
"01-0211530"|"MAINE HISTORICAL SOCIETY"|"1091820"|"MARSHALL & LIBBY LLC"|"2367 CONGRESS ST"|"PORTLAND"|"ME"|"USA"|"04102-1932"|"01-0450551"|"207-775-1111"|"Y"|""
"01-0219829"|"Sarah Frye Home"|"1091822"|"Berry Dunn McNeil & Parker LLC"|"PO Box 1100"|"Portland"|"ME"|"USA"|"04104-1100"|"01-0523282"|"207-775-2387"|"Y"|""
"01-0221132"|"D A HURD PUBLIC LIBRARY ASSOCIATION"|"1091823"|"CUMMINGS LAMONT & MCNAMEE PA"|"ONE NEW HAMPSHIRE AVENUE SUITE 230"|"PORTSMOUTH"|"NH"|"USA"|"03801"|"01-0372413"|"603-430-6200"|"Y"|""
"01-0237244"|"LEE ACADEMY"|"1091824"|"HAVERLOCK, ESTEY & CURRAN LLC"|"8 COMMERCE COURT"|"HAMPDEN"|"ME"|"USA"|"04444-1538"|"01-0271013"|"207-945-5695"|"Y"|""
"01-0355212"|"MAINE STATE MUSIC THEATRE"|"1091826"|"AUSTIN ASSOCIATES PA CPA'S"|"PO BOX 3400"|"AUBURN"|"ME"|"USA"|"04212-3400"|"01-0371550"|"207-783-9111"|"Y"|""
"01-0371234"|"ELLWORTH AREA CHAMBER OF COMMERCE"|"1091827"|"Horton, McFarland & Veysey, LLC"|"P. O. Box 543"|"Ellsworth"|"ME"|"USA"|"04605"|"01-0219197"|"207-667-5529"|"Y"|""
"01-0376832"|"MAINE VETERANS HOME"|"1091828"|""|""|""|""|""|""|""|""|""|""
"01-0384833"|"BIG BROTHERS BIG SISTERS OF MIDCOAST MAINE"|"1091829"|"AUSTIN ASSOCIATES PA CPA'S"|"PO BOX 3400"|"AUBURN"|"ME"|"USA"|"04212-3400"|"01-0371550"|"207-783-9111"|"Y"|""
"01-0420232"|"MAINE COALITION AGAINST SEXUAL ASSAULT"|"1091830"|"OUELLETTE & ASSOCIATES PA"|"1111 LISBON STREET"|"LEWISTON"|"ME"|"USA"|"04240"|"01-0448675"|"207-786-0328"|"Y"|""
"01-0440729"|"Kennebec Land Trust"|"1091831"|"Amy P Trunnell CPA"|"200 Old Kents Hill Road"|"Readfield"|"ME"|"USA"|"04355"|"04-3353527"|"207-685-9202"|""|""
"01-0279335"|"THE PIERRE MONTEUX MEMORIAL FOUNDATION INC"|"1095254"|"BHA LLC"|"344 ELLSWORTH RD PO BOX 697"|"BLUE HILL"|"ME"|"USA"|"04614"|""|"207-374-9985"|""|""
"01-0702442"|"NC IDEA"|"1095255"|"BATCHELOR TILLERY & ROBERTS LLP"|"3605 GLENWOOD AVENUE SUITE 350"|"RALEIGH"|"NC"|"USA"|"27612"|""|"919-787-8212"|"Y"|""
"01-0820836"|"ARZIONA PHARMACY ALLIANCE, INC"|"1095256"|"TERRY LUTZ, C.P.A., P.C."|"5801 S MCCLINTOCK DR STE 106"|"TEMPE"|"AZ"|"USA"|"85283"|"86-0673610"|"480-755-6682"|""|""
"01-0342356"|"Western Maine Transportation Services, Inc"|"1098317"|"RHR Smith & Company, C.P.A's"|"3 Old Orchard Road"|"Buxton"|"ME"|"USA"|"04093"|"04-3383155"|"207-929-4606"|"Y"|""
"01-0595862"|"ACCESS INSTITUTE FOR PSYCHOLOGICAL SERVI"|"1098319"|"MASON & MASON CPAs"|"914 MISSION AVENUE SUITE 4G"|"SAN RAFAEL"|"CA"|"USA"|"94901"|""|"415-246-2109"|"Y"|""
"02-0162153"|"MANCHESTER MASONIC TEMPLE ASSOC"|"1098320"|"J EDGAR GROUP PLLC"|"1361 ELM ST STE 308"|"MANCHESTER"|"NH"|"USA"|"03101-1315"|""|"603-606-5164"|""|""
"01-0473057"|"CROSSROADS FOR WOMEN INC"|"1099312"|"ALBIN RANDALL & BENNETT"|"PO BOX 445 130 MIDDLE STREET"|"PORTLAND"|"ME"|"USA"|"04112-0445"|"01-0448006"|"207-772-1981"|"Y"|""
"01-0364852"|"HOPE AND JUSTICE PROJECT INC"|"1099477"|"EDWARDS FAUST & SMITH"|"716 UNION ST"|"BANGOR"|"ME"|"USA"|"04401-3156"|""|""|""|""
"01-0430261"|"Maine Women's Fund"|"1099478"|"Macpage LLC"|"30 LONG CREEK DR"|"SOUTH PORTLAND"|"ME"|"USA"|"04106"|""|"207-774-5701"|"Y"|""
"02-0222254"|"YWCA OF NEW HAMPSHIRE"|"1099479"|"Hession & Pare, P.C."|"62 Stark Street"|"Manchester"|"NH"|"USA"|"03101-1970"|"02-0428003"|"603-669-5477"|""|""
"01-0375969"|"MAINE AQUACULTURE ASSOCIATION"|"1099828"|"MACDONALE PAGE & CO LLC"|"227 WATER STREET, PO BOX 2749"|"AUGUSTA"|"ME"|"USA"|"04338"|"01-0242373"|"207-622-4766"|"Y"|""
"01-0431501"|"THE CENTER FOR GRIEVING CHILDREN"|"1100102"|"RUNYON KERSTEEN OUELLETTE"|"20 LONG CREEK DRIVE"|"SOUTH PORTLAND"|"ME"|"USA"|"04106"|"01-0440155"|"207-773-2986"|"Y"|""
"01-0450803"|"Maine National Guard Foundation Fund"|"1100103"|"Ray Cook, CPA"|"317 Main Street"|"Winthrop"|"ME"|"USA"|"04364"|""|"207-377-8749"|"Y"|""
"01-0482400"|"COURTYARD AFFORDABLE HOUSING CORP"|"1100104"|"BBSC CPAS"|"38 PARKWAY SOUTH"|"BREWER"|"ME"|"USA"|"04412-1628"|""|"207-941-8890"|""|""
"01-0534293"|"THE CHILDREN'S CENTER"|"1100105"|"MCLEOD, ASCANIO & COMPANY"|"844 STEVENS AVENUE"|"PORTLAND"|"ME"|"USA"|"04103"|"01-0504993"|"207-878-2727"|"Y"|""
"01-0552793"|"LATINAS UNIDAS POR UN NUEVO AMANECER"|"1100106"|"MERIWETHER, WILSON AND COMPANY, PLLC"|"REGENCY W. 5, 4500 WESTOWN PKWY, STE 140"|"WEST DES MOINES"|"IA"|"USA"|"50266-6717"|"42-0731256"|"515-223-0002"|"Y"|""
"01-0607881"|"MOUND STREET IT ACADEMY"|"1100108"|"Plattenburg & Associates Inc"|"8260 Northcreek Dr Ste 330"|"Cincinnati"|"OH"|"USA"|"45236"|""|"513-891-2722"|"Y"|""
"01-0607900"|"MOUND STREET HEALTH CAREERS ACADEMY"|"1100109"|"Plattenburg & Associates Inc"|"8260 Northcreek Dr Ste 330"|"Cincinnati"|"OH"|"USA"|"45236"|""|"513-891-2722"|"Y"|""
"01-0665300"|"BARTRAM TRAIL CDC INC"|"1100110"|"CHERRY BEKAERT LLP"|"1029 GREENE STREET"|"AUGUSTA"|"GA"|"USA"|"30901"|"56-0574444"|"706-724-3557"|"Y"|""
"01-0684796"|"STEP BY STEP ACADEMY INC"|"1100111"|"BRADY WARE & SCHOENFELD INC"|"10 WEST BROAD SUITE 1500"|"COLUMBUS"|"OH"|"USA"|"43215"|"35-1476702"|"614-885-7407"|"Y"|""
"01-0733180"|"THE GLADES INITIATIVE, INC."|"1100112"|"STEVEN CORSO CPA"|"1850 FOREST HILL BLVD"|"WEST PALM BEACH"|"FL"|"USA"|"33406"|"65-0820979"|"561-963-1003"|"Y"|""
"01-0735866"|"THORNDALE ECONOMIC DEVELOPMENT CORPORATION"|"1100113"|"TABER & BURNETT PC"|"PO BOX 1519"|"BURNET"|"TX"|"USA"|"78611-7519"|""|"512-756-4904"|""|""
"01-0742001"|"MANCHESTER COMMUNITY RESOURCE CENTERINC"|"1100114"|""|""|""|""|""|""|""|""|""|""
"01-0757566"|"ACCESS HEALTH, INC"|"1100115"|""|""|""|""|""|""|""|""|""|""
"01-0760254"|"Penn Foundation Trust"|"1100116"|"Bee Bergvall & Co PC"|"936 Easton Road / PO BOX 754"|"Warrington"|"PA"|"USA"|"18976"|""|"215-343-2727"|"Y"|""
"01-0819395"|"Patterson Park Public Charter School Inc"|"1100117"|"TR Klein & Company"|"2809 BOSTON ST"|"Baltimore"|"MD"|"USA"|"21224"|""|"410-675-2727"|"Y"|""
"01-0866698"|"COMPREHENSIVE SENIOR CARE CORPORATION"|"1100118"|"JESSUP GROUP PC"|"15 CAPITAL AVE NE STE 100"|"BATTLE CREEK"|"MI"|"USA"|"49017"|"38-3086068"|"269-963-6090"|"Y"|""
"01-0869701"|"Center for Civic Policy"|"1100119"|"Gary Benn CPA PC"|"3200 Carlisle"|"Albuquerque"|"NM"|"USA"|"87110"|""|"505-889-4501"|"Y"|""
"01-0896501"|"US CENTRAL ASIA EDUCATION FOUNDATION"|"1100120"|"CUMMINGS LAMONT & MCNAMEE PA"|"ONE HAMPTON ROAD SUITE 306"|"EXETER"|"NH"|"USA"|"03833"|"01-0372413"|"603-772-3460"|"Y"|""
"01-6153292"|"BIOREGIONAL CONSERVANCY & CULTURAL RECLAMATION TRUST"|"1100121"|"NICHOLSON, MICHAUD & COMPANY"|"76 SILVER STREET"|"WATERVILLE"|"ME"|"USA"|"04901"|"01-0511973"|"207-872-7077"|"Y"|""
"02-0243160"|"GIRL SCOUTS OF THE GREEN AND WHITE MOUNTAINS"|"1100123"|"NATHAN WECHSLER & COMPANY, P.A."|"70 COMMERCIAL STREET, SUITE 401"|"CONCORD"|"NH"|"USA"|"03301"|"02-0327524"|"603-224-5357"|"Y"|""
"01-0742001"|"MANCHESTER COMMUNITY RESOURCE CENTERINC"|"1099829"|""|""|""|""|""|""|""|""|""|""
"01-0119385"|"Megunticook Golf Club"|"1100091"|"Williams CPA Group, LLC"|"350 Commercial/PO BOX 839"|"Rockport"|"ME"|"USA"|"04856-0839"|"04-3378763"|"207-236-8781"|"Y"|""
"01-0516247"|"CARLETON PROJECT"|"1096054"|"Calculations, Inc."|"PO Box 519"|"Patten"|"ME"|"USA"|"04765"|""|"207-528-2306"|"Y"|""
"01-0024645"|"Bangor Symphony Orchestra"|"1096118"|"Berry Dunn McNeil & Parker LLC"|"36 Pleasant Street"|"Bangor"|"ME"|"USA"|"04401"|"01-0523282"|"207-942-1600"|""|""
