"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOTAL_COMP_ORG"|"TOTAL_COMP_RELATED_ORG"|"TOTAL_COMP_OTHER"|"TOTAL_PERSONS_100000"|"FORMER_1A_CBX"|"ANYBODY_150000_CBX"|"ANYBODY_COMP_UNRELATED_CBX"
"01-0773533"|"FIRST BAPTIST CHILDREN'S ACADEMY INC"|"1237837"|""|""|""|""|"N"|"N"|"N"
"01-0786312"|"Missouri Valley Eclipse Amateur Athletic Club"|"1237839"|""|""|""|"0"|"N"|"N"|"N"
"01-0932008"|"A A PLUS"|"1237843"|"93833.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0939609"|"POOO OF LIFE OUTREACH MINISTRlES INC"|"1237844"|""|""|""|""|"N"|"N"|"N"
"01-6014031"|"ST MARKS HOME FOR WOMEN"|"1237845"|""|""|""|""|"N"|"N"|"N"
"01-0052260"|"Cumberland Club"|"1239610"|"81846.0000"|"0.0000"|"6500.0000"|"0"|"N"|"N"|"N"
"01-0061310"|"Fraternal Order of Eagles"|"1239612"|"14599.0000"|""|""|"0"|"N"|"N"|"N"
"01-0211533"|"MCARTHUR LIBRARY ASSOCIATION"|"1239613"|""|""|""|"0"|"N"|"N"|"N"
"01-0345660"|"BOOTHBAY REGION AMBULANCE SERVICE"|"1239614"|"61800.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0465231"|"Norumbega Medical Specialists LTD"|"1240159"|"0.0000"|"1683172.0000"|"653230.0000"|"0"|"N"|"Y"|"N"
"01-0564032"|"THE INSTITUTE FOR GIS STUDIES, INC."|"1240304"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0339631"|"BIDDEFORD YOUTH HOCKEY ASSOCIATION"|"1240712"|""|""|""|""|"N"|"N"|"N"
"01-0861643"|"PUTNAM LAND CONSERVANCY,INC"|"1240892"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0502563"|"CAMP BEECH CLIFF"|"1241170"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0732928"|"US RUSSIA FOUNDATION FOR ECONOMIC ADVANCEMENT AND THE RULE OF LAW"|"1241171"|"1035092.0000"|"0.0000"|"275427.0000"|"2"|"N"|"Y"|"N"
"02-0222123"|"Capital Region Health Care Corporation"|"1241172"|"0.0000"|"1831146.0000"|"380383.0000"|"0"|"N"|"Y"|"N"
"01-0029480"|"BIDDEFORD-SACO CHAMBER OF COMMERCE"|"1241393"|""|""|""|""|"N"|"N"|"N"
"01-0288480"|"THREE RIVERS AMBULANCE SERVICE"|"1241394"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0323915"|"Ambulance Service Inc"|"1241395"|"0.0000"|"34492.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0366464"|"KATAHDIN SHARED SERVICES"|"1241396"|""|""|""|"2"|"N"|"Y"|"N"
"01-0372129"|"NORTH AMERICAN LAKE MANAGEMENT SOCIETY"|"1241397"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0425115"|"MID-MAINE HOMELESS SHELTER"|"1241399"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0448263"|"Ronald McDonald House Charities of Maine, Inc."|"1241400"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0565782"|"The China Training Networks"|"1241402"|"19887.0000"|"48913.0000"|""|"0"|"N"|"N"|"N"
"01-0589927"|"MINOT COMMUNITY FOUNDATION"|"1241403"|"94790.0000"|"0.0000"|"7648.0000"|"0"|"N"|"N"|"N"
"01-0629345"|"VOLUNTEER CHRISTIAN TELEVISION INC"|"1241405"|""|"50857.0000"|""|""|"N"|"N"|"N"
"01-0716364"|"Branch Brook Park Alliance,Inc."|"1241406"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0769341"|"PARENTS OF AUTISTIC CHILDREN OF NORTHERN VIRGINIA"|"1241407"|""|""|""|""|"N"|"N"|"N"
"01-0790641"|"J AUSTIN WHITE CULTURAL CENTER INC"|"1241408"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0964541"|"PRAISEALUJAH DISCIPLESHIP"|"1241410"|""|""|""|""|"N"|"N"|"N"
"01-6010628"|"MUSEUM OF ART OF OGUNQUIT"|"1241411"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0414441"|"Maine Migrant Health Program, Inc."|"1243144"|"64968.0000"|"0.0000"|"15435.0000"|"0"|"N"|"N"|"N"
"01-0547918"|"MAIN STREET MOBILE TREATMENT ASSOC"|"1243146"|"316400.0000"|"0.0000"|"0.0000"|"1"|"N"|"Y"|"N"
"01-0540981"|"COMMUNITY CONCEPTS FINANCE CORPORATION"|"1243569"|"0.0000"|"448366.0000"|"53584.0000"|"0"|"N"|"Y"|"N"
"01-0838125"|"S.A.F.E. FAMILY MINISTRIES"|"1243636"|""|""|""|""|"N"|"N"|"N"
"01-0430751"|"Rosscare Nursing Homes, Inc."|"1243941"|"0.0000"|"2008712.0000"|"379454.0000"|"0"|"N"|"Y"|"N"
"01-0735034"|"REED ACADEMY"|"1243942"|"244450.0000"|""|"18571.0000"|"1"|"N"|"Y"|"N"
"01-6020406"|"York County Community Action Corporation"|"1243943"|"190113.0000"|"0.0000"|"29889.0000"|"0"|"N"|"N"|"N"
"01-0504905"|"GULF OF MAINE RESEARCH INSTITUTE"|"1244173"|"985351.0000"|"0.0000"|"151438.0000"|"7"|"N"|"Y"|"N"
"01-0557881"|"GRANDIN THEATRE FOUNDATION, INC."|"1244174"|"43873.0000"|"0.0000"|"9323.0000"|"0"|"N"|"N"|"N"
"01-0576305"|"ANNALS OF FAMILY MEDICINE INC"|"1244175"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0596305"|"RESCUEGROUPSORG INC"|"1244176"|"52000.0000"|""|""|""|"N"|"N"|"N"
"01-0597551"|"THE CRADDOCK CENTER INC"|"1244177"|"61269.0000"|"0.0000"|"11791.0000"|"0"|"N"|"N"|"N"
"01-0628727"|"SUNSET WOODS ASSOCIATION"|"1244178"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0681241"|"CERTIFIED FUNCTIONAL SAFETY EXPERT GOVERNANCE BOARD INC"|"1244179"|""|""|""|""|"N"|"N"|"N"
"01-0705428"|"Unkrainian Ministry, Inc."|"1244180"|"25000.0000"|""|""|"0"|"N"|"N"|"N"
"01-0890941"|"LAHAK HANOCHOS INC"|"1244181"|"206400.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"02-0103705"|"HENRY J SWEENEY POST NO 2, NEW HAMPSHIRE"|"1244182"|"15600.0000"|""|""|""|"N"|"N"|"N"
"01-0421234"|"Lakewood A Continuing Care Center"|"1245514"|"117766.0000"|"747673.0000"|"134264.0000"|"1"|"N"|"Y"|"N"
"01-0607464"|"WESTMORELAND APARTMENTS, INC."|"1245515"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0276862"|"UNITED WAY OF YORK COUNTY"|"1245614"|"84232.0000"|"0.0000"|"14390.0000"|"0"|"N"|"N"|"N"
"01-0309364"|"DEERING MEMORIAL POST 6859, VFW"|"1245615"|"13200.0000"|""|""|"0"|"N"|"N"|"N"
"01-0444245"|"MAINESHARE"|"1245616"|"46053.0000"|""|""|""|"N"|"N"|"N"
"01-0939141"|"RESTAURANT OPPORTUNITIES CENTERS UNITED"|"1245617"|"134572.0000"|"0.0000"|"16931.0000"|"0"|"N"|"N"|"N"
"01-0697940"|"WOMEN IN PROGRESS INC"|"1246334"|"112400.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0730818"|"CIUDAD DE ANGELES INC"|"1246335"|"6459.0000"|""|""|""|"N"|"N"|"N"
"01-0851830"|"REGULATORY COMPLIANCE ASSOCIATION"|"1246600"|"49558.0000"|""|""|"0"|"N"|"N"|"N"
"01-0328376"|"EASTERN AREA AGENCY ON AGING"|"1246697"|"148875.0000"|""|"6406.0000"|""|"Y"|"N"|"N"
"01-0424969"|"COMMUNITY CONCEPTS INC"|"1246698"|"368723.0000"|"0.0000"|"40502.0000"|"3"|"N"|"Y"|"N"
"01-0491854"|"EqualityMaine"|"1246699"|"0.0000"|"1194.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0493897"|"Sunrise County Economic Council"|"1246700"|""|""|""|""|"N"|"N"|"N"
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"1246701"|"5935332.0000"|"2139834.0000"|"1582133.0000"|"57"|"Y"|"Y"|"N"
"01-0790552"|"Theater Arts Group"|"1246702"|"0.0000"|"77808.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0211798"|"Mount Desert Nursing Association"|"1247311"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0275875"|"METHODIST CONFERENCE HOME INC"|"1247313"|"105531.0000"|"28622.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0278130"|"MEMORIAL AMBULANCE CORPS"|"1247314"|"24056.0000"|""|""|"0"|"N"|"N"|"N"
"01-0313050"|"FIRST PARISH CEMETERY ASSOC-YORK"|"1247315"|"26000.0000"|""|""|"0"|"N"|"N"|"N"
"01-0317899"|"DOVER-FOXCROFT HOUSING DEVELOPMENT CORPORATION"|"1247316"|""|""|""|""|"N"|"N"|"N"
"01-0332278"|"BRADFORD HOUSING CORP"|"1247317"|""|""|""|""|"N"|"N"|"N"
"01-0342399"|"ST ANDRE HEALTH CARE FACILITY"|"1247318"|"148547.0000"|"0.0000"|"784.0000"|"1"|"N"|"N"|"N"
"01-0353284"|"MATTAWAMKEAG HOUSING CORPORATION"|"1247319"|""|""|""|""|"N"|"N"|"N"
"01-0353352"|"NEW MARBLEHEAD SENIORS HOUSING CORP"|"1247320"|"0.0000"|"294250.0000"|"31958.0000"|"0"|"N"|"N"|"N"
"01-0357595"|"Somerset Humane Society"|"1247321"|""|""|""|"0"|"N"|"N"|"N"
"01-0357799"|"ORRINGTON HOUSING CORPORATION"|"1247322"|""|""|""|""|"N"|"N"|"N"
"01-0360077"|"New Beginnings, Inc."|"1247323"|"75396.0000"|"0.0000"|"12368.0000"|"0"|"N"|"N"|"N"
"01-0505695"|"BOSSOV BALLET THEATRE"|"1247324"|"38307.0000"|""|""|""|"N"|"N"|"N"
"01-0542054"|"FAIRBANKS SCHOOL NEIGHBORHOOD ASSOCIATION, Inc"|"1247326"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0549750"|"FLORIDA ASSISTED LIVING AFFILIATION INC"|"1247327"|"102753.0000"|"0.0000"|"13561.0000"|""|"N"|"N"|"N"
"01-0574830"|"NCCNEUMANN SENIOR HOUSING CORPORATION"|"1247328"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0584930"|"Richmond County Medical Society Project Access Inc"|"1247329"|"55000.0000"|""|""|""|"N"|"N"|"N"
"01-0597067"|"THE GARRISON INSTITUTE, INC."|"1247330"|"183530.0000"|"0.0000"|"49966.0000"|"1"|"N"|"Y"|"N"
"01-0697869"|"ATZUM, INC"|"1247331"|""|""|""|"0"|"N"|"N"|"N"
"01-0711547"|"CROSS-GENERATION DBA CONNECTED FAMILIES"|"1247332"|"235219.0000"|"0.0000"|"0.0000"|"1"|"N"|"N"|"N"
"01-0747396"|"VOUGHT AIRCRAFT HERITAGE FOUNDATION"|"1247333"|""|""|""|""|"N"|"N"|"N"
"01-0761875"|"LOS ANGELES PRESS CLUB"|"1247334"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0788484"|"WINDMOOR FOUNDATION, INC."|"1247335"|"0.0000"|"0.0000"|"23400.0000"|"0"|"N"|"N"|"N"
"01-0803184"|"CHRIST ENRICHMENT CENTER INC"|"1247336"|""|""|""|""|"N"|"N"|"N"
"01-0838477"|"SOUTHERN IOWA COG HOUSING TRUST FUN"|"1247337"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-6016350"|"SOMERSET WOODS TRUSTEES"|"1247338"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-6045966"|"SOUTH PORTLAND HISTORICAL SOCIETY"|"1247339"|"29750.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"02-0216783"|"NEW HAMPSHIRE LODGING AND RESTAURANT ASSOCIATION"|"1247341"|"90176.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0229448"|"WASHINGTON ACADEMY"|"1251071"|"108876.0000"|"0.0000"|"12531.0000"|"1"|"N"|"N"|"N"
"01-0285449"|"SOUTHERN KENNEBEC CHILD DEVELOPMENT COP"|"1251072"|"195754.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|"1251073"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0380150"|"MECHANIC FALLS DEVELOPMENT COMMISSION"|"1251074"|"2150.0000"|""|""|""|"N"|"N"|"N"
"01-0494454"|"PENOBSCOT VALLEY HOCKEY CONFERENCE"|"1251076"|""|""|""|"0"|"N"|"N"|"N"
"01-0542376"|"CHALLENGER LEARNING CENTER OF MAINE"|"1251077"|"33000.0000"|""|"5100.0000"|""|"N"|"N"|"N"
"01-0779978"|"Center for Automotive Research"|"1251079"|"1189483.0000"|"0.0000"|"173347.0000"|"8"|"N"|"Y"|"N"
"01-6010284"|"Scarborough Public Library"|"1251082"|"75249.0000"|"0.0000"|"17097.0000"|"0"|"N"|"N"|"N"
"02-0222167"|"NEW HAMPSHIRE ODD FELLOWS HOME"|"1251084"|"129897.0000"|"0.0000"|"10338.0000"|""|"N"|"N"|"N"
"01-0833397"|"Global Refuge International"|"1252036"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0471985"|"Broadreach Family & Community Services, Inc."|"1252194"|"415292.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0213979"|"EASTPORT MEMORIAL HOSPITAL"|"1252287"|"32302.0000"|""|"2658.0000"|""|"N"|"N"|"N"
"01-0363879"|"Pinewood Manor Inc"|"1252288"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0508136"|"FRIENDS OF THE KENNEBEC RIVER RAIL TRAIL INC"|"1252290"|""|""|""|""|"N"|"N"|"N"
"01-0536785"|"UNITY FOUNDATION"|"1252291"|"66250.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0547336"|"NORTHERN LIGHTHOUSE"|"1252292"|"174245.0000"|""|""|""|"Y"|"N"|"N"
"01-0656156"|"American College of Bankruptcy Foundation"|"1252293"|""|""|""|"0"|"N"|"N"|"N"
"01-0282768"|"CHI DELTA PHI HOUSE CORP"|"1253121"|""|""|""|"0"|"N"|"N"|"N"
"01-0371037"|"UNION COUNTRY CLUB INC"|"1253443"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0416936"|"Vinalhaven Land Trust Inc"|"1253444"|""|""|""|""|"N"|"N"|"N"
"01-0490316"|"OGUNQUIT PLAYHOUSE FOUNDATION"|"1253445"|"207578.0000"|""|"9506.0000"|"1"|"N"|"N"|"N"
"01-0527319"|"Northern Maine Independent System Administrator Inc"|"1253446"|"262603.0000"|"0.0000"|"60227.0000"|"2"|"N"|"Y"|"N"
"01-0661535"|"SD PROPERTIES INC"|"1253447"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0461436"|"The Genesis Fund"|"1253884"|"86524.0000"|""|""|""|"N"|"N"|"N"
"01-0056837"|"EASTERN MAINE ELECTRIC COOPERATIVE INC"|"1254250"|"167187.0000"|"0.0000"|"71309.0000"|"2"|"N"|"Y"|"N"
"01-0523789"|"PARK STREET HOME"|"1254251"|"107480.0000"|""|"34399.0000"|""|"N"|"N"|"N"
"01-0833168"|"UNIVERSITIES ALLIED FOR ESSENTIAL MEDICINES CORP"|"1254252"|"65000.0000"|"0.0000"|"60157.0000"|"0"|"N"|"N"|"N"
"01-0515357"|"EqualityMaine Foundation"|"1256091"|"62500.0000"|"0.0000"|"5411.0000"|"0"|"N"|"N"|"N"
"01-0923793"|"Camp Ten Trees"|"1256092"|"36300.0000"|""|""|"0"|"N"|"N"|"N"
"01-0162690"|"Sorrento Village Improvement Association"|"1256600"|""|""|""|""|"N"|"N"|"N"
"01-0206386"|"BLUE HILL COUNTRY CLUB INC"|"1256601"|""|""|""|""|"N"|"N"|"N"
"01-0211558"|"ST MARY'S D'YOUVILLE PAVILION"|"1256602"|"131028.0000"|"1963118.0000"|"167945.0000"|""|"N"|"Y"|"N"
"01-0267392"|"Maine Children's Home for Little Wanderers"|"1256603"|"66939.0000"|"0.0000"|"7892.0000"|"0"|"N"|"N"|"N"
"01-0363873"|"NATIONAL RURAL HEALTH ASSOCIATION"|"1256604"|"687749.0000"|"0.0000"|"40056.0000"|""|"N"|"Y"|"N"
"01-0419157"|"Eastport Youth Association"|"1256606"|""|""|""|""|"N"|"N"|"N"
"01-0421974"|"ORR'S AND BAILEY ISLANDS FIRE DEPARTMENT"|"1256607"|"14464.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0496258"|"Maine Life Care Retirement Community Inc"|"1256608"|"570632.0000"|"0.0000"|"55194.0000"|""|"N"|"N"|"N"
"01-0550458"|"STOCKDALE VOLUNTEER FIRE DEPARTMENT"|"1256609"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0554139"|"Baton Rouge Capital Conflict Office Inc"|"1256610"|"100000.0000"|""|""|"0"|"N"|"N"|"N"
"01-0667694"|"Family Health Center of Southern Oklahoma, Inc."|"1256611"|""|""|""|""|"N"|"N"|"N"
"01-0671672"|"CNLTV"|"1256612"|"87400.0000"|""|""|"0"|"N"|"N"|"N"
"01-0729039"|"NORTHEAST WILDERNESS TRUST CORPORATION"|"1256613"|"61800.0000"|"0.0000"|"4800.0000"|"0"|"N"|"N"|"N"
"01-0736958"|"Jersey Agility Association of Central New Jersey"|"1256614"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0772839"|"Homes of Hope Inc"|"1256615"|"5000.0000"|""|""|"0"|"N"|"N"|"N"
"01-0802772"|"ST LUKE HOUSING MINISTRY INC"|"1256616"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"02-0217171"|"Veterans Of Foreign Wars Post #816"|"1256618"|"6.0000"|""|""|""|"N"|"N"|"N"
"01-0063057"|"Fraternal Order of Eagles 804"|"1259318"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0211488"|"Trustees of Bloomfield Academy"|"1259319"|"42030.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE INC"|"1259321"|"150196.0000"|"0.0000"|"33976.0000"|""|"N"|"N"|"N"
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"1259323"|"803835.0000"|""|""|"6"|"N"|"Y"|"N"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"1260110"|"3028102.0000"|"679663.0000"|"398736.0000"|"28"|"Y"|"Y"|"N"
"01-0211551"|"ST MARY'S REGIONAL MEDICAL CENTER"|"1260126"|"5964846.0000"|"705221.0000"|"315141.0000"|"96"|"N"|"Y"|"N"
"01-0531223"|"JORDAN BAY PLACE"|"1260182"|"0.0000"|"294250.0000"|"31958.0000"|"0"|"N"|"N"|"N"
"01-0341134"|"LAKE ARROWHEAD COMMUNITY INC"|"1260362"|"102072.0000"|"0.0000"|"16569.0000"|"0"|"N"|"N"|"N"
"01-0211811"|"Kennebec Valley YMCA"|"1260532"|"85155.0000"|"0.0000"|"5961.0000"|"0"|"N"|"N"|"N"
"01-0779814"|"Leadership Transformations Inc"|"1260533"|"130784.0000"|"0.0000"|"97647.0000"|"0"|"N"|"N"|"N"
"01-0963014"|"Coastal Marin Fund"|"1260534"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0545125"|"Trustees of Monmouth Academy"|"1261010"|"500.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0553431"|"AMERICAN FRIENDS OF YESHIVAT HESDER SDEROT,INC"|"1261088"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"02-0222131"|"FRISBIE MEMORIAL HOSPITAL"|"1261089"|"4652709.0000"|""|"421278.0000"|"87"|"N"|"Y"|"N"
"01-0212545"|"MAINE STATE SOCIETY FOR THE PROTECTION OF ANIMALS"|"1261207"|"80082.0000"|""|""|"0"|"N"|"N"|"N"
"01-0279387"|"Pine Tree Legal Assistance, Inc."|"1261208"|"80009.0000"|"0.0000"|"4369.0000"|"0"|"N"|"N"|"N"
"01-0357548"|"THE CONSERVATION TRUST OF BROOKSVILLE CASTINE & PENOBSCOT"|"1261209"|""|""|""|""|"N"|"N"|"N"
"01-0531224"|"FIVE GRAHAM STREET"|"1261210"|"0.0000"|"294250.0000"|"31958.0000"|"0"|"N"|"N"|"N"
"01-0538200"|"EDGECOMB WOODS CO AVESTA HOUSING"|"1261211"|"0.0000"|"294250.0000"|"31958.0000"|"0"|"N"|"N"|"N"
"01-0638224"|"Council For Educational Change Inc."|"1261212"|"287634.0000"|""|"7321.0000"|"2"|"N"|"N"|"N"
"01-0690242"|"PORTER'S CALL"|"1261213"|"135096.0000"|"0.0000"|"34987.0000"|"1"|"N"|"Y"|"N"
"01-0724403"|"Wild Waterways Conservancy Inc"|"1261214"|""|""|""|"0"|"N"|"N"|"N"
"01-0736732"|"MOUNT ST MARY'S HDFC INC"|"1261215"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0795543"|"NALLS FOUNDATION"|"1261217"|"21120.0000"|""|""|""|"N"|"N"|"N"
"01-0796325"|"Glennwood Foundation Inc."|"1261218"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"02-0227519"|"Ancient Arabric Order of Nobles of the Mystic Shrine of N A - Bektash Shriners"|"1261219"|"21600.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0211539"|"PATTEN FREE LIBRARY"|"1262216"|"65008.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0224627"|"BOOTHBAY HARBOR MEMORIAL LIBRARY ASSOCIATION"|"1262217"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0416939"|"Northern Maine Community College Education Foundation"|"1262220"|""|""|""|""|""|""|""
"01-0868717"|"H.E.L.P. MINISTRIES , INC."|"1262221"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-5145247"|"AMERICAN VETERANS POST 153"|"1262223"|""|""|""|""|"N"|"N"|"N"
"01-0452749"|"i FISH RIVER RURAL HEALTH"|"1263456"|"511183.0000"|""|"94531.0000"|"3"|"N"|"Y"|"N"
"01-0225008"|"FRANKLIN COUNTY AGRICULTURAL"|"1263835"|"13000.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0430078"|"DOWNEAST COASTAL CONSERVANCY"|"1263910"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"02-0120120"|"COCHECHO COUNTRY CLUB INC"|"1263911"|""|""|""|""|"N"|"N"|"N"
"01-0342859"|"SPORTS PROJECTS INC"|"1264450"|"5000.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0370896"|"Maine Association of Retirees, Inc."|"1264451"|"61104.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0469196"|"University of Maine at Fort Kent Foundation"|"1264452"|""|""|""|""|""|""|""
"01-0824858"|"ANIMAL CARE TRUST"|"1264453"|"107666.0000"|"0.0000"|"0.0000"|"1"|"N"|"N"|"N"
"01-0524834"|"SPRING HARBOR HOSPITAL"|"1264995"|"1104763.0000"|"3949072.0000"|"603997.0000"|"6"|"N"|"Y"|"N"
"01-0348709"|"OGUNQUIT CHAMBER OF COMMERCE"|"1265068"|"74500.0000"|"0.0000"|"15754.0000"|"0"|"N"|"N"|"N"
"01-0377559"|"UNITED WAY OF TRI VALLEY AREA"|"1265148"|"50700.0000"|""|""|"0"|"N"|"N"|"N"
"01-0490882"|"FRATERNAL ORDER OF EAGLES #4330"|"1265572"|"6699.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0315296"|"AVESTA HOUSING DEVELOPMENT CORPORTAION"|"1266020"|"294250.0000"|"0.0000"|"31958.0000"|"1"|"N"|"N"|"N"
"01-0360869"|"Maine Innkeepers Association, Inc."|"1266021"|"77246.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-6022787"|"Medical Care Development Inc"|"1266023"|"1738734.0000"|"0.0000"|"218111.0000"|""|"N"|"Y"|"N"
"01-0535175"|"WINTERKIDS EDUCATION FOUNDATION"|"1266309"|"70500.0000"|""|""|"0"|"N"|"N"|"N"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"1266701"|"5287793.0000"|"2075547.0000"|"1026013.0000"|"293"|"N"|"Y"|"N"
"01-0217211"|"INLAND HOSPITAL"|"1266702"|"3611357.0000"|"886467.0000"|"515821.0000"|"53"|"N"|"Y"|"N"
"01-0459837"|"Acadia Hospital Corporation"|"1266703"|"3362176.0000"|"1643496.0000"|"718586.0000"|"35"|"Y"|"Y"|"N"
"01-0471151"|"Regulatory Assistance Project"|"1276548"|"2005268.0000"|""|"397024.0000"|""|"N"|"Y"|"N"
"02-0222215"|"ST JOSEPH HOSPITAL"|"1278304"|"2330591.0000"|"474420.0000"|"389759.0000"|"10"|"N"|"Y"|"N"
"01-0339295"|"MAINE HUMANITIES COUNCIL"|"1278338"|"70643.0000"|"0.0000"|"6342.0000"|"0"|"N"|"N"|"N"
"01-0261000"|"SABATTUS REGIONAL CREDIT UNION"|"1278374"|"105293.0000"|"0.0000"|"10157.0000"|"1"|"N"|"N"|"N"
"01-0365191"|"ASSOCIATION OF SMALL BUSINESS DEV. CENTR"|"1278375"|"264588.0000"|"0.0000"|"22245.0000"|"2"|"N"|"Y"|"N"
"01-0447619"|"MAHOOSUC LAND TRUST INC"|"1278376"|"56745.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0689500"|"San Jose Soccer Complex Foundation"|"1278377"|""|""|""|""|"N"|"N"|"N"
"01-0810218"|"LITTLE RIVER CHAMBER OF COMMERCE AND VISITORS CENT"|"1278378"|"40000.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0955391"|"LITTLE BEANS PRESCHOOL CORPORATION"|"1278379"|"183190.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0221126"|"CASTINE COMMUNITY HOSPITAL"|"1278887"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0263507"|"Central Aroostook Association"|"1278888"|""|""|""|"1"|"N"|"N"|"N"
"01-0360714"|"FAMILY VIOLENCE PROJECT"|"1279527"|"63729.0000"|""|"8854.0000"|""|"N"|"N"|"N"
"01-0365398"|"AROOSTOOK REGIONAL TRANSPORTATION SYS"""|"1279528"|"77755.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0389222"|"TAMC ENDOWMENTS"|"1279529"|""|"194376.0000"|"57680.0000"|"0"|"N"|"Y"|"N"
