"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"CASH_BOY"|"CASH_EOY"|"SAVINGS_BOY"|"SAVINGS_EOY"|"PLEDGES_GRANTS_BOY"|"PLEDGES_GRANTS_EOY"|"ACCOUNTS_RECEIVABLE_BOY"|"ACCOUNTS_RECEIVABLE_EOY"|"QUALIFIED_RECEIVABLE_BOY"|"QUALIFIED_RECEIVABLE_EOY"|"DISQUALIFIED_RECEIVABLE_BOY"|"DISQUALIFIED_RECEIVABLE_EOY"|"LOANS_RECEIVABLE_BOY"|"LOANS_RECEIVABLE_EOY"|"INVENTORY_BOY"|"INVENTORY_EOY"|"PREPAID_BOY"|"PREPAID_EOY"|"LBE_BASE"|"LESS_DEPRECIATION"|"LBE_BOY"|"LBE_EOY"|"PUBLIC_SECURITIES_BOY"|"PUBLIC_SECURITIES_EOY"|"OTHER_SECURITIES_BOY"|"OTHER_SECURITIES_EOY"|"INVEST_PROGRAMS_BOY"|"INVEST_PROGRAMS_EOY"|"INTANG_ASSETS_BOY"|"INTANG_ASSETS_EOY"|"OTHER_ASSETS_BOY"|"OTHER_ASSETS_EOY"|"ASSETS_TOTAL_BOY"|"ASSETS_TOTAL_EOY"|"ACCOUNTS_PAYABLE_BOY"|"ACCOUNTS_PAYABLE_EOY"|"GRANTS_PAYABLE_BOY"|"GRANTS_PAYABLE_EOY"|"DEFERRED_REVENUE_BOY"|"DEFERRED_REVENUE_EOY"|"TAX_EXEMPT_BONDS_BOY"|"TAX_EXEMPT_BONDS_EOY"|"ESCROW_LIABILITY_BOY"|"ESCROW_LIABILITY_EOY"|"PAYABLE_OFFICERS_BOY"|"PAYABLE_OFFICERS_EOY"|"SECURED_NOTES_PAYABLE_BOY"|"SECURED_NOTES_PAYABLE_EOY"|"UNSECURED_NOTES_PAYABLE_BOY"|"UNSECURED_NOTES_PAYABLE_EOY"|"LIABILITY_OTHER_BOY"|"LIABILITY_OTHER_EOY"|"LIABILITY_TOTAL_BOY"|"LIABILITY_TOTAL_EOY"|"UNRESTRICTED_BOY"|"UNRESTRICTED_EOY"|"TEMP_RESTRICTED_BOY"|"TEMP_RESTRICTED_EOY"|"PERM_RESTRICTED_BOY"|"PERM_RESTRICTED_EOY"|"CAPITAL_BOY"|"CAPITAL_EOY"|"PAID_IN_BOY"|"PAID_IN_EOY"|"RETAINED_BOY"|"RETAINED_EOY"|"NET_TOTAL_BOY"|"NET_TOTAL_EOY"|"BALANCES_BOY"|"BALANCES_EOY"
"01-0477310"|"CHRISTIAN MISSION SERVICES"|"1279955"|"51217.0000"|"39554.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"51217.0000"|"39554.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"51217.0000"|"39554.0000"|""|""|""|""|""|""|""|""|""|""|"51217.0000"|"39554.0000"|"51217.0000"|"39554.0000"
"01-0503126"|"Maine Philanthropy Center"|"1279956"|"48748.0000"|"50413.0000"|"364211.0000"|"391057.0000"|""|""|"372.0000"|"1050.0000"|""|""|""|""|""|""|""|""|"1200.0000"|"720.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"414531.0000"|"443240.0000"|"23036.0000"|"20250.0000"|""|""|"37975.0000"|"5100.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"61011.0000"|"25350.0000"|"343587.0000"|"367453.0000"|"9933.0000"|"50437.0000"|""|""|""|""|""|""|""|""|"353520.0000"|"417890.0000"|"414531.0000"|"443240.0000"
"01-0520715"|"CARLISLE CHARITABLE FOUNDATION (FORMERLY EQUEST FOUNDATION)"|"1279957"|"18314.0000"|"26160.0000"|"2.0000"|"5071.0000"|""|"225.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"700.0000"|"187.0000"|"653.0000"|"513.0000"|""|""|""|""|""|""|""|""|""|""|"18969.0000"|"31969.0000"|"10130.0000"|"24539.0000"|""|""|""|""|""|""|""|""|"30000.0000"|""|""|""|""|""|""|""|"40130.0000"|"24539.0000"|"-21161.0000"|"7430.0000"|""|""|""|""|""|""|""|""|""|""|"-21161.0000"|"7430.0000"|"18969.0000"|"31969.0000"
"01-0541597"|"Maine Traditional Music Association"|"1279958"|"33385.0000"|"33476.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"33385.0000"|"33476.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|"33385.0000"|"33476.0000"|"33385.0000"|"33476.0000"|"33385.0000"|"33476.0000"
"01-0621493"|"ALS THERAPY ALLIANCE INC"|"1279959"|"3980143.0000"|"1888055.0000"|"5631934.0000"|"2126005.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|"1094.0000"|"8517.0000"|""|""|""|"0.0000"|""|"3503666.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|"9613171.0000"|"7526243.0000"|"8583.0000"|"121.0000"|"1922393.0000"|"2402129.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1930976.0000"|"2402250.0000"|"7682195.0000"|"5109487.0000"|""|"14506.0000"|""|""|""|""|""|""|""|""|"7682195.0000"|"5123993.0000"|"9613171.0000"|"7526243.0000"
"01-0315296"|"AVESTA HOUSING DEVELOPMENT CORPORTAION"|"1266020"|"1912584.0000"|"2422961.0000"|"3078166.0000"|"3240246.0000"|""|""|"162009.0000"|"288389.0000"|""|""|""|""|""|""|""|""|"64729.0000"|"78518.0000"|"24588821.0000"|"12155740.0000"|"12579393.0000"|"12433081.0000"|""|""|""|""|""|""|""|""|"9040315.0000"|"11411305.0000"|"26837196.0000"|"29874500.0000"|"758808.0000"|"1114890.0000"|""|""|"13735.0000"|"1710000.0000"|"8650000.0000"|"8465000.0000"|""|""|""|""|"11219537.0000"|"11832140.0000"|""|""|"794697.0000"|"684814.0000"|"21436777.0000"|"23806844.0000"|"5005463.0000"|"5672700.0000"|""|""|"394956.0000"|"394956.0000"|""|""|""|""|""|""|"5400419.0000"|"6067656.0000"|"26837196.0000"|"29874500.0000"
"01-0389222"|"TAMC ENDOWMENTS"|"1279529"|""|"0.0000"|"123574.0000"|"232306.0000"|"38183.0000"|"30868.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|""|""|"0.0000"|"1394778.0000"|"1767452.0000"|"676112.0000"|"580798.0000"|""|"0.0000"|""|"0.0000"|"21437.0000"|"13296.0000"|"2254084.0000"|"2624720.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"0.0000"|"0.0000"|"12500.0000"|"7500.0000"|"1230632.0000"|"1591523.0000"|"1010952.0000"|"1025697.0000"|""|""|""|""|""|""|"2254084.0000"|"2624720.0000"|"2254084.0000"|"2624720.0000"
"01-0389226"|"TAMC TITLE CORPORATION"|"1279530"|"65908.0000"|"30962.0000"|""|"0.0000"|""|"0.0000"|"4955.0000"|"4955.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|"15944.0000"|"10104.0000"|"331372.0000"|"80094.0000"|"566014.0000"|"251278.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|"652821.0000"|"297299.0000"|"21802.0000"|"2194.0000"|""|""|""|""|""|""|""|""|""|""|"49901.0000"|"26615.0000"|""|""|""|""|"71703.0000"|"28809.0000"|"581118.0000"|"268490.0000"|""|""|""|""|""|""|""|""|""|""|"581118.0000"|"268490.0000"|"652821.0000"|"297299.0000"
"01-0484310"|"MAINE INITIATIVESINC"|"1279531"|"16545.0000"|"23568.0000"|""|""|""|""|"6504.0000"|"43335.0000"|""|""|""|""|""|""|""|""|"1720.0000"|"1488.0000"|"48181.0000"|"40230.0000"|"11805.0000"|"7951.0000"|"3075565.0000"|"3224658.0000"|""|""|""|""|""|""|""|""|"3112139.0000"|"3301000.0000"|"17387.0000"|"18762.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"17387.0000"|"18762.0000"|"1008472.0000"|"1195358.0000"|"492.0000"|"492.0000"|"2085788.0000"|"2086388.0000"|""|""|""|""|""|""|"3094752.0000"|"3282238.0000"|"3112139.0000"|"3301000.0000"
"01-0628124"|"LATINA BREAST CANCER AGENCY"|"1279533"|"112493.0000"|"140145.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"10488.0000"|"10488.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"112493.0000"|"140145.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"3257.0000"|"8191.0000"|""|""|""|""|"3257.0000"|"8191.0000"|""|""|""|""|""|""|"10000.0000"|"10000.0000"|""|""|"99236.0000"|"121954.0000"|"109236.0000"|"131954.0000"|"112493.0000"|"140145.0000"
"01-0360869"|"Maine Innkeepers Association, Inc."|"1266021"|"112841.0000"|"101690.0000"|"229.0000"|"2550.0000"|""|""|"16855.0000"|"11635.0000"|""|""|""|""|""|""|""|""|"4006.0000"|"4224.0000"|"424400.0000"|"148180.0000"|"284428.0000"|"276220.0000"|"171080.0000"|"184222.0000"|""|""|""|""|"31403.0000"|"19413.0000"|""|""|"620842.0000"|"599954.0000"|"8805.0000"|"17351.0000"|""|""|"247923.0000"|"236750.0000"|""|""|""|""|""|""|"153845.0000"|"145957.0000"|""|""|""|""|"410573.0000"|"400058.0000"|"210269.0000"|"199896.0000"|""|""|""|""|""|""|""|""|""|""|"210269.0000"|"199896.0000"|"620842.0000"|"599954.0000"
"01-6022787"|"Medical Care Development Inc"|"1266023"|"1123644.0000"|"579556.0000"|"4916728.0000"|"8615281.0000"|"3487489.0000"|"3101912.0000"|"1068376.0000"|"1249885.0000"|""|""|""|""|"83000.0000"|"83000.0000"|""|""|"519238.0000"|"264161.0000"|"20869058.0000"|"12553025.0000"|"8692692.0000"|"8316033.0000"|"623846.0000"|"863515.0000"|""|""|""|""|"215616.0000"|"194927.0000"|"91453.0000"|"156805.0000"|"20822082.0000"|"23425075.0000"|"3639788.0000"|"4922043.0000"|""|""|"3253150.0000"|"3238105.0000"|"578389.0000"|"0.0000"|""|""|""|""|"4643247.0000"|"4613608.0000"|""|""|"3214173.0000"|"4131692.0000"|"15328747.0000"|"16905448.0000"|"5305677.0000"|"6215939.0000"|"187658.0000"|"303688.0000"|""|""|""|""|""|""|""|""|"5493335.0000"|"6519627.0000"|"20822082.0000"|"23425075.0000"
"01-0360714"|"FAMILY VIOLENCE PROJECT"|"1279527"|"7157.0000"|"2280.0000"|"558942.0000"|"525046.0000"|"77469.0000"|"117404.0000"|""|""|""|""|""|""|""|""|""|""|"30142.0000"|"30581.0000"|"907011.0000"|"281869.0000"|"598134.0000"|"625142.0000"|""|""|""|""|""|""|""|""|"1850.0000"|"1850.0000"|"1273694.0000"|"1302303.0000"|"99495.0000"|"86740.0000"|""|""|"6349.0000"|"19692.0000"|""|""|""|""|""|""|"269111.0000"|"269111.0000"|""|""|"1770.0000"|"1180.0000"|"376725.0000"|"376723.0000"|"696662.0000"|"724472.0000"|"200307.0000"|"201108.0000"|""|""|""|""|""|""|""|""|"896969.0000"|"925580.0000"|"1273694.0000"|"1302303.0000"
"01-0535175"|"WINTERKIDS EDUCATION FOUNDATION"|"1266309"|"55568.0000"|"44930.0000"|"175972.0000"|"197810.0000"|""|""|"1500.0000"|"15740.0000"|""|""|""|""|""|""|""|""|""|"2182.0000"|"15067.0000"|"5194.0000"|""|"9873.0000"|"148117.0000"|"48904.0000"|""|""|""|""|""|""|""|""|"381157.0000"|"319439.0000"|"584.0000"|"448.0000"|""|""|"6000.0000"|"25500.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"6584.0000"|"25948.0000"|"374573.0000"|"293491.0000"|""|""|""|""|""|""|""|""|""|""|"374573.0000"|"293491.0000"|"381157.0000"|"319439.0000"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"1266701"|"3485.0000"|"9810.0000"|"19209624.0000"|"21929730.0000"|"191126.0000"|"224879.0000"|"36113312.0000"|"33793183.0000"|"31217.0000"|"5301.0000"|"0.0000"|"0.0000"|"2282237.0000"|"2422283.0000"|"2853171.0000"|"2558455.0000"|"2376147.0000"|"9475087.0000"|"338548627.0000"|"182962973.0000"|"148230622.0000"|"155585654.0000"|"8460266.0000"|"5102297.0000"|"2989658.0000"|"3008478.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"56515870.0000"|"70974718.0000"|"279256735.0000"|"305089875.0000"|"61311659.0000"|"83556529.0000"|"0.0000"|"0.0000"|"281354.0000"|"267418.0000"|"125857257.0000"|"123035157.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"7943638.0000"|"17050317.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"195393908.0000"|"223909421.0000"|"68364919.0000"|"65239108.0000"|"4188513.0000"|"5077531.0000"|"11309395.0000"|"10863815.0000"|""|""|""|""|""|""|"83862827.0000"|"81180454.0000"|"279256735.0000"|"305089875.0000"
"01-0217211"|"INLAND HOSPITAL"|"1266702"|"16089.0000"|"16179.0000"|"1668704.0000"|"1437674.0000"|"8140.0000"|"0.0000"|"16306172.0000"|"20275921.0000"|"21204.0000"|"95810.0000"|""|"0.0000"|"706620.0000"|"301579.0000"|"702084.0000"|"601581.0000"|"1288173.0000"|"818448.0000"|"37292772.0000"|"20149809.0000"|"17521196.0000"|"17142963.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|"12311.0000"|"1304.0000"|"9422491.0000"|"13046821.0000"|"47673184.0000"|"53738280.0000"|"10612906.0000"|"12982896.0000"|""|""|""|"1886.0000"|"4847183.0000"|"4353489.0000"|""|""|""|""|"6161933.0000"|"6400813.0000"|""|""|"2210895.0000"|"4241225.0000"|"23832917.0000"|"27980309.0000"|"22880411.0000"|"23706280.0000"|"356500.0000"|"1384495.0000"|"603356.0000"|"667196.0000"|""|""|""|""|""|""|"23840267.0000"|"25757971.0000"|"47673184.0000"|"53738280.0000"
"01-0459837"|"Acadia Hospital Corporation"|"1266703"|"2135.0000"|"1715.0000"|"4521559.0000"|"6264155.0000"|"14259.0000"|"0.0000"|"5284561.0000"|"9110503.0000"|"7996.0000"|"9996.0000"|""|"0.0000"|"310148.0000"|"267752.0000"|"210772.0000"|"146188.0000"|"1122476.0000"|"622660.0000"|"30932848.0000"|"21077066.0000"|"10027781.0000"|"9855782.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|"20013209.0000"|"20904553.0000"|"41514896.0000"|"47183304.0000"|"13206252.0000"|"17038391.0000"|""|""|"84895.0000"|""|"11058832.0000"|"9980996.0000"|""|""|""|""|""|""|""|""|"9092577.0000"|"9391750.0000"|"33442556.0000"|"36411137.0000"|"7629818.0000"|"10425696.0000"|"369362.0000"|"265889.0000"|"73160.0000"|"80582.0000"|""|""|""|""|""|""|"8072340.0000"|"10772167.0000"|"41514896.0000"|"47183304.0000"
"01-0471151"|"Regulatory Assistance Project"|"1276548"|"-383266.0000"|"-549665.0000"|"3581579.0000"|"4519552.0000"|""|"0.0000"|"274667.0000"|"282288.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|"566059.0000"|"787745.0000"|"273527.0000"|"247032.0000"|"72327.0000"|"26495.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|"4111366.0000"|"5066415.0000"|"927668.0000"|"1005446.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"927668.0000"|"1005446.0000"|"1984381.0000"|"2863305.0000"|"1199317.0000"|"1197664.0000"|""|""|""|""|""|""|""|""|"3183698.0000"|"4060969.0000"|"4111366.0000"|"5066415.0000"
"02-0222215"|"ST JOSEPH HOSPITAL"|"1278304"|"1012221.0000"|"3284367.0000"|"15940927.0000"|"35924945.0000"|"110.0000"|"13572730.0000"|"16474727.0000"|""|""|""|""|""|"2521163.0000"|"2720864.0000"|"1698199.0000"|"1802794.0000"|"4416557.0000"|"6081076.0000"|"169786923.0000"|"109138204.0000"|"62487122.0000"|"60648719.0000"|"50608381.0000"|"49972067.0000"|"28522646.0000"|"48971581.0000"|"18887752.0000"|"11784466.0000"|""|""|"20621561.0000"|"23440362.0000"|"223191366.0000"|"258203971.0000"|"16772058.0000"|"18948557.0000"|""|""|"142528.0000"|"97239.0000"|"72213230.0000"|"97838826.0000"|""|""|""|""|""|""|""|""|"26572359.0000"|"17872996.0000"|"115700175.0000"|"134757618.0000"|"106520097.0000"|"122390841.0000"|"606885.0000"|"691267.0000"|"364209.0000"|"364245.0000"|""|""|""|""|""|""|"107491191.0000"|"123446353.0000"|"223191366.0000"|"258203971.0000"
"01-0339295"|"MAINE HUMANITIES COUNCIL"|"1278338"|"88.0000"|"21.0000"|"1125499.0000"|"1129609.0000"|"85756.0000"|"88039.0000"|"14067.0000"|"33230.0000"|""|""|""|""|""|""|""|""|"3699.0000"|"3549.0000"|"512825.0000"|"156834.0000"|"362149.0000"|"355991.0000"|"1666058.0000"|"1757741.0000"|""|""|""|""|""|""|"19147.0000"|"19247.0000"|"3276463.0000"|"3387427.0000"|"80139.0000"|"27276.0000"|"27799.0000"|"9819.0000"|"251947.0000"|"190046.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"359885.0000"|"227141.0000"|"1604324.0000"|"1686018.0000"|"799907.0000"|"961921.0000"|"512347.0000"|"512347.0000"|""|""|""|""|""|""|"2916578.0000"|"3160286.0000"|"3276463.0000"|"3387427.0000"
"01-0261000"|"SABATTUS REGIONAL CREDIT UNION"|"1278374"|"2011615.0000"|"2127962.0000"|"12863000.0000"|"13549000.0000"|""|""|""|""|""|""|""|""|"16863636.0000"|"17106462.0000"|""|""|""|""|"1504395.0000"|"763729.0000"|"746663.0000"|"740666.0000"|""|""|"394695.0000"|"392263.0000"|""|""|""|""|"150558.0000"|"152758.0000"|"33030167.0000"|"34069111.0000"|"108057.0000"|"116304.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"29402437.0000"|"30169417.0000"|"29510494.0000"|"30285721.0000"|""|""|""|""|""|""|"0.0000"|"0.0000"|"1200000.0000"|"1200000.0000"|"2319673.0000"|"2583390.0000"|"3519673.0000"|"3783390.0000"|"33030167.0000"|"34069111.0000"
"01-0221126"|"CASTINE COMMUNITY HOSPITAL"|"1278887"|""|""|"120668.0000"|"272482.0000"|""|""|"6083.0000"|"2917.0000"|""|""|""|""|""|""|""|""|""|""|"715844.0000"|"479579.0000"|"238506.0000"|"236265.0000"|""|""|"1264146.0000"|"1288960.0000"|""|""|""|""|""|""|"1629403.0000"|"1800624.0000"|""|"8716.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"0.0000"|"8716.0000"|"1107103.0000"|"1244308.0000"|""|""|"522300.0000"|"547600.0000"|""|""|""|""|""|""|"1629403.0000"|"1791908.0000"|"1629403.0000"|"1800624.0000"
"01-0187940"|"ROCKLAND CEMETERY ASSOCIATION"|"1279951"|"15439.0000"|"16012.0000"|"1149123.0000"|"1370864.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"545176.0000"|"254165.0000"|"296354.0000"|"291011.0000"|"4886343.0000"|"4922808.0000"|""|""|""|""|""|""|"45702.0000"|"88120.0000"|"6392961.0000"|"6688815.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"42201.0000"|"86174.0000"|"42201.0000"|"86174.0000"|"4582921.0000"|"4864226.0000"|"1720613.0000"|"1690272.0000"|"47226.0000"|"48143.0000"|""|""|""|""|""|""|"6350760.0000"|"6602641.0000"|"6392961.0000"|"6688815.0000"
"01-0263507"|"Central Aroostook Association"|"1278888"|"499291.0000"|"542382.0000"|"812923.0000"|"1158835.0000"|""|""|"748270.0000"|"576346.0000"|""|""|""|""|""|""|""|""|"41767.0000"|"37585.0000"|"3631407.0000"|"2305728.0000"|"1498690.0000"|"1325679.0000"|""|""|""|""|""|""|""|""|""|""|"3600941.0000"|"3640827.0000"|"349556.0000"|"307123.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"349556.0000"|"307123.0000"|"3251175.0000"|"3333704.0000"|"210.0000"|""|""|""|""|""|""|""|""|""|"3251385.0000"|"3333704.0000"|"3600941.0000"|"3640827.0000"
"01-0365191"|"ASSOCIATION OF SMALL BUSINESS DEV. CENTR"|"1278375"|"142037.0000"|"257817.0000"|"994102.0000"|"1014923.0000"|""|""|"171078.0000"|"69533.0000"|""|""|""|""|"3450.0000"|"0.0000"|"28275.0000"|"23400.0000"|"25439.0000"|"44337.0000"|"33024.0000"|"28055.0000"|"6488.0000"|"4969.0000"|"1397121.0000"|"1540402.0000"|""|""|""|""|""|""|""|""|"2767990.0000"|"2955381.0000"|"65674.0000"|"62177.0000"|""|""|"8500.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"74174.0000"|"62177.0000"|"2693816.0000"|"2893204.0000"|""|""|""|""|""|""|""|""|""|""|"2693816.0000"|"2893204.0000"|"2767990.0000"|"2955381.0000"
"01-0447619"|"MAHOOSUC LAND TRUST INC"|"1278376"|"133575.0000"|"134482.0000"|""|""|""|""|""|"19406.0000"|""|""|""|""|""|""|""|""|""|""|"1176561.0000"|""|"1126561.0000"|"1176561.0000"|"351749.0000"|"387334.0000"|""|""|""|""|""|""|""|""|"1611885.0000"|"1717783.0000"|"8024.0000"|"6200.0000"|""|""|""|"4640.0000"|""|""|""|""|""|""|""|""|""|""|"25274.0000"|"30615.0000"|"33298.0000"|"41455.0000"|"1525952.0000"|"1228312.0000"|"27635.0000"|"323016.0000"|"25000.0000"|"125000.0000"|""|""|""|""|""|""|"1578587.0000"|"1676328.0000"|"1611885.0000"|"1717783.0000"
"01-0689500"|"San Jose Soccer Complex Foundation"|"1278377"|"538624.0000"|"957948.0000"|"53435.0000"|"53567.0000"|""|"0.0000"|"82000.0000"|"4424.0000"|""|"0.0000"|""|"0.0000"|""|"348378.0000"|""|"0.0000"|"9135.0000"|"738.0000"|""|""|"1921927.0000"|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"1.0000"|"2605121.0000"|"1365056.0000"|"15813.0000"|"19307.0000"|""|""|""|""|""|""|""|""|""|""|"1138600.0000"|""|""|""|""|""|"1154413.0000"|"19307.0000"|"1394828.0000"|"1289869.0000"|"55880.0000"|"55880.0000"|""|""|""|""|""|""|""|""|"1450708.0000"|"1345749.0000"|"2605121.0000"|"1365056.0000"
"01-0810218"|"LITTLE RIVER CHAMBER OF COMMERCE AND VISITORS CENT"|"1278378"|"10430.0000"|"1493.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1039.0000"|"1374.0000"|"7914.0000"|"7914.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"11469.0000"|"2867.0000"|"32113.0000"|"29253.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"32113.0000"|"29253.0000"|"-20644.0000"|"-26386.0000"|""|""|""|""|""|""|""|""|""|""|"-20644.0000"|"-26386.0000"|"11469.0000"|"2867.0000"
"01-0955391"|"LITTLE BEANS PRESCHOOL CORPORATION"|"1278379"|"1444.0000"|"771.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"188.0000"|"9.0000"|""|"179.0000"|""|""|""|""|""|""|""|""|"2549.0000"|"7274.0000"|"3993.0000"|"8224.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"11993.0000"|"1695.0000"|"11993.0000"|"1695.0000"|""|""|""|""|""|""|""|""|""|""|"-8000.0000"|"6529.0000"|"-8000.0000"|"6529.0000"|"3993.0000"|"8224.0000"
"01-0713126"|"NORTH RIVER CARE INC"|"1279960"|"83672.0000"|"40643.0000"|"16867.0000"|"62042.0000"|""|""|"240.0000"|"240.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"100779.0000"|"102925.0000"|"2295.0000"|"2103.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2295.0000"|"2103.0000"|"98484.0000"|"97365.0000"|""|"3457.0000"|""|""|""|""|""|""|""|""|"98484.0000"|"100822.0000"|"100779.0000"|"102925.0000"
"01-0972999"|"LEGACY CONNECTIONS"|"1279962"|"620063.0000"|"1396586.0000"|""|""|"200000.0000"|"5001857.0000"|""|""|""|""|""|""|""|""|""|""|""|"2627.0000"|""|""|""|""|""|"19434.0000"|""|""|""|""|""|""|""|""|"820063.0000"|"6420504.0000"|"18698.0000"|"22557.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"0.0000"|"18698.0000"|"22557.0000"|"819257.0000"|"-50575.0000"|""|"6448522.0000"|""|""|""|""|""|""|""|""|"801365.0000"|"6397947.0000"|"820063.0000"|"6420504.0000"
"01-0361797"|"SEBAGO LAKES REGION CHAMBER OF COMMERCE"|"1284234"|"54000.0000"|"52929.0000"|"1255.0000"|"1255.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"10185.0000"|"9389.0000"|"1195.0000"|"796.0000"|""|""|""|""|""|""|""|""|"1600.0000"|"1600.0000"|"58050.0000"|"56580.0000"|"12418.0000"|"9408.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"12418.0000"|"9408.0000"|""|""|""|""|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"45632.0000"|"47172.0000"|"45632.0000"|"47172.0000"|"58050.0000"|"56580.0000"
"01-0371234"|"ELLSWORTH AREA CHAMBER OF COMMERCE"|"1285381"|"8995.0000"|"16123.0000"|"19402.0000"|"22881.0000"|""|""|"26252.0000"|"22436.0000"|""|""|""|""|""|""|""|""|"285.0000"|"1583.0000"|"150376.0000"|"63109.0000"|"89246.0000"|"87267.0000"|""|""|""|""|""|""|""|""|""|""|"144180.0000"|"150290.0000"|"10810.0000"|"3495.0000"|""|""|""|""|""|""|""|""|""|""|"62124.0000"|"58242.0000"|""|""|""|""|"72934.0000"|"61737.0000"|""|""|""|""|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"71246.0000"|"88553.0000"|"71246.0000"|"88553.0000"|"144180.0000"|"150290.0000"
"01-0490882"|"FRATERNAL ORDER OF EAGLES #4330"|"1265572"|"38602.0000"|"97120.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"2843.0000"|"2894.0000"|""|""|"351345.0000"|""|"351345.0000"|"351345.0000"|""|""|""|""|""|""|""|""|""|""|"392790.0000"|"451359.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"48558.0000"|"32545.0000"|""|""|""|""|"48558.0000"|"32545.0000"|""|""|""|""|""|""|""|""|""|""|"344232.0000"|"418814.0000"|"344232.0000"|"418814.0000"|"392790.0000"|"451359.0000"
"01-0601606"|"American Int'l School of Bamako Foundation"|"1285383"|""|""|"415929.0000"|"549370.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|""|""|""|"0.0000"|"0.0000"|""|""|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"415929.0000"|"549370.0000"|"867.0000"|"935.0000"|""|""|""|""|""|""|""|""|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"867.0000"|"935.0000"|"415062.0000"|"548435.0000"|""|""|""|""|""|""|""|""|""|""|"415062.0000"|"548435.0000"|"415929.0000"|"549370.0000"
