"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"GRANTS_ORGS_US"|"GRANTS_INDIVIDUALS_US"|"GRANTS_ORGS_NON_US"|"BENEFITS_TOTAL"|"COMPENSATION_CURRENT"|"COMPENSATION_DISQUALIFIED"|"WAGES_TOTAL"|"PENSION_TOTAL"|"EMPLOYEE_BENEFITS_TOTAL"|"PAYROLL_TAX_TOTAL"|"FEES_MANAGEMENT"|"FEES_LEGAL"|"ACCOUNTING_FEES_TOTAL"|"FEES_LOBBYING"|"FUNDRAISING_TOTAL"|"FEES_INVESTMENTS"|"FEES_OTHER"|"ADS_PROMO"|"OFFICE"|"INFO_TECH"|"EXP_ROYALTIES"|"OCCUPANCY_TOTAL"|"TRAVEL_TOTAL"|"ENTERTAIN_OFFICIALS"|"MEETINGS_TOTAL"|"INTEREST_TOTAL"|"PAYMENTS"|"DEPRECIATION_TOTAL"|"INSURANCE"|"EXPENSE_A_TOTAL"|"EXPENSE_B_TOTAL"|"EXPENSE_C_TOTAL"|"EXPENSE_D_TOTAL"|"EXPENSE_E_TOTAL"|"EXPENSES_TOTAL"|"TOTAL_PROGRAM_SERVICES"|"TOTAL_MANAGEMENT"|"TOTAL_FUNDRAISING"|"REPORT_COSTS_CBX"|"JOINT_TOTAL"|"JOINT_SERVICES"|"JOINT_GENERAL"|"JOINT_FUNDRAISING"|"ALL_OTHER_EXPENSES"|"EXPENSE_A_DESC"|"EXPENSE_B_DESC"|"EXPENSE_C_DESC"|"EXPENSE_D_DESC"
"01-0211784"|"CAMP FIRE HITINOWA COUNCIL INC"|"1286246"|""|""|""|""|"52410.0000"|""|"462617.0000"|""|"18716.0000"|"38876.0000"|""|""|""|""|""|""|""|"23134.0000"|"8981.0000"|""|""|""|"5665.0000"|""|""|"17262.0000"|""|"39402.0000"|"17666.0000"|"115579.0000"|"57360.0000"|"32932.0000"|"29636.0000"|""|"979792.0000"|"778400.0000"|"165297.0000"|"36095.0000"|""|""|""|""|""|"59556.0000"|"PROGRAM EXPENSES"|"CAMPER TRANSPORTATION"|"CAMP FIRE CHARTER FEE"|"REPAIRS & MAINTENCE"
"01-0601606"|"American Int'l School of Bamako Foundation"|"1285383"|"0.0000"|"0.0000"|"2083202.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"9087.0000"|"362.0000"|"1250.0000"|"0.0000"|"0.0000"|"2444.0000"|""|"0.0000"|"1362.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"6450.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"2104157.0000"|"2083202.0000"|"20955.0000"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""
"01-0217861"|"SWANS ISLAND ELECTRIC COOPERATIVE INC"|"1286247"|""|""|""|""|"64511.0000"|""|"136950.0000"|""|"20602.0000"|"16589.0000"|""|"6493.0000"|"24540.0000"|""|""|""|""|""|"30236.0000"|""|""|""|""|""|""|"47476.0000"|""|"85584.0000"|"9117.0000"|"33504.0000"|"3199.0000"|"308.0000"|"-84926.0000"|""|"394183.0000"|""|""|""|""|""|""|""|""|""|"GENERAL&ADMINISTRATIV"|"CUSTOMER ACCOUNTS"|"MISCELLAMEOUS OTHER"|"LABOR TAXES & BENEFITS"
"01-0472430"|"ROYAL RIVER CONSERVATION TRUST"|"1286248"|""|""|""|""|"47000.0000"|""|"37000.0000"|""|"9805.0000"|"6426.0000"|""|"612.0000"|"863.0000"|""|""|""|"4779.0000"|""|"1545.0000"|"346.0000"|""|"14867.0000"|"1770.0000"|""|""|""|""|""|""|"6448.0000"|"2757.0000"|"505.0000"|"2150.0000"|""|"145003.0000"|"86412.0000"|"38210.0000"|"20381.0000"|""|""|""|""|""|"8130.0000"|"Program expenses"|"Insurance"|"Fundraising expenses"|"Dues"
"01-0485254"|"WILHELM REICH INFANT TRUST CORP"|"1286249"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"89324.0000"|"0.0000"|"0.0000"|"7026.0000"|"0.0000"|"0.0000"|"1500.0000"|"0.0000"|"0.0000"|"11432.0000"|"20650.0000"|"0.0000"|"4373.0000"|"0.0000"|"0.0000"|"30878.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"9802.0000"|"4398.0000"|"3666.0000"|"7392.0000"|""|""|""|"190441.0000"|"162983.0000"|"18306.0000"|"9152.0000"|""|""|""|""|""|"0.0000"|"Postage and Shipping"|"Program Expense"|""|""
"01-0509203"|"CHEBEAGUE RECREATION CENTER INC"|"1286250"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"57053.0000"|"0.0000"|"47805.0000"|"0.0000"|"0.0000"|"7846.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"80.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"37538.0000"|"9197.0000"|"5083.0000"|"5311.0000"|"18365.0000"|"20391.0000"|""|"229922.0000"|"168534.0000"|"56723.0000"|"4665.0000"|""|""|""|""|""|"21253.0000"|"POOLEXPENSES"|"REPAIRS & MAINTENCE"|"PROGRAM SUPPLIES"|"UTILITIES"
"01-0733041"|"SARASOTA CREW, INC"|"1285384"|""|""|""|""|""|""|"224274.0000"|""|""|"26270.0000"|""|""|"4540.0000"|""|""|""|""|"16856.0000"|"12716.0000"|""|""|"12000.0000"|""|""|""|"7636.0000"|""|"69453.0000"|"17414.0000"|"236236.0000"|"83580.0000"|"36750.0000"|"18961.0000"|""|"825324.0000"|"695758.0000"|"122010.0000"|"7556.0000"|""|""|""|""|""|"58638.0000"|"REGATTA"|"REPAIRS & MAINTENCE"|"BANQUET AND DINNER"|"BANK & CREDIT CARD FEES"
"01-0361797"|"SEBAGO LAKES REGION CHAMBER OF COMMERCE"|"1284234"|""|"750.0000"|""|""|"42842.0000"|""|"32054.0000"|"1040.0000"|""|"6331.0000"|""|"2112.0000"|"1631.0000"|""|""|""|""|"3718.0000"|""|"192.0000"|""|"12981.0000"|""|""|"435.0000"|""|""|"399.0000"|"2321.0000"|"7337.0000"|"2225.0000"|"1528.0000"|"928.0000"|""|"125004.0000"|""|""|""|""|""|""|""|""|"6180.0000"|"AREA GUIDE EXPENSE"|"TELEPHONE/CABLE/INTERNE"|"EQUIPMNET RENTAL"|"POSTAGE AND PRINTING"
"01-0595647"|"K-9 PLACEMENT AND ASSISTANCE LEAGUE INC"|"1286256"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"3650.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"4940.0000"|"516.0000"|"0.0000"|"0.0000"|"600.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"2760.0000"|"12627.0000"|"19464.0000"|"82193.0000"|""|""|"126750.0000"|"120246.0000"|"4916.0000"|"1588.0000"|""|""|""|""|""|""|"Dog training and boarding"|"Food supplies"|"Veterinary care"|""
"01-0611469"|"FRIENDS OF FIREFIGHTERS INC"|"1286257"|""|""|""|""|"85801.0000"|""|"123794.0000"|""|"7409.0000"|"16792.0000"|""|""|"13019.0000"|""|""|""|"29286.0000"|"3698.0000"|"23283.0000"|"410.0000"|""|"50548.0000"|""|""|""|"2445.0000"|""|"2605.0000"|"10607.0000"|"7637.0000"|"6658.0000"|"3753.0000"|"1466.0000"|""|"390660.0000"|"300821.0000"|"85900.0000"|"3939.0000"|"Y"|"100751.0000"|"83811.0000"|"13001.0000"|"3939.0000"|"1449.0000"|""|"TRAVEL,HOTELS&MEETIN"|""|"MISCELLANEOUS"
"01-0643676"|"International Cultural Exchange Org Inc"|"1286258"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"308442.0000"|"0.0000"|"160787.0000"|"0.0000"|"0.0000"|"32234.0000"|"425245.0000"|"16898.0000"|"1415.0000"|"0.0000"|""|"0.0000"|"0.0000"|"0.0000"|"22803.0000"|"0.0000"|"0.0000"|"77198.0000"|"78316.0000"|"0.0000"|"0.0000"|"82.0000"|"0.0000"|"0.0000"|"35780.0000"|"1997.0000"|"3553.0000"|"2902.0000"|""|""|"1167778.0000"|"716489.0000"|"451289.0000"|"0.0000"|""|""|""|""|""|"126.0000"|"Bank Charges"|"Dues and Subscriptions"|"Equipment Rental"|""
"01-0651059"|"DAIRY INDUSTRY ENVIRONMENTAL COALITION"|"1286259"|""|""|""|""|""|""|""|""|""|""|""|"267934.0000"|""|""|""|""|""|""|"33.0000"|""|""|""|""|""|"2068.0000"|""|""|""|"1325.0000"|"402000.0000"|"203360.0000"|"10000.0000"|"1974.0000"|""|"888694.0000"|""|""|""|""|""|""|""|""|""|"PUBLIC RELATIONS"|"CONSULTING"|"MEMBERSHIPS"|"RESEARCH STUDIES"
"01-0734263"|"LEE & HERMAN OSTROW FAMILY FOUNDATION"|"1286260"|"85086.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"156.0000"|"2925.0000"|"0.0000"|"0.0000"|"9.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"1100.0000"|"160.0000"|""|""|""|""|"89436.0000"|"85086.0000"|"4350.0000"|""|""|"0.0000"|""|""|""|""|"OTHER EXPENSES"|""|""|""
"01-0765675"|"JOAN MALE FAMILY SUPPORT CENTER FOUNDATION"|"1286261"|""|""|""|""|""|""|""|""|""|""|""|"68.0000"|"2262.0000"|""|""|""|""|""|""|""|""|"21013.0000"|""|""|""|"26815.0000"|""|"39359.0000"|""|"2368.0000"|"1460.0000"|"590.0000"|"-365.0000"|""|"93570.0000"|"88282.0000"|"5288.0000"|"0.0000"|""|""|""|""|""|""|"OFFICE EXPENSE"|"SECURITY"|"DOTIONS"|"SECURITY SYSTEM 990T -CO"
"01-0781452"|"NASHVILLE RBI, INC."|"1286262"|""|"24626.0000"|""|""|"50955.0000"|""|""|""|"7515.0000"|"3535.0000"|""|"3000.0000"|"325.0000"|""|""|""|""|"675.0000"|"843.0000"|""|""|"931.0000"|"3695.0000"|""|""|""|""|"2096.0000"|"1689.0000"|"1412.0000"|"11357.0000"|"15209.0000"|"290.0000"|""|"128153.0000"|"95631.0000"|"10321.0000"|"22201.0000"|""|""|""|""|""|"0.0000"|"TELEPHONE & TELECOMMUNICATIONS"|"EQUIP RENTAL & MAINTENCE"|"FUNDRAISING FEES"|"BANK CHARGES"
"01-0800764"|"HERITAGE REGIONAL LIBRARY FDN"|"1286263"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"25000.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"750.0000"|"125.0000"|""|""|""|"25875.0000"|"13375.0000"|"0.0000"|"12500.0000"|""|""|""|""|""|""|"CREDIT CARD FEES"|"TAXES AND LICENSES"|""|""
"01-0186375"|"YORK HARBOR READING ROOM"|"1286244"|""|""|""|""|"75000.0000"|""|"367597.0000"|""|""|"43943.0000"|""|""|"5000.0000"|""|""|""|""|""|"10514.0000"|""|""|"90326.0000"|""|""|""|""|""|"60975.0000"|"34368.0000"|"4595.0000"|"27550.0000"|"16472.0000"|"12048.0000"|""|"761678.0000"|""|""|""|""|""|""|""|""|"13290.0000"|"UNRELATED BUSINESS INCO"|"CAPITAL EXPENSE"|"SUPPLIES"|"LAUNDRY AND UNIFORMS"
"01-0810429"|"GOVERNMENT TRAINING SERVICES INC"|"1286265"|"1191.0000"|"958.0000"|""|""|"77393.0000"|""|"321069.0000"|"3397.0000"|"36437.0000"|"31338.0000"|""|"25.0000"|"6150.0000"|""|""|""|"71499.0000"|""|"94259.0000"|"7184.0000"|""|"29557.0000"|"36925.0000"|""|"164091.0000"|""|""|"2589.0000"|"6243.0000"|"521729.0000"|"238860.0000"|"14934.0000"|"11906.0000"|""|"1689175.0000"|"1580144.0000"|"109031.0000"|"0.0000"|""|""|""|""|""|"11441.0000"|"RETURNED SPONSOR FEES"|"FACILITY MEALS"|"DOOR PRIZES AND AWARDS"|"MISCELLANEOUS"
"01-0810817"|"THE SCHOOL OF THE IMMACULATA INC"|"1286266"|""|""|""|""|""|""|"241883.0000"|""|""|"51029.0000"|""|""|""|""|""|""|""|""|""|""|""|"70304.0000"|""|""|""|""|""|"166.0000"|""|"80364.0000"|"30700.0000"|"11954.0000"|"8841.0000"|""|"515433.0000"|"503838.0000"|"11595.0000"|"0.0000"|""|""|""|""|""|"20192.0000"|"STUDENT SUPPLIES"|"BOOKS"|"REPAIRS & MAINTENCE"|"CLEANING"
"01-0904345"|"PHOENIX LODGE 2 FRATERNAL ORDER OF POLICE"|"1286267"|""|""|""|"254.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"254.0000"|"254.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0916403"|"NATIONAL GRASSROOTS ADVOCACY INC"|"1286268"|""|""|""|""|""|""|""|""|""|""|"92005.0000"|"1710.0000"|"5350.0000"|""|"151530.0000"|""|""|""|"1781.0000"|""|""|"11539.0000"|""|""|""|""|""|"145316.0000"|""|"64453.0000"|"121933.0000"|"8560.0000"|"30704.0000"|""|"1168511.0000"|"602855.0000"|"336615.0000"|"229041.0000"|"Y"|"733614.0000"|"586891.0000"|"73362.0000"|"73361.0000"|"533630.0000"|"Caging"|"Data Processing"|"Escrow Agent Service Fee"|"Graphic Design and Website"
"01-0917763"|"CAROLINA CHRISTIAN FOUNDATION INC"|"1286269"|"136075.0000"|""|""|""|""|""|""|""|""|""|"8032.0000"|""|"250.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"144357.0000"|"136075.0000"|"8282.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0801476"|"AFRICAN GENESIS CORRECTIVE HISTORY"|"1286264"|""|""|""|""|""|""|""|""|""|""|""|"3202.0000"|"5652.0000"|""|""|""|""|"67833.0000"|""|""|""|""|"109280.0000"|""|""|""|""|""|""|"18927.0000"|"18667.0000"|"15489.0000"|"8220.0000"|""|"285728.0000"|"226433.0000"|"20562.0000"|"38733.0000"|""|""|""|""|""|"38458.0000"|"FACILIATATOR FEE"|"PROGRAM SUPPLIES"|"FACILITIES RENTAL"|"PRINTING AND REPRODUCTION"
"01-0756141"|"CHRISTIAN YOUTH THEATER DENVER, INC"|"1286018"|""|""|""|""|"13604.0000"|""|"160175.0000"|""|""|"16841.0000"|""|""|""|""|""|""|""|"17254.0000"|"10609.0000"|""|"41634.0000"|"59799.0000"|""|""|"12148.0000"|""|""|"580.0000"|"3773.0000"|"40161.0000"|"3131.0000"|"1732.0000"|"1183.0000"|""|"382624.0000"|"357182.0000"|"25442.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"1289056"|"50285.0000"|"0.0000"|"0.0000"|"0.0000"|"7540.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"500.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"537.0000"|"1252.0000"|""|""|""|"60114.0000"|"50285.0000"|"9829.0000"|"0.0000"|""|""|""|""|""|"0.0000"|"FOREIGN TAXES"|"Purchased Interest"|""|""
"02-0241839"|"NEW HAMPSHIRE A.F.L. - C.I.O."|"1289059"|""|""|""|""|"107667.0000"|""|"112517.0000"|"51517.0000"|"29702.0000"|"18530.0000"|""|""|"5425.0000"|"1600.0000"|""|""|"1922.0000"|""|"23786.0000"|""|""|"17064.0000"|"22866.0000"|""|"9406.0000"|""|""|"4573.0000"|"919.0000"|"20467.0000"|"6051.0000"|"3450.0000"|"1918.0000"|""|"443877.0000"|""|""|""|""|""|""|""|""|"4497.0000"|"LEGISLATIVE ISSUES"|"LABOR DAY BREAKFAST"|"DOTIONS"|"STATE TAXES"
"01-0372148"|"THE AROOSTOOK MEDICAL CENTER"|"1298332"|""|""|""|""|"1887407.0000"|"0.0000"|"49558564.0000"|"1366649.0000"|"4966406.0000"|"3387989.0000"|""|"437190.0000"|"63504.0000"|""|""|"5186.0000"|"7468990.0000"|"171109.0000"|"13213692.0000"|""|""|"3629873.0000"|"674310.0000"|""|"46950.0000"|"458613.0000"|""|"3565336.0000"|"1822075.0000"|"110031970.0000"|"3128993.0000"|"2807318.0000"|"2328967.0000"|"952652.0000"|"212896824.0000"|"198508185.0000"|"14308181.0000"|"80458.0000"|""|""|""|""|""|"923081.0000"|""|""|""|""
"01-0145135"|"PROUTS NECK COUNTRY CLUB"|"1298386"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"471772.0000"|"0.0000"|"45095.0000"|"41132.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"27231.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"11706.0000"|"0.0000"|"0.0000"|"2162.0000"|"5358.0000"|"0.0000"|"267995.0000"|"33476.0000"|"34263.0000"|"68017.0000"|"112853.0000"|"275764.0000"|""|"1461689.0000"|"0.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0524835"|"SPRING HARBOR COMMUNITY SERVICES"|"1298388"|""|""|""|""|""|""|"7572374.0000"|"167202.0000"|"1425469.0000"|"591114.0000"|""|"3304.0000"|""|""|""|""|"352930.0000"|""|"239260.0000"|""|""|"428129.0000"|"85212.0000"|""|"39845.0000"|"23338.0000"|""|"93688.0000"|"49055.0000"|"1316014.0000"|"561766.0000"|"200212.0000"|"175939.0000"|""|"13398585.0000"|"10666878.0000"|"2731707.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0216657"|"SANFORD LIBRARY ASSOCIATION, INC."|"1289036"|""|""|""|""|"44732.0000"|"0.0000"|"199866.0000"|"8329.0000"|"48357.0000"|"19000.0000"|""|""|"5405.0000"|""|""|""|""|"768.0000"|"10862.0000"|""|""|"26829.0000"|"244.0000"|""|""|""|""|"26468.0000"|""|"49867.0000"|"28051.0000"|"11957.0000"|"2758.0000"|""|"487957.0000"|"421411.0000"|"66546.0000"|"0.0000"|""|""|""|""|""|"4464.0000"|"BOOKS & OTHER MEDIA"|"BLDG & GROUNDS MAINTENCE"|"EQUIPMENT RENTAL & MAINTENCE"|"MISCELLANEOUS"
"01-0245261"|"ERSKINE ACADEMY"|"1289037"|""|"22252.0000"|""|""|"111903.0000"|""|"3831165.0000"|""|"509542.0000"|"129166.0000"|""|"1586.0000"|"12270.0000"|""|""|""|""|"15509.0000"|""|""|""|""|""|""|""|"27381.0000"|""|"324083.0000"|"92350.0000"|"475512.0000"|"280023.0000"|"228647.0000"|"188615.0000"|""|"6669553.0000"|"5478325.0000"|"1155657.0000"|"35571.0000"|""|""|""|""|""|"419549.0000"|"MAINE STATE RETIREMENT"|"INSTRUCTIOL EXPENSES"|"FOOD SERVICE PROGRAM"|"TRANSPORTATION"
"01-0351077"|"Maine Cancer Foundation"|"1289038"|"1305842.0000"|""|""|""|"80041.0000"|""|"216783.0000"|"4673.0000"|"35773.0000"|"24289.0000"|""|""|"9350.0000"|""|""|"14966.0000"|"1694.0000"|"7370.0000"|"25191.0000"|"18535.0000"|""|"41003.0000"|"1035.0000"|""|"4235.0000"|""|""|"18669.0000"|"3817.0000"|"132282.0000"|"76606.0000"|"2006.0000"|"1437.0000"|""|"2025597.0000"|"1665723.0000"|"112099.0000"|"247775.0000"|"Y"|"132282.0000"|"132282.0000"|"0.0000"|"0.0000"|""|"Special Event Expense"|"Other Grant Related Exp"|"Community Relations"|"Bank Credit Card Fees"
"01-0367546"|"THE HOUSING FOUNDATION-DISP"|"1289039"|""|""|""|""|"5023.0000"|""|"31958.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"114792.0000"|""|"67757.0000"|""|"90271.0000"|"71355.0000"|"47095.0000"|"28382.0000"|""|"477510.0000"|"477510.0000"|"0.0000"|"0.0000"|""|""|""|""|""|"20877.0000"|"OPERATING & MAINTENCE"|"UTILITIES"|"ADMINISTRATIVE"|"TENT SERVICE COORDI"
"01-0388637"|"New England Baptist Bible College"|"1289040"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"210997.0000"|"0.0000"|"12999.0000"|"16270.0000"|"0.0000"|"0.0000"|"5535.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"1245.0000"|"11094.0000"|"2761.0000"|"0.0000"|"8400.0000"|"996.0000"|"0.0000"|"469.0000"|"0.0000"|"0.0000"|"9642.0000"|"0.0000"|"22745.0000"|"3119.0000"|"3492.0000"|"2599.0000"|""|"329854.0000"|"179139.0000"|"150715.0000"|"0.0000"|""|""|""|""|""|"17491.0000"|"Tuition Assistance"|"Facilities Expense"|"Library Expense"|"Banquet"
"01-0403876"|"NEWBURGH SENIORS' HOUSING CORPORATION- PERSISTENCE"|"1289041"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"58167.0000"|""|"28812.0000"|""|"42719.0000"|"38607.0000"|"34657.0000"|"12961.0000"|""|"231197.0000"|"231197.0000"|"0.0000"|"0.0000"|""|""|""|""|""|"15274.0000"|"ADMINISTRATIVE"|"UTILITIES"|"OPERATING & MAINTENCE"|"TENT SERVICE COORDI"
"01-0411761"|"AREA IV MENTAL HEALTH SERVICES COALITION"|"1289042"|""|""|""|""|"135498.0000"|""|"1092342.0000"|""|"258094.0000"|""|"8382.0000"|""|""|""|""|""|"16367.0000"|"1381.0000"|"22879.0000"|""|""|"54583.0000"|"56899.0000"|""|""|"34967.0000"|""|"38207.0000"|"16445.0000"|"70838.0000"|"34264.0000"|"33903.0000"|"30986.0000"|""|"1934437.0000"|"1461131.0000"|"473306.0000"|"0.0000"|""|""|""|""|""|"28402.0000"|"CONSULTANTS"|"MAINTENCE"|"COMMUNICATIONS"|"PROGRAM COSTS"
"01-6186835"|"NATIONAL CONFERENCE ON PUBLIC EMPLOYEE RETIREMENT SYSTEMS IRREVOCABLE TRUST"|"1298390"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"550000.0000"|""|""|""|""|"550000.0000"|"550000.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0421229"|"THE HOUSING FOUNDATION-HAMPDEN"|"1289043"|""|""|""|""|"3767.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"85997.0000"|""|"37662.0000"|""|"57380.0000"|"48319.0000"|"39666.0000"|"19158.0000"|""|"308360.0000"|"308360.0000"|"0.0000"|"0.0000"|""|""|""|""|""|"16411.0000"|"UTILITIES"|"ADMINISTRATIVE"|"OPERATING & MAINTENCE"|"TENT SERVICE COORDI"
"01-0422035"|"TEDFORD HOUSING"|"1289044"|""|""|""|""|"66769.0000"|"523049.0000"|""|"70146.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"147384.0000"|""|"196795.0000"|"143061.0000"|"63117.0000"|"32746.0000"|""|"1342993.0000"|"1112909.0000"|"188075.0000"|"42009.0000"|""|""|""|""|""|"99926.0000"|"UTILITIES AND TELEPHONE"|"MAINTENCE & REPAIRS"|"MISCELLANEOUS"|"INSURANCE"
"01-0467869"|"MAINE AOUACULTURE INNOVATION CENTER"|"1289045"|""|""|""|""|"50960.0000"|""|""|""|"3058.0000"|"4012.0000"|""|""|"2500.0000"|""|""|""|"50095.0000"|"4588.0000"|"243.0000"|""|""|"14426.0000"|"2915.0000"|""|""|""|""|"1269.0000"|""|"2705.0000"|"1744.0000"|"1605.0000"|"1009.0000"|""|"142025.0000"|"141022.0000"|"1003.0000"|"0.0000"|""|""|""|""|""|"896.0000"|"MEETINGS/CONFERENCES"|"MISCELLANEOUS"|"INSURANCE"|"SUPPLIES & MATERIALS"
"01-0488464"|"GREAT POND MOUNTAIN CONSERVATION TRUST"|"1289046"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"28800.0000"|"0.0000"|"20800.0000"|"0.0000"|"0.0000"|"3962.0000"|"0.0000"|"565.0000"|"5620.0000"|"0.0000"|"37784.0000"|"23.0000"|"26245.0000"|"527.0000"|"6042.0000"|"0.0000"|"0.0000"|"3675.0000"|"1788.0000"|"0.0000"|"398.0000"|"0.0000"|"0.0000"|"753.0000"|"6206.0000"|"9183.0000"|"10049.0000"|"14103.0000"|"22471.0000"|""|"213447.0000"|"128011.0000"|"33177.0000"|"52259.0000"|""|""|""|""|""|"14453.0000"|"Printing and Publications"|"REAL ESTATE TAXES"|"FORESTRY MAGEMENT"|"CONSERVATION PROJECT"
"01-0262394"|"LOUIS T GRAVES MEMORIAL PUBLIC LIBRARY"|"1284606"|""|""|""|""|"46894.0000"|""|"83412.0000"|"2298.0000"|"7295.0000"|"10944.0000"|""|""|"8655.0000"|""|""|"7915.0000"|""|""|"2013.0000"|""|""|"24406.0000"|""|""|""|""|""|"22404.0000"|""|"34070.0000"|"15530.0000"|"14411.0000"|"7827.0000"|""|"291455.0000"|"273775.0000"|"16570.0000"|"1110.0000"|""|""|""|""|""|"3381.0000"|"BOOKS & MAGAZINES"|"SERVICES"|"SUPPLIES"|"INSURANCE"
"01-0358743"|"GLENBURN HOUSING CORPORATION"|"1284607"|""|""|""|""|""|""|""|""|""|""|"17140.0000"|""|"4795.0000"|""|""|""|""|"111.0000"|""|""|""|"63575.0000"|""|""|""|"64687.0000"|""|"38621.0000"|"5331.0000"|"16802.0000"|"480.0000"|""|""|""|"211542.0000"|"211542.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"REAL ESTATE TAXES"|"OTHER ADMINISTRATIVE EXP"|""|""
"01-0516247"|"CARLETON PROJECT"|"1289048"|""|""|""|""|"115528.0000"|""|"55672.0000"|""|"14771.0000"|"14828.0000"|""|"35.0000"|"2892.0000"|""|""|""|""|"354.0000"|"428.0000"|"5782.0000"|""|"14751.0000"|"5276.0000"|""|"746.0000"|"251.0000"|""|"2242.0000"|"4122.0000"|"14077.0000"|"8728.0000"|"6274.0000"|"3782.0000"|""|"272904.0000"|"191323.0000"|"81581.0000"|"0.0000"|""|""|""|""|""|"2365.0000"|"FOOD/SUPPLIES"|"SHAW HOUSE"|"TELEPHONE"|"STUDENT EXPENSES"
"01-0538683"|"EMC AFFORDABLE HOUSING PRESERVATION CORP"|"1289049"|""|""|""|""|""|""|""|""|""|""|"31194.0000"|"2370.0000"|"5756.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"109632.0000"|""|"59578.0000"|"12624.0000"|"140649.0000"|"59556.0000"|"8100.0000"|"4502.0000"|""|"438410.0000"|"438410.0000"|"0.0000"|"0.0000"|""|""|""|""|""|"4449.0000"|"MAINTENCE & REPAIRS"|"UTILITIES"|"SITE MAGER"|"BAD DEBT EXPENSE"
