"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"PROVIDE_DESCRIPTION"|"NEEDS_ASSESSMENT"|"PATIENT_EDUCATION"|"COMMUNITY_INFORMATION"|"COMMUNITY_ACIVITIES"|"OTHER_INFORMATION"|"AFFILIATED_SYSTEM"|"IDENTIFY_STATES"|"SUPPLEMENTAL_INFORMATION"|"FRG_DESCR"
"01-0617023"|"CENTER OF LIFE"|"1337179"|""|""|""|""|""|""|""|""|""|""
"01-0927327"|"ELECTRIFICATION COALITION FOUNDATION"|"1337181"|""|""|""|""|""|""|""|""|""|""
"01-0948527"|"OPEN IDENTITY EXCHANGE,INC."|"1337182"|""|""|""|""|""|""|""|""|""|""
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"1337640"|"Part V, Line 19d - Other Billing Determination of Individuals Without Insurance Hospital charges are discounted at 100% for the patients who qualify for Free Care with income at or below the 200% FPL Part V, Line 13g ?C Other Means Hospital Facility Publicized the Policy Signs and individual notices are posted in key public waiting areas in the hospital, Physcian practices and on the website regarding information pertaining to Free Care These notices inform the patient of the availability of Free Care including the eligibility criteria and instruction on how to apply, obtain additional information orassistance Part V, Line 6i - Describe Other Needs Identified Our Commumty Health Needs Assessment priorities include Substance Abuse and Mental Health, Access to Care, 0besity Prevention and Chronic Disease Management Sebasticook Valley Health plans to meet the prioritized needs through the following initiatives and resources Substance Abuse SVH is the fiscal agent for a federal Drug Free Communities (DFC) grant The DFC coalition is implementing a multi-pronged approach to the substance abuse needs in our communities These initiatives include Partnering with schools to implement evidence-based sustance abuse prevention programs, such as TarWars, LifeSkills and Restorative Practices Sponsoring and promoting prescription take-back programs and raising awareness of the prescription drug problem with educational campaigns Working with law enforcement on increasing ""party."|"PartVI - Needs Assessment Sebasticook Valley Health utilizes the EMHS Community Health Needs assessment data from the Healthy Maine Partnership/Healthy SV Community Data Profile, and produces an annual environmental needs analysis every year The SVH community Health data, and information gleaned from AVATAR International patients surveys and quality measurement website data"|"Part VI - Patient Education of Eligibility for Assistance Sebasticook Valley Health provides information about financial assistance and the contract information for SVH Billing is included in patients bills and is available at the Patient Accounts Office, Central Registration, and in all primary care locations 0ur Patient Accounts staff work directly with each patient to educate, determine eligibility and assist in applying for assistance In addition, information is posted to the public at our website They are knowledgeable in a wide variety of programs and services that can help patients"|"Part VI - Community Information Sebasticook Valley Health serves over 34,000 in more than a dozen towns in Central Maine in the counties of Southern Penobscot, Southern Somerset, Northern Kennebec, and Western Waldo Counties Central Maine serves a significant number of patients who utilize either Medicare or Medicaid (MaineCare) as their primary source of coverage for healthcare The area has a diverse business and industrial base, however, no large companies or industry are located in the region"|""|"Part VI - Explanation Of How Organization Furthers Its Exempt Purpose Sebasticook Valley Health provides a wide range of services to the community including support groups for cancer, diabetes, and hosting for caregivers SVH also offers free educational sessions and healthcare screenings SVH goes into the schools with educational programs such as tobacco prevention programs such as Tar Wars and the ""Swish Lady"" sealant program and trains medical practice staff to provide oral health services to infants and toddlers SVH works in collaboration with a number of area organizations to help deliver programs and services that address the need for improved nutrition and fitness, and elimination and reduction of tobacco and substance abuse We also provide free transportation to our facilities, this is critical service to connect vulnerable populations, largerly the elderly - with care services SVH has also assisted in public education in the form of providing speakers and literature on related health topics This year we have provided a number of lunch-and-learn topics to business leaders, including such topics as ergonomic health, health care reform and workplace safety SVH collaborated with the local FQHC by donating the space and equipment for dental care services to those uninsured or underinsured children and adults This year SVH hosted a commmunity health fair with a variety of other local providers of healthcare services and area agencies promoting a vaiety of health."|"Part VI - Affilated Health Care System Roles and Promotion Both Sebasticook Valley Health and EMHS, the system, are member of the Wellness Council of America - SVH with Gold status and EMHS with Platinum status for employee health To provote and provide community wellness programs, SVH must walk the walk with employees As SVH brings system-wide or local programs into the communitities, it is done with an understanding of the work needed to help create healthy workplaces and healthy communities See also Schedule 0"|"ME"|""|""
"01-0216328"|"EVERGREEN CREDIT UNION"|"1337722"|""|""|""|""|""|""|""|""|""|""
"01-0241528"|"SOUTHWEST HARBOR LIBRARY"|"1337723"|""|""|""|""|""|""|""|""|""|""
"01-0265648"|"NEW ENGLAND MUSIC CAMP ASSOCIATION"|"1337724"|""|""|""|""|""|""|""|""|""|""
"01-0274998"|"Mount St Joseph"|"1337725"|""|""|""|""|""|""|""|""|""|""
"01-0282197"|"GUILFORD DEVELOPMENT CORPORATION"|"1337726"|""|""|""|""|""|""|""|""|""|""
"01-0379498"|"Stanley Museum Inc"|"1337727"|""|""|""|""|""|""|""|""|""|""
"01-0449348"|"The Cobscook Community Learning Center"|"1337728"|""|""|""|""|""|""|""|""|""|""
"01-0463028"|"PORTLAND TRAILS"|"1337729"|""|""|""|""|""|""|""|""|""|""
"01-0511596"|"THE NATHAN AND HENRY B CLEAVES LAW LIBRARY"|"1337730"|""|""|""|""|""|""|""|""|""|""
"01-0514334"|"TD Bank Beach to Beacon 10K Inc"|"1337731"|""|""|""|""|""|""|""|""|""|""
"01-0535534"|"SOMERSET ECONOMIC DEVELOPMENT ECONOMIC DEVELOPMENT"|"1337732"|""|""|""|""|""|""|""|""|""|""
"01-0541131"|"Downeast Lakes Land Trust"|"1337733"|""|""|""|""|""|""|""|""|""|""
"01-0566033"|"ISRAEL EMERGENCY ALLIANCE"|"1337734"|""|""|""|""|""|""|""|""|""|""
"01-0600248"|"EASTERN NC REGIONAL SCIENCE CENTER"|"1337735"|""|""|""|""|""|""|""|""|""|""
"01-0613834"|"HIRES FAMILY RESOURCES INC"|"1337736"|""|""|""|""|""|""|""|""|""|""
"01-0686634"|"DREAM CENTER OF LAKELAND INC"|"1337737"|""|""|""|""|""|""|""|""|""|""
"01-0687133"|"GOLISANO CHILDREN'S MUSEUM OF NAPLES INC"|"1337738"|""|""|""|""|""|""|""|""|""|""
"01-0741733"|"INTERNATIONAL PARTNERSHIP FOR MICROBICIDES INC"|"1337739"|""|""|""|""|""|""|""|""|""|""
"01-0781234"|"The Moore Free Care Clinic Inc"|"1337740"|""|""|""|""|""|""|""|""|""|""
"01-0228297"|"SKIDOMPHA LIBRARY ASSOCIATION"|"1339783"|""|""|""|""|""|""|""|""|""|""
"01-0248668"|"HUBBARD FREE LIBRARY"|"1339784"|""|""|""|""|""|""|""|""|""|""
"01-0274898"|"HOPE ASSOCIATION"|"1339785"|""|""|""|""|""|""|""|""|""|""
"01-0285528"|"ABRAHAM S & FANNY B LEVEY HEBREW DAY SCHOOL"|"1339786"|""|""|""|""|""|""|""|""|""|""
"01-0361328"|"MAINE MOTOR TRANSPORT ASSOCIATION"|"1339787"|""|""|""|""|""|""|""|""|""|""
"01-0409428"|"SCARBOROUGHECONOMIC DEVCORP"|"1339788"|""|""|""|""|""|""|""|""|""|""
"01-0533796"|"The Maine Special Education Mental Health Collaborative"|"1339789"|""|""|""|""|""|""|""|""|""|""
"01-0538534"|"Bangor Nursing & Rehabilitation Center"|"1339790"|""|""|""|""|""|""|""|""|""|""
"01-0544448"|"UNIVERSITY OF MAINE SCHOOL OF LAW FOUNDATION"|"1339791"|""|""|""|""|""|""|""|""|""|""
"01-0780934"|"LAKE COUNTY INT CHARTER SCHOOL"|"1339792"|""|""|""|""|""|""|""|""|""|""
"01-0805468"|"LIVING BREAD RADIO INC"|"1339793"|""|""|""|""|""|""|""|""|""|""
"01-0542842"|"GERIATRIC RESOURCE NETWORK"|"1340879"|""|""|""|""|""|""|""|""|""|""
"01-0212435"|"St Joseph Hospital"|"1340920"|"Part I, Line 3c The Organization does utilize FPG to determine eligibility Part I, Line 6a The community benefit report is based on the Catholic Health Association guidelines and utilizes the Association's CBISA software to record the benefits Part I, Line 7 The cost-to-charge ratio was derived from Worksheet 2 and the bad expense from Part IX, Line 25, Column A of $5,558,328 has been removed from the denominator Part II Community support consisted of American Red Cross blood drives, sending supplies to elementary school children in need, maintaining a community vegetable stand and providing pastoral care to the community Part III, Line 4 Costs are from the accounting system using cost-to-charge ratios from the as filed Medicare Cost Report St Joseph Hospital does not factor in discounts and payments in determining bad debt expense Charges for services rendered to individuals from whom payment is expected and ultimately not received are written off and in 2012 included as an operating expense as part of the provision for bad debts Part III, Line 8 Costs are from the accounting system using cost-to-charge ratios from the as filed Medicare Cost Report, but none of these costs are being claimed as a community benefit Part I, line 7 Part III, Line 9b Our collection policy, R 019, does address patients who have benevolence If they qualify for free care, then their balance is written off If they qualify for cost share."|"Part VI, Line 2 The Hospital participated in a Community Statewide Health Needs Assessment which was conducted in 2010 and published in 2011 This document continues to be utilized as a main source of information in directing activities to assist improving the health f individuals within the Hospital's primary service area In addition, the 2012 United Way of Eastern Maine community needs assessment document is also utilized to assist in directing activities relative to community outreach in an effort to improve the health and well-being of individuals within the Hospital's primary service area Data from these documents highlighted several areas of concern within the Hospital's primary service area including poverty levels, poverty levels for individuals under the age of 17, unemployment rates, access to transportation, food security, prevalence of cardiovascular and diabetes risk factors (obesity, sedentary lifestyle, smoking, high blood pressure, cholesterol and heart disease), prevalence of asthma and COPD, preventive cancer screenings and incidents of cancer, high patterns of mental health risk factors, high pattern of emergency department usage and inpatient utilization rates"|"Part VI, Line 3 Each inpatient receives a packet upon admission that includes a description of the Hospital's Free Care Policy If an inpatient has any questions during the stay, a patient ombudsman is available to assist Signage is placed in all outpatient registration sites and applications are available Staff is available to answer questions Upon billing, included with the statement is a notification that free care is available, the poverty guidelines, and a number for assistance The policy is also posted on the Hospital's website"|"Part VI, Line 4 The Hospital's primary service area is Penobscot County which comprises the county seat and the third most populated city in the state of Maine Bangor (population 32,917-U S Census 2012 estimate) The County consists of a total area of 3,556 14 square miles Within the Hospital's primary service area of Penobscot County the southern and western regions of the County account for more than 50% of the inpatient admissions The Hospital's secondary service area includes the Penobscot County border communities such as the towns of Bucksport and Ellsworth (located in Hancock County), Milo and Dover-Folcroft (located in Piscataquis County) and Winterport (located in Waldo County) The U S Census report estimates 2012 population for Penobscot County as 153,746, recognizes that 95 4% are white, 50 7% are female, 15 4% are 65 years of age or older, 16 3% are below the poverty level, and the median household income is $43,601 In 2012, 57 7% of the hospital admissions were over 65 years of age"|""|"Part VI, Line 5 St Joseph Hospital is comprised of employees and community partners who demonstrate a deep and abiding commitment to furthering the Catholic health ministry Individuals are deeply committed through personal activities and professional involvement to ensure that St Joseph Healthcare is a leading advocate in defending human dignity Through our service, we work to extend Jesus's ministry of love and compassion The Organization's community outreach activities extend through communion with the vision set forth by Covenant Health Systems, Catholic Health Ministry and the Organization's founding Congregation, Sisters of St Felix of Cantalice-the Felician Sisters As a leading advocate in defense of human dignity, the Organization has focused activities around improving basic human needs These needs are often characterized as basic human rights-the basic human right to food, shelter, education, healthcare services and a preservation of human dignity with a life free from exploitation St Joseph's efforts in the area of community health improvement services extended to health education activities and health care support services - The Organization supported the American Heart Association through educational programs, events and fundraising to support further community outreach - St Joseph Health care was the premier sponsor of two of the largest community events in the area Bangor's Garden Show and the Maine Harvest Festival At each of these events."|"Part VI, Line 6 St Joseph Healthcare is comprised of St Joseph Hospital (an acute care hospital), St Joseph Ambulatory Care, Inc, (physician group that provides primary and specialty care), and Alternative Health Serves, Inc (which provides home health and hospice services) By joining Covenant Health System, St Joseph Healthcare is now aligned with two other acute care hospitals and multiple skilled nursing and assisted living facilities"|"Reports Filed With States Part VI, LIne 7 ME"|"Part VI, Line 5, continued Continued from above-Health Information Management is a growing field and requires significant expertise St Joseph Healthcare was delighted to provide 64 individuals with the opportunity to enhance their skills through experience within the Health Information Management department - Fifteen students from the medical technology field were provided with student rotations - The health care community is becoming increasingly reliant on individuals in the Medical Assistant field Five individuals from this field were provided important experience - Twenty students from pharmacy degree programs were able to expand their skills by working within the Pharmacy department _ Phlebotomy students were able to experience a busy outpatient laboratory and a clinical laboratory during student flotation - The Medical Imaging department hosted 55 students as they worked to acquire their degrees in radiography - Students from the field of respiratory therapy were able to enhance their skills and experience the respiratory needs of a community hospital through a student rotation program which supported 7 individuals - Eleven students gained valuable experience and hands-on learning through the surgical assistant student rotation program St Joseph believes strongly in collaborating with and supporting the good works of other not-for-profit community organizations which share a vision of providing for those within the community who are underserved."|"St Joseph Hospital Part V, Section B, Line 20d Based on FAP eligibility, either 100% is written off or is subject to a a sliding fee scale of which the payment rate is significantly discounted from the commercial payment rates"
"01-0244035"|"PARKVIEW ADVENTIST MEDICAL CENTER"|"1340921"|"PERCENT OF TOTAL EXPENSE SCHEDULE H, PART I, LINE 7, COLUMN F THE PERCENT OF TOTAL EXPENSE ON SCHEDULE H, PART I, LINE 7, COLUMN (F), WAS CALCULATED USING TOTAL EXPENSES ON FORM 990, PART IX, LINE 25, COLUMN (A) LESS BAD DEBT EXPENSE COSTING METHODOLOGY SCHEDULE H, PART I, LINE 7G THE COST TO CHARGE RATIO CALCULATED ON IRS WORKSHEET 2 WAS USED IN THE CALCULATION OF COST ON IRS WORKSHEETS 1 AND 3 BAD DEBT EXPENSE AND COSTING METHODOLOGY SCHEDULE H, PART III, SECTION A , LINES 2, 3, &4 THE AUDITED FINANCIAL STATEMENTS DO NOT CONTAIN A FOOTNOTE THAT DESCRIBES BAD DEBT EXPENSE THEY DO, HOWEVER, CONTAIN A FOOTNOTE THAT DESCRIBES PATIENT ACCOUNTS RECEIVABLE THE MEDICAL CENTER REPORTS PATIENT ACCOUNTS RECEIVABLE FOR SERVICES RENDERED AT NET REALIZABLE AMOUNTS FROM THIRD-PARTY PAYERS, PATIENTS AND OTHERS THE MEDICAL CENTER PROVIDES AN ALLOWANCE FOR UNCOLLECTIBLE ACCOUNTS BASED UPON A REVIEW OF OUTSTANDING RECEIVABLES, HISTORICAL COLLECTION INFORMATION AND EXISTING ECONOMIC CONDITIONS AS A SERVICE T THE PATIENT, THE MEDICAL CENTER BILLS THIRD-PARTY PAYERS DIRECTLY AND BILLS THE PATIENT WHEN THE PATIENTS LIABILITY IS DETERMINED PATIENT ACCOUNTS RECEIVABLE ARE DUE IN FULL WHEN BILLED ACCOUNTS ARE CONSIDERED DELINQUENT AND SUBSEQUENTLY WRITTEN OFF AS BAD DEBTS BASED ON INDIVIDUAL CREDIT EVALUATION AND SPECIFIC CIRCUMSTANCES OF THE ACCOUNT THE MEDICAL CENTER GRANTS CREDIT WITHOUT COLLATERAL TO PATIENTS."|"NEEDS ASSESSMENT SCHEDULE H, PART VI, LINE 2 PARKVIEW PERIODICALLY DOES MARKET RESEARCH AND NEEDS ASSESSMENTS TO DETERMINE WHAT THE NEEDS ARE IN THE COMMUNITY WE PARTICIPATE IN ACCESS HEALTH WHICH IS THE LOCAL HEALTHY MAINE PARTNERSHIP AND THROUGH THEM EXTENSIVE ASSESSMENTS ARE COMPLETED WITH BOTH QUESTIONNAIRES, REVIEW OF STATE AND REGIONAL DATA, WORKING WITH MAINE CDC, ETC WE CONDUCT MARKET RESEARCH (LAST DONE IN 2008-2009), FOCUS GROUPS, AND WE EVALUATE THE CHANGES OCCURRING IN THE DEMOGRAPHICS"|"PATIENT EDUCATION AND ELIGIBILITY FOR ASSISTANCE SCHEDULE H, PART VI, LINE 3 WHEN A PATIENT IS REGISTERED, THIS INFORMATION IS DISCUSSED AND THE POLICIES & PAPERWORK ARE MADE AVAILABLE TO THE PATIENT SO THEY KNOW WE HAVE THESE PROGRAMS IN PLACE WE ALSO REITERATE THESE PROGRAMS IF QUESTIONED BY A PATIENT DURING THE BILLING PROCESS"|"COMMUNITY INFORMATION SCHEDULE H, PART VI, LINE 4 OUR MOST RECENT SUMMARY REVIEW OF THE DEMOGRAPHICS BRUNSWICK IS THE SIXTH LARGEST TOWN IN MAINE WITH AN ESTIMATED POPULATION OF 21,172 ACCORDING TO THE 2000 CENSUS THE MEDIAN FAMILY INCOME IN CUMBERLAND COUNTY IN 2009 WAS $52,459 ACCORDING TO US CENSUS BUREAU ESTIMATES COMPARED TO A NATIONAL MEDIAN OF $50,221 AND A STATEWIDE MEDIAN FOR MAINE OF $50,221 AND A STATEWIDE MEDIAN FOR MAINE OF $45,708 THE PERCENTAGE OF POPULATION UNDER THE POVERTY LEVEL IN 2011 IN BRUNSWICK WAS 9 2% VERSUS A NATIONAL AVERAGE OF 15 1% AND A STATEWIDE AVERAGE FOR MAINE OF 11 5%, ACCORDING TO THE ZIP ATLAS WEB SITE CUMBERLAND COUNTY, WHERE BRUNSWICK IS LOCATED, HAD AN ESTIMATED UNEMPLOYMENT RATE OF 6 0% IN AUGUST 2011 ACCORDING TO THE MAINE GOVERNMENT WEB SITE"|""|"PROMOTION OF COMMUNITY HEALTH SCHEDULE H, PART VI, LINE 5 THE ORGANIZATION PROMOTES COMMUNITY HEALTH BY PROVIDING GENERAL WELLNESS SCREENINGS AND PROGRAMS, AS WELL AS OFFERING SUPPORT GROUPS BLOOD PRESSURE SCREENINGS - FREE BLOOD PRESSURE SCREENINGS ARE AVAILABLE TO ANYONE AT ANYTIME THROUGH THE EMERGENCY DEPARTMENT AT PARKVIEW ADVENTIST MEDICAL CENTER THERE MAY BE A DELAY IN CASE OF A CRITICAL EMERGENCY BREATHE FREE PLAN TO STOP SMOKING - THIS COURSE IS FOR INDIVIDUALS SEEKING GROUP SUPPORT IN BECOMING FREE FROM TOBACCO ADDICTION THE FOCUS IS ON PERSONAL GROWTH AND DEVELOPMENT, WHILE CREATING NEW HABITS TO MEET THE NEEDS THAT TOBACCO ONCE FULFILLED PERSONAL WELLNESS PROFILE - THIS PROGRAM PROVIDES A COMPLETE HEALTH AND LIFESTYLE ASSESSMENT BASED ON THE MOST CURRENT SCIENTIFIC GUIDELINES FOR OPTIMAL HEALTH IT EVALUATES FAMILY HISTORY, BIO METRICS, CLINICAL TESTING, NUTRITION, FITNESS, STRESS MANAGEMENT AND SEVERAL OTHER CRUCIAL HEALTH FACTORS PARTICIPANTS WILL BE GIVEN A LENGTHY PAGE ANALYSIS OF HIS/HER OVERALL WELLNESS ASSESSMENT, PHYSICAL FITNESS, EATING HABITS, HEART HEALTH CANCER RISK, BODY COMPOSITION, OSTEOPOROSIS RISK STRESS, SAFETY AND MUCH MORE SUPPORT GROUPS INCLUDE WEIGHT MANAGEMENT PROGRAM, LIFE BEYOND LOSS -GRIEF RECOVERY, CARE FOR THE CAREGIVER, COPING WITH CHRONIC PAIN AND ILLNESS"|""|""|""|""
"01-0706736"|"AMERICAN EAGLE LIFECARE CORPORATION"|"1340922"|""|""|""|""|""|""|""|""|""|""
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"1341367"|""|""|""|""|""|""|""|""|""|""
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAM INC"|"1341667"|""|""|""|""|""|""|""|""|""|""
"01-0382340"|"COVE'S EDGE INC"|"1341668"|""|""|""|""|""|""|""|""|""|""
"01-0511356"|"NORDX"|"1341669"|""|""|""|""|""|""|""|""|""|""
"01-0540292"|"Konbit Sante Cap Haitien Health Partners"|"1341670"|""|""|""|""|""|""|""|""|""|""
"01-0612870"|"METHODIST TRANSPLANT PHYSICIANS"|"1341671"|""|""|""|""|""|""|""|""|""|""
"01-0839874"|"North Grand Neighborhood Services"|"1341672"|""|""|""|""|""|""|""|""|""|""
"01-0131770"|"ODD FELLOWS HALL"|"1341919"|""|""|""|""|""|""|""|""|""|""
"01-0213357"|"DOWN EAST CREDIT UNION"|"1341920"|""|""|""|""|""|""|""|""|""|""
"01-0280483"|"Maine Pulp & Paper Association"|"1341921"|""|""|""|""|""|""|""|""|""|""
"01-0377183"|"SUMMER STREET ASSOCIATES CO UPLIFT INC"|"1341923"|""|""|""|""|""|""|""|""|""|""
"01-0379899"|"EAGLE HILL INSTITUTE"|"1341924"|""|""|""|""|""|""|""|""|""|""
"01-0416974"|"FRANNIE PEABODY CENTER"|"1341925"|""|""|""|""|""|""|""|""|""|""
"01-0424837"|"GEORGES RIVER LAND TRUST"|"1341926"|""|""|""|""|""|""|""|""|""|""
"01-0451745"|"ST CROIX INTERNATIONAL WATERWAY COMMISSION"|"1341927"|""|""|""|""|""|""|""|""|""|""
"01-0476545"|"COASTAL MAINE BOTANICAL GARDENS INC"|"1341928"|""|""|""|""|""|""|""|""|""|""
"01-0486399"|"NEW HOPE HOSPICE INC"|"1341930"|""|""|""|""|""|""|""|""|""|""
"01-0495974"|"ACADIA WILDLIFE FOUNDATION"|"1341931"|""|""|""|""|""|""|""|""|""|""
"01-0511656"|"UNITY BARN RAISERS INC"|"1341932"|""|""|""|""|""|""|""|""|""|""
"01-0512570"|"FAIRFIELD POLICE ATHLETIC LEAGUE"|"1341933"|""|""|""|""|""|""|""|""|""|""
"01-0531191"|"Caribou Economic Growth Council"|"1341934"|""|""|""|""|""|""|""|""|""|""
"01-0606353"|"MIDWEST REGION LABORERS'-EMPLOYERS' COOPERATION & EDUCATION TRUST"|"1341936"|""|""|""|""|""|""|""|""|""|""
"01-0621494"|"NEIGHBORHOOD LEADERSHIP INSTITUTE"|"1341937"|""|""|""|""|""|""|""|""|""|""
"01-0704374"|"BENDERS LANDING PROPERTY OWNERS ASSOC"|"1341938"|""|""|""|""|""|""|""|""|""|""
"01-0780689"|"HOLLENBECK POLICE ACTIVITIES LEAGUE"|"1341939"|""|""|""|""|""|""|""|""|""|""
"01-0826246"|"CALIFORNIA COUNCIL OF LAND TRUSTS"|"1341940"|""|""|""|""|""|""|""|""|""|""
"01-0842491"|"Old Rochester Community Television Inc"|"1341941"|""|""|""|""|""|""|""|""|""|""
"01-0884383"|"MILAGRE KIDS SCHOOLS INC"|"1341942"|""|""|""|""|""|""|""|""|""|""
"01-6017053"|"MAINE MEDICAL EDUCATION FOUNDATION"|"1341943"|""|""|""|""|""|""|""|""|""|""
"01-6208491"|"SEDGWICK CMS 501(C)(9) WELFARE TRUST"|"1341944"|""|""|""|""|""|""|""|""|""|""
"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"1346476"|""|""|""|""|""|""|""|""|""|""
"01-0224769"|"TRUSTEES OF THORNTON ACADEMY"|"1346477"|""|""|""|""|""|""|""|""|""|""
"01-0316041"|"Youth Alternatives Ingraham"|"1346479"|""|""|""|""|""|""|""|""|""|""
"01-0355980"|"THE LANDING SCHOOL OF BOATBUILDING AND DESIGN"|"1346480"|""|""|""|""|""|""|""|""|""|""
"01-0368153"|"THE PROGRESS CENTER INC"|"1346482"|""|""|""|""|""|""|""|""|""|""
"01-0409494"|"HARRINGTON FAMILY HEALTH CENTERINC"|"1346483"|""|""|""|""|""|""|""|""|""|""
"01-0448173"|"CENTER FOR TEACHING AND LEARNING"|"1346484"|""|""|""|""|""|""|""|""|""|""
"01-0493869"|"SMART CHILD & FAMILY SERVICES"|"1346485"|""|""|""|""|""|""|""|""|""|""
"01-0511583"|"Northern New England Center for Financial Training"|"1346486"|""|""|""|""|""|""|""|""|""|""
"01-0556446"|"QUINCY ASIAN RESOURCES INC"|"1346487"|""|""|""|""|""|""|""|""|""|""
"01-0558182"|"JCPE INVESTMENTS (NFP)"|"1346488"|""|""|""|""|""|""|""|""|""|""
"01-0593099"|"PENSACOLA BEACH ELEMENTARY SCHOOL INC"|"1346489"|""|""|""|""|""|""|""|""|""|""
"01-0699969"|"COMPASS CHARTER MIDDLE SCHOOL INC"|"1346490"|""|""|""|""|""|""|""|""|""|""
"01-0709457"|"CAMBRIDGE INTERNATIONAL ACADEMIES USA INC"|"1346491"|""|""|""|""|""|""|""|""|""|""
"01-0765884"|"NORTH CLACKAMAS CHRISTIAN SCHOOL"|"1346494"|""|""|""|""|""|""|""|""|""|""
"01-0771157"|"ROTTERDAM HOUSING DEVELOPMENT FUND COMPANY INC"|"1346495"|""|""|""|""|""|""|""|""|""|""
"01-0784491"|"FOR THE KID IN ALL OF US INC"|"1346496"|""|""|""|""|""|""|""|""|""|""
"01-0916973"|"HUMILITY OF MARY SHELTER INC"|"1346498"|""|""|""|""|""|""|""|""|""|""
"02-0162153"|"MANCHESTER MASONIC TEMPLE ASSOC"|"1346500"|""|""|""|""|""|""|""|""|""|""
